State,District,Headquarters,Population,Area,Density,color
Uttarakhand (UK),Rudraprayag,Rudraprayag,236857,1896,119,#9e9ac8
Uttarakhand (UK),Tehri Garhwal,New Tehri,616409,4085,169,#9e9ac8
Uttarakhand (UK),Udham Singh Nagar,Rudrapur,1648367,2912,648,#9e9ac8
Uttarakhand (UK),Uttarkashi,Uttarkashi,329686,7951,41,#9e9ac8
West Bengal (WB),Alipurduar,Alipurduar,1700000,3383,400,#cab2d6
West Bengal (WB),Bankura,Bankura,3596292,6882,523,#cab2d6
West Bengal (WB),Bardhaman,Bardhaman,7723663,7024,1100,#cab2d6
West Bengal (WB),Birbhum,Suri,3502387,4545,771,#cab2d6
West Bengal (WB),Cooch Behar,Cooch Behar,2822780,3387,833,#cab2d6
West Bengal (WB),Dakshin Dinajpur,Balurghat,1670931,2183,753,#cab2d6
West Bengal (WB),Darjeeling,Darjeeling,1842034,3149,585,#cab2d6
West Bengal (WB),Hugli,Hugli-Chuchura,5520389,3149,1753,#cab2d6
West Bengal (WB),Howrah,Howrah,4841638,1467,3300,#cab2d6
West Bengal (WB),Jalpaiguri,Jalpaiguri,3869675,6227,621,#cab2d6
West Bengal (WB),Kolkata,Kolkata,4486679,185,24252,#cab2d6
West Bengal (WB),Maldah,English Bazar,3997970,3733,1071,#cab2d6
West Bengal (WB),Murshidabad,Baharampur,7102430,5324,1334,#cab2d6
West Bengal (WB),Nadia,Krishnanagar,5168488,3927,1316,#cab2d6
West Bengal (WB),North 24 Parganas,Barasat,10082852,4094,2463,#cab2d6
West Bengal (WB),Paschim Medinipur,Midnapore,5094238,9345,1076,#cab2d6
West Bengal (WB),Purba Medinipur,Tamluk,4417377,4736,923,#cab2d6
West Bengal (WB),Purulia,Purulia,2927965,6259,468,#cab2d6
West Bengal (WB),South 24 Parganas,Alipore,8153176,9960,819,#cab2d6
West Bengal (WB),Uttar Dinajpur,Raiganj,3000849,3180,956,#cab2d6
