Date,Open,High,Low,Close,Volume,Adj Close
2013-10-04,10789.72,10907.41,10759.14,10829.68,4298910000,10829.68
2013-10-03,10835.96,10960.99,10732.27,10788.05,4284160000,10788.05
2013-10-02,10857.98,10901.96,10759.75,10835.28,3990280000,10835.28
2013-10-01,10809.85,10905.44,10714.03,10858.14,4025840000,10858.14
2013-09-30,10860.03,10902.52,10776.44,10812.04,3587860000,10812.04
2013-09-27,10664.39,10897.83,10664.39,10860.26,4123950000,10860.26
2013-09-26,10738.48,10779.65,10610.12,10662.42,3847850000,10662.42
2013-09-25,10761.11,10829.75,10682.4,10739.31,3911070000,10739.31
2013-09-24,10753.39,10844.89,10674.83,10761.03,4175660000,10761.03
2013-09-23,10608.08,10783.51,10594.38,10753.62,3364080000,10753.62
2013-09-20,10595.44,10689.29,10529.67,10607.85,4086140000,10607.85
2013-09-19,10571.75,10624.58,10499.43,10594.83,3364080000,10594.83
2013-09-18,10526.42,10609.21,10453.15,10572.73,3369840000,10572.73
2013-09-17,10544.81,10622.69,10460.34,10526.49,4521050000,10526.49
2013-09-16,10458.6,10605.73,10458.45,10544.13,4521050000,10544.13
2013-09-13,10415.01,10502.8,10376.34,10462.77,3061160000,10462.77
2013-09-12,10388.22,10515.86,10359.23,10415.24,3387770000,10415.24
2013-09-11,10338.57,10460.5,10318.93,10387.01,3224640000,10387.01
2013-09-10,10446.8,10448.99,10304.44,10340.69,3107380000,10340.69
2013-09-06,10321.92,10484.71,10321.92,10447.93,3534500000,10447.93
2013-09-05,10270.08,10350.98,10211.8,10320.1,3704210000,10320.1
2013-09-04,10016.01,10305.87,10016.01,10269.47,4396880000,10269.47
2013-09-03,10006.42,10101.53,9915.73,10014.72,4038770000,10014.72
2013-09-02,10145.58,10170.1,10005.56,10009.73,2917990000,10009.73
2013-08-30,9982.4,10176.3,9925.11,10150.65,4102460000,10150.65
2013-08-29,10059.83,10138.12,9959.17,9985.81,3646710000,9985.81
2013-08-28,10040.15,10104.18,9925.34,10060.06,4360190000,10060.06
2013-08-27,10170.86,10170.86,9975.86,10040.45,4436330000,10040.45
2013-08-26,10215.51,10328.88,10146.18,10174.41,3210950000,10174.41
2013-08-23,10270.98,10276.13,10131.88,10213.62,3761570000,10213.62
2013-08-22,10411.15,10412.29,10202.34,10271.21,4290540000,10271.21
2013-08-21,10398.59,10486.38,10308.83,10415.54,3724260000,10415.54
2013-08-20,10297.55,10501.67,10297.55,10405.85,3968210000,10405.85
2013-08-19,10303.07,10354.39,10193.26,10302.01,3142450000,10302.01
2013-08-16,10320.33,10381.86,10254.18,10303.15,3328890000,10303.15
2013-08-15,10361.58,10388.37,10222.85,10319.95,4521050000,10319.95
2013-08-14,10631.82,10631.82,10339.63,10378.83,4511860000,10378.83
2013-08-13,10696.63,10717.21,10522.63,10644.25,3979360000,10644.25
2013-08-12,10654.62,10755.66,10618.26,10698.75,3191630000,10698.75
2013-08-09,10668.55,10688.08,10491.37,10653.56,3857890000,10653.56
2013-08-08,10679.67,10712.37,10571.6,10674.98,3685560000,10674.98
2013-08-07,10630.2,10738.48,10583.1,10680.43,4057850000,10680.43
2013-08-06,10673.92,10714.19,10564.18,10636.38,4071820000,10636.38
2013-08-05,10468.82,10715.21,10468.82,10674.38,4144180000,10674.38
2013-08-02,10465.19,10528.84,10327.37,10465.94,4006450000,10465.94
2013-08-01,10498.94,10609.74,10383.45,10467.16,4612420000,10467.16
2013-07-31,10537.01,10586.36,10445.17,10497.88,4002390000,10497.88
2013-07-30,10525.28,10632.52,10460.65,10537.69,4725690000,10537.69
2013-07-29,10424.17,10545.94,10391.02,10525.43,4009650000,10525.43
2013-07-26,10321.16,10465.19,10237.84,10424.62,4524570000,10424.62
2013-07-25,10121.81,10391.78,10121.81,10322.3,4826900000,10322.3
2013-07-24,10226.02,10310.04,10053.85,10120.53,4747180000,10120.53
2013-07-23,10151.48,10248.2,9973.17,10229.96,4713280000,10229.96
