source,target,value
Itwari,Ramtek,1
Mahuva Junction,Rajula City,1
Rajula City,Mahuva Junction,1
Katihar Junction,Barsoi Junction,1
Bari,Sirmuttra,1
Ramtek,Itwari,1
Barsoi Junction,Katihar Junction,1
Kumbakonam,Thanjavur Junction,1
Salem Junction,Mettur Dam,1
Thanjavur Junction,Kumbakonam,1
Mettur Dam,Salem Junction,1
Rajim,Telibandha,1
Telibandha,Rajim,1
Pulgaon Junction,Arvi,1
Arvi,Pulgaon Junction,1
Mahesana Junction,Patan,1
Patan,Mahesana Junction,1
Narkatiaganj Junction,Raxaul Junction,1
Raxaul Junction,Narkatiaganj Junction,1
Tiruvallur,Chennai Central,1
Nagda Junction,Ratlam Junction,1
Ratlam Junction,Nagda Junction,1
Asansol Junction,Adra Junction,1
Adra Junction,Asansol Junction,1
Choranda Junction,Dabhoi Junction,1
Dabhoi Junction,Choranda Junction,1
Chennai Central,Tiruvallur,1
Nagpur Junction,Ramtek,1
Ramtek,Nagpur Junction,1
Hoshiarpur,Jalandhar City,1
Jalandhar City,Hoshiarpur,1
Baramati,Daund Junction,1
Faizabad Junction,Mankapur Junction,1
Mankapur Junction,Faizabad Junction,1
Nainpur Junction,Mandla Fort,1
Mandla Fort,Nainpur Junction,1
Lakho,Mokameh Junction,1
Laukaha Bazar,Jhanjharpur,1
Jhanjharpur,Laukaha Bazar,1
Merta Road Junction,Degana Junction,1
Kayamkulam Junction,Alappuzha,1
Jhajha,Jasidih Junction,1
Alappuzha,Kayamkulam Junction,1
Degana Junction,Merta Road Junction,1
Daund Junction,Baramati,1
Moradabad,Chandausi Junction,1
Khurda Road Junction,Puri,1
Chandausi Junction,Moradabad,1
Puri,Khurda Road Junction,1
Kolkata Sealdah,Canning,1
Jamalpur Junction,Kiul Junction,1
Kiul Junction,Jamalpur Junction,1
Punalur,Kollam Junction,1
Kollam Junction,Punalur,1
Canning,Kolkata Sealdah,1
Moradabad,Sambhal Hatim Sarai,1
Sambhal Hatim Sarai,Moradabad,1
Jodhpur Junction,Pipar Road Junction,1
Nidadavolu Junction,Bhimavaram Junction,1
Sardarshahr,Ratangarh Junction,1
Ratangarh Junction,Sardarshahr,1
Pipar Road Junction,Jodhpur Junction,1
Udagamandalam,Mettupalayam,1
Mettupalayam,Udagamandalam,1
Miraj Junction,Shahu Maharaj Terminus,1
Shahu Maharaj Terminus,Miraj Junction,1
Junnor Deo,Chhindwara Junction,1
Chhindwara Junction,Junnor Deo,1
Kolkata Sealdah,Kalyani,1
Tirodi,Tumsar Road,1
Tumsar Road,Tirodi,1
Rohtak Junction,Bhiwani,1
Bhiwani,Rohtak Junction,1
Kannur Main,Cheruvathur,1
Bhavnagar Terminus,Palitana,1
Palitana,Bhavnagar Terminus,1
Bhatni Junction,Siwan Junction,1
Mangalore Central,Kabakaputtur,1
Kabakaputtur,Mangalore Central,1
Ara,Patna Junction,1
Patna Junction,Ara,1
Miyagam Karjan Junction NG,Chandod,1
Siwan Junction,Bhatni Junction,1
Chandod,Miyagam Karjan,1
Barauni Junction,Samastipur Junction,1
Bellary Junction,Guntakal Junction,1
Sambalpur Junction,Jharsuguda Junction,1
