source,target,value
Raipur Junction,Bilaspur Junction,1
Nizamabad,Huzur Sahib Nanded,1
Bhatni Junction,Chhapra Junction,1
Nagbhir Junction,Nagpur Junction,1
Nagpur Junction,Nagbhir Junction,1
Jasidih Junction,Asansol Junction,1
Sonpur Junction,Samastipur Junction,1
Samastipur Junction,Sonpur Junction,1
Jabalpur Junction,Nainpur Junction,1
Barddhaman Junction,Rampur Hat,1
Vapi,Virar,1
Rampur Hat,Barddhaman Junction,1
Palakkad Junction,Nilambur Road,1
Gulbarga,Solapur Junction,1
Nilambur Road,Palakkad Junction,1
Saharsa Junction,Forbesganj,1
Forbesganj,Saharsa Junction,1
Secunderabad Junction,Mahbubnagar,1
Mahbubnagar,Secunderabad Junction,1
Bareilly,Moradabad,1
Moradabad,Bareilly,1
Allahabad Junction,Jaunpur Junction,1
Jaunpur Junction,Allahabad Junction,1
Chittaurgarh,Udaipur City,1
Gonda Junction,Nepalganj Road,1
Udaipur City,Chittaurgarh,1
Hyderabad Kacheguda,Kamareddi,1
Nepalganj Road,Gonda Junction,1
Kamareddi,Hyderabad Kacheguda,1
Kolkata Howrah Junction,Kharagpur Junction,1
Pathankot,Jalandhar City,1
Chhindwara Junction,Amla Junction,1
Jalandhar City,Pathankot,1
Amla Junction,Chhindwara Junction,1
Sabalgarh,Sheopur Kalan,1
Sheopur Kalan,Sabalgarh,1
Gede,Kolkata Sealdah,1
Kolkata Sealdah,Gede,1
Hyderabad Deccan Nampally,Tandur,1
Cuttack,Bhadrakh,1
Bhadrakh,Cuttack,1
Moradabad,Kathgodam,1
Silchar,Dharmanagar,1
Dharmanagar,Silchar,1
Kathgodam,Moradabad,1
Firozpur Cantt.,Jalandhar City,1
Baidyanathdham Deoghar,Asansol Junction,1
Patna Junction,Buxar,1
Buxar,Patna Junction,1
Kanpur Central,Balamu Junction,1
Balamu Junction,Kanpur Central,1
Agra Cantt.,Gwalior Junction,1
Hapur,Moradabad,1
Gwalior Junction,Agra Cantt.,1
Bina Junction,Guna,1
Guna,Bina Junction,1
Moradabad,Hapur,1
Barmer,Munabao,1
Munabao,Barmer,1
Baramati,Pune Junction,1
Old Delhi,Bhiwani,1
Siwan Junction,Gorakhpur Junction,1
Gorakhpur Junction,Siwan Junction,1
Bhiwani,Old Delhi,1
Mayiladuturai Junction,Tiruchirappalli Junction,1
Tiruchirappalli Junction,Mayiladuturai Junction,1
Mughal Sarai Junction,Dehri On Sone,1
Dehri On Sone,Mughal Sarai Junction,1
Chunar,Allahabad Junction,1
Pune Junction,Baramati,1
Allahabad Junction,Chunar,1
Dahanu Road,Mumbai Central,1
Hajipur Junction,Siwan Junction,1
Vadtal Swaminarayan,Bharuch Junction,1
Bharuch Junction,Vadtal Swaminarayan,1
Runnisaidpur,Samastipur Junction,1
Raichur,Guntakal Junction,1
Guntakal Junction,Raichur,1
Tuticorin,Tiruchendur,1
Tiruchendur,Tuticorin,1
Guntakal Junction,Kurnool Town,1
Mathura Junction,Alwar,1
Alwar,Mathura Junction,1
Kurnool Town,Guntakal Junction,1
Igatpuri,Manmad Junction,1
Manmad Junction,Igatpuri,1
Villupuram Junction,Mayiladuturai Junction,1
Tiruturaipudi Junction,Karaikkudi Junction,1
Karaikkudi Junction,Tiruturaipudi Junction,1
Vriddhachalam Junction,Tiruchirappalli Junction,1
Mayiladuturai Junction,Villupuram Junction,1
Tiruchirappalli Junction,Vriddhachalam Junction,1
Ludhiana Junction,Firozpur Cantt.,1
Firozpur Cantt.,Ludhiana Junction,1
Tirodi,Itwari,1
Tilak Bridge,Bulandshahr,1
Pathankot,Jwalamukhi Road,1
Itwari,Tirodi,1
Ambikapur,Manendragarh,1
Manendragarh,Ambikapur,1
Jwalamukhi Road,Pathankot,1
Mailani,Bareilly MG,1
Bareilly MG,Mailani,1
Ahmedabad Junction,Ranuj,1
Ranuj,Ahmedabad Junction,1
Kurukshetra Junction,Jind Junction,1
Jind Junction,Kurukshetra Junction,1
Dalli Rajhara,Raipur Junction,1
Manduadih,Allahabad City,1
Allahabad City,Manduadih,1
Raipur Junction,Dalli Rajhara,1
Gonda Junction,Lucknow Junction,1
Lucknow Junction,Gonda Junction,1
Bhatinda Junction,Shri Ganganagar,1
Faizabad Junction,Lucknow,1
Lucknow,Faizabad Junction,1
Shri Ganganagar,Bhatinda Junction,1
Tandur,Bolarum,1
Jamalpur Junction,Sahibganj Junction,1
Jind Junction,Old Delhi,1
Old Delhi,Jind Junction,1
Lakhimpur,Pilibhit Junction,1
Pilibhit Junction,Lakhimpur,1
Rae Bareli Junction,Kanpur Central,1
Jaipur Junction,Ajmer Junction,1
Ajmer Junction,Jaipur Junction,1
Partapgarh Junction,Varanasi Junction,1
Varanasi Junction,Partapgarh Junction,1
Jakhal Junction,Ludhiana Junction,1
Ludhiana Junction,Jakhal Junction,1
Kiul Junction,Gaya Junction,1
Gaya Junction,Kiul Junction,1
Macherla,Guntur Junction,1
Varanasi Junction,Allahabad City,1
Guntur Junction,Macherla,1
Allahabad City,Varanasi Junction,1
Raxaul Junction,Muzaffarpur Junction,1
Muzaffarpur Junction,Raxaul Junction,1
Wardha Junction,Balharshah Junction,1
Kannur Main,Mangalore Central,1
Mangalore Central,Kannur Main,1
Dehradun,Saharanpur,1
Saharanpur,Dehradun,1
Koderma,Dhanbad Junction,1
Tambaram,Villupuram Junction,1
Villupuram Junction,Tambaram,1
Ahmedabad Junction,Himmatnagar,1
Himmatnagar,Ahmedabad Junction,1
Rampur Hat,Sahibganj Junction,1
Sahibganj Junction,Rampur Hat,1
Junagadh Junction,Khijadiya Junction,1
Coimbatore Main Junction,Thrissur City,1
Khijadiya Junction,Junagadh Junction,1
Mau Junction,Chhapra Junction,1
Katwa,Rampur Hat,1
Chhapra Junction,Mau Junction,1
Rampur Hat,Katwa,1
Tatanagar Junction,Kharagpur Junction,1
Kharagpur Junction,Tatanagar Junction,1
Sahibganj Junction,Jamalpur Junction,1
Nagda Junction,Indore Junction BG,1
Tiruchirappalli Junction,Nagore,1
Nagore,Tiruchirappalli Junction,1
Indore Junction BG,Nagda Junction,1
Jasidih Junction,Andal Junction,1
Saharsa Junction,Samastipur Junction,1
Samastipur Junction,Saharsa Junction,1
Pandharpur,Miraj Junction,1
Miraj Junction,Pandharpur,1
Wadsa,Chanda Fort,1
Belgaum,Miraj Junction,1
Bangalore City Junction,Mysore Junction,1
Mysore Junction,Bangalore City Junction,1
Miraj Junction,Belgaum,1
Ballia,Varanasi City,1
Pune Junction,Satara,1
Satara,Pune Junction,1
Chennai Central,Gudur Junction,1
Farrukhabad,Kanpur Anwarganj,1
Kanpur Anwarganj,Farrukhabad,1
Bina Junction,Bhopal Junction,1
Virar,Valsad,1
Bhopal Junction,Bina Junction,1
KasGanj,Bharatpur Junction,1
Bharatpur Junction,KasGanj,1
Bokaro Steel City,Asansol Junction,1
Asansol Junction,Bokaro Steel City,1
Farrukhabad,Kanpur Central,1
Achhnera Junction,KasGanj,1
Lucknow,Sultanpur,1
Kanpur Central,Farrukhabad,1
Sultanpur,Lucknow,1
Manduadih,Azamgarh,1
Azamgarh,Manduadih,1
Erode Junction,Tiruchirappalli Junction,1
Agartala,Dharmanagar,1
Tiruchirappalli Junction,Erode Junction,1
Dharmanagar,Agartala,1
Jind Junction,Rohtak Junction,1
Nainpur Junction,Chhindwara Junction,1
Chhindwara Junction,Nainpur Junction,1
Pathankot,Baijnath Paprola,1
Suratgarh Junction,Bhatinda Junction,1
Bhatinda Junction,Suratgarh Junction,1
Aligarh Junction,Moradabad,1
Bangalore Yesvantpur Junction,Mysore Junction,1
Mysore Junction,Bangalore Yesvantpur Junction,1
Hisar,Rewari,1
Rewari,Hisar,1
Markapur Road,Guntur Junction,1
Manduadih,Ballia,1
Jolarpettai Junction,Arakkonam Junction,1
Arakkonam Junction,Jolarpettai Junction,1
Salem Junction,Vriddhachalam Junction,1
Bangalore City Junction,Jolarpettai Junction,1
Vriddhachalam Junction,Salem Junction,1
Jolarpettai Junction,Bangalore City Junction,1
Shahjahanpur,Tanakpur,1
Tanakpur,Shahjahanpur,1
Kolkata Howrah Junction,Bolpur Shantiniketan,1
Bolpur Shantiniketan,Kolkata Howrah Junction,1
Patna Junction,Sasaram,1
Ratlam Junction,Mhow,1
Mhow,Ratlam Junction,1
Thawe Junction,Sonpur Junction,1
Sasaram,Patna Junction,1
Baijnath Paprola,Pathankot,1
Dhuri Junction,Hisar,1
Hisar,Dhuri Junction,1
Tatanagar Junction,Barbil,1
Barbil,Tatanagar Junction,1
Chhindwara Junction,Nagpur Junction,1
Nagpur Junction,Chhindwara Junction,1
Wadi Junction,Solapur Junction,1
Vijayawada Junction,Rajahmundry,1
Karaikkudi Junction,Thiruvarur Junction,1
Thiruvarur Junction,Karaikkudi Junction,1
Rajahmundry,Vijayawada Junction,1
Agra Fort,Bandikui Junction,1
Bandikui Junction,Agra Fort,1
Narkatiaganj Junction,Gorakhpur Junction,1
Gorakhpur Junction,Narkatiaganj Junction,1
Chennai Central,Tirupati Main,1
Tirupati Main,Chennai Central,1
Prayag,Faizabad Junction,1
Faizabad Junction,Prayag,1
Marwar Junction,Mavli Junction,1
Mavli Junction,Marwar Junction,1
Damoh,Bina Junction,1
Bina Junction,Damoh,1
Allahabad Junction,Mughal Sarai Junction,1
Mughal Sarai Junction,Allahabad Junction,1
Gorakhpur Junction,Gonda Junction,1
Gonda Junction,Gorakhpur Junction,1
Hajipur Junction,Thawe Junction,1
Dhola Junction,Mahuva Junction,1
Mahuva Junction,Dhola Junction,1
Bina Junction,Jhansi Junction,1
Jhansi Junction,Bina Junction,1
Asansol Junction,Jhajha,1
Lalgola,Ranaghat Junction,1
Ranaghat Junction,Lalgola,1
Gandhigram,Botad Junction,1
Jhajha,Asansol Junction,1
Botad Junction,Gandhigram,1
Sultanpur,Varanasi Junction,1
Varanasi Junction,Sultanpur,1
Arakkonam Junction,Nandalur,1
Nandalur,Arakkonam Junction,1
Kollam Junction,Ernakulam Junction (South),1
Ernakulam Junction (South),Kollam Junction,1
Guwahati,New Bongaigaon,1
New Bongaigaon,Guwahati,1
Faizabad Junction,Allahabad Junction,1
Allahabad Junction,Faizabad Junction,1
Varanasi City,Bhatni Junction,1
Junagadh Junction,Delvada,1
Delvada,Junagadh Junction,1
Dauram Madhepura,Samastipur Junction,1
Samastipur Junction,Dauram Madhepura,1
Mumbai Bandra Terminus,Vapi,1
Gonda Junction,Sitapur Cantt.,1
Adra Junction,Barkakana Junction,1
Barkakana Junction,Adra Junction,1
Narkatiaganj Junction,Muzaffarpur Junction,1
Muzaffarpur Junction,Narkatiaganj Junction,1
Mairabari,Guwahati,1
Guwahati,Mairabari,1
Bareilly,Aligarh Junction,1
Aligarh Junction,Bareilly,1
Madurai Junction,Rameswaram,1
Rameswaram,Madurai Junction,1
Bhatni Junction,Varanasi Junction,1
Najibabad Junction,Moradabad,1
Ayodhya,Gorakhpur Junction,1
Ranchi Junction,Dhanbad Junction,1
Tatanagar Junction,Barkakana Junction,1
Gorakhpur Junction,Ayodhya,1
Moradabad,Najibabad Junction,1
KasGanj,Agra Fort,1
Dhanbad Junction,Ranchi Junction,1
Agra Fort,KasGanj,1
Kasganj Mg,Pilibhit Junction,1
Pilibhit Junction,Kasganj Mg,1
Rourkela,Tatanagar Junction,1
Sitapur City,Gonda Junction,1
Visakhapatnam Junction,Kakinada Port,1
Barwadih Junction,Dehri On Sone,1
Dehri On Sone,Barwadih Junction,1
Saharanpur,Old Delhi,1
Moradabad,Old Delhi,1
Old Delhi,Saharanpur,1
Manduadih,Bhatni Junction,1
Bhatni Junction,Manduadih,1
Mysore Junction,Arsikere Junction,1
Arsikere Junction,Bangalore City Junction,1
Arsikere Junction,Mysore Junction,1
Bangalore City Junction,Arsikere Junction,1
Meerut Cantt.,Rewari,1
Rewari,Meerut Cantt.,1
Kanpur Central,Rae Bareli Junction,1
Kharagpur Junction,Adra Junction,1
Nagpur Junction,Amla Junction,1
Shahganj Junction,Ballia,1
Amla Junction,Nagpur Junction,1
Adra Junction,Kharagpur Junction,1
Ballia,Shahganj Junction,1
Guntur Junction,Narasapur,1
Narasapur,Guntur Junction,1
New Jalpaiguri,Alipur Duar Junction,1
Alipur Duar Junction,New Jalpaiguri,1
Dindigul Junction,Tiruchirappalli Junction,1
Tiruchirappalli Junction,Dindigul Junction,1
Bhavnagar Terminus,Surendranagar,1
Surendranagar,Bhavnagar Terminus,1
Ambala Cantt. Junction,Nangal Dam,1
Tenali Junction,Markapur Road,1
Nimach,Udaipur City,1
Udaipur City,Nimach,1
Pathankot,Joginder Nagar,1
Joginder Nagar,Pathankot,1
Nangal Dam,Ambala Cantt. Junction,1
Guwahati,Silghat Town,1
Raipur Junction,Gondia Junction,1
Gondia Junction,Raipur Junction,1
Silghat Town,Guwahati,1
Moradabad,Aligarh Junction,1
Madurai Junction,Sengottai,1
Sengottai,Madurai Junction,1
Merta Road Junction,Bikaner Junction,1
Rayagada,Koraput,1
Koraput,Rayagada,1
Partapgarh Junction,Lucknow,1
Lucknow,Partapgarh Junction,1
Puri,Paradip,1
Paradip,Puri,1
Old Delhi,Moradabad,1
Kannur Main,Shoranur Junction,1
Patna Junction,Jhajha,1
Jorhat Town,Tinsukia Junction,1
Tinsukia Junction,Jorhat Town,1
Jhajha,Patna Junction,1
Dehri On Sone,Patna Junction,1
Vijayawada Junction,Bhadrachalam Road,1
Patna Junction,Dehri On Sone,1
Bhadrachalam Road,Vijayawada Junction,1
Bhagalpur,Malda Town,1
Malda Town,Bhagalpur,1
Kharagpur Junction,Bhadrakh,1
Anand Nagar,Gonda Junction,1
Gonda Junction,Anand Nagar,1
Chhapra Junction,Gorakhpur Junction,1
Gorakhpur Junction,Chhapra Junction,1
Cuddalore Port Junction,Tiruchirappalli Junction,1
Katihar Junction,Barauni Junction,1
Barauni Junction,Katihar Junction,1
Tiruchirappalli Junction,Cuddalore Port Junction,1
Satara,Shahu Maharaj Terminus,1
Shahu Maharaj Terminus,Satara,1
Jamalpur Junction,Gaya Junction,1
Buxar,Islampur,1
Islampur,Buxar,1
Kolkata Chitpur,Berhampore Court,1
Berhampore Court,Kolkata Chitpur,1
Jolarpettai Junction,Erode Junction,1
Erode Junction,Jolarpettai Junction,1
Samastipur Junction,Raxaul Junction,1
Raxaul Junction,Samastipur Junction,1
Gaya Junction,Jhajha,1
Jhajha,Gaya Junction,1
Bandikui Junction,Mathura Junction,1
Mathura Junction,Bandikui Junction,1
Sirpur Town,Kazipet Junction,1
Gaya Junction,Jamalpur Junction,1
Amravati,Nagpur Junction,1
Nagpur Junction,Amravati,1
Bhopal Junction,Ujjain Junction,1
Valsad,Mumbai Bandra Terminus,1
Raxaul Junction,Hajipur Junction,1
Ujjain Junction,Bhopal Junction,1
Hajipur Junction,Raxaul Junction,1
Rajkot Junction,Veraval,1
Huzur Sahib Nanded,Adilabad,1
Veraval,Rajkot Junction,1
Adilabad,Huzur Sahib Nanded,1
Nandurbar,Surat,1
Surat,Nandurbar,1
Balaghat Junction,Jabalpur Junction,1
Kanpur Central,Sitapur Cantt.,1
Jabalpur Junction,Balaghat Junction,1
Rayagada,Visakhapatnam Junction,1
Wadi Junction,Hyderabad Deccan Nampally,1
Visakhapatnam Junction,Rayagada,1
Secunderabad Junction,Bodhan,1
Sitapur Cantt.,Kanpur Central,1
Purulia Junction,Jhargram,1
Jhargram,Purulia Junction,1
Saugor,Katni,1
Ahmedabad Junction,Khed Brahma,1
Kasganj Mg,Lal Kuan,1
Khed Brahma,Ahmedabad Junction,1
Lal Kuan,Kasganj Mg,1
Kolkata Howrah Junction,Digha Flag Station,1
Digha Flag Station,Kolkata Howrah Junction,1
Chittaurgarh,Ratlam Junction,1
Ratlam Junction,Chittaurgarh,1
Londa Junction,Miraj Junction,1
Hubli Junction,Chikjajur Junction,1
Miraj Junction,Londa Junction,1
Chikjajur Junction,Hubli Junction,1
Katihar Junction,Siliguri Junction,1
Siliguri Junction,Katihar Junction,1
Somnath,Rajkot Junction,1
Rajkot Junction,Somnath,1
Dhasa Junction,Veraval,1
Veraval,Dhasa Junction,1
Jhansi Junction,Banda Junction,1
Banda Junction,Jhansi Junction,1
Kanpur Central,Mahoba,1
New Jalpaiguri,New Cooch Behar,1
Mailani,Aishbagh,1
Pune Junction,Mumbai CST,1
Mumbai CST,Pune Junction,1
Aishbagh,Mailani,1
Tatanagar Junction,Dhanbad Junction,1
Dhanbad Junction,Tatanagar Junction,1
Cuttack,Brahmapur,1
Brahmapur,Cuttack,1
Moradabad,Saharanpur,1
Saharanpur,Moradabad,1
Meerut City,Ambala Cantt. Junction,1
Ambala Cantt. Junction,Meerut City,1
New Delhi,Agra Cantt.,1
Agra Cantt.,New Delhi,1
Valsad,Mumbai Central,1
Mumbai Central,Valsad,1
Puri,Angul,1
Chennai Egmore,Puducherry,1
Puducherry,Chennai Egmore,1
Darbhanga Junction,Patna Junction,1
Guntakal Junction,Hindupur,1
Hindupur,Guntakal Junction,1
Old Delhi,Agra Cantt.,1
Patna Junction,Darbhanga Junction,1
Agra Cantt.,Old Delhi,1
Churu,Jaipur Junction,1
Jaipur Junction,Churu,1
Mughal Sarai Junction,Ara,1
Asansol Junction,Ranchi Junction,1
Ara,Mughal Sarai Junction,1
Dhanbad Junction,Gaya Junction,1
Gaya Junction,Dhanbad Junction,1
Mahoba,Kanpur Central,1
Old Delhi,Jakhal Junction,1
Ranchi Junction,Asansol Junction,1
Jakhal Junction,Old Delhi,1
Asansol Junction,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Asansol Junction,1
Rajahmundry,Visakhapatnam Junction,1
Bhatinda Junction,Ambala Cantt. Junction,1
Ambala Cantt. Junction,Bhatinda Junction,1
Talcher,Puri,1
Puri,Talcher,1
Gwalior NG,Sheopur Kalan,1
Allahabad Junction,Lucknow,1
Lucknow,Allahabad Junction,1
Jhansi Junction,Khajuraho,1
Visakhapatnam Junction,Rajahmundry,1
Garwa Road,Singrauli,1
Khajuraho,Jhansi Junction,1
Porbandar,Rajkot Junction,1
Titlagarh,Raipur Junction,1
Rajkot Junction,Porbandar,1
Raipur Junction,Titlagarh,1
Manuguru,Kazipet Junction,1
Kazipet Junction,Manuguru,1
Bhavnagar Terminus,Mahuva Junction,1
Rae Bareli Junction,Jaunpur Junction,1
Jaunpur Junction,Rae Bareli Junction,1
Palasa,Visakhapatnam Junction,1
Akola Junction,Purna Junction,1
Purna Junction,Akola Junction,1
Khandwa Junction,Ujjain Junction,1
Ujjain Junction,Khandwa Junction,1
Jharsuguda Junction,Bilaspur Junction,1
Gaya Junction,Mughal Sarai Junction,1
Mughal Sarai Junction,Gaya Junction,1
Bilaspur Junction,Jharsuguda Junction,1
Chhapra Junction,Varanasi Junction,1
Kolkata Howrah Junction,Rampur Hat,1
Rampur Hat,Kolkata Howrah Junction,1
Surat,Virar,1
Bagalkot,Solapur Junction,1
Virar,Surat,1
Solapur Junction,Bagalkot,1
Guwahati,Lumding Junction,1
Lumding Junction,Guwahati,1
Sheopur Kalan,Gwalior Junction,1
Purulia Junction,Kharagpur Junction,1
Kharagpur Junction,Purulia Junction,1
Hubli Junction,Bellary Junction,1
Thrissur City,Kannur Main,1
Barmer,Jodhpur Junction,1
Jodhpur Junction,Barmer,1
Asansol Junction,Kharagpur Junction,1
Kharagpur Junction,Asansol Junction,1
Varanasi Junction,Singrauli,1
Singrauli,Varanasi Junction,1
Manduadih,Chhapra Junction,1
Ludhiana Junction,Hisar,1
Hisar,Ludhiana Junction,1
Bitragunta,Chennai Central,1
Siuri,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Siuri,1
KasGanj,Shikohabad Junction,1
Barddhaman Junction,Barharwa Junction,1
Barharwa Junction,Barddhaman Junction,1
Rampur Hat,Kolkata Sealdah,1
Kolkata Sealdah,Rampur Hat,1
Kanpur Central,Chitrakoot,1
Chitrakoot,Kanpur Central,1
Vijayawada Junction,Kakinada Port,1
Kakinada Port,Vijayawada Junction,1
Castle Rock,Miraj Junction,1
Miraj Junction,Castle Rock,1
Fakiragram Junction,Kamakhya,1
Chirmiri,Chandia Road,1
Chandia Road,Chirmiri,1
Kamakhya,Fakiragram Junction,1
Dindigul Junction,Mayiladuturai Junction,1
Kanpur Central,Jhansi Junction,1
Allahabad Junction,Kanpur Central,1
Shikohabad Junction,KasGanj,1
Kanpur Central,Allahabad Junction,1
Gevra Road,Raipur Junction,1
Raipur Junction,Gevra Road,1
Kendujhargarh,Bhubaneswar,1
Bhubaneswar,Kendujhargarh,1
Lumding Junction,Silchar,1
Silchar,Lumding Junction,1
Raipur Junction,Kesinga,1
Phulera Junction,Rewari,1
Rewari,Phulera Junction,1
Jhansi Junction,Agra Cantt.,1
Agra Cantt.,Jhansi Junction,1
Ambikapur,Shahdol,1
Kesinga,Raipur Junction,1
Adilabad,Purna Junction,1
Shahdol,Ambikapur,1
Purna Junction,Adilabad,1
Saharanpur,Farukhnagar,1
Farukhnagar,Saharanpur,1
Mathura Junction,Sawai Madhopur Junction,1
Kolkata Howrah Junction,Azimganj Junction,1
Azimganj Junction,Kolkata Howrah Junction,1
Yavatmal,Murtajapur,1
Murtajapur,Yavatmal,1
Salem Junction,Bangalore City Junction,1
Kazipet Junction,Vijayawada Junction,1
Bangalore City Junction,Salem Junction,1
Hatia,Tatanagar Junction,1
Vijayawada Junction,Kazipet Junction,1
Tatanagar Junction,Hatia,1
Narkatiaganj Junction,Sonpur Junction,1
Sonpur Junction,Narkatiaganj Junction,1
Delhi Sarai Rohilla,Sadulpur Junction,1
Asansol Junction,Kolkata Sealdah,1
Sadulpur Junction,Delhi Sarai Rohilla,1
Kolkata Sealdah,Asansol Junction,1
Tiruppattur,Chennai Central,1
Chennai Central,Tiruppattur,1
Ernakulam Junction (South),Trivandrum Central,1
Trivandrum Central,Ernakulam Junction (South),1
Mahuva Junction,Bhavnagar Para,1
Bitragunta,Vijayawada Junction,1
Vijayawada Junction,Bitragunta,1
Mangalore Central,Kozhikode Main,1
Jajpur Keonjhar Road,Kharagpur Junction,1
Jhansi Junction,Kanpur Central,1
Kharagpur Junction,Jajpur Keonjhar Road,1
Palia Kalan,Aishbagh,1
Aishbagh,Palia Kalan,1
Kolkata Chitpur,Lalgola,1
Lalgola,Kolkata Chitpur,1
Faizabad Junction,Mughal Sarai Junction,1
Hyderabad Deccan Nampally,Gulbarga,1
Mughal Sarai Junction,Faizabad Junction,1
Chopan,Allahabad Junction,1
Allahabad Junction,Chopan,1
Kasganj Mg,Tanakpur,1
Tanakpur,Kasganj Mg,1
Indore Junction BG,Bhopal HabibGanj,1
Bhopal HabibGanj,Indore Junction BG,1
Saharsa Junction,Patna Junction,1
Patna Junction,Saharsa Junction,1
Nagda Junction,Kota Junction,1
Bangalore Yesvantpur Junction,Salem Junction,1
Salem Junction,Bangalore Yesvantpur Junction,1
Bhusaval Junction,Amravati,1
Amravati,Bhusaval Junction,1
Lucknow,Prayag,1
Prayag,Lucknow,1
Nabadwip Dham,Malda Town,1
Malda Town,Nabadwip Dham,1
Samastipur Junction,Siwan Junction,1
Siwan Junction,Samastipur Junction,1
Azimganj Junction,Bhagalpur,1
Bhagalpur,Azimganj Junction,1
Kolkata Sealdah,Lalgola,1
Lalgola,Kolkata Sealdah,1
Nimach,Kota Junction,1
Kota Junction,Nimach,1
Kolkata Shalimar,Bankura,1
Bankura,Kolkata Shalimar,1
Jaipur Junction,Loharu,1
Bellary Junction,Dharwar,1
Loharu,Jaipur Junction,1
Danapur,Saharsa Junction,1
Saharsa Junction,Danapur,1
Samastipur Junction,Katihar Junction,1
Katihar Junction,Samastipur Junction,1
Veraval,Porbandar,1
Danapur,Bhagalpur,1
Bhagalpur,Danapur,1
Nagercoil Junction,Kottayam,1
Varanasi Junction,Gorakhpur Junction,1
Gorakhpur Junction,Varanasi Junction,1
Porbandar,Veraval,1
Kanpur Central,Tundla Junction,1
Titlagarh,Jharsuguda Junction,1
Jharsuguda Junction,Titlagarh,1
Tundla Junction,Kanpur Central,1
Malda Town,New Jalpaiguri,1
New Jalpaiguri,Malda Town,1
Barddhaman Junction,Malda Town,1
Chikjajur Junction,Guntakal Junction,1
Malda Town,Barddhaman Junction,1
Guntakal Junction,Chikjajur Junction,1
Kazipet Junction,Balharshah Junction,1
Gorakhpur Junction,Manduadih,1
Manduadih,Gorakhpur Junction,1
Falaknuma,Gulbarga,1
Bhilad,Vadodara Junction,1
Vadodara Junction,Bhilad,1
Hyderabad Kacheguda,Kurnool Town,1
Hubli Junction,Vasco Da Gama,1
Chakradharpur,Gomoh Junction,1
Gomoh Junction,Chakradharpur,1
Rewa,Jabalpur Junction,1
Jabalpur Junction,Rewa,1
Old Delhi,Kotdwara,1
Kotdwara,Old Delhi,1
Bilaspur Junction,Chirmiri,1
Chirmiri,Bilaspur Junction,1
Mancherial,Secunderabad Junction,1
Secunderabad Junction,Mancherial,1
Old Delhi,Ramnagar,1
Ramnagar,Old Delhi,1
Kota Junction,Jaipur Junction,1
Bhagalpur,Muzaffarpur Junction,1
Muzaffarpur Junction,Bhagalpur,1
Bamanhat,New Jalpaiguri,1
Chittaranjan,Kolkata Chitpur,1
Chanda Fort,Gondia Junction,1
Gondia Junction,Chanda Fort,1
Kolkata Chitpur,Chittaranjan,1
Delhi Sarai Rohilla,Kotdwara,1
Kotdwara,Delhi Sarai Rohilla,1
Kurnool Town,Secunderabad Junction,1
Secunderabad Junction,Kurnool Town,1
Ajmer Junction,Jodhpur Junction,1
Jodhpur Junction,Ajmer Junction,1
Haridwar Junction,Old Delhi,1
Old Delhi,Haridwar Junction,1
Mumbai Lokmanya Tilak Terminus,Manmad Junction,1
Manmad Junction,Mumbai Lokmanya Tilak Terminus,1
Partapgarh Junction,Kanpur Central,1
Kanpur Central,Partapgarh Junction,1
Saharsa Junction,Jaynagar,1
Jaynagar,Saharsa Junction,1
Jind Junction,Sirsa,1
Sirsa,Jind Junction,1
Shri Ganganagar,Sadulpur Junction,1
Sadulpur Junction,Shri Ganganagar,1
KasGanj,Kanpur Central,1
Kanpur Central,KasGanj,1
Hubli Junction,Bijapur,1
Bijapur,Hubli Junction,1
Kolkata Howrah Junction,Tatanagar Junction,1
Tatanagar Junction,Kolkata Howrah Junction,1
Guwahati,Dimapur,1
Dimapur,Guwahati,1
Shahjehanpur,Gonda Junction,1
Mumbai Bandra Terminus,Surat,1
Surat,Mumbai Bandra Terminus,1
Balharshah Junction,Gondia Junction,1
Gondia Junction,Balharshah Junction,1
Bongaigaon,New Jalpaiguri,1
New Jalpaiguri,Bongaigaon,1
Katni,Chirmiri,1
Gomoh Junction,Barwadih Junction,1
Barwadih Junction,Gomoh Junction,1
Dimapur,Kamakhya,1
Varanasi Junction,Gonda Junction,1
Kamakhya,Dimapur,1
Gonda Junction,Varanasi Junction,1
Aishbagh,Pilibhit Junction,1
Solapur Junction,Raichur,1
Silchar,Agartala,1
Agartala,Silchar,1
Varanasi Junction,Lucknow,1
Bareilly,New Delhi,1
New Delhi,Bareilly,1
Pilibhit Junction,Aishbagh,1
Firozpur Cantt.,Jind Junction,1
Jind Junction,Firozpur Cantt.,1
Dhanbad Junction,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Dhanbad Junction,1
Kanpur Central,Manikpur Junction,1
Mumbai CST,Manmad Junction,1
Manmad Junction,Mumbai CST,1
Devlali,Bhusaval Junction,1
Bhusaval Junction,Devlali,1
Mumbai Central,Surat,1
Surat,Mumbai Central,1
Indore Junction BG,Bhopal Junction,1
Bhopal Junction,Indore Junction BG,1
Solapur Junction,Pune Junction,1
Pune Junction,Solapur Junction,1
Bina Junction,Katni,1
Katni,Bina Junction,1
Sirsa,Tilak Bridge,1
Tilak Bridge,Sirsa,1
Hatia,Jharsuguda Junction,1
