constituency,category,name,sex,party,votes,color
Jayankondam,GEN,Guru @ Gurunathan J,M,PMK,92739,#F1DF19
Yercaud,(ST),Perumal.C,M,AIADMK,104221,#9DBC2A
Aranthangi,GEN,Raja Nayagam M,M,AIADMK,67559,#9DBC2A
Kallakurichi,(SC),K.Alaguvelu,F,AIADMK,111249,#9DBC2A
Srirangam,GEN,J Jayalalithaa,F,AIADMK,105328,#9DBC2A
Oddanchatram,GEN,Sakkarapani.R,M,DMK,87743,#800000
Gangavalli,(SC),Subha.R,F,DMDK,72922,#8064a2
Andipatti,GEN,Thangatamilselvan,M,AIADMK,91721,#9DBC2A
Gudalur,(SC),Thiravidamani.M,M,DMK,66871,#800000
Vanur,(SC),Janakiraman.I,M,AIADMK,88834,#9DBC2A
Kolathur,GEN,Stalin M.K.,M,DMK,68677,#800000
Kumbakonam,GEN,Anbalagan.G,M,DMK,78642,#800000
Tiruvannamalai,GEN,Velu E.V,M,DMK,84802,#800000
Senthamangalam,(ST),Santhi.R,F,DMDK,76637,#8064a2
Palayamkottai,GEN,T.P.M.Mohideen Khan,M,DMK,58049,#800000
