district,st_nm,dt_code,st_code,year,Zone
Rae Bareli,Uttar Pradesh,158,9,2011_c,Red Zone
Jalaun,Uttar Pradesh,165,9,2011_c,Orange Zone
Azamgarh,Uttar Pradesh,191,9,2011_c,Orange Zone
Mau,Uttar Pradesh,192,9,2011_c,Orange Zone
Fatehpur,Uttar Pradesh,172,9,2011_c,Green Zone
Ballia,Uttar Pradesh,193,9,2011_c,Green Zone
Jaunpur,Uttar Pradesh,194,9,2011_c,Orange Zone
Jhansi,Uttar Pradesh,166,9,2011_c,Orange Zone
Banda,Uttar Pradesh,170,9,2011_c,Orange Zone
Ghazipur,Uttar Pradesh,195,9,2011_c,Orange Zone
Kaushambi,Uttar Pradesh,174,9,2011_c,Orange Zone
Prayagraj,Uttar Pradesh,175,9,2011_c,Orange Zone
Varanasi,Uttar Pradesh,197,9,2011_c,Red Zone
Chitrakoot,Uttar Pradesh,171,9,2011_c,Green Zone
Chandauli,Uttar Pradesh,196,9,2011_c,Green Zone
Bhadohi,Uttar Pradesh,198,9,2011_c,Orange Zone
Mirzapur,Uttar Pradesh,199,9,2011_c,Orange Zone
Lalitpur,Uttar Pradesh,167,9,2011_c,Green Zone
Sonbhadra,Uttar Pradesh,200,9,2011_c,Green Zone
Amethi,Uttar Pradesh,706,9,update2014,Green Zone
Ghaziabad,Uttar Pradesh,140,9,2011_c,Orange Zone
Sambhal,Uttar Pradesh,754,9,2011_c,Orange Zone
Mahoba,Uttar Pradesh,169,9,2011_c,Green Zone
Saharanpur,Uttar Pradesh,132,9,2011_c,Red Zone
Bijnor,Uttar Pradesh,134,9,2011_c,Orange Zone
Muzaffarnagar,Uttar Pradesh,133,9,2011_c,Red Zone
Baghpat,Uttar Pradesh,139,9,2011_c,Orange Zone
Meerut,Uttar Pradesh,138,9,2011_c,Red Zone
Moradabad,Uttar Pradesh,135,9,2011_c,Red Zone
Rampur,Uttar Pradesh,136,9,2011_c,Red Zone
Shamli,Uttar Pradesh,704,9,update2014,Orange Zone
Balrampur,Uttar Pradesh,182,9,2011_c,Orange Zone
Hamirpur,Uttar Pradesh,168,9,2011_c,Green Zone
Pratapgarh,Uttar Pradesh,173,9,2011_c,Orange Zone
South 24 Parganas,West Bengal,343,19,2011_c,Red Zone
Medinipur West,West Bengal,344,19,2011_c,Red Zone
Medinipur East,West Bengal,345,19,2011_c,Red Zone
Jhargram,West Bengal,776,19,2017_c,Green Zone
Darjeeling,West Bengal,327,19,2011_c,Red Zone
Jalpaiguri,West Bengal,328,19,2011_c,Red Zone
Dakshin Dinajpur,West Bengal,331,19,2011_c,Green Zone
Maldah,West Bengal,332,19,2011_c,Red Zone
Murshidabad,West Bengal,333,19,2011_c,Orange Zone
Birbhum,West Bengal,334,19,2011_c,Green Zone
Nadia,West Bengal,336,19,2011_c,Orange Zone
Purba Bardhaman,West Bengal,335,19,2011_c,Orange Zone
Purulia,West Bengal,340,19,2011_c,Green Zone
Bankura,West Bengal,339,19,2011_c,Green Zone
North 24 Parganas,West Bengal,337,19,2011_c,Red Zone
Hooghly,West Bengal,338,19,2011_c,Orange Zone
Howrah,West Bengal,341,19,2011_c,Red Zone
Kolkata,West Bengal,342,19,2011_c,Red Zone
Alipurduar,West Bengal,774,19,2014_c,Green Zone
Paschim Bardhaman,West Bengal,777,19,2017_c,Orange Zone
Kalimpong,West Bengal,775,19,2017_c,Red Zone
Cooch Behar,West Bengal,329,19,2011_c,Green Zone
Uttar Dinajpur,West Bengal,330,19,2011_c,Green Zone
Daman,Daman and Diu,495,26,2011_c,Green Zone
Diu,Daman and Diu,494,26,2011_c,Green Zone
            
