field	occupation	n	count	expected	diff
ARCHITECTURE	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	55	2042	6024.87743017422	0.338928056822054
ARCHITECTURE	MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS	9	416	1078.05307226721	0.385880816725588
ARCHITECTURE	MED-PHARMACISTS	2	78	1437.41705201205	0.054264000758039
ARCHITECTURE	MED-PHYSICAL THERAPISTS	3	106	1099.7175198456	0.0963883889154396
ARCHITECTURE	MED-PHYSICIANS AND SURGEONS	15	597	4859.87117864191	0.122842762298657
ARCHITECTURE	MED-REGISTERED NURSES	19	635	9263.31978677337	0.068549938317652
ARCHITECTURE	MGR-CHIEF EXECUTIVES AND LEGISLATORS	150	4735	3845.1712630894	1.23141459145195
ARCHITECTURE	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	41	1203	2627.04941403174	0.457928196391918
ARCHITECTURE	MGR-CONSTRUCTION MANAGERS	307	10405	1431.39267207906	7.26914438152533
ARCHITECTURE	MGR-EDUCATION ADMINISTRATORS	52	1675	4118.16506807878	0.406734546165588
ARCHITECTURE	MGR-FINANCIAL MANAGERS	41	1367	3738.16272869252	0.365687665094807
ARCHITECTURE	MGR-FOOD SERVICE MANAGERS	19	818	1362.0695491856	0.600556704677154
ARCHITECTURE	MGR-GENERAL AND OPERATIONS MANAGERS	72	2755	3136.3077399029	0.87842145238123
ARCHITECTURE	MGR-HUMAN RESOURCES MANAGERS	13	301	1296.40769461271	0.232180047411645
ARCHITECTURE	MGR-MARKETING AND SALES MANAGERS	63	1940	3794.02233410992	0.511330674719163
ARCHITECTURE	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	9	283	2283.07675334152	0.123955534821946
ARCHITECTURE	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	708	22683	10949.9829267486	2.07151007921574
ARCHITECTURE	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	74	1878	1080.5250113881	1.73804398806782
ARCHITECTURE	MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS	36	1132	1352.70261006398	0.836843214153671
ARCHITECTURE	OFF-CUSTOMER SERVICE REPRESENTATIVES	36	1551	3118.4444817274	0.497363351853183
