rank,image,Country,overall_life,male,female,url
133, //upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/28px-Flag_of_Nepal.svg.png,Nepal,69,68,70,http://en.wikipedia.org/wiki/Nepal
134, //upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/46px-Flag_of_Mongolia.svg.png,Mongolia,69,65,73,http://en.wikipedia.org/wiki/Mongolia
135, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/44px-Flag_of_Bolivia.svg.png,Bolivia,69,67,71,http://en.wikipedia.org/wiki/Bolivia
136, //upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/46px-Flag_of_Uzbekistan.svg.png,Uzbekistan,68.5,66,71,http://en.wikipedia.org/wiki/Uzbekistan
137, //upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/45px-Flag_of_Laos.svg.png,Laos,68,66.5,69.5,http://en.wikipedia.org/wiki/Laos
138, //upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/45px-Flag_of_Myanmar.svg.png,Myanmar,68,66,70,http://en.wikipedia.org/wiki/Myanmar
139, //upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/46px-Flag_of_Kazakhstan.svg.png,Kazakhstan,68,63,73,http://en.wikipedia.org/wiki/Kazakhstan
140, //upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/46px-Flag_of_the_Comoros.svg.png,Comoros,68,65,71,http://en.wikipedia.org/wiki/Comoros
141, //upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/46px-Flag_of_Kiribati.svg.png,Kiribati,68,65,71,http://en.wikipedia.org/wiki/Kiribati
142, //upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/46px-Flag_of_Tajikistan.svg.png,Tajikistan,68,67,69,http://en.wikipedia.org/wiki/Tajikistan
143,//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/31px-Flag_of_Papua_New_Guinea.svg.png,Papua New Guinea,67.5,65,69,http://en.wikipedia.org/wiki/Papua_New_Guinea
144, //upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/45px-Flag_of_Namibia.svg.png,Namibia,67.2,66.2,68.2,http://en.wikipedia.org/wiki/Namibia
145, //upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/45px-Flag_of_Pakistan.svg.png,Pakistan,67,66,68,http://en.wikipedia.org/wiki/Pakistan
146, //upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Turkmenistan.svg/45px-Flag_of_Turkmenistan.svg.png,Turkmenistan,66.5,63,70,http://en.wikipedia.org/wiki/Turkmenistan
147, //upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/46px-Flag_of_Cambodia.svg.png,Cambodia,66,64,68,http://en.wikipedia.org/wiki/Cambodia
148, //upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/45px-Flag_of_Ghana.svg.png,Ghana,66,64,68,http://en.wikipedia.org/wiki/Ghana
149, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/45px-Flag_of_Madagascar.svg.png,Madagascar,66,65,68,http://en.wikipedia.org/wiki/Madagascar
150, //upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/45px-Flag_of_Botswana.svg.png,Botswana,66,64.5,67.5,http://en.wikipedia.org/wiki/Botswana
151,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/31px-Flag_of_Gabon.svg.png,Gabon,64,62,66,http://en.wikipedia.org/wiki/Gabon
152, //upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/45px-Flag_of_Yemen.svg.png,Yemen,64,63,66,http://en.wikipedia.org/wiki/Yemen
153, //upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/46px-Flag_of_East_Timor.svg.png,Timor-Leste,64,63,65,http://en.wikipedia.org/wiki/East_Timor
154, //upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/45px-Flag_of_Senegal.svg.png,Senegal,64,62,66,http://en.wikipedia.org/wiki/Senegal
155, //upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/46px-Flag_of_Haiti.svg.png,Haiti,63,62,64,http://en.wikipedia.org/wiki/Haiti
156, //upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/46px-Flag_of_Sudan.svg.png,Sudan,62,60,64,http://en.wikipedia.org/wiki/Sudan
157, //upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/46px-Flag_of_Eritrea.svg.png,Eritrea,61.5,59,64,http://en.wikipedia.org/wiki/Eritrea
158, //upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/45px-Flag_of_Cameroon.svg.png,Cameroon,61.5,59,64,http://en.wikipedia.org/wiki/Cameroon
159, //upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/45px-Flag_of_South_Africa.svg.png,South Africa,61,59,63,http://en.wikipedia.org/wiki/South_Africa
160, //upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/45px-Flag_of_Djibouti.svg.png,Djibouti,61,59,64,http://en.wikipedia.org/wiki/Djibouti
161, //upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/46px-Flag_of_Ethiopia.svg.png,Ethiopia,60.5,59,62,http://en.wikipedia.org/wiki/Ethiopia
162, //upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/45px-Flag_of_Kenya.svg.png,Kenya,60,59,61,http://en.wikipedia.org/wiki/Kenya
163, //upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Rwanda.svg/45px-Flag_of_Rwanda.svg.png,Rwanda,60,59,61,http://en.wikipedia.org/wiki/Rwanda
164, //upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/45px-Flag_of_Afghanistan.svg.png,Afghanistan,60,59,61,http://en.wikipedia.org/wiki/Afghanistan
165, //upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/45px-Flag_of_Mauritania.svg.png,Mauritania,59.5,57,61,http://en.wikipedia.org/wiki/Mauritania
166, //upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/46px-Flag_of_Liberia.svg.png,Liberia,59,58,60,http://en.wikipedia.org/wiki/Liberia
167, //upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/45px-Flag_of_Tanzania.svg.png,Tanzania,59,58,61,http://en.wikipedia.org/wiki/Tanzania
168, //upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/45px-Flag_of_Benin.svg.png,Benin,59,58,60,http://en.wikipedia.org/wiki/Benin
169, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/45px-Flag_of_The_Gambia.svg.png,Gambia,59,57.5,60.5,http://en.wikipedia.org/wiki/The_Gambia
170, //upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Malawi.svg/45px-Flag_of_Malawi.svg.png,Malawi,58,57.5,58.5,http://en.wikipedia.org/wiki/Malawi
171, //upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/45px-Flag_of_the_Republic_of_the_Congo.svg.png,Republic of the Congo,58,57,59,http://en.wikipedia.org/wiki/Republic_of_the_Congo
172, //upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Togo.svg/46px-Flag_of_Togo.svg.png,Togo,57,55.5,58.5,http://en.wikipedia.org/wiki/Togo
173, //upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/45px-Flag_of_Burkina_Faso.svg.png,Burkina Faso,56.5,54,57,http://en.wikipedia.org/wiki/Burkina_Faso
174, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/45px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,Côte d'Ivoire,56.5,55,58,http://en.wikipedia.org/wiki/Ivory_Coast
175, //upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/45px-Flag_of_Uganda.svg.png,Uganda,56,54.5,57.5,http://en.wikipedia.org/wiki/Uganda
176, //upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/35px-Flag_of_Niger.svg.png,Niger,56,55,57,http://en.wikipedia.org/wiki/Niger
177, //upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/45px-Flag_of_Zambia.svg.png,Zambia,55.5,54,56,http://en.wikipedia.org/wiki/Zambia
178, //upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/45px-Flag_of_Guinea.svg.png,Guinea,55,54,56,http://en.wikipedia.org/wiki/Guinea
179, //upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/45px-Flag_of_Equatorial_Guinea.svg.png,Equatorial Guinea,54,53,55,http://en.wikipedia.org/wiki/Equatorial_Guinea
180, //upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Zimbabwe.svg/46px-Flag_of_Zimbabwe.svg.png,Zimbabwe,54,53,55,http://en.wikipedia.org/wiki/Zimbabwe
181, //upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/46px-Flag_of_Burundi.svg.png,Burundi,53,52,54,http://en.wikipedia.org/wiki/Burundi
182, //upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/46px-Flag_of_Nigeria.svg.png,Nigeria,53,52,54,http://en.wikipedia.org/wiki/Nigeria
183, //upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/45px-Flag_of_Mozambique.svg.png,Mozambique,52.5,52,53,http://en.wikipedia.org/wiki/Mozambique
184, //upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/45px-Flag_of_Angola.svg.png,Angola,52,51,53,http://en.wikipedia.org/wiki/Angola
185, //upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/45px-Flag_of_Chad.svg.png,Chad,51,50.5,53.5,http://en.wikipedia.org/wiki/Chad
186, //upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/45px-Flag_of_Mali.svg.png,Mali,51,50,53,http://en.wikipedia.org/wiki/Mali
187, //upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/45px-Flag_of_Lesotho.svg.png,Lesotho,51,50,52,http://en.wikipedia.org/wiki/Lesotho
188, //upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/46px-Flag_of_Guinea-Bissau.svg.png,Guinea Bissau,50,48,52,http://en.wikipedia.org/wiki/Guinea-Bissau
189, //upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_Swaziland.svg/45px-Flag_of_Swaziland.svg.png,Swaziland,50,49,51,http://en.wikipedia.org/wiki/Swaziland
190, //upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/45px-Flag_of_Somalia.svg.png,Somalia,50,48,52,http://en.wikipedia.org/wiki/Somalia
191,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/31px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,Democratic Republic of the Congo,49.5,48,51,http://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
192, //upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/45px-Flag_of_the_Central_African_Republic.svg.png,Central African Republic,48.5,47,50,http://en.wikipedia.org/wiki/Central_African_Republic
193, //upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/45px-Flag_of_Sierra_Leone.svg.png,Sierra Leone,47.5,47,48,http://en.wikipedia.org/wiki/Sierra_Leone
