rank,image,Country,overall_life,male,female,url
32, //upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/45px-Flag_of_Portugal.svg.png,Portugal,80,77,83,http://en.wikipedia.org/wiki/Portugal
33, //upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/46px-Flag_of_Slovenia.svg.png,Slovenia,80,77,83,http://en.wikipedia.org/wiki/Slovenia
34, //upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/46px-Flag_of_Costa_Rica.svg.png,Costa Rica,79.8,78.3,81.3,http://en.wikipedia.org/wiki/Costa_Rica
35, //upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/46px-Flag_of_the_United_States.svg.png,United States,79.8,77.4,82.2,http://en.wikipedia.org/wiki/United_States
36, //upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/45px-Flag_of_Chile.svg.png,Chile,79.5,76.5,82.5,http://en.wikipedia.org/wiki/Chile
37,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/31px-Flag_of_Denmark.svg.png,Denmark,79.5,77,82,http://en.wikipedia.org/wiki/Denmark
38, //upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/46px-Flag_of_Cuba.svg.png,Cuba,79.4,77.4,81.4,http://en.wikipedia.org/wiki/Cuba
40, //upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/46px-Flag_of_the_United_Arab_Emirates.svg.png,United Arab Emirates,79.2,77.2,81.2,http://en.wikipedia.org/wiki/United_Arab_Emirates
41, //upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/46px-Flag_of_Brunei.svg.png,Brunei,79,77.5,80.5,http://en.wikipedia.org/wiki/Brunei
42, //upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/45px-Flag_of_Barbados.svg.png,Barbados,78.5,76.2,80.8,http://en.wikipedia.org/wiki/Barbados
43, //upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/46px-Flag_of_Kuwait.svg.png,Kuwait,78.2,75.5,80.5,http://en.wikipedia.org/wiki/Kuwait
44, //upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/45px-Flag_of_the_Czech_Republic.svg.png,Czech Republic,78,75,81,http://en.wikipedia.org/wiki/Czech_Republic
45, //upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/45px-Flag_of_Panama.svg.png,Panama,77.8,74.6,81,http://en.wikipedia.org/wiki/Panama
46, //upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/46px-Flag_of_Poland.svg.png,Poland,77,72.5,81.5,http://en.wikipedia.org/wiki/Poland
47, //upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/46px-Flag_of_Croatia.svg.png,Croatia,77.5,74.5,80.5,http://en.wikipedia.org/wiki/Croatia
48, //upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/46px-Flag_of_Dominica.svg.png,Dominica,77.5,75,80,http://en.wikipedia.org/wiki/Dominica
49, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/45px-Flag_of_Uruguay.svg.png,Uruguay,77.3,74.2,80.4,http://en.wikipedia.org/wiki/Uruguay
50, //upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/46px-Flag_of_Mexico.svg.png,Mexico,77.2,74.2,80.2,http://en.wikipedia.org/wiki/Mexico
51, //upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/45px-Flag_of_Maldives.svg.png,Maldives,77.2,76.2,78.2,http://en.wikipedia.org/wiki/Maldives
52, //upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/46px-Flag_of_Bahrain.svg.png,Bahrain,77,75,79,http://en.wikipedia.org/wiki/Bahrain
53, //upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/45px-Flag_of_Belize.svg.png,Belize,76.9,74.4,79.4,http://en.wikipedia.org/wiki/Belize
54, //upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/45px-Flag_of_Slovakia.svg.png,Slovakia,76.8,73.4,80.2,http://en.wikipedia.org/wiki/Slovakia
55, //upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/46px-Flag_of_the_Bahamas.svg.png,Bahamas,76.5,73.5,79.5,http://en.wikipedia.org/wiki/The_Bahamas
56, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/46px-Flag_of_Grenada.svg.png,Grenada,76.5,73,80,http://en.wikipedia.org/wiki/Grenada
57, //upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/43px-Flag_of_Brazil.svg.png,Brazil,76.2,72.6,79.8,http://en.wikipedia.org/wiki/Brazil
58, //upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/46px-Flag_of_Estonia.svg.png,Estonia,76.1,71,81.2,http://en.wikipedia.org/wiki/Estonia
59, //upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/45px-Flag_of_Ecuador.svg.png,Ecuador,76,73,79,http://en.wikipedia.org/wiki/Ecuador
60, //upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/46px-Flag_of_Argentina.svg.png,Argentina,76,73,79,http://en.wikipedia.org/wiki/Argentina
61, //upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/45px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png,Saint Vincent and the Grenadines,76,73,79,http://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
62, //upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/46px-Flag_of_Oman.svg.png,Oman,76,73,79,http://en.wikipedia.org/wiki/Oman
63, //upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/46px-Flag_of_Bosnia_and_Herzegovina.svg.png,Bosnia and Herzegovina,76,74,78,http://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
64, //upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/46px-Flag_of_Lithuania.svg.png,Lithuania,75.9,70.8,81,http://en.wikipedia.org/wiki/Lithuania
65, //upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/45px-Flag_of_Antigua_and_Barbuda.svg.png,Antigua and Barbuda,75.8,74.4,77.2,http://en.wikipedia.org/wiki/Antigua_and_Barbuda
66, //upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/46px-Flag_of_Malaysia.svg.png,Malaysia,75.7,72.2,79.2,http://en.wikipedia.org/wiki/Malaysia
67, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Saint_Lucia.svg/46px-Flag_of_Saint_Lucia.svg.png,Saint Lucia,75.5,71.5,79.5,http://en.wikipedia.org/wiki/Saint_Lucia
68, //upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/46px-Flag_of_Qatar.svg.png,Qatar,75.5,73,78,http://en.wikipedia.org/wiki/Qatar
