,Country,rank,image,overall_life,male,female,url,population
126,Micronesia,127, //upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg/46px-Flag_of_the_Federated_States_of_Micronesia.svg.png,70,68,72,http://en.wikipedia.org/wiki/Federated_States_of_Micronesia,
127,India,128, //upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/45px-Flag_of_India.svg.png,70,67,73,http://en.wikipedia.org/wiki/India,1242280000
128,Bangladesh,129, //upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/46px-Flag_of_Bangladesh.svg.png,70,69.5,70.5,http://en.wikipedia.org/wiki/Bangladesh,152518015
129,Kyrgyzstan,130, //upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/46px-Flag_of_Kyrgyzstan.svg.png,69,65,72,http://en.wikipedia.org/wiki/Kyrgyzstan,5663133
130,Iraq,131, //upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/45px-Flag_of_Iraq.svg.png,69,65,72,http://en.wikipedia.org/wiki/Iraq,34035000
131,North Korea,132, //upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/46px-Flag_of_North_Korea.svg.png,69,66,72,http://en.wikipedia.org/wiki/North_Korea,24895000
132,Nepal,133, //upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/28px-Flag_of_Nepal.svg.png,69,68,70,http://en.wikipedia.org/wiki/Nepal,26494504
133,Mongolia,134, //upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/46px-Flag_of_Mongolia.svg.png,69,65,73,http://en.wikipedia.org/wiki/Mongolia,2931300
134,Bolivia,135, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/44px-Flag_of_Bolivia.svg.png,69,67,71,http://en.wikipedia.org/wiki/Bolivia,10027254
135,Uzbekistan,136, //upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/46px-Flag_of_Uzbekistan.svg.png,68.5,66,71,http://en.wikipedia.org/wiki/Uzbekistan,30183400
136,Laos,137, //upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/45px-Flag_of_Laos.svg.png,68,66.5,69.5,http://en.wikipedia.org/wiki/Laos,6580800
137,Myanmar,138, //upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/45px-Flag_of_Myanmar.svg.png,68,66,70,http://en.wikipedia.org/wiki/Myanmar,6120000
138,Kazakhstan,139, //upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/46px-Flag_of_Kazakhstan.svg.png,68,63,73,http://en.wikipedia.org/wiki/Kazakhstan,17186000
139,Comoros,140, //upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/46px-Flag_of_the_Comoros.svg.png,68,65,71,http://en.wikipedia.org/wiki/Comoros,743798
140,Kiribati,141, //upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kiribati.svg/46px-Flag_of_Kiribati.svg.png,68,65,71,http://en.wikipedia.org/wiki/Kiribati,106461
141,Tajikistan,142, //upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/46px-Flag_of_Tajikistan.svg.png,68,67,69,http://en.wikipedia.org/wiki/Tajikistan,8160000
142,Papua New Guinea,143,//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/31px-Flag_of_Papua_New_Guinea.svg.png,67.5,65,69,http://en.wikipedia.org/wiki/Papua_New_Guinea,7398500
143,Namibia,144, //upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/45px-Flag_of_Namibia.svg.png,67.2,66.2,68.2,http://en.wikipedia.org/wiki/Namibia,2113077
144,Pakistan,145, //upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/45px-Flag_of_Pakistan.svg.png,67,66,68,http://en.wikipedia.org/wiki/Pakistan,186060000
145,Turkmenistan,146, //upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Turkmenistan.svg/45px-Flag_of_Turkmenistan.svg.png,66.5,63,70,http://en.wikipedia.org/wiki/Turkmenistan,5240000
146,Cambodia,147, //upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/46px-Flag_of_Cambodia.svg.png,66,64,68,http://en.wikipedia.org/wiki/Cambodia,15135000
147,Ghana,148, //upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/45px-Flag_of_Ghana.svg.png,66,64,68,http://en.wikipedia.org/wiki/Ghana,24658823
148,Madagascar,149, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/45px-Flag_of_Madagascar.svg.png,66,65,68,http://en.wikipedia.org/wiki/Madagascar,21263403
149,Botswana,150, //upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/45px-Flag_of_Botswana.svg.png,66,64.5,67.5,http://en.wikipedia.org/wiki/Botswana,2024904
150,Gabon,151,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/31px-Flag_of_Gabon.svg.png,64,62,66,http://en.wikipedia.org/wiki/Gabon,1672000
151,Yemen,152, //upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/45px-Flag_of_Yemen.svg.png,64,63,66,http://en.wikipedia.org/wiki/Yemen,25235000
152,Timor-Leste,153, //upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/46px-Flag_of_East_Timor.svg.png,64,63,65,http://en.wikipedia.org/wiki/East_Timor,1066409
153,Senegal,154, //upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/45px-Flag_of_Senegal.svg.png,64,62,66,http://en.wikipedia.org/wiki/Senegal,12873601
154,Haiti,155, //upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/46px-Flag_of_Haiti.svg.png,63,62,64,http://en.wikipedia.org/wiki/Haiti,10413211
155,Sudan,156, //upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/46px-Flag_of_Sudan.svg.png,62,60,64,http://en.wikipedia.org/wiki/Sudan,37964000
156,Eritrea,157, //upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/46px-Flag_of_Eritrea.svg.png,61.5,59,64,http://en.wikipedia.org/wiki/Eritrea,6333000
157,Cameroon,158, //upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/45px-Flag_of_Cameroon.svg.png,61.5,59,64,http://en.wikipedia.org/wiki/Cameroon,20386799
158,South Africa,159, //upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/45px-Flag_of_South_Africa.svg.png,61,59,63,http://en.wikipedia.org/wiki/South_Africa,52981991
159,Djibouti,160, //upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/45px-Flag_of_Djibouti.svg.png,61,59,64,http://en.wikipedia.org/wiki/Djibouti,873000
160,Ethiopia,161, //upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/46px-Flag_of_Ethiopia.svg.png,60.5,59,62,http://en.wikipedia.org/wiki/Ethiopia,86613986
161,Kenya,162, //upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/45px-Flag_of_Kenya.svg.png,60,59,61,http://en.wikipedia.org/wiki/Kenya,44354000
162,Rwanda,163, //upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Rwanda.svg/45px-Flag_of_Rwanda.svg.png,60,59,61,http://en.wikipedia.org/wiki/Rwanda,10537222
163,Afghanistan,164, //upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/45px-Flag_of_Afghanistan.svg.png,60,59,61,http://en.wikipedia.org/wiki/Afghanistan,25500100
164,Mauritania,165, //upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/45px-Flag_of_Mauritania.svg.png,59.5,57,61,http://en.wikipedia.org/wiki/Mauritania,3461041
165,Liberia,166, //upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/46px-Flag_of_Liberia.svg.png,59,58,60,http://en.wikipedia.org/wiki/Liberia,4294000
166,Tanzania,167, //upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/45px-Flag_of_Tanzania.svg.png,59,58,61,http://en.wikipedia.org/wiki/Tanzania,44928923
167,Benin,168, //upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/45px-Flag_of_Benin.svg.png,59,58,60,http://en.wikipedia.org/wiki/Benin,10323000
168,Gambia,169, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/45px-Flag_of_The_Gambia.svg.png,59,57.5,60.5,http://en.wikipedia.org/wiki/The_Gambia,1849000
169,Malawi,170, //upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Malawi.svg/45px-Flag_of_Malawi.svg.png,58,57.5,58.5,http://en.wikipedia.org/wiki/Malawi,16363000
170,Republic of the Congo,171, //upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/45px-Flag_of_the_Republic_of_the_Congo.svg.png,58,57,59,http://en.wikipedia.org/wiki/Republic_of_the_Congo,4448000
171,Togo,172, //upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Togo.svg/46px-Flag_of_Togo.svg.png,57,55.5,58.5,http://en.wikipedia.org/wiki/Togo,6191155
172,Burkina Faso,173, //upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/45px-Flag_of_Burkina_Faso.svg.png,56.5,54,57,http://en.wikipedia.org/wiki/Burkina_Faso,17322796
173,Côte d'Ivoire,174, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/45px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,56.5,55,58,http://en.wikipedia.org/wiki/Ivory_Coast,
174,Uganda,175, //upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/45px-Flag_of_Uganda.svg.png,56,54.5,57.5,http://en.wikipedia.org/wiki/Uganda,35357000
175,Niger,176, //upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/35px-Flag_of_Niger.svg.png,56,55,57,http://en.wikipedia.org/wiki/Niger,17129076
176,Zambia,177, //upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/45px-Flag_of_Zambia.svg.png,55.5,54,56,http://en.wikipedia.org/wiki/Zambia,14580290
177,Guinea,178, //upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/45px-Flag_of_Guinea.svg.png,55,54,56,http://en.wikipedia.org/wiki/Guinea,10824200
178,Equatorial Guinea,179, //upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/45px-Flag_of_Equatorial_Guinea.svg.png,54,53,55,http://en.wikipedia.org/wiki/Equatorial_Guinea,1622000
179,Zimbabwe,180, //upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Zimbabwe.svg/46px-Flag_of_Zimbabwe.svg.png,54,53,55,http://en.wikipedia.org/wiki/Zimbabwe,12973808
180,Burundi,181, //upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/46px-Flag_of_Burundi.svg.png,53,52,54,http://en.wikipedia.org/wiki/Burundi,9420248
181,Nigeria,182, //upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/46px-Flag_of_Nigeria.svg.png,53,52,54,http://en.wikipedia.org/wiki/Nigeria,173615000
182,Mozambique,183, //upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/45px-Flag_of_Mozambique.svg.png,52.5,52,53,http://en.wikipedia.org/wiki/Mozambique,23700715
183,Angola,184, //upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/45px-Flag_of_Angola.svg.png,52,51,53,http://en.wikipedia.org/wiki/Angola,20609294
184,Chad,185, //upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/45px-Flag_of_Chad.svg.png,51,50.5,53.5,http://en.wikipedia.org/wiki/Chad,12825000
185,Mali,186, //upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/45px-Flag_of_Mali.svg.png,51,50,53,http://en.wikipedia.org/wiki/Mali,15302000
186,Lesotho,187, //upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Flag_of_Lesotho.svg/45px-Flag_of_Lesotho.svg.png,51,50,52,http://en.wikipedia.org/wiki/Lesotho,2074000
187,Guinea Bissau,188, //upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/46px-Flag_of_Guinea-Bissau.svg.png,50,48,52,http://en.wikipedia.org/wiki/Guinea-Bissau,1647000
188,Swaziland,189, //upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Flag_of_Swaziland.svg/45px-Flag_of_Swaziland.svg.png,50,49,51,http://en.wikipedia.org/wiki/Swaziland,1250000
189,Somalia,190, //upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/45px-Flag_of_Somalia.svg.png,50,48,52,http://en.wikipedia.org/wiki/Somalia,10496000
190,Democratic Republic of the Congo,191,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/31px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,49.5,48,51,http://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,67514000
191,Central African Republic,192, //upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/45px-Flag_of_the_Central_African_Republic.svg.png,48.5,47,50,http://en.wikipedia.org/wiki/Central_African_Republic,4616000
192,Sierra Leone,193, //upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/45px-Flag_of_Sierra_Leone.svg.png,47.5,47,48,http://en.wikipedia.org/wiki/Sierra_Leone,6190280
