constituency,candidate,party,votes,rank
Radhapuram,PRABAKARAN.K.R.P,ADMK,63125,1
Thondamuthur,MAHENDRAN.C,ADMK,68705,1
Harbour,S.R. VIJAYAKUMAR,ADMK,35385,1
Karaikudi,SENTHILNATHAN PR,ADMK,83522,1
Thoothukkudi,JEYASINGH THIYAGARAJ NATTERJEE.J,ADMK,63690,1
Nanguneri,PRABAKARAN.K.R.P,ADMK,62705,1
Kunnam,"CHANDRAKASI, M",ADMK,82225,1
Kanniyakumari,RADHAKRISHNAN P.,BJP,73481,1
Madavaram,VENUGOPAL.P.(DR),ADMK,117092,1
Coimbatore South,"RADHAKRISHNAN, C.P.",BJP,48930,1
Veerapandi,PANNERSELVAM.V,ADMK,97278,1
Sattur,RADHAKRISHNAN T,ADMK,65139,1
Salem (North),PANNERSELVAM.V,ADMK,82695,1
Sirkazhi,BHARATHI MOHAN R.K,ADMK,80423,1
Padmanabhapuram,RADHAKRISHNAN P.,BJP,56239,1
Viralimalai,"THAMBIDURAI,M.",ADMK,83042,1
Hosur,ASHOK KUMAR.K,ADMK,89237,1
Mylapore,DR. J. JAYAVARDHAN,ADMK,59646,1
Pennagaram,ANBUMANI RAMADOSS,PMK,89654,1
Kolathur,VENKATESH BABU .T.G,ADMK,59637,1
Tiruppattur,SENTHILNATHAN PR,ADMK,85489,1
Ponneri,VENUGOPAL.P.(DR),ADMK,95281,1
Vanur,RAJENDRAN S,ADMK,85666,1
Kangayam,SELVAKUMARA CHINNAYAN S,ADMK,85513,1
Kallakurichi,KAMARAJ. K,ADMK,97538,1
Neyveli,ARUNMOZHITHEVAN.A,ADMK,67457,1
Gudalur,"RAJA, A.",DMK,51091,1
Tiruppur (South),V.SATHYABAMA,ADMK,59811,1
Vasudevanallur,VASANTHI.M,ADMK,64074,1
Thalli,ASHOK KUMAR.K,ADMK,74253,1
Chepauk,S.R. VIJAYAKUMAR,ADMK,56526,1
Andipatti,"PARTHIPAN, R.",ADMK,101528,1
Alangudi,SENTHILNATHAN PR,ADMK,68383,1
Kilpennathur,VANAROJA R,ADMK,76511,1
Royapuram,VENKATESH BABU .T.G,ADMK,50479,1
Palacodu,ANBUMANI RAMADOSS,PMK,69625,1
Tirupathur,VANAROJA R,ADMK,79498,1
Cumbum,"PARTHIPAN, R.",ADMK,91321,1
Kollachal,RADHAKRISHNAN P.,BJP,62931,1
Ariyalur,"CHANDRAKASI, M",ADMK,93672,1
Dr. Radhakrishnan Nagar,VENKATESH BABU .T.G,ADMK,74760,1
Perundurai,V.SATHYABAMA,ADMK,75999,1
Kinathukkadavu,MAHENDRAN.C,ADMK,75546,1
Shozhinganallur,DR. J. JAYAVARDHAN,ADMK,131396,1
Uthiramerur,MARAGATHAM K,ADMK,83305,1
Chengam,VANAROJA R,ADMK,93561,1
Rasipuram,SUNDARAM P.R,ADMK,97398,1
Usilampatti,"PARTHIPAN, R.",ADMK,109269,1
Thirumaiyam,SENTHILNATHAN PR,ADMK,72251,1
Avanashi,"GOPALAKRISHNAN, C.",ADMK,96151,1
Dharmapuri,ANBUMANI RAMADOSS,PMK,95041,1
Arakkonam,"HARI, G.",ADMK,74594,1
Cheyyar,V.ELUMALAI,ADMK,84891,1
Nagapattinam,GOPAL. DR. K,ADMK,68391,1
Thiruthuraipoondi,GOPAL. DR. K,ADMK,64772,1
Salem (South),PANNERSELVAM.V,ADMK,99209,1
Madurai Central,R.GOPALAKRISHNAN,ADMK,62044,1
Oddamchatram,UDHAYA KUMAR .M,ADMK,81083,1
Poonamallee,VENUGOPAL.P.(DR),ADMK,109435,1
