constituency,1957,1960,1965,1967,1970,1977,1980,1982,1987,1991,1996,2001,2006,2011
Kilimanoor,,,CPM,CPM,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,
Kochi,,,,,,,,,,,,,,INC
Kodakara,,,CPI,CPI,CPI,KEC,KEC,ICS,INC,INC,INC,INC,CPM,
Kodungallur,,,,,,CPI,CPI,CPI,CPI,CPI,CPI,JPSS,CPI,INC
Koduvally,INC,INC,,,,MUL,MUL,MUL,MUL,MUL,MUL,MUL,IND,MUL
Kollam,,,,,,,,,,,,,,CPM
Kollengode,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,INC,CPM,
Kondotty,IND,ML,ML,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL
Kongad,,,,,,,,,,,,,,CPM
Konni,,,CON,CPI,INC,INC,CPM,CPM,IND,CPM,INC,INC,INC,INC
Kothakulangara,INC,INC,,,,,,,,,,,,
Kothamangalam,,,KEC,CPM,IND,KEC,KEC,KEC,IND,INC,INC,INC,KEC,KEC(M)
Kottakkal,,,,,,,,,,,,,,MUL
Kottarakara,CPI,PSP,KEC,CPI,INC,KEC,KEC,KEC,KEC,IND,KEC(B),KEC(B),CPM,CPM
Kottayam,CPI,INC,CPM,CPM,CPM,CPI,CPM,IND,CPM,CPM,CPM,INC,CPM,INC
Kovalam,,,CON,IND,IND,IND,INC,IND,LKD,JD,JD,JD(S),INC,JD(S)
Kozhikode North,,,,,,,,,,,,,,CPM
Kozhikode South,,,,,,,,,,,,,,MUL
Krishnapuram,CPI,PSP,CON,CPI,CPI,,,,,,,,,
Kundara,,,CON,CPM,INC,INC,CPM,IND,CPM,INC,CPM,INC,CPM,CPM
Kunnamangalam,INC,INC,SSP,SSP,MUL,MLO,IML,IML,CPM,CPM,CPM,IND,IND,IND
Kunnamkulam,CPI,INC,CPM,CPM,CPM,INC,INC(U),CPM,CPM,INC,CPM,INC,CPM,CPM
Kunnathunad,,,CON,CPM,RSP,CPM,CPM,INC,INC,INC,CPM,INC,CPM,INC
Kunnathur,CPI,INC,KEC,IND,RSP,RSP,RSP,IND,RSP,RSP,RSP,RSP,RSP,RSP
Kuthuparamba,PSP,PSP,SSP,SSP,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,SJD
Kuttanad,,,KEC,IND,SOP,KEC,KEC,KEC,KEC,KEC,KEC,KEC,DIC,NCP
Kuttiadi,,,,,,,,,,,,,,CPM
Kuttippuram,IND,ML,ML,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,IND,
Kuttipuram,,,,,,,,,,,,,,
Kuzhalmannam,IND,CPI,SSP,SSP,CPM,,,,,,,,,
Madayi,CPI,INC,CPM,IND,CPM,,,,,,,,,
Mala,,,CON,INC,INC,INC,INC,INC,INC,INC,CPI,INC,CPI,
Malampuzha,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Malappuram,IND,ML,ML,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL
Manalur,CPI,INC,CON,INC,INC,INC,INC(U),IND,INC,INC,INC,INC,CPM,INC
Mananthavady,,,,,,,,,,,,,,INC
Manjeri,INC,INC,IND,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL
Manjeshwar,IND,IND,CON,IND,CPI,CPI,CPI,CPI,MUL,MUL,MUL,MUL,CPM,MUL
Mankada,IND,ML,CPM,MUL,MUL,MUL,MUL,MUL,MUL,MUL,MUL,IND,IND,MUL
Mannarghat,CPI,CPI,CPM,CPM,CPM,CPI,MUL,CPI,MUL,MUL,CPI,MUL,CPI,MUL
Mararikulam,CPI,CPI,CPM,CPM,CPM,RSP,RSP,RSP,CPM,CPM,INC,CPM,CPM,
Mattancherry,INC,INC,IND,MUL,IND,BLD,IML,MUL,MUL,MUL,IND,MUL,MUL,
Mattanur,CPI,CPI,,,,,,,,,,,,CPM
Mavelikara,CPI,CPI,CON,SSP,ISP,IND,CPM,CPM,CPM,INC,INC,INC,INC,CPM
Meenachil,INC,INC,,,,,,,,,,,,
Meppayur,,,CPM,CPM,MUL,MUL,IML,IML,CPM,CPM,CPM,CPM,CPM,
Muvattupuzha,INC,INC,KEC,CPI,IND,KEC,KEC,KEC,IND,KEC,KEC(J),KEC(J),CPI,INC
Nadapuram,CPI,ML,CPM,CPM,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI
Narakal,INC,INC,CON,CPM,INC,RSP,CPM,IND,ICS(SCS),INC,INC,INC,CPM,
Nattika,INC,INC,IND,CPM,SOP,CPI,CPI,IND,CPI,CPI,CPI,INC,INC,CPI
Nedumangad,CPI,CPI,CON,CPI,CPI,CPI,CPI,CPI,CPI,INC,INC,CPI,CPI,INC
Neduvathur,,,,,,CPI,CPM,CPM,CPM,CPM,INC,INC,CPM,
Nemom,CPI,PSP,CPM,CPM,PSP,INC,INC,INC,CPM,CPM,CPM,INC,INC,CPM
Nenmara,,,,,,,,,,,,,,CPM
Neyyattinkara,CPI,PSP,CON,INC,CPM,IND,IND,JNP,JNP,INC,INC,INC,CPM,CPM
Nilambur,,,CPM,CPM,INC,INC,INC(U),IND,INC,INC,INC,INC,INC,INC
Nileswar,CPI,INC,CPM,CPM,CPM,,,,,,,,,
North Wynad,,,IND,CPM,INC,INC,INC,INC,INC,INC,INC,INC,CPM,
Ollur,INC,INC,CPM,CPM,INC,INC,INC,INC,CPI,INC,CPI,INC,CPI,INC
Ottapalam,CPI,CPI,CPM,CPM,CPM,INC,INC(U),IND,INC,ICS(SCS),ICS,NCP,CPM,CPM
Palai,,,KEC,KEC,KEC,KEC,KEC,KEC,IND,KEC,KEC(M),KEC(M),KEC(M),KEC(M)
Palakkad,INC,INC,CPM,CPM,CPM,IND,IND,IND,IND,INC,CPM,INC,CPM,INC
Palluruthy,INC,INC,CPM,CPM,IND,KEC,INC(U),IC(S),ICS(SCS),INC,INC,INC,CPM,
Pandalam,,,CPM,CPM,INC,INC,INC(U),CPM,CPM,CPM,CPM,JPSS,JPSS,
Parassala,INC,IND,CON,INC,CPM,INC,INC,INC,CPM,INC,IND,INC,CPM,INC
Paravur,,,,,,,,,,,,,,INC
Parli,CPI,CPI,,,,,,,,,,,,
Parur,CPI,INC,CON,INC,INC,INC,INC(U),CPI,CPI,CPI,CPI,INC,INC,
Pathanamthitta,CPI,PSP,KEC,IND,IND,KEC,IND,IND,IND,IND,INC,INC,INC,
Pathanapuram,CPI,INC,CPI,CPI,CPI,CPI,CPI,KEC,CPI,CPI,CPI,KEC(B),KEC(B),KEC(B)
Pattambi,CPI,CPI,CPM,CPM,CPM,CPI,INC,CPI,INC,CPI,CPI,INC,INC,INC
Payyannur,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Peermade,,,CPM,CPM,CPM,CPI,CPI,IND,INC,INC,CPI,INC,CPI,CPI
