PARTY,Total seats,Winning Seats,Winning Percent
TMC(M),72,62,86.11111111
ADMK,1366,904,66.17862372
SWA,46,26,56.52173913
DMK,1885,905,48.01061008
CPI,168,58,34.52380952
CPM,214,72,33.64485981
INC,1085,302,27.83410138
ADK(JL),198,27,13.63636364
PMK,398,46,11.55778894
DMDK,273,30,10.98901099
NCO,201,15,7.462686567
JD,31,2,6.451612903
JNP,355,19,5.352112676
MDMK,426,8,1.877934272
