AC_NAME,AC_NO,NAME,#,ST_CD,ST_NAME,State-code,VOTES,YEAR,polled_votes,vote_percent,PARTY
Bagalkot,24,METI HULLAPPA YAMANAPPA,2,S10,Karnataka,S10,69719,2018,161511,43.17,INC
Bagalkot,24,MOHAN MALLIKARJUAN JIGALUR,4,S10,Karnataka,S10,996,2018,161511,0.62,BSP
Bagalkot,24,PARASHURAM LAXMAN NEELNAIK,5,S10,Karnataka,S10,931,2018,161511,0.58,BRP
Bagalkot,24,MOHAMMEDSALEEM DONGRISAB PATHAN,6,S10,Karnataka,S10,756,2018,161511,0.47,IND
Bagalkot,24,HIREAMATH VEERABHADRAYYA RUDRAYYA,7,S10,Karnataka,S10,388,2018,161511,0.24,IND
Bagalkot,24,MALLINATH IRANNAYYA HIREMATH,8,S10,Karnataka,S10,236,2018,161511,0.15,PPP
Bagalkot,24,MANOHAR SOMAPPA METI,9,S10,Karnataka,S10,227,2018,161511,0.14,IND
Bagalkot,24,AMARASAB NOORSAB PUNEKAR,10,S10,Karnataka,S10,201,2018,161511,0.12,IND
Bagalkot,24,MOSHEENKHAN MUNIRAAHMAD KHAJI,11,S10,Karnataka,S10,182,2018,161511,0.11,INCP
Bagalkot,24,BABUSHA DASTAGIRASAB ROLLI URF R.D BABU,12,S10,Karnataka,S10,171,2018,161511,0.11,IND
Bagalkot,24,NAGARAJ SHIVAPUTRAPPA KALAKUTAGAR,13,S10,Karnataka,S10,149,2018,161511,0.09,IND
Bagalkot,24,None of the Above,3,S10,Karnataka,S10,1902,2018,161511,1.18,NOTA
Hungund,25,DODDANAGOUDA G PATIL,1,S10,Karnataka,S10,65012,2018,156533,41.53,BJP
Hungund,25,KASHAPPANAVAR VIJAYANAND SHIVASHANKRAPPA,2,S10,Karnataka,S10,59785,2018,156533,38.19,INC
Hungund,25,S. R. NAVALIHIREMATH,3,S10,Karnataka,S10,25850,2018,156533,16.51,IND
Hungund,25,M. SHASHIKUMAR HALEPADI.,4,S10,Karnataka,S10,2359,2018,156533,1.51,IND
Hungund,25,AMARANNAVAR PRADEEP. SHANKARAGOUDA,6,S10,Karnataka,S10,922,2018,156533,0.59,SHI
