YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES,polled_votes,vote_percent
1994,CORTALIM,Goa,26,2,GEN,BARBOSA LUIS PROTO ALEX,M,,,UGDP,3132,16504,18.98
1994,CORTALIM,Goa,26,3,GEN,CRISTOPHER FONSECA,M,,,CPI,2219,16504,13.45
1994,CORTALIM,Goa,26,4,GEN,FERNANDES ANTHONY MENIN F.,M,,,BJP,2126,16504,12.88
1994,CORTALIM,Goa,26,5,GEN,FERNANDES ANTONIO F.P.,M,,,BSP,1952,16504,11.83
1994,CORTALIM,Goa,26,6,GEN,ROQUEZINHO SOUZA,M,,,IND,731,16504,4.43
1994,CORTALIM,Goa,26,7,GEN,VERNEKAR VASUDEO G.,M,,,SP,113,16504,0.68
1994,CORTALIM,Goa,26,8,GEN,ANTHONY MATHEW VAZ,M,,,IND,40,16504,0.24
1994,LOUTOLIM,Goa,27,1,GEN,ALEIXO SEQUEIRA,M,,,INC,6846,12596,54.35
1994,LOUTOLIM,Goa,27,2,GEN,GRACIAS RADHARAO SOCRATES,M,,,UGDP,5177,12596,41.1
1994,LOUTOLIM,Goa,27,3,GEN,CARVALHO MANUEL BERNARDO,M,,,IND,262,12596,2.08
1994,LOUTOLIM,Goa,27,4,GEN,PARKAR AJIT,M,,,MAG,110,12596,0.87
1994,LOUTOLIM,Goa,27,5,GEN,BAPTISTA XAVIER,M,,,BSP,90,12596,0.71
1994,LOUTOLIM,Goa,27,6,GEN,DANIEL OSCAR,M,,,IND,44,12596,0.35
1994,LOUTOLIM,Goa,27,7,GEN,CUNHA SEBASTIAO,M,,,IND,42,12596,0.33
1994,LOUTOLIM,Goa,27,8,GEN,FERNANDES JUSE,M,,,IND,25,12596,0.2
1994,BENAULIM,Goa,28,1,GEN,CHURCHIL BRAZ ALEMAO,M,,,UGDP,8587,13569,63.28
1994,BENAULIM,Goa,28,2,GEN,MONTE CRUZ,M,,,INC,4565,13569,33.64
1994,BENAULIM,Goa,28,3,GEN,JACK ROSARIO RODRIGUES,M,,,IND,187,13569,1.38
1994,BENAULIM,Goa,28,4,GEN,RATOS SEBASTIAO JOAQUIM,M,,,IND,104,13569,0.77
1994,BENAULIM,Goa,28,5,GEN,FURTADO ANTONIO DAMIAO,M,,,BSP,97,13569,0.71
1994,BENAULIM,Goa,28,6,GEN,RODRIGUES M. CRISTOVAM,M,,,IND,29,13569,0.21
1994,FATORDA,Goa,29,1,GEN,CARDOZ LUIS ALEIX,M,,,INC,5504,14056,39.16
1994,FATORDA,Goa,29,2,GEN,ANGLE RAMAKANT SOIRU,M,,,IND,5154,14056,36.67
1994,FATORDA,Goa,29,3,GEN,NAIK PRADEEP GAJANAN,M,,,MAG,1199,14056,8.53
1994,FATORDA,Goa,29,4,GEN,ENG. KORGAONKAR ASHOK TUKARAM,M,,,IND,569,14056,4.05
1994,FATORDA,Goa,29,5,GEN,GOMES JOSE FRANSISCO,M,,,BSP,537,14056,3.82
1994,FATORDA,Goa,29,6,GEN,SAYED IQBAL,M,,,UGDP,509,14056,3.62
1994,FATORDA,Goa,29,7,GEN,J. FELIX AFONSO,M,,,IND,198,14056,1.41
1994,FATORDA,Goa,29,8,GEN,BORKAR MHABALESHWAR,M,,,IND,171,14056,1.22
1994,FATORDA,Goa,29,9,GEN,MIRANDA CAMILO LUIS,M,,,IND,100,14056,0.71
1994,FATORDA,Goa,29,10,GEN,ALBERTO EMILO ALVARES,M,,,IND,64,14056,0.46
1994,FATORDA,Goa,29,11,GEN,NAIK RAMDAS PRABHAKAR,M,,,IND,37,14056,0.26
1994,FATORDA,Goa,29,12,GEN,SHAMBU SINAI ASSOLDEKAR,M,,,IND,14,14056,0.1
1994,MARGAO,Goa,30,1,GEN,KAMAT DIGAMBAR VASANT,M,,,BJP,5009,12319,40.66
1994,MARGAO,Goa,30,2,GEN,NAIK RAJU DAMODAR,M,,,INC,2697,12319,21.89
1994,MARGAO,Goa,30,3,GEN,SHAIK MUHAMD AKABAR DAUDSHAB,M,,,UGDP,1511,12319,12.27
1994,MARGAO,Goa,30,4,GEN,RAITURKAR SANTOSH,M,,,IND,1493,12319,12.12
1994,MARGAO,Goa,30,5,GEN,AZGAINKAR MANOHAR,M,,,IND,1335,12319,10.84
1994,MARGAO,Goa,30,6,GEN,PEREIRA SAMIRO ALVARO,M,,,IND,83,12319,0.67
1994,MARGAO,Goa,30,7,GEN,BARRETO J.J. ROQUE,M,,,IND,51,12319,0.41
1994,MARGAO,Goa,30,8,GEN,GOMES FURTADO HAMISH,M,,,IND,45,12319,0.37
1994,MARGAO,Goa,30,9,GEN,KRISHNA MUKUND GAONKAR,M,,,IND,35,12319,0.28
1994,MARGAO,Goa,30,10,GEN,NAIK KAMALAKAR,M,,,BSP,34,12319,0.28
1994,MARGAO,Goa,30,11,GEN,D'SILVA FIONA,F,,,IND,10,12319,0.08
1994,MARGAO,Goa,30,11,GEN,CHANDRAKANT APPAJI POL,M,,,IND,10,12319,0.08
1994,MARGAO,Goa,30,13,GEN,DIAS THOMAS,M,,,IND,6,12319,0.05
1994,CURTORIM,Goa,31,1,GEN,GAONKAR ANTONIO DAMIAO,M,,,UGDP,6564,13630,48.16
1994,CURTORIM,Goa,31,2,GEN,SARDINHA COSMOFRANCISCO GAETANO,M,,,INC,6470,13630,47.47
1994,CURTORIM,Goa,31,3,GEN,VAZ JOSEPH FRANCISCO,M,,,BSP,338,13630,2.48
