YEAR,AC_NAME,ST_NAME,AC_NO,#,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES,polled_votes,vote_percent
1951,DEHLON,Punjab,74,2,GEN,JALWANT SINGH,M,,,CPI,8949.0,34459.0,25.97
1951,DEHLON,Punjab,74,3,GEN,JOGINDER SINGH,M,,,IND,6142.0,34459.0,17.82
1951,DEHLON,Punjab,74,4,GEN,NAGINDER SINGH,M,,,INC,5473.0,34459.0,15.88
1951,DEHLON,Punjab,74,5,GEN,BACHAN SINGH,M,,,SP,858.0,34459.0,2.49
1951,DEHLON,Punjab,74,6,GEN,HARBHAGAT SINGH,M,,,IND,529.0,34459.0,1.54
1951,MEHNA,Punjab,75,1,GEN,NIDHAN SINGH,M,,,CPI,14126.0,39522.0,35.74
1951,MEHNA,Punjab,75,2,GEN,GURCHARAN SINGH,M,,,INC,11326.0,39522.0,28.66
1951,MEHNA,Punjab,75,3,GEN,BASANT SINGH,M,,,IND,8407.0,39522.0,21.27
1951,MEHNA,Punjab,75,4,GEN,PAKHAR SINGH,M,,,SAD,5663.0,39522.0,14.33
1951,BAGHA PURANA,Punjab,76,1,GEN,BACHAN SINGH,M,,,LCP,9038.0,32311.0,27.97
1951,BAGHA PURANA,Punjab,76,2,GEN,MUKAND SINGH,M,,,SAD,6867.0,32311.0,21.25
1951,BAGHA PURANA,Punjab,76,3,GEN,THAMAN SINGH,M,,,INC,6834.0,32311.0,21.15
1951,BAGHA PURANA,Punjab,76,4,GEN,KARTAR SINGH,M,,,FBL(MG),4938.0,32311.0,15.28
1951,BAGHA PURANA,Punjab,76,5,GEN,SUCHA SINGH,M,,,IND,3193.0,32311.0,9.88
1951,BAGHA PURANA,Punjab,76,6,GEN,GANGA RAM,M,,,SP,616.0,32311.0,1.91
1951,BAGHA PURANA,Punjab,76,7,GEN,GANGA SINGH,M,,,BJS,613.0,32311.0,1.9
1951,BAGHA PURANA,Punjab,76,8,GEN,HARBANS SINGH,M,,,IND,212.0,32311.0,0.66
1951,MOGA DHARMKOT,Punjab,77,1,GEN,DAVINDER SINGH,M,,,SAD,19429.0,102421.0,18.97
1951,MOGA DHARMKOT,Punjab,77,2,GEN,RATTAN SINGH,M,,,INC,18492.0,102421.0,18.05
1951,MOGA DHARMKOT,Punjab,77,3,GEN,MUKHTAIR SINGH,M,,,SAD,16439.0,102421.0,16.05
1951,MOGA DHARMKOT,Punjab,77,4,GEN,SOHAN SINGH,M,,,INC,15907.0,102421.0,15.53
1951,MOGA DHARMKOT,Punjab,77,5,GEN,MEHAR SINGH,M,,,CPI,9212.0,102421.0,8.99
1951,MOGA DHARMKOT,Punjab,77,6,GEN,LAL,M,,,IND,6100.0,102421.0,5.96
1951,MOGA DHARMKOT,Punjab,77,7,GEN,RUP LAL,M,,,SP,3641.0,102421.0,3.55
1951,MOGA DHARMKOT,Punjab,77,8,GEN,SAIN DASS,M,,,BJS,2464.0,102421.0,2.41
1951,MOGA DHARMKOT,Punjab,77,9,GEN,LAL CHAND,M,,,SP,2358.0,102421.0,2.3
1951,MOGA DHARMKOT,Punjab,77,10,GEN,BACHITAR SINGH,M,,,IND,2023.0,102421.0,1.98
1951,MOGA DHARMKOT,Punjab,77,11,GEN,LABH SINGH,M,,,IND,1555.0,102421.0,1.52
1951,MOGA DHARMKOT,Punjab,77,12,GEN,ANOKH SINGH,M,,,FBL(MG),1320.0,102421.0,1.29
1951,MOGA DHARMKOT,Punjab,77,13,GEN,SANDHU RAM,M,,,IND,932.0,102421.0,0.91
1951,MOGA DHARMKOT,Punjab,77,14,GEN,SIKANDAR LAL,M,,,IND,736.0,102421.0,0.72
1951,MOGA DHARMKOT,Punjab,77,15,GEN,WAZIR SINGH,M,,,IND,662.0,102421.0,0.65
1951,MOGA DHARMKOT,Punjab,77,16,GEN,BAKHTAWAR SINGH,M,,,IND,648.0,102421.0,0.63
