Valangiman,64854,66291,67404,72479,83577,94008,90579,94555,94385,109960,,838092,10
Marungapuri,,,70220,76282,90329,110648,114348,120318,121688,135080,,838913,8
Sathyamangalam,51773,57323,59040,70132,80559,96446,94836,104586,103903,121465,,840063,10
Andimadam,66846,74103,65337,71532,82969,59357,96751,104995,112066,113460,,847416,10
Pongalur,62136,61985,62416,68370,80553,98254,96272,97324,106683,114351,,848344,10
Cheranmahadevi,67322,69285,68635,74274,82874,96494,90705,98977,93200,110996,,852762,10
Ottapidaram,57072,48442,54517,63464,68033,80353,79001,89974,90872,98404,126453,856585,11
Tiruchirapalli-Ii,56528,72829,,77496,90241,101137,95597,104123,108715,149931,,856597,9
Padmanabhapuram,53541,57833,47914,53017,75356,78891,82838,86408,84349,97273,144362,861782,11
Anaicut,,,67104,66034,77556,72136,94484,105716,109064,131556,147194,870844,9
Nellikuppam,59462,61741,70464,73455,84676,82278,96250,107689,110631,124365,,871011,10
Pernambattu,52729,60063,65939,66323,85128,98431,99784,109071,110658,131491,,879617,10
Kadaladi,62899,48597,70264,78284,93953,107650,101619,105258,106315,119431,,894270,10
Yercaud,44661,48014,47810,56218,65572,72810,82021,86302,99950,113626,179492,896476,11
Taramangalam,57481,53821,69041,82203,90995,62066,106036,114293,119468,141757,,897161,10
Varahur,66169,72538,68757,74110,87865,84126,102910,107909,115731,121148,,901263,10
Talavasal,60101,66145,67933,72935,82037,95229,100633,109395,116206,131943,,902557,10
Mugaiyur,66637,64592,68933,74269,80641,96380,100371,110432,112063,128303,,902621,10
Thiruvonam,,,81826,90663,96953,114298,116090,126215,128509,149991,,904545,8
Coonoor,54235,54982,53505,60555,83096,96678,90249,99459,95155,95666,121015,904595,11
Srivaikuntam,66848,67938,65390,67968,77226,86797,81233,86719,85321,93643,131879,910962,11
Madurai Central,62945,63195,73687,78617,81308,84282,75994,81403,73912,94224,144151,913718,11
Valparai,61813,59344,61215,81658,76864,90063,91063,92918,89131,86321,124440,914830,11
Kandamangalam,63797,56329,65619,69450,91725,86550,106066,118298,120045,139441,,917320,10
Melmalayanur,65337,58207,71092,81027,90629,99994,107384,111439,108413,123907,,917429,10
Udhagamandalam,55161,51318,62652,68560,82783,96683,87827,99128,95538,95797,122675,918122,11
Andhiyur,62286,57567,56406,60462,77167,71574,88116,99181,98269,111198,142922,925148,11
Kaveripattinam,62485,63937,64481,69296,82565,101194,100675,116681,122811,141173,,925298,10
Palayamkottai,,,66087,77729,87068,98943,97909,113210,105282,148900,135770,930898,9
Poompuhar,,,75880,84879,89328,85897,98136,102827,106353,120015,169457,932772,9
Vilathikulam,63795,56834,66125,75766,80153,92781,86489,94040,92221,97171,133292,938667,11
Kuttalam,58428,63733,77206,82892,95665,99985,106315,112557,114965,129123,,940869,10
Panamarathupatti,64430,65841,61444,77238,80737,93458,101304,113204,121910,164238,,943804,10
Natham,,,64610,70261,83549,99426,98465,109063,112540,133614,176251,947779,9
Tirupporur,65051,70507,55682,65749,80533,82749,106559,122935,136747,162708,,949220,10
Coimbatore North,64310,62621,75389,78959,85812,90572,80640,82686,78485,100669,155282,955425,11
Madurai East,63936,63181,72539,74701,84590,82892,78650,85381,74980,95244,179869,955963,11
Nanguneri,62366,61962,67359,70383,79014,94837,89870,92737,90450,104665,142677,956320,11
Bargur,,,58867,69665,82321,100921,103841,116643,123716,143663,158363,958000,9
Coimbatore South,65194,66367,68114,74172,84941,95142,83780,89906,82711,109103,143294,962724,11
Radhapuram,62628,65167,68265,70519,74484,91424,81704,98294,98284,113584,138694,963047,11
Usilampatti,62004,66201,57084,71029,83541,86285,82818,98877,90594,92503,172293,963229,11
Ambasamudram,66196,67047,66110,65966,81658,91721,87907,94324,89554,108059,145460,964002,11
Thandarambattu,58680,64591,75263,72540,90613,105328,108047,115376,130179,143976,,964593,10
Chengam,52477,52551,49158,55816,74520,75584,92081,99747,111797,124842,178325,966898,11
Kollachal,60623,68026,69509,64076,85397,93424,87727,96181,91623,107772,145488,969846,11
Vellakoil,73688,61772,82248,90972,97069,111700,108556,116407,113900,117618,,973930,10
Mangalur,60943,62431,75941,83178,90243,93304,111985,119195,135016,142349,,974585,10
Vilavancode,48961,52010,66787,63673,82045,97445,102634,98891,104113,120076,143948,980583,11
Kattumannarkoil,63138,63508,69362,74022,84724,78356,92311,102498,100139,111245,144773,984076,11
Vasudevanallur,67403,63123,60418,65541,80686,95816,93835,100597,102069,113705,142026,985219,11
Krishnagiri,51192,49916,52600,56327,74017,89208,91145,105829,115203,140271,160379,986087,11
Thottiyam,73608,77398,80508,87268,96700,107648,108278,114846,116337,123642,,986233,10
Tindivanam,66114,60784,64261,70343,77394,82210,95532,100106,102956,118735,153169,991604,11
Kapilamalai,78517,77180,82622,86948,95723,111993,108764,115369,116042,122862,,996020,10
Uppiliapuram,77199,83065,85324,87465,97920,108651,103396,113142,116517,125957,,998636,10
Salem-Ii,66865,70402,72063,79450,91718,104220,104695,115771,114855,180545,,1000584,10
Thousand Lights,65569,67767,71635,80691,91831,100448,98092,95968,95428,108291,133567,1009287,11
Omalur,50063,42862,61699,72846,78288,76204,92406,102232,110905,134357,187770,1009632,11
Kovilpatti,60546,62490,67140,76777,81840,99069,94698,111727,113726,114478,130723,1013214,11
Thiruvidaimarudur,,,80712,88054,97704,100898,111163,118155,121942,134700,160392,1013720,9
Vaniyambadi,53073,49702,62108,72424,86283,96421,97046,110189,112346,131360,147405,1018357,11
Natrampalli,55991,60185,69800,85881,96512,114931,119682,126395,136938,154916,,1021231,10
Theni,71708,71533,76906,92949,99318,116680,110122,123522,122973,136690,,1022401,10
Pennagaram,56729,63589,54756,65591,81143,73468,95746,110373,111444,149932,162288,1025059,11
Nilakkottai,65151,63123,55275,79372,87721,98530,94463,109289,106303,122838,143243,1025308,11
Tiruchendur,70671,74665,71642,71730,90630,99070,92864,99973,99957,111580,146141,1028923,11
Chidambaram,70982,71027,73226,80699,86285,84813,95244,103050,103702,111066,149166,1029260,11
Mudhukulathur,63553,55591,73392,83043,86244,92908,95981,93599,105458,103706,177555,1031030,11
Gudiyattam,63434,62000,69692,70365,81928,93943,99053,100453,107152,121338,161833,1031191,11
Polur,58485,59960,65135,72475,84029,81137,97001,106525,116298,124456,166702,1032203,11
Mayuram,65845,73603,75824,77045,90846,86110,98510,103459,103626,115612,141847,1032327,11
Senthamangalam,61845,60629,63712,69020,84350,97400,95653,104512,110186,129240,161295,1037842,11
Uthiramerur,,,77457,88172,101024,90191,114265,125058,130716,144596,167946,1039425,9
Gudalur,41988,40745,58276,62990,90783,113489,113008,123784,137215,143352,113985,1039615,11
Attur,70708,75445,63899,71886,84060,87971,94676,103824,112244,118370,158536,1041619,11
Manamadurai,69227,74989,71719,76077,85274,99253,95775,99629,99036,109458,161626,1042063,11
Aruppukkottai,62465,65332,76582,79347,87900,98688,96730,103165,107026,115875,149637,1042747,11
Rishivandiyam,53414,56592,66448,74810,83619,102287,94263,106344,109045,128194,171405,1046421,11
Sankarankovil,59202,57696,62965,65107,88907,106581,106043,111752,119500,125468,144622,1047843,11
Melur,,,91799,98912,101143,113054,111082,118949,125241,135283,154050,1049513,9
Maduranthakam,64830,65541,74779,82549,86784,92311,99336,107573,112730,117418,147744,1051595,11
Nagapattinam,64892,66392,79488,85843,90547,99963,101629,106542,111676,125060,120690,1052722,11
Kolathur,,,74062,88754,99472,119125,119389,132474,130460,148090,142028,1053854,9
Nagercoil,66312,72215,73994,71824,86868,103391,99205,105560,110147,119334,147019,1055869,11
Thiruthuraipundi,62378,64792,94079,101396,109918,115379,117327,124786,129416,137841,,1057312,10
Sholingur,68174,,67995,72442,93351,85171,108647,120293,124842,138112,179499,1058526,10
Sivaganga,70258,70310,76805,72579,88358,99992,95621,106254,106230,115675,157216,1059298,11
Sirkazhi,58934,60053,79034,85388,92423,89543,101690,107973,106988,123817,153561,1059404,11
Sholavandan,75127,78312,74879,82975,83337,98512,98163,105796,105430,112702,144348,1059581,11
Vandavasi,63060,64917,68862,76678,91406,80988,104974,109686,113490,123414,162399,1059874,11
Thiruvallur,61592,58110,67589,72595,85956,95567,95353,107657,111648,133732,170115,1059914,11
Kurinjipadi,46746,53404,67898,77231,90981,95222,109364,122122,117283,123708,156694,1060653,11
Thirumangalam,60503,64016,66582,75766,83549,95967,96774,106622,110268,120248,182703,1062998,11
Paramakudi,71344,72260,75194,80616,93485,102641,95291,103001,108410,112600,148855,1063697,11
Kanniyakumari,66795,70220,69703,74851,83911,96332,90109,97985,108443,126225,180206,1064780,11
Kinathukkadavu,62887,69825,71344,79915,88867,98362,97691,99612,111180,117812,167567,1065062,11
Bhavani,66529,64900,73191,72517,92175,86226,100153,111769,110671,126612,160496,1065239,11
Dr. Radhakrishnan Nagar,,,79881,90648,107147,119660,110639,120928,128175,167730,141904,1066712,9
Dharapuram,65285,63575,59627,77285,87870,101124,101530,111772,112564,123871,162248,1066751,11
Gobichettipalayam,60779,59187,73329,75278,90173,97496,97428,111375,106612,121516,174184,1067357,11
