Rank,Name,Earnings,Money_Rank,Fame_Rank,Image,Url
62,Jacqueline Fernandez,4.79,85,43,http://forbesindia.com/media/list/Jacqueline Fernandez_SM.jpg,http://forbesindia.com/celebprofile2014/jacqueline-fernandez/123
63,Arjun Kapoor,7.5,68,53,http://forbesindia.com/media/list/Arjun Kapoor_SM.jpg,http://forbesindia.com/celebprofile2014/arjun-kapoor/125
64,Kangana Ranaut,11.98,52,67,http://forbesindia.com/media/list/077_SM.jpg,http://forbesindia.com/celebprofile2014/kangana-ranaut/127
65,Varun Dhawan,13.25,45,68,http://forbesindia.com/media/list/Varun Dhawan_SM.jpg,http://forbesindia.com/celebprofile2014/varun-dhawan/129
66,Shraddha Kapoor,8.13,66,58,http://forbesindia.com/media/list/Shraddha Kapoor_SM.jpg,http://forbesindia.com/celebprofile2014/shraddha-kapoor/131
67,Bipasha Basu,3.41,90,46,http://forbesindia.com/media/list/025_SM.jpg,http://forbesindia.com/celebprofile2014/bipasha-basu/133
68,Riteish Deshmukh,4.8,84,52,http://forbesindia.com/media/list/060_SM.jpg,http://forbesindia.com/celebprofile2014/riteish-deshmukh/135
69,Anupam Kher,9.81,60,64,http://forbesindia.com/media/list/Anupam Kher_SM.jpg,http://forbesindia.com/celebprofile2014/anupam-kher/137
70,Rohit Shetty,16.67,37,82,http://forbesindia.com/media/list/069_SM.jpg,http://forbesindia.com/celebprofile2014/-rohit-shetty-/139
71,Navjot Singh Sidhu,8,67,60,http://forbesindia.com/media/list/Sidhu_SM.jpg,http://forbesindia.com/celebprofile2014/navjot-singh-sidhu/141
72,Nargis Fakhri,8.26,64,61,http://forbesindia.com/media/list/Nargis Fakhri_SM.jpg,http://forbesindia.com/celebprofile2014/nargis-fakhri/143
73,Anurag Kashyap,2.33,94,50,http://forbesindia.com/media/list/055_SM.jpg,http://forbesindia.com/celebprofile2014/-anurag-kashyap-/145
74,Pawan Kalyan,16,38,86,http://forbesindia.com/media/list/053_SM.jpg,http://forbesindia.com/celebprofile2014/pawan-kalyan/147
75,Shilpa Shetty,10.38,57,71,http://forbesindia.com/media/list/058_SM.jpg,http://forbesindia.com/celebprofile2014/shilpa-shetty/149
76,Imtiaz Ali,11.25,55,75,http://forbesindia.com/media/list/063_SM.jpg,http://forbesindia.com/celebprofile2014/-imtiaz-ali-/151
77,Anil Kapoor,2,96,54,http://forbesindia.com/media/list/Anil_Kapoor_SM.jpg,http://forbesindia.com/celebprofile2014/anil-kapoor/153
78,Dhanush,11.67,53,77,http://forbesindia.com/media/list/Dhanush_SM.jpg,http://forbesindia.com/celebprofile2014/dhanush/155
79,Kirron Kher,2.35,93,57,http://forbesindia.com/media/list/095_SM.jpg,http://forbesindia.com/celebprofile2014/kirron-kher/157
80,Allu Arjun,11.5,54,79,http://forbesindia.com/media/list/Allu Arjun_SM.jpg,http://forbesindia.com/celebprofile2014/allu-arjun/159
81,Sukhwinder Singh,9.25,62,73,http://forbesindia.com/media/list/Sukhvinder_SM.jpg,http://forbesindia.com/celebprofile2014/sukhwinder-singh/161
82,Shankar-Ehsaan-Loy,12,51,83,http://forbesindia.com/media/list/Shankar_Ehshan_loy_Fotocorp.jpg,http://forbesindia.com/celebprofile2014/shankar-ehsaan-loy/163
83,Hema Malini,3.6,89,62,http://forbesindia.com/media/list/Hema Malini_SM.jpg,http://forbesindia.com/celebprofile2014/hema-malini/165
84,Viswanathan Anand,6.76,73,72,http://forbesindia.com/media/list/057_SM.jpg,http://forbesindia.com/celebprofile2014/viswanathan-anand/167
85,Vishal-Shekhar,15,42,90,http://forbesindia.com/media/list/083_SM.jpg,http://forbesindia.com/celebprofile2014/vishal-shekhar/169
86,Shaan,6.6,76,76,http://forbesindia.com/media/list/087_SM.jpg,http://forbesindia.com/celebprofile2014/shaan/171
87,Leander Paes,1.92,97,66,http://forbesindia.com/media/list/Leander_SM.jpg,http://forbesindia.com/celebprofile2014/leander-paes/173
88,Prabhudheva,9.83,59,87,http://forbesindia.com/media/list/PrabhU Deva_SM.jpg,http://forbesindia.com/celebprofile2014/prabhudheva-/175
89,Rohan Bopanna,1.92,98,70,http://forbesindia.com/media/list/065_SM.jpg,http://forbesindia.com/celebprofile2014/rohan-bopanna/177
90,Sajid Nadiadwala,7,70,84,http://forbesindia.com/media/list/Sajid Nadiadwala_SM.jpg,http://forbesindia.com/celebprofile2014/-sajid-nadiadwala-/179
91,Anirban Lahiri,5.13,82,78,http://forbesindia.com/media/list/Anirban Lahiri_SM.jpg,http://forbesindia.com/celebprofile2014/anirban-lahiri/181
92,Mithun Chakraborty,6.75,74,85,http://forbesindia.com/media/list/084_SM.jpg,http://forbesindia.com/celebprofile2014/mithun-chakraborty/183
93,Vir Das,7.05,69,96,http://forbesindia.com/media/list/082_SM.jpg,http://forbesindia.com/celebprofile2014/vir-das/185
94,Manish Paul,3.25,91,91,http://forbesindia.com/media/list/Manish Paul_SM.jpg,http://forbesindia.com/celebprofile2014/manish-paul/187
95,Malaika Arora Khan,5,83,95,http://forbesindia.com/media/list/080_SM.jpg,http://forbesindia.com/celebprofile2014/malaika-arora-khan/189
96,Amish Tripathi,5.6,81,99,http://forbesindia.com/media/list/Amish Tripathi_SM.jpg,http://forbesindia.com/celebprofile2014/amish-tripathi/191
97,Ram Kapoor,3.75,88,94,http://forbesindia.com/media/list/Ram Kapoor_SM.jpg,http://forbesindia.com/celebprofile2014/ram-kapoor/193
98,Remo D'Souza,2.65,92,93,http://forbesindia.com/media/list/091_SM.jpg,http://forbesindia.com/celebprofile2014/remo-d-souza/195
99,Terence Lewis,1.3,99,92,http://forbesindia.com/media/list/090_SM.jpg,http://forbesindia.com/celebprofile2014/terence-lewis/197
100,Papa CJ,2,95,100,http://forbesindia.com/media/list/PAPA CJ_SM.jpg,http://forbesindia.com/celebprofile2014/papa-cj/199
