AC_NO,party_name,ST_CD,O.S.N.,NAME,EVM Votes,Postal Votes,VOTES,vote_percent,ST_NAME,AC_NAME,Migrant Votes,polled_votes,#,Vote %,Deposit Threshold,color_code,YEAR,PARTY,a_constituency,Category,District,p_constituency,Region
1,Bahujan Samaj Party,S18,1,TANKADHARA KANTA,1325,7,1332,0.66,Odisha,Padampur,0,201729,6,0.6602917775827968,0,#22409A,2019,BSP,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Bharatiya Janata Party,S18,2,PRADIP PUROHIT,76987,578,77565,38.45,Odisha,Padampur,0,201729,2,38.45009889505227,1,#00A951,2019,BJP,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Biju Janata Dal,S18,3,BIJAYA RANJAN SINGH BARIHA,82998,301,83299,41.29,Odisha,Padampur,0,201729,1,41.29252611,1,#03A31F,2019,BJD,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Indian National Congress,S18,4,SATYA BHUSAN SAHU,32643,144,32787,16.25,Odisha,Padampur,0,201729,3,16.25299287658195,0,#3498DB,2019,INC,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,Independent,S18,5,RAJU GHIBELA,4493,19,4512,2.24,Odisha,Padampur,0,201729,4,2.236664039379564,0,#CEB58C,2019,IND,Padampur,GEN,Bargarh,Bargarh,Northern Division
1,None of the Above,S18,6,NOTA,2227,7,2234,1.11,Odisha,Padampur,0,201729,5,1.1074262996396154,0,#DDD1CA,2019,NOTA,Padampur,GEN,Bargarh,Bargarh,Northern Division
2,Bahujan Samaj Party,S18,1,ASHOK KALET,1189,11,1200,0.65,Odisha,Bijepur,0,185024,6,0.6485645105499827,0,#22409A,2019,BSP,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Biju Janata Dal,S18,2,NAVEEN PATNAIK,110166,438,110604,59.78,Odisha,Bijepur,0,185024,1,59.77819093739191,1,#03A31F,2019,BJD,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Indian National Congress,S18,3,RIPUNATH SETH,14249,95,14344,7.75,Odisha,Bijepur,0,185024,3,7.752507782774126,0,#3498DB,2019,INC,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Bharatiya Janata Party,S18,4,SANAT KUMAR GARTIA,53088,394,53482,28.91,Odisha,Bijepur,0,185024,2,28.905439294361813,1,#00A951,2019,BJP,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Independent,S18,5,PURNA CHANDRA PANDA,2828,4,2832,1.53,Odisha,Bijepur,0,185024,4,1.530612244897959,0,#CEB58C,2019,IND,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,Independent,S18,6,BIRENDRA KUMAR BAG,887,0,887,0.48,Odisha,Bijepur,0,185024,7,0.4793972673815289,0,#CEB58C,2019,IND,Bijepur,GEN,Bargarh,Bargarh,Northern Division
2,None of the Above,S18,7,NOTA,1662,13,1675,0.91,Odisha,Bijepur,0,185024,5,0.9052879626426844,0,#DDD1CA,2019,NOTA,Bijepur,GEN,Bargarh,Bargarh,Northern Division
3,Bharatiya Janata Party,S18,1,ASHWINI KUMAR SARANGI,66289,392,66681,41.25,Odisha,Bargarh,0,161640,2,41.25278396436526,1,#00A951,2019,BJP,Bargarh,GEN,Bargarh,Bargarh,Northern Division
3,Bahujan Samaj Party,S18,2,KAUSTUVA BUDHIA,1712,19,1731,1.07,Odisha,Bargarh,0,161640,5,1.070898292501856,0,#22409A,2019,BSP,Bargarh,GEN,Bargarh,Bargarh,Northern Division
3,Biju Janata Dal,S18,3,DEBESH ACHARYA,74777,356,75133,46.48,Odisha,Bargarh,0,161640,1,46.4816877,1,#03A31F,2019,BJD,Bargarh,GEN,Bargarh,Bargarh,Northern Division
3,Indian National Congress,S18,4,NIPON KUMAR DASH,16244,61,16305,10.09,Odisha,Bargarh,0,161640,3,10.087230883444692,0,#3498DB,2019,INC,Bargarh,GEN,Bargarh,Bargarh,Northern Division
3,None of the Above,S18,5,NOTA,1782,8,1790,1.11,Odisha,Bargarh,0,161640,4,1.107399158624103,0,#DDD1CA,2019,NOTA,Bargarh,GEN,Bargarh,Bargarh,Northern Division
4,Indian National Congress,S18,1,NIHAR RANJAN MAHANAND,21411,100,21511,12.54,Odisha,Attabira,0,171527,3,12.54088277647251,0,#3498DB,2019,INC,Attabira,SC,Bargarh,Bargarh,Northern Division
4,Bharatiya Janata Party,S18,2,MILAN SETH,61141,473,61614,35.92,Odisha,Attabira,0,171527,2,35.92087543069022,1,#00A951,2019,BJP,Attabira,SC,Bargarh,Bargarh,Northern Division
4,Bahujan Samaj Party,S18,3,RABINDRA MEGHA,1637,4,1641,0.96,Odisha,Attabira,0,171527,4,0.9567006943513268,0,#22409A,2019,BSP,Attabira,SC,Bargarh,Bargarh,Northern Division
4,Biju Janata Dal,S18,4,SNEHANGINI CHHURIA,83680,330,84010,48.98,Odisha,Attabira,0,171527,1,48.97771196371416,1,#03A31F,2019,BJD,Attabira,SC,Bargarh,Bargarh,Northern Division
4,Paschimanchal Vikas Party,S18,5,LAXMAN KUMAR BHOI,1109,3,1112,0.65,Odisha,Attabira,0,171527,6,0.6482944376104053,0,#004274,2019,PVP,Attabira,SC,Bargarh,Bargarh,Northern Division
4,None of the Above,S18,6,NOTA,1635,4,1639,0.96,Odisha,Attabira,0,171527,5,0.955534697,0,#DDD1CA,2019,NOTA,Attabira,SC,Bargarh,Bargarh,Northern Division
5,Bharatiya Janata Party,S18,1,Irasis Acharya,75055,379,75434,40.55,Odisha,Bhatli,0,186017,2,40.55220759392959,1,#00A951,2019,BJP,Bhatli,GEN,Bargarh,Bargarh,Northern Division
5,Bahujan Samaj Party,S18,2,Narayan Vesra,1159,8,1167,0.63,Odisha,Bhatli,0,186017,5,0.627362015,0,#22409A,2019,BSP,Bhatli,GEN,Bargarh,Bargarh,Northern Division
5,Indian National Congress,S18,3,Saroj Kumar Mahapatra,8338,37,8375,4.5,Odisha,Bhatli,0,186017,3,4.502276673637356,0,#3498DB,2019,INC,Bhatli,GEN,Bargarh,Bargarh,Northern Division
5,Biju Janata Dal,S18,4,SUSANTA SINGH,98385,281,98666,53.04,Odisha,Bhatli,0,186017,1,53.04138869,1,#03A31F,2019,BJD,Bhatli,GEN,Bargarh,Bargarh,Northern Division
5,Samata Kranti Dal,S18,5,Dhana Pati Sahu,1007,1,1008,0.54,Odisha,Bhatli,0,186017,6,0.5418859566598753,0,#004274,2019,SKD,Bhatli,GEN,Bargarh,Bargarh,Northern Division
5,None of the Above,S18,6,NOTA,1364,3,1367,0.73,Odisha,Bhatli,0,186017,4,0.7348790701925093,0,#DDD1CA,2019,NOTA,Bhatli,GEN,Bargarh,Bargarh,Northern Division
6,Biju Janata Dal,S18,1,Kishore Kumar Mohanty,79832,320,80152,48.7,Odisha,Brajarajnagar,0,164587,1,48.69886443036206,1,#03A31F,2019,BJD,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Communist Party of India,S18,2,Ramesh Tripathi,9279,71,9350,5.68,Odisha,Brajarajnagar,0,164587,3,5.680886096714807,0,#F27A67,2019,CPI,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Bharatiya Janata Party,S18,3,RADHARANI PANDA,68153,365,68518,41.63,Odisha,Brajarajnagar,0,164587,2,41.63026241440697,1,#00A951,2019,BJP,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Bahujan Samaj Party,S18,4,Sitaram Rohidas,2012,6,2018,1.23,Odisha,Brajarajnagar,0,164587,4,1.2260992666492494,0,#22409A,2019,BSP,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Odisha Pragati Dal,S18,5,Rajani Bhue,940,1,941,0.57,Odisha,Brajarajnagar,0,164587,6,0.5717340980757897,0,#004274,2019,OPD,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Pragatishil Samajwadi Party (Lohia),S18,6,Subas Behera,488,0,488,0.3,Odisha,Brajarajnagar,0,164587,10,0.2964997235504626,0,#004274,2019,PSP(L),Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Samata Kranti Dal,S18,7,Haraprasad Meher,610,2,612,0.37,Odisha,Brajarajnagar,0,164587,7,0.3718398172395146,0,#004274,2019,SKD,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Independent,S18,8,AJAY PRASAD MANDAL,504,2,506,0.31,Odisha,Brajarajnagar,0,164587,9,0.3074361887633896,0,#CEB58C,2019,IND,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,Independent,S18,9,MITHILA CHHURIA,568,5,573,0.35,Odisha,Brajarajnagar,0,164587,8,0.3481441426115064,0,#CEB58C,2019,IND,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
6,None of the Above,S18,10,NOTA,1415,14,1429,0.87,Odisha,Brajarajnagar,0,164587,5,0.8682338216262523,0,#DDD1CA,2019,NOTA,Brajarajnagar,GEN,Jharsuguda,Bargarh,Northern Division
7,Bahujan Samaj Party,S18,1,Kartikeswar Ghugar,990,2,992,0.56,Odisha,Jharsuguda,0,176187,5,0.5630381356172702,0,#22409A,2019,BSP,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Bharatiya Janata Party,S18,2,Dinesh Kumar Jain,52687,234,52921,30.04,Odisha,Jharsuguda,0,176187,2,30.036835861896733,1,#00A951,2019,BJP,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Biju Janata Dal,S18,3,Naba Kisore Das,98256,364,98620,55.97,Odisha,Jharsuguda,0,176187,1,55.97461787759597,1,#03A31F,2019,BJD,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Indian National Congress,S18,4,Mahendra Naik,18695,128,18823,10.68,Odisha,Jharsuguda,0,176187,3,10.683535107584555,0,#3498DB,2019,INC,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Pragatishil Samajwadi Party (Lohia),S18,5,Debananda Barik,711,5,716,0.41,Odisha,Jharsuguda,0,176187,8,0.4063863962721427,0,#004274,2019,PSP(L),Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Kosal Kranti Dal,S18,6,Prasanta Patel,606,0,606,0.34,Odisha,Jharsuguda,0,176187,9,0.3439527320403889,0,#004274,2019,Others,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Independent,S18,7,Punyaban Naik,731,1,732,0.42,Odisha,Jharsuguda,0,176187,7,0.4154676565240341,0,#CEB58C,2019,IND,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Independent,S18,8,Rekha Hota,558,0,558,0.32,Odisha,Jharsuguda,0,176187,10,0.3167089512847145,0,#CEB58C,2019,IND,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,Independent,S18,9,Snehalata Naik,775,4,779,0.44,Odisha,Jharsuguda,0,176187,6,0.4421438585139652,0,#CEB58C,2019,IND,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
7,None of the Above,S18,10,NOTA,1438,2,1440,0.82,Odisha,Jharsuguda,0,176187,4,0.817313423,0,#DDD1CA,2019,NOTA,Jharsuguda,GEN,Jharsuguda,Bargarh,Northern Division
8,Indian National Congress,S18,1,PRAFULLA MAJHI,41004,107,41111,26.82,Odisha,Talsara,0,153290,3,26.819101050296823,1,#3498DB,2019,INC,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Bharatiya Janata Party,S18,2,BHABANI SHANKAR BHOI,60058,206,60264,39.31,Odisha,Talsara,0,153290,1,39.31371909452672,1,#00A951,2019,BJP,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Biju Janata Dal,S18,3,STEPHEN WILSON SORENG,44033,43,44076,28.75,Odisha,Talsara,0,153290,2,28.75334333616022,1,#03A31F,2019,BJD,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Bahujan Samaj Party,S18,4,SANJEET PRADHAN,913,1,914,0.6,Odisha,Talsara,0,153290,7,0.5962554635005545,0,#22409A,2019,BSP,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Bahujan Maha Party,S18,5,SATISH KUMAR MINZ,550,2,552,0.36,Odisha,Talsara,0,153290,10,0.3601017678909257,0,#004274,2019,BMP,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Aam Aadmi Party,S18,6,SANJEEB KUMAR XALXO,1783,1,1784,1.16,Odisha,Talsara,0,153290,5,1.163807162893861,0,#0080C0,2019,AAP,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Hindusthan Nirman Dal,S18,7,HALDHAR NAIK,554,0,554,0.36,Odisha,Talsara,0,153290,9,0.3614064844412551,0,#004274,2019,HND,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Independent,S18,8,GORETI XESS,1852,2,1854,1.21,Odisha,Talsara,0,153290,4,1.2094722421553916,0,#CEB58C,2019,IND,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,Independent,S18,9,SHANTI PRAKASH SORENG,724,1,725,0.47,Odisha,Talsara,0,153290,8,0.4729597494944223,0,#CEB58C,2019,IND,Talsara,ST,Sundargarh,Sundargarh,Northern Division
8,None of the Above,S18,10,NOTA,1454,2,1456,0.95,Odisha,Talsara,0,153290,6,0.9498336486398328,0,#DDD1CA,2019,NOTA,Talsara,ST,Sundargarh,Sundargarh,Northern Division
9,Indian National Congress,S18,1,AMITA BISWAL,12044,43,12087,6.93,Odisha,Sundargarh,0,174346,3,6.932765879343375,0,#3498DB,2019,INC,Sundargarh,ST,Sundargarh,Sundargarh,Northern Division
9,Bharatiya Janata Party,S18,2,KUSUM TETE,82853,265,83118,47.67,Odisha,Sundargarh,0,174346,1,47.674165165819694,1,#00A951,2019,BJP,Sundargarh,ST,Sundargarh,Sundargarh,Northern Division
9,Biju Janata Dal,S18,3,JOGESH KUMAR SINGH,75594,160,75754,43.45,Odisha,Sundargarh,0,174346,2,43.45038027829718,1,#03A31F,2019,BJD,Sundargarh,ST,Sundargarh,Sundargarh,Northern Division
9,Hindusthan Nirman Dal,S18,4,GOVINDA CHANDRA BHOI,1419,1,1420,0.81,Odisha,Sundargarh,0,174346,5,0.8144723710323151,0,#004274,2019,HND,Sundargarh,ST,Sundargarh,Sundargarh,Northern Division
9,None of the Above,S18,5,NOTA,1963,4,1967,1.13,Odisha,Sundargarh,0,174346,4,1.1282163055074392,0,#DDD1CA,2019,NOTA,Sundargarh,ST,Sundargarh,Sundargarh,Northern Division
10,Bahujan Samaj Party,S18,1,Paulus Oram,2529,3,2532,1.44,Odisha,Biramitrapur,0,175823,6,1.440084630565967,0,#22409A,2019,BSP,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,Biju Janata Dal,S18,2,Makhlu Ekka,44541,45,44586,25.36,Odisha,Biramitrapur,0,175823,2,25.35845708468176,1,#03A31F,2019,BJD,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,Indian National Congress,S18,3,Rohit Joseph Tirkey,44137,75,44212,25.15,Odisha,Biramitrapur,0,175823,3,25.14574316,1,#3498DB,2019,INC,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,Bharatiya Janata Party,S18,4,Shankar Oram,60833,104,60937,34.66,Odisha,Biramitrapur,0,175823,1,34.65815052638164,1,#00A951,2019,BJP,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,Aam Aadmi Party,S18,5,Binay Kullu,1825,10,1835,1.04,Odisha,Biramitrapur,0,175823,7,1.0436632294978474,0,#0080C0,2019,AAP,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,Jharkhand Mukti Morcha,S18,6,Sebeyan Aind,14365,9,14374,8.18,Odisha,Biramitrapur,0,175823,4,8.175267172099215,0,#344130,2019,JMM,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,Independent,S18,7,Peter Topno,4448,7,4455,2.53,Odisha,Biramitrapur,0,175823,5,2.533798194775428,0,#CEB58C,2019,IND,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,Independent,S18,8,Mansid Ekka,1087,1,1088,0.62,Odisha,Biramitrapur,0,175823,9,0.6188041382526746,0,#CEB58C,2019,IND,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
10,None of the Above,S18,9,NOTA,1804,0,1804,1.03,Odisha,Biramitrapur,0,175823,8,1.0260318615880744,0,#DDD1CA,2019,NOTA,Biramitrapur,ST,Sundargarh,Sundargarh,Northern Division
11,Bharatiya Janata Party,S18,1,Jagabandhu Behera,39894,237,40131,36.71,Odisha,Raghunathpali,0,109324,2,36.70831656360909,1,#00A951,2019,BJP,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Indian National Congress,S18,2,Prasanta Kumar Sethi,19950,76,20026,18.32,Odisha,Raghunathpali,0,109324,3,18.318027148659034,1,#3498DB,2019,INC,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Bahujan Samaj Party,S18,3,Sunil Karua,1146,3,1149,1.05,Odisha,Raghunathpali,0,109324,4,1.051004354030222,0,#22409A,2019,BSP,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Biju Janata Dal,S18,4,Subrat Tarai,44638,177,44815,40.99,Odisha,Raghunathpali,0,109324,1,40.99282865610479,1,#03A31F,2019,BJD,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Aam Aadmi Party,S18,5,Anjali Bankra,435,1,436,0.4,Odisha,Raghunathpali,0,109324,8,0.3988145329479346,0,#0080C0,2019,AAP,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Kosal Janata Dal,S18,6,Biswakarma Bag,399,0,399,0.36,Odisha,Raghunathpali,0,109324,9,0.36497018,0,#004274,2019,Others,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Independent,S18,7,Jaya Krishna Mahanandia,330,1,331,0.3,Odisha,Raghunathpali,0,109324,10,0.3027697486370788,0,#CEB58C,2019,IND,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Independent,S18,8,Mahendra Kumbhar,547,0,547,0.5,Odisha,Raghunathpali,0,109324,6,0.5003475906479821,0,#CEB58C,2019,IND,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,Independent,S18,9,Khetra Mohan Masant,533,2,535,0.49,Odisha,Raghunathpali,0,109324,7,0.4893710438695987,0,#CEB58C,2019,IND,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
11,None of the Above,S18,10,NOTA,952,3,955,0.87,Odisha,Raghunathpali,0,109324,5,0.8735501811130219,0,#DDD1CA,2019,NOTA,Raghunathpali,SC,Sundargarh,Sundargarh,Northern Division
12,Bharatiya Janata Party,S18,1,Nihar Ray,50275,142,50417,39.17,Odisha,Rourkela,0,128721,2,39.16765718103496,1,#00A951,2019,BJP,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Indian National Congress,S18,2,Biren Senapaty,13944,33,13977,10.86,Odisha,Rourkela,0,128721,3,10.858368098445476,0,#3498DB,2019,INC,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Bahujan Samaj Party,S18,3,Bishnu Charan Mahanta,611,0,611,0.47,Odisha,Rourkela,0,128721,6,0.4746700227624085,0,#22409A,2019,BSP,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Biju Janata Dal,S18,4,Sarada Prasad Nayak,60705,172,60877,47.29,Odisha,Rourkela,0,128721,1,47.29375937,1,#03A31F,2019,BJD,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Kosal Janata Dal,S18,5,Surama Mishra,341,0,341,0.26,Odisha,Rourkela,0,128721,7,0.2649140388903131,0,#004274,2019,Others,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Aam Aadmi Party,S18,6,Lambodar Mohanta,325,1,326,0.25,Odisha,Rourkela,0,128721,8,0.2532609286751968,0,#0080C0,2019,AAP,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Independent,S18,7,Dharmendra Mohapatra,204,0,204,0.16,Odisha,Rourkela,0,128721,11,0.1584822989255832,0,#CEB58C,2019,IND,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Independent,S18,8,Pitabasa Mishra,249,1,250,0.19,Odisha,Rourkela,0,128721,9,0.1942185035852736,0,#CEB58C,2019,IND,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Independent,S18,9,Bikash Mansingh,614,0,614,0.48,Odisha,Rourkela,0,128721,5,0.4770006448054318,0,#CEB58C,2019,IND,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,Independent,S18,10,Mahammad Rizwan Rahi,209,0,209,0.16,Odisha,Rourkela,0,128721,10,0.1623666689972887,0,#CEB58C,2019,IND,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
12,None of the Above,S18,11,NOTA,889,6,895,0.7,Odisha,Rourkela,0,128721,4,0.6953022428352794,0,#DDD1CA,2019,NOTA,Rourkela,GEN,Sundargarh,Sundargarh,Northern Division
13,Bharatiya Janata Party,S18,1,NARASINGHA MINZ,52788,108,52896,30.39,Odisha,Rajgangapur,0,174030,3,30.39475952421996,1,#00A951,2019,BJP,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Biju Janata Dal,S18,2,MANGALA KISAN,52886,86,52972,30.44,Odisha,Rajgangapur,0,174030,2,30.43843015572028,1,#03A31F,2019,BJD,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Indian National Congress,S18,3,C S RAAZEN EKKA,53853,65,53918,30.98,Odisha,Rajgangapur,0,174030,1,30.982014595184737,1,#3498DB,2019,INC,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Aam Aadmi Party,S18,4,ANAND EKKA,1080,5,1085,0.62,Odisha,Rajgangapur,0,174030,8,0.6234557260242487,0,#0080C0,2019,AAP,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Kosal Janata Dal,S18,5,PARUA EKKA,635,0,635,0.36,Odisha,Rajgangapur,0,174030,11,0.3648796184565879,0,#004274,2019,Others,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,6,PATRAS TETE,513,3,516,0.3,Odisha,Rajgangapur,0,174030,13,0.296500603,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,7,ARTHAR SORENG,481,1,482,0.28,Odisha,Rajgangapur,0,174030,14,0.2769637418835833,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,8,DASARATHI LAKRA,571,0,571,0.33,Odisha,Rajgangapur,0,174030,12,0.3281043498247428,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,9,NISHBEN SAMAD,1496,1,1497,0.86,Odisha,Rajgangapur,0,174030,7,0.8601965178417514,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,10,GREGORY MINZ,2996,23,3019,1.73,Odisha,Rajgangapur,0,174030,4,1.7347583749928177,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,11,PRIYADARSHINI BHOI,1612,3,1615,0.93,Odisha,Rajgangapur,0,174030,6,0.9280009193817156,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,12,SIPRIAN WILLIAM KIRO,2748,1,2749,1.58,Odisha,Rajgangapur,0,174030,5,1.579612710452221,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,Independent,S18,13,SUSHIL KUMAR LAKRA,1078,2,1080,0.62,Odisha,Rajgangapur,0,174030,9,0.6205826581623858,0,#CEB58C,2019,IND,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
13,None of the Above,S18,14,NOTA,993,2,995,0.57,Odisha,Rajgangapur,0,174030,10,0.5717405045107166,0,#DDD1CA,2019,NOTA,Rajgangpur,ST,Sundargarh,Sundargarh,Northern Division
14,Bharatiya Janata Party,S18,1,ANIL KUMAR BARLA,37086,180,37266,21.55,Odisha,Bonai,0,172903,3,21.55312516266346,1,#00A951,2019,BJP,Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,Bahujan Samaj Party,S18,2,MADAN LAKRA,1962,5,1967,1.14,Odisha,Bonai,0,172903,8,1.1376320827284665,0,#22409A,2019,BSP,Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,Biju Janata Dal,S18,3,RANJIT KISHAN,47866,43,47909,27.71,Odisha,Bonai,0,172903,2,27.70859962,1,#03A31F,2019,BJD,Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,Communist Party of India  (Marxist),S18,4,LAXMAN MUNDA,59895,44,59939,34.67,Odisha,Bonai,0,172903,1,34.666257959665245,1,#F27A67,2019,CPI(M),Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,Aam Aadmi Party,S18,5,SAPANI PURTY,2118,1,2119,1.23,Odisha,Bonai,0,172903,7,1.2255426452982308,0,#0080C0,2019,AAP,Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,Independent,S18,6,GOPINATH KISAN,1504,0,1504,0.87,Odisha,Bonai,0,172903,9,0.8698518822692493,0,#CEB58C,2019,IND,Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,Independent,S18,7,JANARDAN DEHURY,11712,10,11722,6.78,Odisha,Bonai,0,172903,4,6.779523779228816,0,#CEB58C,2019,IND,Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,Independent,S18,8,DASARATH KISHAN,7775,3,7778,4.5,Odisha,Bonai,0,172903,5,4.498476024129136,0,#CEB58C,2019,IND,Bonai,ST,Sundargarh,Sundargarh,Northern Division
14,None of the Above,S18,9,NOTA,2698,1,2699,1.56,Odisha,Bonai,0,172903,6,1.5609908445775955,0,#DDD1CA,2019,NOTA,Bonai,ST,Sundargarh,Sundargarh,Northern Division
15,Biju Janata Dal,S18,1,Kishore Chandra Naik,72440,161,72601,41.71,Odisha,Kuchinda,0,174063,1,41.70961088801181,1,#03A31F,2019,BJD,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
15,Bahujan Samaj Party,S18,2,RATHA MUNDA,1914,16,1930,1.11,Odisha,Kuchinda,0,174063,5,1.1087939424231457,0,#22409A,2019,BSP,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
15,Bharatiya Janata Party,S18,3,RABI NARAYAN NAIK,68540,553,69093,39.69,Odisha,Kuchinda,0,174063,2,39.69424863411524,1,#00A951,2019,BJP,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
15,Indian National Congress,S18,4,SOVARAM PADHAN,24696,99,24795,14.24,Odisha,Kuchinda,0,174063,3,14.244842384653833,0,#3498DB,2019,INC,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
15,Aam Aadmi Party,S18,5,ABHILAS PRASANT MANKI,950,0,950,0.55,Odisha,Kuchinda,0,174063,7,0.5457794017108748,0,#0080C0,2019,AAP,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
15,Hindusthan Nirman Dal,S18,6,PADMINI BHOI,784,0,784,0.45,Odisha,Kuchinda,0,174063,8,0.4504116325698167,0,#004274,2019,HND,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
15,Independent,S18,7,SANKAR BAGH,1102,3,1105,0.63,Odisha,Kuchinda,0,174063,6,0.6348276198847543,0,#CEB58C,2019,IND,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
15,None of the Above,S18,8,NOTA,2797,8,2805,1.61,Odisha,Kuchinda,0,174063,4,1.6114854966305303,0,#DDD1CA,2019,NOTA,Kuchinda,ST,Sambalpur,Sambalpur,Northern Division
