ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes
Pondicherry,1974,5,1,Oupalam,GEN,"PARTHASARATHY, C. N.",M,,,ADMK,3198
Pondicherry,1974,6,1,Orleampeth,GEN,"MANIMARAN, N.",M,,,ADMK,3833
Pondicherry,1974,7,1,Nellithope,GEN,"KANNAN, R.",M,,,NCO,2495
Pondicherry,1974,8,1,Modeliarpeth,GEN,SABAPATHY ALIAS KOTHANDARAMAN,M,,,NCO,3889
Pondicherry,1974,9,1,Arinkuppam,GEN,"PURUSHOTHAMAN, P. C.",M,,,INC,3364
Pondicherry,1974,10,1,Embalom,SC,G. MURUGESAN,M,,,INC,3140
Pondicherry,1974,11,1,Nettapakkam,GEN,V. VENGATASUBBA REDDI,M,,,INC,4072
Pondicherry,1974,12,1,Kuruvinatham,GEN,VENGATASAMY,M,,,ADMK,3445
Pondicherry,1974,13,1,Bahour,SC,THANGAVEL CLAMANSO,M,,,CPI,2727
Pondicherry,1974,14,1,Thirubuvanai,SC,A. GOPAL,M,,,INC,2672
Pondicherry,1974,15,1,Mannadipath,GEN,D. RAMACHANDIRA REDDIAR,M,,,ADMK,3467
Pondicherry,1974,16,1,Ossudu,SC,T. EZHUMALAI,M,,,ADMK,3426
Pondicherry,1974,17,1,Villenour,GEN,M. K. JEEVARATHINA ODAYAR,M,,,NCO,2812
Pondicherry,1974,18,1,Orhukarai,GEN,"VENUGOPAL ALIAS MANNATHAN, G.",M,,,ADMK,2982
Pondicherry,1974,19,1,Thattanchavady,GEN,"PETHAPERUMAL, V.",M,,,NCO,3468
Pondicherry,1974,20,1,Reddiapalayam,GEN,SUBBIAH V.,M,,,CPI,3345
Pondicherry,1974,21,1,Lawspet,GEN,"FAROOK, M. O. H.",M,,,DMK,3461
Pondicherry,1974,22,1,Cotchery,GEN,T. SUBBAIYA,M,,,ADMK,3660
Pondicherry,1974,23,1,Karaikal,GEN,K. KANDHI.,M,,,ADMK,3964
Pondicherry,1974,24,1,Karaikal South,GEN,S. RAMASAMY,M,,,ADMK,3296
Pondicherry,1974,25,1,Neravy Grand Aldee,GEN,V. M. C. VARADAPILLAI,M,,,ADMK,5313
Pondicherry,1974,26,1,Tirunallar,GEN,A. SOUNDARARENGAN,M,,,DMK,3742
Pondicherry,1974,27,1,Neduncadu,SC,R. COUPOUSAMY,M,,,INC,2934
Pondicherry,1974,28,1,Mahe,GEN,KUNNUMMAL RAGHAVAN,M,,,CPM,1816
Pondicherry,1974,29,1,Paloor,GEN,VANMERI NATAYI PURUSHOTHAMAN,M,,,INC,1980
Pondicherry,1974,30,1,Yanam,GEN,KAMICHETTY SRIPARASSOURAMA VARAPRASSADARAO,M,,,IND,2284
Pondicherry,1977,1,1,Muthialpet,GEN,G. PALANI RAJA,M,,,ADMK,4170
Pondicherry,1977,2,1,Cassicade,GEN,ANSARI DURAISAMY,M,,,JNP,3551
Pondicherry,1977,3,1,Raj Bhavan,GEN,RAMAJAYAM D.,M,,,JNP,1411
Pondicherry,1977,4,1,Bussy,GEN,SUSAIRAJ S.,M,,,ADMK,1289
Pondicherry,1977,5,1,Oupalam,GEN,C. N. PATHASARATHY,M,,,ADMK,2551
Pondicherry,1977,6,1,Orleampeth,GEN,N. MANIMARAM MARIMUTHU,M,,,ADMK,3779
Pondicherry,1977,7,1,Nellithope,GEN,R. KANNAN,M,,,JNP,2757
Pondicherry,1977,8,1,Modeliarpeth,GEN,V. SABABADY KOTHANDRAMAN,M,,,INC,3947
Pondicherry,1977,9,1,Ariankuppam,GEN,P. SUBBARAYAN,M,,,DMK,3345
Pondicherry,1977,10,1,Embalom,SC,SIVALOGANATHAN K.,M,,,ADMK,2442
Pondicherry,1977,11,1,Nettapakkam,GEN,SRVAPRAKASAM S.,M,,,INC,3122
Pondicherry,1977,12,1,Kuruvinatham,GEN,N. VENGADASAMY,M,,,ADMK,3359
Pondicherry,1977,13,1,Bahour,SC,P. UTHIRAVELU,M,,,JNP,3399
Pondicherry,1977,14,1,Thirubuvanai,SC,MANIYAM M.,M,,,ADMK,3226
Pondicherry,1977,15,1,Mannadipeth,GEN,RAMACHANDRAN D.,M,,,ADMK,3824
Pondicherry,1977,16,1,Ossudu,SC,THANGAVELU M.,M,,,ADMK,2902
Pondicherry,1977,17,1,Villenour,GEN,PAZHANINATHAN S.,M,,,ADMK,2891
Pondicherry,1977,18,1,Ozhukarai,GEN,G. PERUMAL RAJA,M,,,DMK,2477
Pondicherry,1977,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,JNP,4669
Pondicherry,1977,20,1,Reddiarpalayam,GEN,V. SUBBIAH,M,,,CPI,2775
Pondicherry,1977,21,1,Lawspet,GEN,N. VARADHAN,M,,,ADMK,4477
Pondicherry,1977,22,1,Cotchery,GEN,T. SUBBIAH,M,,,ADMK,3041
