ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes
Pondicherry,2001,12,1,Kuruvinatham,GEN,R. RADHAKRISHNAN,M,,,PMC,8000
Pondicherry,2001,13,1,Bahour,SC,P. RAJAVELU,M,,,PMC,7696
Pondicherry,2001,14,1,Thirubuvanai,SC,P. ANGALAN,M,,,INC,4753
Pondicherry,2001,15,1,Mannadipeth,GEN,D. RAMACHANDRAN,M,,,ADMK,8939
Pondicherry,2001,16,1,Ossudu,SC,A. ELUMALAI,M,,,PMC,5364
Pondicherry,2001,17,1,Villenour,GEN,C. DJEACOUMAR,M,,,TMC(M),10335
Pondicherry,2001,18,1,Ozhukarai,GEN,A. NAMASSIVAYAM,M,,,TMC(M),10164
Pondicherry,2001,19,1,Thattanchavady,GEN,N. RANGASAMY,M,,,INC,14323
Pondicherry,2001,20,1,Reddiarpalayam,GEN,A.M. KRISHNAMURTHY,M,,,BJP,11446
Pondicherry,2001,21,1,Lawspet,GEN,SHAJAHAN .M.O.H.F.,M,,,INC,12929
Pondicherry,2001,22,1,Cotchery,GEN,R. NALAMAGARAJAN,M,,,INC,7058
Pondicherry,2001,23,1,Karaikal,GEN,A.M.H. NAZEEM,M,,,DMK,6273
Pondicherry,2001,24,1,Karaikal South,GEN,A.V. SUBRAMANIAN,M,,,INC,6138
Pondicherry,2001,25,1,Neravy-Grand Aldee,GEN,V.M.C. SIVAKUMAR,M,,,DMK,6672
Pondicherry,2001,26,1,Tirunallar,GEN,R. KAMALAKKANNAN,M,,,INC,5390
Pondicherry,2001,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,INC,5720
Pondicherry,2001,28,1,Mahe,GEN,E. VALSARAJ,M,,,INC,5666
Pondicherry,2001,29,1,Palloor,GEN,A.V. SREEDHARAN,M,,,INC,4855
Pondicherry,2001,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,,,IND,8959
Pondicherry,2006,1,1,Muthialpet,GEN,NANDHA T. SARAVANAN,M,36,GEN,DMK,11658
Pondicherry,2006,2,1,Cassicade,GEN,K. LAKSHMINARAYANAN,M,45,GEN,PMC,4942
Pondicherry,2006,3,1,Raj Bhavan,GEN,S.P. SIVAKUMAR,M,47,GEN,DMK,2590
Pondicherry,2006,4,1,Bussy,GEN,ANAND,M,42,GEN,PMC,2423
Pondicherry,2006,5,1,Oupalam,GEN,"ANBALAGAN, A.",M,49,GEN,ADMK,9200
Pondicherry,2006,6,1,Orleampeth,GEN,R. SIVA,M,39,GEN,DMK,8509
Pondicherry,2006,7,1,Nellithope,GEN,OM SAKTHI SEKAR @ S.,M,46,GEN,ADMK,9933
Pondicherry,2006,8,1,Modeliarpeth,GEN,DR. M.A.S. SUBRAMANIAN,M,59,GEN,DMK,10783
Pondicherry,2006,9,1,Ariankuppam,GEN,R.K.R. ANANTHARAMAN,M,33,GEN,PMK,13314
Pondicherry,2006,10,1,Embalom,SC,R. RAJARAMAN,M,46,SC,DMK,7208
Pondicherry,2006,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,55,GEN,INC,9166
Pondicherry,2006,12,1,Kuruvinatham,GEN,R. RADHAKRISHNAN,M,34,GEN,INC,13020
Pondicherry,2006,13,1,Bahour,SC,M. KANDASAMY,M,40,SC,INC,11164
Pondicherry,2006,14,1,Thirubuvanai,SC,ANGALANE,M,37,SC,INC,10534
Pondicherry,2006,15,1,Mannadipeth,GEN,P. ARULMURUGAN,M,30,GEN,PMK,8193
Pondicherry,2006,16,1,Ossudu,SC,A. ELUMALAI,M,41,SC,IND,6417
Pondicherry,2006,17,1,Villenour,GEN,J. NARAYANASAMY,M,55,GEN,IND,11950
Pondicherry,2006,18,1,Ozhukarai,GEN,A. NAMASSIVAYAM,M,37,GEN,INC,14072
Pondicherry,2006,19,1,Thattanchavady,GEN,N. RANGASAMY,M,56,GEN,INC,27024
Pondicherry,2006,20,1,Reddiarpalayam,GEN,R.VISWANATHAN,M,57,GEN,CPI,17314
Pondicherry,2006,21,1,Lawspet,GEN,M.O.H.F. SHAHJAHAN,M,42,GEN,INC,17944
Pondicherry,2006,22,1,Cotchery,GEN,OMALINGAM.V,M,34,GEN,ADMK,10116
Pondicherry,2006,23,1,Karaikal,GEN,A.M.H. NAZEEM,M,44,GEN,DMK,5742
Pondicherry,2006,24,1,Karaikal South,GEN,V.K.GANAPATHY,M,45,GEN,PMC,7970
Pondicherry,2006,25,1,Neravy-Grand Aldee,GEN,V.M.C. SIVAKKUMAR,M,56,GEN,DMK,4946
Pondicherry,2006,26,1,Tirunallar,GEN,P.R.SIVA,M,31,GEN,MDMK,7237
Pondicherry,2006,27,1,Neduncadu,SC,A.MARIMUTHU,M,64,SC,IND,6143
Pondicherry,2006,28,1,Mahe,GEN,E. VALSARAJ,M,52,GEN,INC,5647
Pondicherry,2006,29,1,Palloor,GEN,A.V.SREEDHARAN,M,60,GEN,INC,5987
Pondicherry,2006,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,41,GEN,INC,11763
Pondicherry,2011,1,1,Mannadipet,GEN,T.P.R. SELVAM,M,39,GEN,AINRC,12412
Pondicherry,2011,2,1,Thirubhuvanai,SC,P. ANGALANE,M,43,SC,AINRC,13733
Pondicherry,2011,3,1,Oussudu,SC,P. KARTHIKEYAN,M,35,SC,AINRC,13327
Pondicherry,2011,4,1,Mangalam,GEN,C. DJEACOUMAR,M,57,GEN,INC,14052
Pondicherry,2011,5,1,Villianur,GEN,A. NAMASSIVAYAM,M,41,GEN,INC,13105
Pondicherry,2011,6,1,Ozhukarai,GEN,N.G. PANNIR SELVAM,M,48,GEN,AINRC,9071
Pondicherry,2011,7,1,Kadirgamam,GEN,N. RANGASAMY,M,61,GEN,AINRC,16323
Pondicherry,2011,8,1,Indira Nagar,GEN,N. RANGASAMY,M,61,GEN,AINRC,20685
Pondicherry,2011,9,1,Thattanchavady,GEN,ASHOK ANAND,M,36,GEN,AINRC,14597
Pondicherry,2011,10,1,Kamaraj Nagar,GEN,V. VAITHILINGAM,M,60,GEN,INC,12570
Pondicherry,2011,11,1,Lawspet,GEN,M. VAITHIANATHAN,M,37,GEN,AINRC,10189
Pondicherry,2011,12,1,Kalapet,GEN,P.M.L. KALYANA SUNDARAM,M,33,GEN,AINRC,14132
Pondicherry,2011,13,1,Muthialpet,GEN,NANDHA. T. SARAVANAN,M,40,GEN,DMK,10364
Pondicherry,2011,14,1,Raj Bhavan,GEN,K. LAKSHMINARAYANAN,M,51,GEN,INC,11398
Pondicherry,2011,15,1,Oupalam,GEN,A. ANBALAGAN,M,54,GEN,ADMK,9536
Pondicherry,2011,16,1,Orleampeth,GEN,G. NEHRU @ KUPPUSAMY,M,47,GEN,AINRC,10986
Pondicherry,2011,17,1,Nellithope,GEN,OMSAKTHI SEKAR,M,50,GEN,ADMK,13301
Pondicherry,2011,18,1,Mudaliarpet,GEN,A. BASKAR,M,40,GEN,ADMK,17016
Pondicherry,2011,19,1,Ariankuppam,GEN,V.SABAPATHY @,M,67,GEN,AINRC,13381
Pondicherry,2011,20,1,Manavely,GEN,P.PURUSHOTHAMAN,M,63,GEN,ADMK,13979
Pondicherry,2011,21,1,Embalam,SC,P. RAJAVELU,M,49,SC,AINRC,12933
Pondicherry,2011,22,1,Nettapakkam,SC,L. PERIYASAMY,M,52,SC,ADMK,14686
Pondicherry,2011,23,1,Bahour,GEN,T. THIAGARAJAN,M,59,GEN,AINRC,12284
Pondicherry,2011,24,1,Nedungadu,SC,M.CHANDHRAKASU,M,62,SC,AINRC,12474
Pondicherry,2011,25,1,Thirunallar,GEN,P.R. SIVA,M,35,GEN,AINRC,11702
Pondicherry,2011,26,1,Karaikal North,GEN,P.R.N. THIRUMURUGAN,M,38,GEN,INC,12155
Pondicherry,2011,27,1,Karaikal South,GEN,A.M.H. NAZEEM,M,49,GEN,DMK,8377
Pondicherry,2011,28,1,Neravy T.R. Pattinam,GEN,V.M.C. SIVAKKUMAR,M,60,GEN,IND,8860
Pondicherry,2011,29,1,Mahe,GEN,E.VALSARAJ,M,57,GEN,INC,13297
Pondicherry,2011,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,46,GEN,INC,23985
