ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color
Pondicherry,1969,30,1,Yanaon,GEN,K.S. P.V. RAO NAIDU,M,,,2287,IND,#888888
Pondicherry,1974,1,1,Muthialpet,GEN,"PAJANIRAJA, G.",M,,,4315,ADMK,#9DBC2A
Pondicherry,1974,2,1,Cassicade,GEN,"ANSARI DURAISWAMY, P.",M,,,2996,NCO,#222
Pondicherry,1974,3,1,Raj Bhavan,GEN,DHANA KANTHARAJ,M,,,2399,INC,#019733
Pondicherry,1974,4,1,Bussy,GEN,"PAKKIAM, S.",M,,,1680,ADMK,#9DBC2A
Pondicherry,1974,5,1,Oupalam,GEN,"PARTHASARATHY, C. N.",M,,,3198,ADMK,#9DBC2A
Pondicherry,1974,6,1,Orleampeth,GEN,"MANIMARAN, N.",M,,,3833,ADMK,#9DBC2A
Pondicherry,1974,7,1,Nellithope,GEN,"KANNAN, R.",M,,,2495,NCO,#222
Pondicherry,1974,8,1,Modeliarpeth,GEN,SABAPATHY ALIAS KOTHANDARAMAN,M,,,3889,NCO,#222
Pondicherry,1974,9,1,Arinkuppam,GEN,"PURUSHOTHAMAN, P. C.",M,,,3364,INC,#019733
Pondicherry,1974,10,1,Embalom,SC,G. MURUGESAN,M,,,3140,INC,#019733
Pondicherry,1974,11,1,Nettapakkam,GEN,V. VENGATASUBBA REDDI,M,,,4072,INC,#019733
Pondicherry,1974,12,1,Kuruvinatham,GEN,VENGATASAMY,M,,,3445,ADMK,#9DBC2A
Pondicherry,1974,13,1,Bahour,SC,THANGAVEL CLAMANSO,M,,,2727,CPI,#DE0000
Pondicherry,1974,14,1,Thirubuvanai,SC,A. GOPAL,M,,,2672,INC,#019733
Pondicherry,1974,15,1,Mannadipath,GEN,D. RAMACHANDIRA REDDIAR,M,,,3467,ADMK,#9DBC2A
Pondicherry,1974,16,1,Ossudu,SC,T. EZHUMALAI,M,,,3426,ADMK,#9DBC2A
Pondicherry,1974,17,1,Villenour,GEN,M. K. JEEVARATHINA ODAYAR,M,,,2812,NCO,#222
Pondicherry,1974,18,1,Orhukarai,GEN,"VENUGOPAL ALIAS MANNATHAN, G.",M,,,2982,ADMK,#9DBC2A
Pondicherry,1974,19,1,Thattanchavady,GEN,"PETHAPERUMAL, V.",M,,,3468,NCO,#222
Pondicherry,1974,20,1,Reddiapalayam,GEN,SUBBIAH V.,M,,,3345,CPI,#DE0000
