ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color
Pondicherry,1996,7,1,Nellithope,GEN,R.V. JANAKIRAMAN,M,,,8803,DMK,#800000
Pondicherry,1996,8,1,Modeliarpeth,GEN,M. MANJINI,M,,,11380,CPI,#DE0000
Pondicherry,1996,9,1,Ariankuppam,GEN,S. RAMSINGH,M,,,7382,PMK,#F0CC52
Pondicherry,1996,10,1,Embalom,SC,R. RAJARAMAN,M,,,8311,JD,#222
Pondicherry,1996,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,7563,INC,#019733
Pondicherry,1996,12,1,Kuruvinatham,GEN,T. THIAGARAJAN,M,,,7209,INC,#019733
Pondicherry,1996,13,1,Bahour,SC,M. KANDASAMY,M,,,7921,TMC(M),#000080
Pondicherry,1996,14,1,Thirubuvanai,SC,S. ARASI,F,,,5707,ADMK,#9DBC2A
Pondicherry,1996,15,1,Mannadipeth,GEN,K. RAJASEGARAN,M,,,8113,TMC(M),#000080
Pondicherry,1996,16,1,Ossudu,SC,V. NAGARATHINAM,M,,,7380,TMC(M),#000080
Pondicherry,1996,17,1,Villenour,GEN,C. JAYAKUMAR,M,,,12205,TMC(M),#000080
Pondicherry,1996,18,1,Ozhukarai,GEN,K. NATARAJAN,M,,,7794,ADMK,#9DBC2A
Pondicherry,1996,19,1,Thattanchavady,GEN,N. RANGASAMY,M,,,9989,INC,#019733
Pondicherry,1996,20,1,Reddiarpalayam,GEN,R. VISWANATHAN,M,,,17206,CPI,#DE0000
Pondicherry,1996,21,1,Lawspet,GEN,N. KESAVAN,M,,,16442,DMK,#800000
Pondicherry,1996,22,1,Cotchery,GEN,R. NALAMAGARAJAN,M,,,7630,INC,#019733
Pondicherry,1996,23,1,Karaikal,GEN,A.M.H. NAZEEM,M,,,9474,DMK,#800000
Pondicherry,1996,24,1,Karaikal South,GEN,A.V. SUBRAMANIAN,M,,,6676,INC,#019733
Pondicherry,1996,25,1,Neravy-Grand Aldee,GEN,V.M.C. SIVAKUMAR,M,,,7595,DMK,#800000
Pondicherry,1996,26,1,Tirunallar,GEN,R. KAMALAKANNAN,M,,,6063,INC,#019733
Pondicherry,1996,27,1,Neduncadu,SC,A. MARIMUTHU,M,,,6899,DMK,#800000
Pondicherry,1996,28,1,Mahe,GEN,E. VALSARAJ,M,,,4184,INC,#019733
Pondicherry,1996,29,1,Palloor,GEN,A.V. SREEDHARAN,M,,,4253,INC,#019733
Pondicherry,1996,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,,,8445,IND,#888888
Pondicherry,2001,1,1,Muthialpet,GEN,KASILINGAM .A.,M,,,6857,ADMK,#9DBC2A
Pondicherry,2001,2,1,Cassicade,GEN,LAKSHMINARAYANAN .K.,M,,,4875,PMC,#222
Pondicherry,2001,3,1,Raj Bhavan,GEN,SIVAKUMAR .S.P.,M,,,2408,DMK,#800000
Pondicherry,2001,4,1,Bussy,GEN,ANNIBAL KENNEDY,M,,,3087,DMK,#800000
Pondicherry,2001,5,1,Oupalam,GEN,ANBALAGAN .A.,M,,,8416,ADMK,#9DBC2A
Pondicherry,2001,6,1,Orleampeth,GEN,SIVA .R.,M,,,7608,DMK,#800000
Pondicherry,2001,7,1,Nellithope,GEN,R.V. JANAKIRAMAN,M,,,7780,DMK,#800000
Pondicherry,2001,8,1,Modeliarpeth,GEN,DR. SUBRAMANIAN .M.A.S.,M,,,9119,DMK,#800000
Pondicherry,2001,9,1,Ariankuppam,GEN,JAYAMOORTHY .T.,M,,,9790,IND,#888888
Pondicherry,2001,10,1,Embalom,SC,N. GANGADARAN,M,,,3723,INC,#019733
Pondicherry,2001,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,5984,INC,#019733
Pondicherry,2001,12,1,Kuruvinatham,GEN,R. RADHAKRISHNAN,M,,,8000,PMC,#222
Pondicherry,2001,13,1,Bahour,SC,P. RAJAVELU,M,,,7696,PMC,#222
Pondicherry,2001,14,1,Thirubuvanai,SC,P. ANGALAN,M,,,4753,INC,#019733
Pondicherry,2001,15,1,Mannadipeth,GEN,D. RAMACHANDRAN,M,,,8939,ADMK,#9DBC2A
Pondicherry,2001,16,1,Ossudu,SC,A. ELUMALAI,M,,,5364,PMC,#222
Pondicherry,2001,17,1,Villenour,GEN,C. DJEACOUMAR,M,,,10335,TMC(M),#000080
Pondicherry,2001,18,1,Ozhukarai,GEN,A. NAMASSIVAYAM,M,,,10164,TMC(M),#000080
Pondicherry,2001,19,1,Thattanchavady,GEN,N. RANGASAMY,M,,,14323,INC,#019733
Pondicherry,2001,20,1,Reddiarpalayam,GEN,A.M. KRISHNAMURTHY,M,,,11446,BJP,#ff7f0e
Pondicherry,2001,21,1,Lawspet,GEN,SHAJAHAN .M.O.H.F.,M,,,12929,INC,#019733
Pondicherry,2001,22,1,Cotchery,GEN,R. NALAMAGARAJAN,M,,,7058,INC,#019733
Pondicherry,2001,23,1,Karaikal,GEN,A.M.H. NAZEEM,M,,,6273,DMK,#800000
Pondicherry,2001,24,1,Karaikal South,GEN,A.V. SUBRAMANIAN,M,,,6138,INC,#019733
Pondicherry,2001,25,1,Neravy-Grand Aldee,GEN,V.M.C. SIVAKUMAR,M,,,6672,DMK,#800000
Pondicherry,2001,26,1,Tirunallar,GEN,R. KAMALAKKANNAN,M,,,5390,INC,#019733
Pondicherry,2001,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,5720,INC,#019733
Pondicherry,2001,28,1,Mahe,GEN,E. VALSARAJ,M,,,5666,INC,#019733
Pondicherry,2001,29,1,Palloor,GEN,A.V. SREEDHARAN,M,,,4855,INC,#019733
Pondicherry,2001,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,,,8959,IND,#888888
Pondicherry,2006,1,1,Muthialpet,GEN,NANDHA T. SARAVANAN,M,36,GEN,11658,DMK,#800000
Pondicherry,2006,2,1,Cassicade,GEN,K. LAKSHMINARAYANAN,M,45,GEN,4942,PMC,#222
Pondicherry,2006,3,1,Raj Bhavan,GEN,S.P. SIVAKUMAR,M,47,GEN,2590,DMK,#800000
Pondicherry,2006,4,1,Bussy,GEN,ANAND,M,42,GEN,2423,PMC,#222
Pondicherry,2006,5,1,Oupalam,GEN,"ANBALAGAN, A.",M,49,GEN,9200,ADMK,#9DBC2A
Pondicherry,2006,6,1,Orleampeth,GEN,R. SIVA,M,39,GEN,8509,DMK,#800000
Pondicherry,2006,7,1,Nellithope,GEN,OM SAKTHI SEKAR @ S.,M,46,GEN,9933,ADMK,#9DBC2A
Pondicherry,2006,8,1,Modeliarpeth,GEN,DR. M.A.S. SUBRAMANIAN,M,59,GEN,10783,DMK,#800000
Pondicherry,2006,9,1,Ariankuppam,GEN,R.K.R. ANANTHARAMAN,M,33,GEN,13314,PMK,#F0CC52
Pondicherry,2006,10,1,Embalom,SC,R. RAJARAMAN,M,46,SC,7208,DMK,#800000
Pondicherry,2006,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,55,GEN,9166,INC,#019733
Pondicherry,2006,12,1,Kuruvinatham,GEN,R. RADHAKRISHNAN,M,34,GEN,13020,INC,#019733
Pondicherry,2006,13,1,Bahour,SC,M. KANDASAMY,M,40,SC,11164,INC,#019733
Pondicherry,2006,14,1,Thirubuvanai,SC,ANGALANE,M,37,SC,10534,INC,#019733
Pondicherry,2006,15,1,Mannadipeth,GEN,P. ARULMURUGAN,M,30,GEN,8193,PMK,#F0CC52
Pondicherry,2006,16,1,Ossudu,SC,A. ELUMALAI,M,41,SC,6417,IND,#888888
Pondicherry,2006,17,1,Villenour,GEN,J. NARAYANASAMY,M,55,GEN,11950,IND,#888888
Pondicherry,2006,18,1,Ozhukarai,GEN,A. NAMASSIVAYAM,M,37,GEN,14072,INC,#019733
Pondicherry,2006,19,1,Thattanchavady,GEN,N. RANGASAMY,M,56,GEN,27024,INC,#019733
Pondicherry,2006,20,1,Reddiarpalayam,GEN,R.VISWANATHAN,M,57,GEN,17314,CPI,#DE0000
Pondicherry,2006,21,1,Lawspet,GEN,M.O.H.F. SHAHJAHAN,M,42,GEN,17944,INC,#019733
Pondicherry,2006,22,1,Cotchery,GEN,OMALINGAM.V,M,34,GEN,10116,ADMK,#9DBC2A
Pondicherry,2006,23,1,Karaikal,GEN,A.M.H. NAZEEM,M,44,GEN,5742,DMK,#800000
Pondicherry,2006,24,1,Karaikal South,GEN,V.K.GANAPATHY,M,45,GEN,7970,PMC,#222
Pondicherry,2006,25,1,Neravy-Grand Aldee,GEN,V.M.C. SIVAKKUMAR,M,56,GEN,4946,DMK,#800000
Pondicherry,2006,26,1,Tirunallar,GEN,P.R.SIVA,M,31,GEN,7237,MDMK,#835C91
Pondicherry,2006,27,1,Neduncadu,SC,A.MARIMUTHU,M,64,SC,6143,IND,#888888
Pondicherry,2006,28,1,Mahe,GEN,E. VALSARAJ,M,52,GEN,5647,INC,#019733
Pondicherry,2006,29,1,Palloor,GEN,A.V.SREEDHARAN,M,60,GEN,5987,INC,#019733
Pondicherry,2006,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,41,GEN,11763,INC,#019733
Pondicherry,2011,1,1,Mannadipet,GEN,T.P.R. SELVAM,M,39,GEN,12412,AINRC,#B78332
Pondicherry,2011,2,1,Thirubhuvanai,SC,P. ANGALANE,M,43,SC,13733,AINRC,#B78332
Pondicherry,2011,3,1,Oussudu,SC,P. KARTHIKEYAN,M,35,SC,13327,AINRC,#B78332
Pondicherry,2011,4,1,Mangalam,GEN,C. DJEACOUMAR,M,57,GEN,14052,INC,#019733
Pondicherry,2011,5,1,Villianur,GEN,A. NAMASSIVAYAM,M,41,GEN,13105,INC,#019733
Pondicherry,2011,6,1,Ozhukarai,GEN,N.G. PANNIR SELVAM,M,48,GEN,9071,AINRC,#B78332
Pondicherry,2011,7,1,Kadirgamam,GEN,N. RANGASAMY,M,61,GEN,16323,AINRC,#B78332
Pondicherry,2011,8,1,Indira Nagar,GEN,N. RANGASAMY,M,61,GEN,20685,AINRC,#B78332
Pondicherry,2011,9,1,Thattanchavady,GEN,ASHOK ANAND,M,36,GEN,14597,AINRC,#B78332
Pondicherry,2011,10,1,Kamaraj Nagar,GEN,V. VAITHILINGAM,M,60,GEN,12570,INC,#019733
Pondicherry,2011,11,1,Lawspet,GEN,M. VAITHIANATHAN,M,37,GEN,10189,AINRC,#B78332
Pondicherry,2011,12,1,Kalapet,GEN,P.M.L. KALYANA SUNDARAM,M,33,GEN,14132,AINRC,#B78332
Pondicherry,2011,13,1,Muthialpet,GEN,NANDHA. T. SARAVANAN,M,40,GEN,10364,DMK,#800000
Pondicherry,2011,14,1,Raj Bhavan,GEN,K. LAKSHMINARAYANAN,M,51,GEN,11398,INC,#019733
Pondicherry,2011,15,1,Oupalam,GEN,A. ANBALAGAN,M,54,GEN,9536,ADMK,#9DBC2A
Pondicherry,2011,16,1,Orleampeth,GEN,G. NEHRU @ KUPPUSAMY,M,47,GEN,10986,AINRC,#B78332
Pondicherry,2011,17,1,Nellithope,GEN,OMSAKTHI SEKAR,M,50,GEN,13301,ADMK,#9DBC2A
Pondicherry,2011,18,1,Mudaliarpet,GEN,A. BASKAR,M,40,GEN,17016,ADMK,#9DBC2A
Pondicherry,2011,19,1,Ariankuppam,GEN,V.SABAPATHY @,M,67,GEN,13381,AINRC,#B78332
Pondicherry,2011,20,1,Manavely,GEN,P.PURUSHOTHAMAN,M,63,GEN,13979,ADMK,#9DBC2A
Pondicherry,2011,21,1,Embalam,SC,P. RAJAVELU,M,49,SC,12933,AINRC,#B78332
Pondicherry,2011,22,1,Nettapakkam,SC,L. PERIYASAMY,M,52,SC,14686,ADMK,#9DBC2A
Pondicherry,2011,23,1,Bahour,GEN,T. THIAGARAJAN,M,59,GEN,12284,AINRC,#B78332
Pondicherry,2011,24,1,Nedungadu,SC,M.CHANDHRAKASU,M,62,SC,12474,AINRC,#B78332
Pondicherry,2011,25,1,Thirunallar,GEN,P.R. SIVA,M,35,GEN,11702,AINRC,#B78332
Pondicherry,2011,26,1,Karaikal North,GEN,P.R.N. THIRUMURUGAN,M,38,GEN,12155,INC,#019733
Pondicherry,2011,27,1,Karaikal South,GEN,A.M.H. NAZEEM,M,49,GEN,8377,DMK,#800000
Pondicherry,2011,28,1,Neravy T.R. Pattinam,GEN,V.M.C. SIVAKKUMAR,M,60,GEN,8860,IND,#888888
Pondicherry,2011,29,1,Mahe,GEN,E.VALSARAJ,M,57,GEN,13297,INC,#019733
Pondicherry,2011,30,1,Yanam,GEN,MALLADI KRISHNA RAO,M,46,GEN,23985,INC,#019733
