YEAR,AC_NAME,VOTES
1967,ULUNDURPET,56739
1967,UPPILIAPURAM,77199
1967,USILAMPATTI,62004
1967,UTHANGARAI,64798
1967,UTTIRAMERUR,74503
1967,VADAMADURAI,62115
1967,VALANGIMAN,64854
1967,VALPARAI,61813
1967,VANDAVASI,63060
1967,VANIYAMBADI,53073
1967,VANUR,59976
1967,VARAHUR,66169
1967,VASUDEVANALLUR,67403
1967,VEDARANYAM,67016
1967,VEDASANDUR,62426
1967,VEERAPANDI,64557
1967,VELLAKOIL,73688
1967,VELLORE,67613
1967,VILATHIKULAM,63795
1967,VILAVANCODE,48961
1967,VILLUPURAM,69985
1967,VIRALIMALAI,61022
1967,VIRUDHUNAGAR,66974
1967,VRIDHACHALAM,77100
1967,WASHERMANPET,68190
1967,YERCAUD,44661
1971,ACHARAPAKKAM,59636
1971,ADUTHURAI,78083
1971,ALANGUDI,79826
1971,ALANGULAM,71214
1971,AMBASAMUDRAM,67047
1971,AMBUR,59697
1971,ANDHIYUR,57567
1971,ANDIMADAM,74103
1971,ANDIPATTI,57225
1971,ARAKKONAM,70294
1971,ARANI,62281
1971,ARANTHANGI,88377
1971,ARAVAKURICHI,56846
1971,ARCOT,67700
1971,ARIYALUR,75287
1971,ARUPPUKKOTTAI,65332
1971,ATHOOR,70675
1971,ATTUR,75445
1971,AVANASHI,58828
1971,BASIN BRIDGE,86301
1971,BHAVANI,64900
1971,BHAVANISAGAR,53971
1971,BHUVANAGIRI,64585
1971,BODINAYAKKANUR,65091
1971,CHENGALPATTU,67558
1971,CHENGAM,52551
1971,CHERANMAHADEVI,69285
1971,CHEYYAR,71655
1971,CHIDAMBARAM,71027
1971,COIMBATORE NORTH,62621
1971,COIMBATORE SOUTH,66367
1971,COONOOR,54982
1971,CUDDALORE,66950
1971,CUMBUM,70562
1971,DHARAPURAM,63575
1971,DHARMAPURI,73592
1971,DINDIGUL,69778
1971,EDAPPADI,65123
1971,EGMORE,76329
1971,ERODE,78167
1971,GANDHARVAKOTTAI,72969
1971,GANGAIKONDAN,56032
1971,GINGEE,66022
1971,GOBICHETTIPALAYAM,59187
1971,GUDALUR,40745
1971,GUDIYATTAM,62000
1971,GUMMIDIPOONDI,74230
1971,HARBOUR,59115
1971,HARUR,60888
1971,HOSUR,44287
1971,ILAYANGUDI,73482
1971,JAYANKONDAM,72044
1971,KADALADI,48597
1971,KADAMBATHUR,57472
1971,KADAVUR,61515
1971,KADAYANALLUR,71728
1971,KALASAPAKKAM,72853
1971,KALLAKURICHI,72887
1971,KANCHEEPURAM,83800
1971,KANDAMANGALAM,56329
1971,KANGAYAM,63942
1971,KANIYAMBADI,63640
1971,KANNIYAKUMARI,70220
1971,KAPILAMALAI,77180
1971,KARAIKUDI,66844
1971,KARIAPATTI,61360
1971,KARUR,81297
1971,KATPADI,64868
1971,KATTUMANNARKOIL,63508
1971,KAVERIPATTINAM,63937
1971,KILLIYOOR,55536
1971,KINATHUKKADAVU,69825
1971,KODAVASAL,65552
1971,KOLLACHAL,68026
1971,KOTTUR,64728
1971,KOVILPATTI,62490
1971,KRISHNAGIRI,49916
1971,KRISHNARAJAPURAM,65737
1971,KULITHALAI,82343
1971,KUMBAKONAM,77265
1971,KUNNATHUR,73091
1971,KURINJIPADI,53404
1971,KUTTALAM,63733
1971,LALGUDI,73775
1971,MADURAI CENTRAL,63195
1971,MADURAI EAST,63181
1971,MADURAI WEST,85426
1971,MADURANTHAKAM,65541
1971,MANAMADURAI,74989
1971,MANGALUR,62431
1971,MANNARGUDI,67648
1971,MAYURAM,73603
1971,MELAPALAYAM,62519
1971,MELMALAYANUR,58207
1971,MELUR NORTH,74547
1971,MELUR SOUTH,76685
1971,METTUPPALAYAM,69566
1971,METTUR,56844
1971,MODAKKURICHI,77533
1971,MUDHUKULATHUR,55591
1971,MUGAIYUR,64592
1971,MUSIRI,64641
1971,MYLAPORE,76899
1971,NAGAPATTINAM,66392
1971,NAGERCOIL,72215
1971,NAMAKKAL,73839
1971,NANGUNERI,61962
1971,NANNILAM,61835
1971,NATRAMPALLI,60185
1971,NELLIKUPPAM,61741
1971,NILAKKOTTAI,63123
1971,ODDAMCHATRAM,69235
1971,OMALUR,42862
1971,ORATHANADU,79479
1971,OTTAPIDARAM,48442
1971,PADMANABHAPURAM,57833
1971,PALACODU,61279
1971,PALANI,69764
1971,PALLADAM,60583
1971,PANAMARATHUPATTI,65841
1971,PANRUTI,80940
1971,PAPANASAM,77381
1971,PARAMAKUDI,72260
1971,PARK TOWN,56199
1971,PATTUKKOTTAI,70794
1971,PENNAGARAM,63589
1971,PERAMBALUR,131340
1971,PERAMBUR,87056
1971,PERAVURANI,87832
1971,PERIYAKULAM,66718
1971,PERNAMBATTU,60063
1971,PERUNDURAI,68982
1971,PERUR,68080
1971,POLLACHI,65567
1971,POLUR,59960
1971,PONGALUR,61985
1971,PONNERI,68136
1971,PUDUKKOTTAI,74095
1971,PURASAWALKAM,84063
1971,RADHAPURAM,65167
1971,RAJAPALAYAM,72990
1971,RAMANATHAPURAM,62549
1971,RANIPET,67379
1971,RASIPURAM,74827
1971,RISHIVANDIYAM,56592
1971,SAIDAPET,116290
1971,SALEM-I,90847
1971,SALEM-II,70402
1971,SANKARANKOVIL,57696
1971,SANKARAPURAM,57016
1971,SANKARI,45677
1971,SATHYAMANGALAM,57323
1971,SATTANGULAM,64789
1971,SATTUR,58827
1971,SEDAPATTI,55459
1971,SEMBANARKOIL,60298
1971,SENTHAMANGALAM,60629
1971,SHOLAVANDAN,78312
1971,SHOLINGHUR,66397
1971,SINGANALLUR,66598
1971,SIRKAZHI,60053
1971,SIVAGANGA,70310
1971,SIVAKASI,67074
1971,SRIPERUMBUDUR,78818
1971,SRIRANGAM,70615
1971,SRIVAIKUNTAM,67938
1971,SRIVILLIPUTHUR,65558
1971,ST THOMAS MOUNT,107028
1971,T-NAGAR,76775
1971,TALAVASAL,66145
1971,TARAMANGALAM,53821
1971,TENKASI,70260
1971,THANDARAMBATTU,64591
1971,THANJAVUR,68711
1971,THENI,71533
1971,THIRUMAIYAM,72615
1971,THIRUMANGALAM,64016
1971,THIRUPPARANKUNDRAM,77591
1971,THIRUTHURAIPUNDI,64792
1971,THIRUVAIYARU,73186
1971,THIRUVALLUR,58110
1971,THIRUVARUR,64950
1971,THIRUVATTAR,60500
1971,THIRUVERAMBUR,81491
1971,THIRUVOTTIYUR,95812
1971,THONDAMUTHUR,84873
1971,THOTTIYAM,77398
1971,THOUSAND LIGHTS,67767
1971,TINDIVANAM,60784
1971,TIRUCHENDUR,74665
1971,TIRUCHENGODU,71610
1971,TIRUCHIRAPALLI-I,72358
1971,TIRUCHIRAPALLI-II,72829
1971,TIRUKKOYILUR,69691
1971,TIRUNELVELI,69698
1971,TIRUPPATTUR,144004
1971,TIRUPPORUR,70507
1971,TIRUPPUR,74281
1971,TIRUTTANI,70374
1971,TIRUVADANAI,74401
1971,TIRUVANNAMALAI,74956
1971,TRIPLICANE,71902
1971,TUTICORIN,68503
1971,UDDANAPALLE,43022
1971,UDHAGAMANDALAM,51318
1971,UDUMALPET,72293
1971,ULUNDURPET,62534
1971,UPPILIAPURAM,83065
1971,USILAMPATTI,66201
1971,UTHANGARAI,63274
1971,UTTIRAMERUR,70385
1971,VADAMADURAI,61259
1971,VALANGIMAN,66291
1971,VALPARAI,59344
1971,VANDAVASI,64917
1971,VANIYAMBADI,49702
1971,VANUR,57047
1971,VARAHUR,72538
1971,VASUDEVANALLUR,63123
1971,VEDARANYAM,65436
1971,VEDASANDUR,67821
1971,VEERAPANDI,66479
1971,VELLAKOIL,61772
1971,VELLORE,73735
1971,VILATHIKULAM,56834
1971,VILAVANCODE,52010
1971,VILLUPURAM,69704
1971,VIRALIMALAI,72757
1971,VIRUDHUNAGAR,63060
1971,VRIDHACHALAM,77645
1971,WASHERMANPET,72143
1971,YERCAUD,48014
1977,ACHARAPAKKAM,61952
1977,ALANDUR,82665
1977,ALANGUDI,96652
1977,ALANGULAM,70987
1977,AMBASAMUDRAM,66110
1977,ANAICUT,67104
1977,ANDHIYUR,56406
1977,ANDIMADAM,65337
1977,ANDIPATTI,70649
1977,ANNA NAGAR,85974
1977,ARAKKONAM,73525
1977,ARANI,81799
1977,ARANTHANGI,94706
1977,ARAVAKURICHI,82467
1977,ARCOT,69203
1977,ARIYALUR,78989
1977,ARUPPUKKOTTAI,76582
1977,ATHOOR,69586
1977,ATTUR,63899
1977,AVANASHI,69907
1977,BARGUR,58867
1977,BHAVANI,73191
1977,BHAVANISAGAR,71052
1977,BHUVANAGIRI,76369
1977,BODINAYAKKANUR,70584
1977,CHENGALPATTU,67377
1977,CHENGAM,49158
1977,CHEPAUK,63602
1977,CHERANMAHADEVI,68635
1977,CHEYYAR,76930
1977,CHIDAMBARAM,73226
1977,COIMBATORE NORTH,75389
1977,COIMBATORE SOUTH,68114
1977,COONOOR,53505
1977,CUDDALORE,76269
1977,CUMBUM,84109
1977,DHARAPURAM,59627
1977,DHARMAPURI,63216
1977,DINDIGUL,74387
1977,DR. RADHAKRISHNAN NAGAR,79881
1977,EDAPPADI,80558
1977,EGMORE,69294
1977,ERODE,88118
1977,GINGEE,74644
1977,GOBICHETTIPALAYAM,73329
1977,GUDALUR,58276
1977,GUDIYATTAM,69692
1977,GUMMIDIPOONDI,76456
1977,HARBOUR,64959
1977,HARUR,57770
1977,HOSUR,53025
1977,ILAYANGUDI,72983
1977,JAYANKONDAM,79412
1977,KADALADI,70264
1977,KADAYANALLUR,75675
1977,KALASAPAKKAM,75851
1977,KALLAKURICHI,68321
1977,KANCHEEPURAM,88312
1977,KANDAMANGALAM,65619
1977,KANGAYAM,75223
1977,KANNIYAKUMARI,69703
1977,KAPILAMALAI,82622
1977,KARAIKUDI,85557
1977,KARUR,96428
1977,KATPADI,70389
1977,KATTUMANNARKOIL,69362
1977,KAVERIPATTINAM,64481
1977,KILLIYOOR,43229
1977,KINATHUKKADAVU,71344
1977,KOLATHUR,74062
1977,KOLLACHAL,69509
1977,KOVILPATTI,67140
1977,KRISHNAGIRI,52600
1977,KRISHNARAJAPURAM,69235
1977,KULITHALAI,80505
1977,KUMBAKONAM,81272
1977,KURINJIPADI,67898
1977,KUTTALAM,77206
1977,LALGUDI,92415
1977,MADURAI CENTRAL,73687
1977,MADURAI EAST,72539
1977,MADURAI WEST,75103
1977,MADURANTHAKAM,74779
1977,MANAMADURAI,71719
1977,MANGALUR,75941
1977,MANNARGUDI,90515
1977,MARUNGAPURI,70220
1977,MAYURAM,75824
1977,MELMALAYANUR,71092
1977,MELUR,91799
1977,METTUPPALAYAM,80410
1977,METTUR,70436
1977,MODAKKURICHI,85083
1977,MORAPPUR,66499
1977,MUDHUKULATHUR,73392
1977,MUGAIYUR,68933
