constituency,name,party,margin,state,votes,Year,rank
Sheohar,SHARFUDDIN,Janata Dal (United),461,Bihar,44576,2015,1
Sherghati,VINOD PRASAD YADAV,Janata Dal (United),4834,Bihar,44579,2015,1
Sikandra (SC),SUDHIR KUMAR ALIAS BANTY CHOUDHARY,Indian National Congress,7990,Bihar,59092,2015,1
Sikta,KHURSHID URF FIROJ AHMAD,Janata Dal (United),2835,Bihar,69870,2015,1
Sikti,VIJAY KUMAR MANDAL,Bharatiya Janata Party,8106,Bihar,76995,2015,1
Simri Bakhtiarpur,DINESH CHANDRA YADAV,Janata Dal (United),37806,Bihar,78514,2015,1
Singheshwar (SC),RAMESH RISHIDEV,Janata Dal (United),50200,Bihar,83073,2015,1
Sitamarhi,SUNIL KUMAR,Rashtriya Janata Dal,14722,Bihar,81557,2015,1
Siwan,VYAS DEO PRASAD,Bharatiya Janata Party,3534,Bihar,55156,2015,1
Sonbarsha (SC),RATNESH SADA,Janata Dal (United),53763,Bihar,88789,2015,1
Sonepur,DR. RAMANUJ PRASAD,Rashtriya Janata Dal,36396,Bihar,86082,2015,1
Sugauli,RAMCHANDRA SAHNI,Bharatiya Janata Party,7756,Bihar,62384,2015,1
Sultanganj,SUBODH ROY,Janata Dal (United),14033,Bihar,63345,2015,1
Supaul,BIJENDRA PRASAD YADAV,Janata Dal (United),37397,Bihar,82295,2015,1
Sursand,SYED ABU DOJANA,Rashtriya Janata Dal,23234,Bihar,52857,2015,1
Suryagarha,PRAHLAD YADAV,Rashtriya Janata Dal,30030,Bihar,82490,2015,1
Taraiya,MUDRIKA PRASAD ROY,Rashtriya Janata Dal,20440,Bihar,69012,2015,1
Tarapur,M L CHOUDHARY,Janata Dal (United),11947,Bihar,66411,2015,1
Tarari,SUDAMA PRASAD,Communist Party of India (Marxist-Leninist) (Liberation),272,Bihar,44050,2015,1
Teghra,BIRENDRA KUMAR,Rashtriya Janata Dal,15611,Bihar,68975,2015,1
Thakurganj,NAUSHAD ALAM (TATPAUWA),Janata Dal (United),8087,Bihar,74239,2015,1
Tikari,ABHAY KUMAR SINHA,Janata Dal (United),31813,Bihar,86975,2015,1
Triveniganj (SC),VEENA BHARTI,Janata Dal (United),52400,Bihar,89869,2015,1
Ujiarpur,ALOK KUMAR MEHTA,Rashtriya Janata Dal,47460,Bihar,85466,2015,1
Vaishali,RAJ KISHORE SINGH,Janata Dal (United),31061,Bihar,79286,2015,1
Valmiki Nagar,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,Independent,33580,Bihar,66860,2015,1
Warisnagar,ASHOK KUMAR,Janata Dal (United),58573,Bihar,92687,2015,1
Warsaliganj,ARUNA DEVI,Bharatiya Janata Party,19527,Bihar,85912,2015,1
Wazirganj,AWADHESH KUMAR SINGH,Indian National Congress,12759,Bihar,80107,2015,1
Ziradei,RAMESH SINGH KUSHWAHA,Janata Dal (United),6091,Bihar,40760,2015,1
