constituency,name,party,margin,state,votes,Year,rank
GANDHI NAGAR,ANIL KUMAR BAJPAI,Aam Aadmi Party,7482,NCT OF Delhi,50946,2015,1
SHAHDARA,RAM NIWAS GOEL,Aam Aadmi Party,11731,NCT OF Delhi,58523,2015,1
SEEMA PURI,RAJENDRA PAL GAUTAM,Aam Aadmi Party,48821,NCT OF Delhi,79777,2015,1
ROHTAS NAGAR,SARITA SINGH,Aam Aadmi Party,7874,NCT OF Delhi,62209,2015,1
SEELAMPUR,MOHD. ISHRAQUE,Aam Aadmi Party,27887,NCT OF Delhi,57302,2015,1
GHONDA,SHRI DUTT SHARMA,Aam Aadmi Party,8093,NCT OF Delhi,60906,2015,1
BABARPUR,GOPAL RAI,Aam Aadmi Party,35488,NCT OF Delhi,75928,2015,1
GOKALPUR,FATEH SINGH,Aam Aadmi Party,31968,NCT OF Delhi,71240,2015,1
MUSTAFABAD,JAGDISH PRADHAN,Bharatiya Janata Party,6031,NCT OF Delhi,58388,2015,1
KARAWAL NAGAR,KAPIL MISHRA,Aam Aadmi Party,44431,NCT OF Delhi,101865,2015,1
Agiaon (SC),PRABHUNATH PRASAD,Janata Dal (United),14704,Bihar,52276,2015,1
Alamnagar,NARENDRA NARAYAN YADAV,Janata Dal (United),43876,Bihar,87962,2015,1
Alauli (SC),CHANDAN KUMAR,Rashtriya Janata Dal,24470,Bihar,70519,2015,1
Alinagar,ABDUL BARI SIDDIQUI,Rashtriya Janata Dal,13460,Bihar,67461,2015,1
Amarpur,JANARDAN MANJHI,Janata Dal (United),11773,Bihar,73707,2015,1
Amnour,SHATRUDHAN TIWARY,Bharatiya Janata Party,5251,Bihar,39134,2015,1
Amour,ABDUL JALIL MASTAN,Indian National Congress,51997,Bihar,100135,2015,1
Araria,AVIDUR RAHMAN,Indian National Congress,40044,Bihar,92667,2015,1
Arrah,MOHAMMAD NAWAZ ALAM,Rashtriya Janata Dal,666,Bihar,70004,2015,1
Arwal,RAVINDRA SINGH,Rashtriya Janata Dal,17810,Bihar,55295,2015,1
Asthawan,JITENDRA KUMAR,Janata Dal (United),10444,Bihar,58908,2015,1
Atri,KUNTI DEVI,Rashtriya Janata Dal,13817,Bihar,60687,2015,1
Aurai,SURENDRA KUMAR,Rashtriya Janata Dal,10825,Bihar,66958,2015,1
Aurangabad,ANAND SHANKAR SINGH,Indian National Congress,18398,Bihar,63637,2015,1
Babubarhi,KAPIL DEO KAMAT,Janata Dal (United),20267,Bihar,61486,2015,1
Bachhwara,RAMDEO RAI,Indian National Congress,36931,Bihar,73983,2015,1
Bagaha,RAGHAW SHARAN PANDEY,Bharatiya Janata Party,8183,Bihar,74476,2015,1
Bahadurganj,M.D. TAUSEEF ALAM,Indian National Congress,13942,Bihar,53533,2015,1
Bahadurpur,BHOLA YADAV,Rashtriya Janata Dal,16989,Bihar,71547,2015,1
Baikunthpur,MITHILESH TIWARI,Bharatiya Janata Party,14115,Bihar,56162,2015,1
Baisi,ABDUS SUBHAN,Rashtriya Janata Dal,38740,Bihar,67022,2015,1
Bajpatti,DR. RANJU GEETA,Janata Dal (United),16946,Bihar,67194,2015,1
Bakhri (SC),UPENDRA PASWAN,Rashtriya Janata Dal,40256,Bihar,72632,2015,1
Bakhtiarpur,RANVIJAY SINGH,Bharatiya Janata Party,7902,Bihar,61496,2015,1
Balrampur,MAHBOOB ALAM,Communist Party of India (Marxist-Leninist) (Liberation),20419,Bihar,62513,2015,1
Baniapur,KEDAR NATH SINGH,Rashtriya Janata Dal,15951,Bihar,69851,2015,1
Banka,RAM NARAYAN MANDAL,Bharatiya Janata Party,3730,Bihar,52379,2015,1
Bankipur,NITIN NAVEEN,Bharatiya Janata Party,39767,Bihar,86759,2015,1
Banmankhi (SC),KRISHNA KUMAR RISHI,Bharatiya Janata Party,708,Bihar,59053,2015,1
Barachatti (SC),SAMTA DEVI,Rashtriya Janata Dal,19126,Bihar,70909,2015,1
Barari,NEERAJ KUMAR,Rashtriya Janata Dal,14336,Bihar,71175,2015,1
Barauli,MD NEMATULLAH,Rashtriya Janata Dal,504,Bihar,61690,2015,1
