YEAR,AC_NAME,VOTES
1990,LAWSPET,23842.0
1990,MAHE,9174.0
1990,MANNADIPETH,15299.0
1990,MODELIARPETH,19620.0
1990,MUTHIALPET,18965.0
1990,NEDUNCADU,11089.0
1990,NELLITHOPE,15875.0
1990,NERAVY-GRAND ALDEE,13732.0
1990,NETTAPAKKAM,13250.0
1990,ORLEAMPETH,16003.0
1990,OSSUDU,12857.0
1990,OUPALAM,13674.0
1990,OZHUKARAI,16178.0
1990,PALLOOR,9048.0
1990,RAJ BHAVAN,5313.0
1990,REDDIARPALAYAM,21946.0
1990,THATTANCHAVADY,18522.0
1990,THIRUBUVANAI,14522.0
1990,TIRUNALLAR,11553.0
1990,VILLENOUR,15546.0
1990,YANAM,10775.0
1991,ARIANKUPPAM,16279.0
1991,BAHOUR,13114.0
1991,BUSSY,5243.0
1991,CASSICADE,9859.0
1991,COTCHERY,13649.0
1991,EMBALOM,11102.0
1991,KARAIKAL,11480.0
1991,KARAIKAL SOUTH,10130.0
1991,KURUVINATHAM,13079.0
1991,LAWSPET,21906.0
1991,MAHE,8143.0
1991,MANNADIPETH,14851.0
1991,MODELIARPETH,18109.0
1991,MUTHIALPET,17515.0
1991,NEDUNCADU,10779.0
1991,NELLITHOPE,14407.0
1991,NERAVY-GRAND ALDEE,12854.0
1991,NETTAPAKKAM,12240.0
1991,ORLEAMPETH,14631.0
1991,OSSUDU,11576.0
1991,OUPALAM,12838.0
1991,OZHUKARAI,15077.0
1991,PALLOOR,8340.0
1991,RAJ BHAVAN,4914.0
1991,REDDIARPALAYAM,20522.0
1991,THATTANCHAVADY,17996.0
1991,THIRUBUVANAI,13384.0
1991,TIRUNALLAR,10639.0
1991,VILLENOUR,15141.0
1991,YANAM,11132.0
1996,ARIANKUPPAM,19496.0
1996,BAHOUR,15246.0
1996,BUSSY,4773.0
1996,CASSICADE,10285.0
1996,COTCHERY,16054.0
1996,EMBALOM,13248.0
1996,KARAIKAL,13342.0
1996,KARAIKAL SOUTH,11615.0
1996,KURUVINATHAM,14758.0
1996,LAWSPET,30227.0
1996,MAHE,9180.0
1996,MANNADIPETH,15714.0
1996,MODELIARPETH,22902.0
1996,MUTHIALPET,19567.0
