year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
1967,Polur,Tamil Nadu,45,1,GEN,S. Kuppamal,F,0,,DMK,33292,#c0392b,58485
1967,Chengam,Tamil Nadu,46,1,SC,P. S. Santhanam,M,0,,DMK,29828,#c0392b,52477
1967,Thandarambattu,Tamil Nadu,47,1,GEN,K. S. Kandar,M,0,,INC,29524,#2ecc71,58680
1967,Kalasapakkam,Tamil Nadu,48,1,GEN,S. Murugian,M,0,,INC,32697,#2ecc71,63644
1967,Tiruvannamalai,Tamil Nadu,49,1,GEN,D. Vijayaraj,M,0,,INC,38153,#2ecc71,77255
1967,Melmalayanur,Tamil Nadu,50,1,GEN,R. R. Munusamy,M,0,,DMK,33115,#c0392b,65337
1967,Gingee,Tamil Nadu,51,1,GEN,V. Munusami,M,0,,DMK,39517,#c0392b,71086
1967,Tindivanam,Tamil Nadu,52,1,GEN,K. Ramamoorthy,M,0,,INC,34106,#2ecc71,66114
1967,Vanur,Tamil Nadu,53,1,SC,Balakrishnan,M,0,,DMK,30023,#c0392b,59976
1967,Kandamangalam,Tamil Nadu,54,1,SC,M. Raman,M,0,,DMK,35617,#c0392b,63797
1967,Villupuram,Tamil Nadu,55,1,GEN,M. Shanmugam,M,0,,DMK,37605,#c0392b,69985
1967,Nellikuppam,Tamil Nadu,56,1,GEN,C. Govindarajan,M,0,,CPM,28090,#ff5757,59462
1967,Cuddalore,Tamil Nadu,57,1,GEN,E. Re. Elamvazhuthi,M,0,,DMK,35093,#c0392b,63705
1967,Panruti,Tamil Nadu,58,1,GEN,S. Ramachandran,M,0,,DMK,43745,#c0392b,71924
1967,Kurinjipadi,Tamil Nadu,59,1,SC,N. Rajangam,M,0,,DMK,25478,#c0392b,46746
1967,Bhuvanagiri,Tamil Nadu,60,1,GEN,A. Govindarasan,M,0,,DMK,38795,#c0392b,68929
1967,Kattumannarkoil,Tamil Nadu,61,1,SC,S. Sivasubramanian,M,0,,INC,30521,#2ecc71,63138
1967,Chidambaram,Tamil Nadu,62,1,GEN,R. K. Pillai,M,0,,INC,34911,#2ecc71,70982
1967,Vridhachalam,Tamil Nadu,63,1,GEN,G. Bhuvaraghan,M,0,,INC,42230,#2ecc71,77100
1967,Mangalur,Tamil Nadu,64,1,SC,A. Krishnan,M,0,,DMK,34538,#c0392b,60943
1967,Ulundurpet,Tamil Nadu,65,1,GEN,M. K. Padayatchi,M,0,,INC,26796,#2ecc71,56739
1967,Tirukkoilur,Tamil Nadu,66,1,GEN,E. M. Subramaniam,M,0,,INC,34259,#2ecc71,66845
1967,Mugaiyur,Tamil Nadu,67,1,GEN,A. Govindasamy,M,0,,DMK,37598,#c0392b,66637
1967,Rishivandiyam,Tamil Nadu,68,1,SC,M. Anandan,M,0,,DMK,26491,#c0392b,53414
1967,Sankarapuram,Tamil Nadu,69,1,GEN,S. P. Pachaiyappan,M,0,,DMK,28292,#c0392b,51679
1967,Kallakurichi,Tamil Nadu,70,1,GEN,D. K. Naidu,M,0,,DMK,39175,#c0392b,69487
1967,Hosur,Tamil Nadu,71,1,GEN,B. Venkataswami,M,0,,SWA,21530,#222,40859
1967,Uddanapalle,Tamil Nadu,72,1,GEN,K. S. Kothandramiah,M,0,,SWA,29391,#222,44704
1967,Krishnagiri,Tamil Nadu,73,1,GEN,P. M. M. Gounder,M,0,,INC,24220,#2ecc71,51192
1967,Kaveripattinam,Tamil Nadu,74,1,GEN,P. Naidu,M,0,,INC,32953,#2ecc71,62485
1967,Uthangarai,Tamil Nadu,75,1,GEN,T. T. Gounder,M,0,,INC,31791,#2ecc71,64798
1967,Harur,Tamil Nadu,76,1,SC,N. Theerthagiri,M,0,,INC,27565,#2ecc71,57318
1967,Dharmapuri,Tamil Nadu,77,1,GEN,M. S. Gounter,M,0,,DMK,36258,#c0392b,68391
1967,Palacodu,Tamil Nadu,78,1,GEN,K. Murugesan,M,0,,INC,29186,#2ecc71,58310
1967,Pennagaram,Tamil Nadu,79,1,GEN,P. K. C. Muthusamy,M,0,,INC,27913,#2ecc71,56729
1967,Mettur,Tamil Nadu,80,1,GEN,M. Surendran,M,0,,PSP,30635,#222,62801
1967,Taramangalam,Tamil Nadu,81,1,GEN,Govindan,M,0,,DMK,33222,#c0392b,57481
1967,Omalur,Tamil Nadu,82,1,SC,C. Palani,M,0,,DMK,28121,#c0392b,50063
1967,Salem-I,Tamil Nadu,83,1,GEN,K. Jayaraman,M,0,,DMK,46776,#c0392b,80753
1967,Salem-Ii,Tamil Nadu,84,1,GEN,E. R. Krishnan,M,0,,DMK,38781,#c0392b,66865
1967,Yercaud,Tamil Nadu,85,1,ST,V. Chinnasamy,M,0,,DMK,25124,#c0392b,44661
1967,Panamarathupatti,Tamil Nadu,86,1,GEN,T. Ponnumalai,M,0,,DMK,34597,#c0392b,64430
1967,Veerapandi,Tamil Nadu,87,1,GEN,S. Arumugam,M,0,,DMK,42681,#c0392b,64557
1967,Edappadi,Tamil Nadu,88,1,GEN,A. Arumugam,M,0,,DMK,36935,#c0392b,67528
1967,Sankari,Tamil Nadu,89,1,SC,R. Nallamuthu,M,0,,DMK,30112,#c0392b,48804
1967,Tiruchengodu,Tamil Nadu,90,1,GEN,T. A. Rajavelu,M,0,,DMK,42479,#c0392b,65622
1967,Kapilamalai,Tamil Nadu,91,1,GEN,C. V. Velappan,M,0,,DMK,41026,#c0392b,78517
1967,Namakkal,Tamil Nadu,92,1,GEN,M. Muthuswamy,M,0,,DMK,39510,#c0392b,72671
1967,Senthamangalam,Tamil Nadu,93,1,ST,A. S. Gounder,M,0,,INC,31308,#2ecc71,61845
1967,Rasipuram,Tamil Nadu,94,1,GEN,P. Periasamy,M,0,,DMK,38402,#c0392b,73108
1967,Attur,Tamil Nadu,95,1,GEN,K.N. Sivaperumal,M,0,,DMK,40456,#c0392b,70708
1967,Talavasal,Tamil Nadu,96,1,SC,M. Marimuthu,M,0,,DMK,33289,#c0392b,60101
1967,Gudalur,Tamil Nadu,97,1,SC,C. Nanjam,M,0,,INC,20675,#2ecc71,41988
1967,Udhagamandalam,Tamil Nadu,98,1,GEN,K. Bojan,M,0,,SWA,37525,#222,55161
1967,Coonoor,Tamil Nadu,99,1,GEN,B. Gowder,M,0,,DMK,31855,#c0392b,54235
1967,Mettuppalayam,Tamil Nadu,100,1,GEN,T.T.S. Thippiah,M,0,,INC,29709,#2ecc71,65412
1967,Avanashi,Tamil Nadu,101,1,GEN,R. K. Gounder,M,0,,SWA,31927,#222,58735
1967,Thondamuthur,Tamil Nadu,102,1,GEN,R. Manickavachakam,M,0,,DMK,42261,#c0392b,71457
1967,Singanallur,Tamil Nadu,103,1,GEN,P. Velusamy,M,0,,PSP,38378,#222,69861
1967,Perur,Tamil Nadu,104,1,SC,N. Marudachalam,M,0,,CPM,43740,#ff5757,71130
1967,Coimbatore North,Tamil Nadu,105,1,GEN,"J, Govindarajulu",M,0,,DMK,41059,#c0392b,64310
1967,Coimbatore South,Tamil Nadu,106,1,GEN,M. Bhupathy,M,0,,CPM,33122,#ff5757,65194
1967,Kinathukkadavu,Tamil Nadu,107,1,GEN,Kannappan,M,0,,DMK,40645,#c0392b,62887
1967,Pollachi,Tamil Nadu,108,1,GEN,A.P.S. Gounder,M,0,,DMK,37480,#c0392b,63908
1967,Valparai,Tamil Nadu,109,1,SC,E. Ramasami,M,0,,DMK,40945,#c0392b,61813
1967,Udumalpet,Tamil Nadu,110,1,GEN,S.J.S. Pasha,M,0,,DMK,39796,#c0392b,68414
1967,Dharapuram,Tamil Nadu,111,1,SC,Palaniammal,F,0,,DMK,42433,#c0392b,65285
1967,Vellakoil,Tamil Nadu,112,1,GEN,K. N. S. Gounder,M,0,,DMK,46009,#c0392b,73688
1967,Kangayam,Tamil Nadu,113,1,GEN,A. S. Gounder,M,0,,INC,24800,#2ecc71,68119
1967,Pongalur,Tamil Nadu,114,1,GEN,P.N.P. Gounder,M,0,,DMK,38371,#c0392b,62136
1967,Palladam,Tamil Nadu,115,1,GEN,K.N.K. Gounder,M,0,,PSP,31977,#222,68048
1967,Tiruppur,Tamil Nadu,116,1,GEN,S. Duraisamy,M,0,,DMK,35518,#c0392b,70964
1967,Modakkurichi,Tamil Nadu,117,1,GEN,K.R. Nallasivam,M,0,,SSP,45303,#222,73992
1967,Perundurai,Tamil Nadu,118,1,GEN,S. Balasubramanian,M,0,,SSP,33164,#222,69955
1967,Erode,Tamil Nadu,119,1,GEN,M. Chinnasamy,M,0,,DMK,45471,#c0392b,76886
1967,Bhavani,Tamil Nadu,120,1,GEN,A.M. Raja,M,0,,DMK,43353,#c0392b,66529
1967,Andhiyur,Tamil Nadu,121,1,GEN,E.M. Natarajan,M,0,,DMK,34877,#c0392b,62286
1967,Gobichettipalayam,Tamil Nadu,122,1,GEN,K.M.R. Gounder,M,0,,SWA,31974,#222,60779
1967,Sathyamangalam,Tamil Nadu,123,1,GEN,P.G. Karuthiruman,M,0,,INC,25484,#2ecc71,51773
1967,Bhavanisagar,Tamil Nadu,124,1,SC,Ramarasan,M,0,,DMK,26980,#c0392b,52121
1967,Oddamchatram,Tamil Nadu,125,1,GEN,N. Gounder,M,0,,DMK,39817,#c0392b,71680
1967,Palani,Tamil Nadu,126,1,SC,Krishnamoorthy,M,0,,DMK,47671,#c0392b,72451
1967,Periyakulam,Tamil Nadu,127,1,SC,M. Metha,M,0,,DMK,36023,#c0392b,65671
1967,Bodinayakkanur,Tamil Nadu,128,1,GEN,S.Srinivasan,M,0,,INC,34671,#2ecc71,69583
1967,Cumbum,Tamil Nadu,129,1,GEN,Rajangam,M,0,,DMK,41440,#c0392b,69465
1967,Theni,Tamil Nadu,130,1,GEN,P. Rajan,M,0,,DMK,42111,#c0392b,71708
1967,Andipatti,Tamil Nadu,131,1,GEN,S. Paramasivam,M,0,,SWA,35351,#222,64442
1967,Sedapatti,Tamil Nadu,132,1,GEN,V.T.Thevar,M,0,,SWA,41167,#222,64483
1967,Thirumangalam,Tamil Nadu,133,1,GEN,N.S.V. Chithan,M,0,,INC,20319,#2ecc71,60503
1967,Usilampatti,Tamil Nadu,134,1,GEN,P.K.M. Thevar,M,0,,FBL,44714,#222,62004
1967,Nilakkottai,Tamil Nadu,135,1,SC,A. Muniyandi,M,0,,DMK,37601,#c0392b,65151
1967,Sholavandan,Tamil Nadu,136,1,GEN,P.S.Maniyan,M,0,,DMK,45221,#c0392b,75127
1967,Thirupparankundram,Tamil Nadu,137,1,GEN,S.Agniraju,M,0,,DMK,49169,#c0392b,76903
1967,Madurai West,Tamil Nadu,138,1,GEN,N. Sankaraiah,M,0,,CPM,46882,#ff5757,78899
1967,Madurai Central,Tamil Nadu,139,1,GEN,C.Govindarajan,M,0,,DMK,39566,#c0392b,62945
