YEAR,AC_NAME,PARTY,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,Total Candidates
1969,Karaikal North,INC,Pondicherry,22,1,GEN,M. JAMBULINGAM,M,,,4208,8081,#2ecc71,2
1969,Karaikal South,DMK,Pondicherry,23,1,GEN,MARIE LOURDES SILVARADJOU,M,,,2439,4791,#c0392b,3
1969,Neravy-Grand Aldee,DMK,Pondicherry,24,1,GEN,S. RAMASAMY,M,,,3447,6398,#c0392b,2
1969,Grand Aldee,DMK,Pondicherry,25,1,GEN,Y. PANDARINATHAN,M,,,3852,5439,#c0392b,3
1969,Tirunallar,DMK,Pondicherry,26,1,GEN,R. SUPPRAYALU NAICKER,M,,,3455,6384,#c0392b,3
1969,Nedungadu,INC,Pondicherry,27,1,GEN,P. SHANMUGAM,M,,,3103,6186,#2ecc71,2
1969,Mahe,IND,Pondicherry,28,1,GEN,I.K. KUMARAN,M,,,2885,4863,#bdc3c7,2
1969,Palloor,INC,Pondicherry,29,1,GEN,V.N. PURUSHOTHAMAN,M,,,2609,3857,#2ecc71,2
1969,Yanam,IND,Pondicherry,30,1,GEN,K.S. P.V. RAO NAIDU,M,,,2287,4116,#bdc3c7,2
1974,Muthialpet,ADMK,Pondicherry,1,1,GEN,"PAJANIRAJA, G.",M,,,4315,9835,#b2d33c,3
1974,Cassicade,NCO,Pondicherry,2,1,GEN,"ANSARI DURAISWAMY, P.",M,,,2996,7699,#1F77B4,6
1974,Raj Bhavan,INC,Pondicherry,3,1,GEN,DHANA KANTHARAJ,M,,,2399,4284,#2ecc71,3
1974,Bussy,ADMK,Pondicherry,4,1,GEN,"PAKKIAM, S.",M,,,1680,4354,#b2d33c,3
1974,Oupalam,ADMK,Pondicherry,5,1,GEN,"PARTHASARATHY, C. N.",M,,,3198,6828,#b2d33c,4
1974,Orleampeth,ADMK,Pondicherry,6,1,GEN,"MANIMARAN, N.",M,,,3833,7912,#b2d33c,5
1974,Nellithope,NCO,Pondicherry,7,1,GEN,"KANNAN, R.",M,,,2495,6606,#1F77B4,3
1974,Mudaliarpet,NCO,Pondicherry,8,1,GEN,SABAPATHY ALIAS KOTHANDARAMAN,M,,,3889,9031,#1F77B4,4
1974,Ariankuppam,INC,Pondicherry,9,1,GEN,"PURUSHOTHAMAN, P. C.",M,,,3364,9076,#2ecc71,4
1974,Embalam,INC,Pondicherry,10,1,SC,G. MURUGESAN,M,,,3140,6663,#2ecc71,3
1974,Nettapakkam,INC,Pondicherry,11,1,GEN,V. VENGATASUBBA REDDI,M,,,4072,7317,#2ecc71,3
1974,Kuruvinatham,ADMK,Pondicherry,12,1,GEN,VENGATASAMY,M,,,3445,7741,#b2d33c,3
1974,Bahour,CPI,Pondicherry,13,1,SC,THANGAVEL CLAMANSO,M,,,2727,7034,#ff5757,4
1974,Thirubuvanai,INC,Pondicherry,14,1,SC,A. GOPAL,M,,,2672,7644,#2ecc71,5
1974,Mannadipeth,ADMK,Pondicherry,15,1,GEN,D. RAMACHANDIRA REDDIAR,M,,,3467,7537,#b2d33c,3
1974,Ossudu,ADMK,Pondicherry,16,1,SC,T. EZHUMALAI,M,,,3426,7163,#b2d33c,3
1974,Villianur,NCO,Pondicherry,17,1,GEN,M. K. JEEVARATHINA ODAYAR,M,,,2812,7601,#1F77B4,3
1974,Ozhukarai,ADMK,Pondicherry,18,1,GEN,"VENUGOPAL ALIAS MANNATHAN, G.",M,,,2982,7560,#b2d33c,4
1974,Thattanchavady,NCO,Pondicherry,19,1,GEN,"PETHAPERUMAL, V.",M,,,3468,7402,#1F77B4,3
1974,Reddiarpalayam,CPI,Pondicherry,20,1,GEN,SUBBIAH V.,M,,,3345,7586,#ff5757,3
1974,Lawspet,DMK,Pondicherry,21,1,GEN,"FAROOK, M. O. H.",M,,,3461,8827,#c0392b,3
1974,Couchery,ADMK,Pondicherry,22,1,GEN,T. SUBBAIYA,M,,,3660,7949,#b2d33c,3
1974,Karaikal North,ADMK,Pondicherry,23,1,GEN,K. KANDHI.,M,,,3964,9611,#b2d33c,3
1974,Karaikal South,ADMK,Pondicherry,24,1,GEN,S. RAMASAMY,M,,,3296,7043,#b2d33c,4
1974,Neravy-Grand Aldee,ADMK,Pondicherry,25,1,GEN,V. M. C. VARADAPILLAI,M,,,5313,8871,#b2d33c,4
1974,Tirunallar,DMK,Pondicherry,26,1,GEN,A. SOUNDARARENGAN,M,,,3742,7589,#c0392b,3
1974,Nedungadu,INC,Pondicherry,27,1,SC,R. COUPOUSAMY,M,,,2934,7125,#2ecc71,4
1974,Mahe,CPM,Pondicherry,28,1,GEN,KUNNUMMAL RAGHAVAN,M,,,1816,5498,#ff5757,5
1974,Palloor,INC,Pondicherry,29,1,GEN,VANMERI NATAYI PURUSHOTHAMAN,M,,,1980,4781,#2ecc71,4
1974,Yanam,IND,Pondicherry,30,1,GEN,KAMICHETTY SRIPARASSOURAMA VARAPRASSADARAO,M,,,2284,4331,#bdc3c7,3
1977,Muthialpet,ADMK,Pondicherry,1,1,GEN,G. PALANI RAJA,M,,,4170,9769,#b2d33c,6
1977,Cassicade,JNP,Pondicherry,2,1,GEN,ANSARI DURAISAMY,M,,,3551,7553,#9A9E56,3
1977,Raj Bhavan,JNP,Pondicherry,3,1,GEN,RAMAJAYAM D.,M,,,1411,3996,#9A9E56,4
1977,Bussy,ADMK,Pondicherry,4,1,GEN,SUSAIRAJ S.,M,,,1289,4044,#b2d33c,5
1977,Oupalam,ADMK,Pondicherry,5,1,GEN,C. N. PATHASARATHY,M,,,2551,6953,#b2d33c,5
1977,Orleampeth,ADMK,Pondicherry,6,1,GEN,N. MANIMARAM MARIMUTHU,M,,,3779,8484,#b2d33c,5
1977,Nellithope,JNP,Pondicherry,7,1,GEN,R. KANNAN,M,,,2757,7217,#9A9E56,4
1977,Mudaliarpet,INC,Pondicherry,8,1,GEN,V. SABABADY KOTHANDRAMAN,M,,,3947,9470,#2ecc71,4
1977,Ariankuppam,DMK,Pondicherry,9,1,GEN,P. SUBBARAYAN,M,,,3345,9595,#c0392b,5
1977,Embalam,ADMK,Pondicherry,10,1,SC,SIVALOGANATHAN K.,M,,,2442,6682,#b2d33c,4
1977,Nettapakkam,INC,Pondicherry,11,1,GEN,SRVAPRAKASAM S.,M,,,3122,7481,#2ecc71,4
1977,Kuruvinatham,ADMK,Pondicherry,12,1,GEN,N. VENGADASAMY,M,,,3359,8424,#b2d33c,4
1977,Bahour,JNP,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,3399,7461,#9A9E56,4
1977,Thirubuvanai,ADMK,Pondicherry,14,1,SC,MANIYAM M.,M,,,3226,7263,#b2d33c,5
1977,Mannadipeth,ADMK,Pondicherry,15,1,GEN,RAMACHANDRAN D.,M,,,3824,8588,#b2d33c,4
1977,Ossudu,ADMK,Pondicherry,16,1,SC,THANGAVELU M.,M,,,2902,6916,#b2d33c,6
1977,Villianur,ADMK,Pondicherry,17,1,GEN,PAZHANINATHAN S.,M,,,2891,8259,#b2d33c,4
1977,Ozhukarai,DMK,Pondicherry,18,1,GEN,G. PERUMAL RAJA,M,,,2477,7820,#c0392b,4
1977,Thattanchavady,JNP,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,4669,8573,#9A9E56,5
1977,Reddiarpalayam,CPI,Pondicherry,20,1,GEN,V. SUBBIAH,M,,,2775,7851,#ff5757,5
