Rank,City,Population,Definition,Area,Population_density,Country,url,image
60,Zhengzhou,4122087,Sub-Provincial City,1006,4097, China,http://en.wikipedia.org//wiki/Zhengzhou,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Zhengzhounewdongqu.jpg/250px-Zhengzhounewdongqu.jpg
61,Suzhou,4074000,Sub-Provincial City[128],1679,2426, China,http://en.wikipedia.org//wiki/Suzhou,//upload.wikimedia.org/wikipedia/commons/thumb/1/19/China_Suzhou_Jinjihu_Lake.jpg/250px-China_Suzhou_Jinjihu_Lake.jpg
62,Sydney,3956000,Municipality City/Local government,2037,1942, Australia,http://en.wikipedia.org//wiki/Sydney,//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Sydney_Opera_House_-_Dec_2008.jpg/250px-Sydney_Opera_House_-_Dec_2008.jpg
63,New Taipei City,3910086,Special Municipality,2053,1905, Republic of China (Taiwan),http://en.wikipedia.org//wiki/New_Taipei_City,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Taipei_Rushhour_birdseye.JPG/250px-Taipei_Rushhour_birdseye.JPG
64,Los Angeles,3857799,Municipality City[132],1214,3178, United States,http://en.wikipedia.org//wiki/Los_Angeles,//upload.wikimedia.org/wikipedia/commons/thumb/5/57/LA_Skyline_Mountains2.jpg/250px-LA_Skyline_Mountains2.jpg
65,Casablanca,3823000,Metropolitan Municipality-Province[134],1615,2367, Morocco,http://en.wikipedia.org//wiki/Melbourne,//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Melbourne_by_night.jpg/250px-Melbourne_by_night.jpg
66,Melbourne,3761000,Municipality City/Local government,2543,1479, Australia,http://en.wikipedia.org//wiki/Cape_Town,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Central_Cape_Town.jpg/250px-Central_Cape_Town.jpg
67,Cape Town,3740026,Municipality City,2445,1530, South Africa,http://en.wikipedia.org//wiki/Shenyang,//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Shenyang_Zentrum.jpg/250px-Shenyang_Zentrum.jpg
68,Shenyang,3717098,Sub-Provincial City,166,22392, China,http://en.wikipedia.org//wiki/Yokohama,//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Minato_Mirai_In_Blue.jpg/250px-Minato_Mirai_In_Blue.jpg
69,Yokohama,3680267,Municipality City,437,8414, Japan,http://en.wikipedia.org//wiki/Busan,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/August_Afternoon_in_Haeundae_2.jpg/250px-August_Afternoon_in_Haeundae_2.jpg
70,Busan,3590101,Municipality City,766,4686, South Korea,http://en.wikipedia.org//wiki/Hangzhou,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Hangzhou-yellow-dragon-stad.jpg/250px-Hangzhou-yellow-dragon-stad.jpg
71,Hangzhou,3560391,Sub-Provincial City,728,4889, China,http://en.wikipedia.org//wiki/Xiamen,//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Buddhism_library.jpg/250px-Buddhism_library.jpg
