ISO,NAME,LON,LAT
aia,Arosi,161.43153,-10.24414
aib,Ainu,76.42088,39.27141
aic,Ainbai,141.14867,-3.09214
aid,Alngith,141.93798,-12.53236
aie,Amara,148.68005,-5.55778
aif,Agi,142.38677,-3.49104
aig,Antigua and Barbuda Creole English,-61.78942,17.0805
aih,Ai-Cham,107.84359,25.49083
aii,Assyrian Neo-Aramaic,43.50269,37.09724
aij,Lishanid Noshan,35.51134,32.45782
aik,Ake,8.75768,8.59543
ail,Aimele,142.65551,-6.68656
aim,Aimol,94.35562,24.64368
ain,Ainu,142.87464,43.05529
aio,Aiton,92.3169,26.51452
aip,Burumakok,140.03004,-5.12217
aiq,Aimaq,64.62116,34.27009
air,Airoran,138.15778,-1.8522
ais,Nataoran Amis,121.59005,23.93858
ait,Arikem,-63.742,-8.924
aiy,Ali,18.03518,4.60014
aiz,Aari,36.57211,5.95034
aja,Aja,25.61221,8.58003
ajg,Aja,1.77879,7.00083
aji,Ajië,165.46767,-21.30289
ajp,South Levantine Spoken Arabic,35.78394,31.43032
ajt,Judeo-Tunisian Arabic,34.89403,31.73193
aju,Judeo-Moroccan Arabic,34.85522,31.82429
ajw,Ajawa,9.89205,10.21005
ajz,Amri,91.482,26.024
axx,Xaragure,166.37571,-21.8223
arh,Arhuaco,-73.63629,10.70184
ari,Arikara,-102.28279,47.51965
arj,Arapaso,-67.72816,0.13727
ark,Arikapú,-62.7261,-12.48782
arl,Arabela,-75.06117,-1.96126
hye,Armenian,45.0399,40.40121
ahk,Akha,100.10188,20.9276
akb,Batak Angkola,99.60248,1.66127
akc,Mpur,133.16598,-0.7489
akd,Ukpet-Ehom,8.10047,5.58316
akf,Akpa,8.01629,7.32586
akg,Anakalangu,119.60465,-9.63425
akh,Angal Heneng,143.47808,-6.13347
aki,Aiome,144.76523,-5.13467
akj,Aka-Jeru,92.95043,13.15249
aqg,Arigidi,5.89556,7.56324
akl,Aklanon,122.35413,11.55432
akm,Aka-Bo,92.80108,12.36294
akn,Amikoana,-51.67454,2.55741
ako,Akurio,-55.6294,3.19607
akp,Siwu,0.44362,7.23811
akq,Ak,141.78374,-3.57026
akr,Araki,166.94246,-15.63141
aks,Akaselem,1.37035,8.8858
akt,Akolet,150.18199,-6.22711
aku,Akum,9.98971,6.84099
akv,Akhvakh,46.30369,42.40035
akw,Akwa,15.46226,-0.39897
akx,Aka-Kede,92.82266,12.84943
aky,Aka-Kol,92.78661,12.73253
akz,Alabama,-94.62848,30.76738
ala,Alago,8.52085,8.34986
alw,Alaba,38.17316,7.39014
alc,Qawasqar,-75.3756,-49.70303
ald,Alladian,-4.42647,5.22371
aqp,Atakapa,-93.08271,30.91207
alf,Alege,9.00394,6.59423
alq,Algonquin,-77.52577,47.38755
alh,Alawa,134.28162,-15.54581
ali,Amaimon,145.36845,-5.18742
alj,Alangan,121.02197,13.09821
alk,Alak,106.59719,15.5565
all,Allar,76.65928,11.08031
alm,Amblong,166.94988,-15.51691
aln,Gheg Albanian,20.8701,42.61581
alo,Larike-Wakasihu,127.95608,-3.76522
alp,Alune,128.39386,-3.11477
alr,Alutor,165.65285,60.38443
als,Tosk Albanian,20.17993,39.84682
alt,Southern Altai,86.87051,50.13472
alu,'Are'are,161.15822,-9.20699
ami,Amis,121.34791,23.09172
ale,Aleut,-174.29013,52.12283
alx,Alatil,142.53207,-3.46843
aly,Alyawarr,136.83489,-21.04266
alz,Alur,30.8289,2.28824
ama,Amanayé,-48.66126,-3.79772
amb,Ambo,10.77978,7.07637
amc,Amahuaca,-72.71614,-10.49463
amd,Amapá Creole,-51.05775,0.14065
ame,Yanesha',-75.31497,-10.54539
amf,Hamer-Banna,36.51761,5.06515
amg,Amarag,132.87768,-11.98757
amh,Amharic,37.93657,11.77861
aey,Amele,145.68676,-5.29126
amj,Amdang,21.31208,14.51149
amk,Ambai,136.52587,-1.88126
aml,War,91.99736,24.38823
amm,Ama,141.65793,-4.20192
amn,Amanab,141.17783,-3.51516
amo,Amo,8.65405,10.32287
amp,Alamblak,143.31576,-4.66307
amq,Amahai,128.93888,-3.32028
amr,Amarakaeri,-70.55333,-12.49308
ams,Southern Amami-Oshima,129.28521,28.1955
amt,Amto,141.33941,-4.12165
amu,Guerrero Amuzgo,-98.18953,16.77226
amv,Ambelau,127.1964,-3.85919
