party,constituency,year,age,category,color,electors,name,polled_votes,rank,sex,state,votes
INC,Banaskantha,1951,,,#019733,372878,Chavda Akbar Dalumiyan,140636,1,,Bombay,91753
IND,Baroda West,1951,,,#95b3d7,380593,Amin Indhubhai Bhailalbhai,201509,1,,Bombay,91419
INC,Belgaum North,1951,,,#019733,357228,Datar Balwant Nagesh,217619,1,,Bombay,133176
INC,Belgaum South,1951,,,#019733,385241,Patil Shankargouda Virangouda,237245,1,,Bombay,119521
INC,Bhusawal,1951,,,#019733,381993,Rane Shivram Rango,219720,1,,Bombay,124798
INC,Bijapur North,1951,,,#019733,370216,Dube Rajaram Girdharlal,179215,1,,Bombay,119895
INC,Bijapur South,1951,,,#019733,342857,Bidari Ramappa Balappa,219578,1,,Bombay,159884
INC,Bombay City North,1951,,,#019733,730126,Gandhi Vithal Balkrishna,715888,1,,Bombay,149138
INC,Bombay City South,1951,,,#019733,370548,Patil Sadashiv Kanoji,194136,1,,Bombay,96302
INC,Bombay Suburban,1951,,,#019733,379457,Raiji Jayashri Naishadh,199927,1,,Bombay,88519
INC,Broach,1951,,,#019733,380694,Bhatt Chandrashankar Manishankar,208885,1,,Bombay,98835
INC,Dharwad North,1951,,,#019733,365182,Karmaka Dattatraya Parsuramrao,216283,1,,Bombay,129077
INC,Dharwad South,1951,,,#019733,371753,Neswi Timmappa Rudrappa,239315,1,,Bombay,144225
INC,Jalgaon,1951,,,#019733,356253,Pataskar Hari Vinayak,205133,1,,Bombay,127361
INC,Kaira North,1951,,,#019733,391562,Dabhi Fulsinhjee Bharatsinhji,230681,1,,Bombay,136810
INC,Kaira South,1951,,,#019733,368127,Patel Maniben Vallabhbhai,233148,1,,Bombay,146223
INC,Kanara,1951,,,#019733,370650,Alva Jaochim Piedade,230512,1,,Bombay,139557
INC,Kolaba,1951,,,#019733,352119,Deshmukh Chintaman Dwarkanath,183658,1,,Bombay,112873
IND,Kolhapur Cum Satara,1951,,,#95b3d7,749539,Khardekar Balasaheb Hasanmantrao,832165,1,,Bombay,223056
INC,Mehsana East,1951,,,#019733,366111,Parekh Shantilal Girdharlal,202822,1,,Bombay,107525
IND,Mehsana West,1951,,,#95b3d7,380505,Kilachand Tulshidas Kilachand,225034,1,,Bombay,110478
INC,Nasik Central,1951,,,#019733,385868,Deshpande Govind Hari,205175,1,,Bombay,89261
INC,North Satara,1951,,,#019733,359731,Altekar Ganesh Sadashiv,198739,1,,Bombay,91319
INC,Pancchmahals Cum Baroda East,1951,,,#019733,741930,Gandhi Maneklal Maganlal,318085,1,,Bombay,201891
INC,Poona Central,1951,,,#019733,388404,Gadgil Narhar Vishnu,192406,1,,Bombay,102692
INC,Poona South,1951,,,#019733,378892,Maydeo Indira Anant,179289,1,,Bombay,114720
INC,Ratnagiri North,1951,,,#019733,374668,Bhosale Jagannathrao Krishnarao,151181,1,,Bombay,75366
INC,Ratnagiri South,1951,,,#019733,372880,Joshi Moreshwar Dinkar,144239,1,,Bombay,57481
INC,Sabarkantha,1951,,,#019733,372222,Nanda Gulzarilal Bulaqiram,201468,1,,Bombay,106048
PWP,Sholapur,1951,,,#999,801712,More Shankar Shantaram,780170,1,,Bombay,209697
INC,South Satara,1951,,,#019733,369033,Pawar Vyankatrao Pirajirao,223955,1,,Bombay,133915
INC,Surat,1951,,,#019733,745093,Desai Kanhaiyalal Nanabhai,861336,1,,Bombay,244016
INC,Thana,1951,,,#019733,712902,Nandkar Anant Savalaram,718242,1,,Bombay,151952
INC,West Khandesh,1951,,,#019733,753372,Bharatiya Shaligram Ramchandra,754356,1,,Bombay,171242
INC,Coorg,1951,,,#019733,94593,N. Somanna,63813,1,,Coorg,38063
INC,Chamba Sirmur,1951,,,#019733,180581,A. R. Sewal,47812,1,,Himachal Pradesh,28451
INC,Mandi Mahasu,1951,,,#019733,350437,Amrit Kaur,175377,1,,Himachal Pradesh,47152
SP,Adilabad,1951,,,#B15928,351017,C. Madhav Reddy,156907,1,,Hyderabad,90995
INC,Ambad,1951,,,#019733,381233,Hanmanth Rao Ganeshrao,145667,1,,Hyderabad,80563
INC,Aurangabad,1951,,,#019733,361434,Sureshchandra Shivprasad Arya,138306,1,,Hyderabad,71092
PDF,Bhir,1951,,,#999,344586,Ramchander Govind Paranjppe,126253,1,,Hyderabad,67752
INC,Bidar,1951,,,#019733,335863,Shoukatulla Shah Ansari,158378,1,,Hyderabad,92105
INC,Gulabarga,1951,,,#019733,364590,Swamy Ramanand Tirth,106140,1,,Hyderabad,56087
INC,Hyderabad City,1951,,,#019733,343535,Ahmed Mohiuddin,147657,1,,Hyderabad,70004
INC,Ibrahimpatam,1951,,,#019733,345396,Sadat Ali Khan,144579,1,,Hyderabad,66536
PDF,Karimnagar,1951,,,#999,750904,Badan Yella Reddy,715873,1,,Hyderabad,197234
PDF,Khammam,1951,,,#999,354276,T. B. Vittala Rao,188064,1,,Hyderabad,101223
IND,Kustagi,1951,,,#95b3d7,356258,Shiv Murthy Swamy,170259,1,,Hyderabad,107209
INC,Mahboobnagar,1951,,,#019733,756778,Janardhan Reddy,344270,1,,Hyderabad,173926
PDF,Medak,1951,,,#999,360324,Jaisoorya,197637,1,,Hyderabad,90366
PDF,Nalgonda,1951,,,#999,729504,Ravi Narayan Reddy,807033,1,,Hyderabad,309162
INC,Nanded,1951,,,#019733,710146,Shanker Rao Srinivas Rao,444504,1,,Hyderabad,122638
INC,Nizamabad,1951,,,#019733,335863,Harish Chandra Heda,160995,1,,Hyderabad,86619
INC,Osmanabad,1951,,,#019733,373951,Diwan Raghevendra Srinivas Rao,194043,1,,Hyderabad,101573
PWP,Parbhani,1951,,,#999,370348,Narayan Rao Waghmare,140434,1,,Hyderabad,92698
INC,Vicarabad,1951,,,#019733,377940,Ebenezer S. A.,181357,1,,Hyderabad,140861
PDF,Warangal,1951,,,#999,365451,Pendyal Raghava Rao,186506,1,,Hyderabad,77264
INC,Yadgir,1951,,,#019733,362832,Krishna Charya Joshi,0,1,,Hyderabad,0
INC,Kutch East,1951,,,#019733,147409,Dholakia Gulabshanker Amrutlal,49236,1,,Kutch,31625
INC,Kutch West,1951,,,#019733,140991,Khimji Bhawanji Arjun,70344,1,,Kutch,47146
HMS,Guna,1951,,,#999,378353,V. G. Deshpande,138858,1,,Madhya Pradesh,56518
HMS,Gwalior,1951,,,#999,379320,V. G. Deshpande,144412,1,,Madhya Pradesh,65695
INC,Indore,1951,,,#019733,387379,Nandlal Surya Narayan,178654,1,,Madhya Pradesh,109506
INC,Jhabua,1951,,,#019733,369032,Amar Singh,140946,1,,Madhya Pradesh,58299
INC,Mandsaur,1951,,,#019733,371375,Kailash Nath Katju,140861,1,,Madhya Pradesh,92356
INC,Morena Bhind,1951,,,#019733,743114,Radha Charan,462963,1,,Madhya Pradesh,124878
INC,Nimar,1951,,,#019733,375327,Bajinath Mahodaya,127499,1,,Madhya Pradesh,83433
