party,constituency,year,age,category,color,electors,name,polled_votes,rank,sex,state,votes
INC,Buxar,1967,,,#019733,558072,R. S. Singh,282823,1,M,Bihar,94032
INC,Chapra,1967,,,#019733,563139,R. P. Singh,278618,1,M,Bihar,83267
IND,Chatra,1967,,,#95b3d7,493028,V. Raje,191850,1,F,Bihar,66329
INC,Darbhanga,1967,,,#019733,589019,S. N. Sinha,331895,1,M,Bihar,143335
JKD,Dhanbad,1967,,,#999,480690,L. R. Lakshmi,186070,1,F,Bihar,68034
INC,Dumka,1967,,,#019733,478393,S. C. Besra,154814,1,M,Bihar,60108
INC,Gaya,1967,,,#019733,484827,R. Das,204474,1,M,Bihar,70950
INC,Giridih,1967,,,#019733,488257,A. I. Ahmad,200083,1,M,Bihar,70219
INC,Godda,1967,,,#019733,518431,P. H. Singhka,213427,1,M,Bihar,81560
INC,Gopalganj,1967,,,#019733,518630,D. N. Tiwary,240388,1,M,Bihar,71957
INC,Hajipur,1967,,,#019733,569874,V. Chaudhary,332668,1,M,Bihar,100645
IND,Hazaribagh,1967,,,#95b3d7,498131,B. N. Singh,188537,1,M,Bihar,83618
CPI,Jahanabad,1967,,,#DE0000,560459,C. S. Singh,275130,1,M,Bihar,112287
CPI,Jainagar,1967,,,#DE0000,552639,B. Jha,301124,1,M,Bihar,154080
INC,Jamshedpur,1967,,,#019733,442633,S. C. Prasad,202331,1,M,Bihar,75219
INC,Jamui,1967,,,#019733,576715,N. T. Das,315070,1,M,Bihar,127018
INC,Katihar,1967,,,#019733,498435,S. Keshari,260820,1,M,Bihar,58776
CPI,Kesaria,1967,,,#DE0000,523959,K. M. Madhukar,237929,1,M,Bihar,120795
SSP,Khagaria,1967,,,#999,566989,K. Singh,341632,1,M,Bihar,205253
INC,Khunti,1967,,,#019733,463401,J. Singh,179856,1,M,Bihar,46737
PSP,Kishanganj,1967,,,#999,464508,L. L. Kapoor,197407,1,M,Bihar,84834
INC,Lohardaga,1967,,,#019733,463997,K. Doraon,156439,1,M,Bihar,62260
SSP,Madhepura,1967,,,#999,535701,B. P. Mandal,282104,1,M,Bihar,145911
SSP,Madhubani,1967,,,#999,535332,S. C. Jha,308109,1,M,Bihar,83690
INC,Maharajganj,1967,,,#019733,566098,M. P. Singh,271134,1,M,Bihar,96212
SSP,Monghyr,1967,,,#999,521986,L. M. Ramchandra,306778,1,M,Bihar,168111
INC,Motihari,1967,,,#019733,463766,B. Misra,222581,1,M,Bihar,86765
INC,Muzaffarpur,1967,,,#019733,543563,D. N. Singh,317818,1,M,Bihar,145929
INC,Nalanda,1967,,,#019733,594698,S. Prasad,316464,1,M,Bihar,148410
IND,Nawada,1967,,,#95b3d7,572864,M. S. P. N. Puri,293718,1,M,Bihar,110766
INC,Palamu,1967,,,#019733,504969,K. Kumari,215077,1,F,Bihar,92686
CPI,Patna,1967,,,#DE0000,526885,R. A. Shastri,313578,1,M,Bihar,148963
INC,Pupri,1967,,,#019733,569060,S. P. Sahu,331782,1,M,Bihar,128966
INC,Purnea,1967,,,#019733,489476,P. G. S. Gupta,234639,1,M,Bihar,73842
INC,Rajmahal,1967,,,#019733,454582,I. Marandi,148837,1,M,Bihar,41515
INC,Ranchi,1967,,,#019733,465018,P. K. Ghosh,170008,1,M,Bihar,33257
SSP,Rosera,1967,,,#999,510872,K. Paswan,279747,1,M,Bihar,124908
SSP,Saharsa,1967,,,#999,535539,G. Thakur,311124,1,M,Bihar,124018
INC,Samastipur,1967,,,#019733,532604,Y. P. Mandal,311276,1,M,Bihar,128148
INC,Sasaram,1967,,,#019733,535908,J. Ram,277107,1,M,Bihar,149355
INC,Shahabad,1967,,,#019733,553603,B. Bhagat,297839,1,M,Bihar,129407
IND,Singhbhum,1967,,,#95b3d7,488906,K. Birua,133549,1,M,Bihar,31254
INC,Sitamarhi,1967,,,#019733,564690,N.P. Yadav,364388,1,M,Bihar,141337
INC,Siwan,1967,,,#019733,553081,M. Yusuf,249789,1,M,Bihar,98206
BJS,Chandigarh,1967,,,#999,76232,C. Goyal,49155,1,M,Chandigarh,23939
INC,Dadra & Nagar Haveli,1967,,,#019733,29564,S. R. Delkar,21248,1,M,Dadra & Nagar Haveli,10654
UGS,Marmagoa,1967,,,#999,216538,S.E.D Jesus,138032,1,M,Goa,54327
IND,Panjim,1967,,,#95b3d7,201856,S. J. Jaganath,139754,1,M,Goa,56764
IND,Ahmedabad,1967,,,#95b3d7,474589,I.Yagnik,300524,1,M,Gujarat,179844
INC,Amreli,1967,,,#019733,452378,J.V. Shah,224785,1,F,Gujarat,117812
INC,Anand,1967,,,#019733,464136,N.R. Mahida,342566,1,M,Gujarat,181894
SWA,Banaskantha,1967,,,#999,427762,M. Amersey,229914,1,M,Gujarat,110028
SWA,Baroda,1967,,,#999,447095,P.C. Patel,289247,1,M,Gujarat,152903
INC,Bhavnagar,1967,,,#019733,465812,J.N. Mehta,230559,1,M,Gujarat,91993
INC,Broach,1967,,,#019733,452985,M.B. Rana,282885,1,M,Gujarat,134148
INC,Bulsar,1967,,,#019733,465000,N.N. Patel,274776,1,M,Gujarat,185241
INC,Dabhoi,1967,,,#019733,458775,M.M. Patel,291317,1,M,Gujarat,159453
SWA,Dhandhuka,1967,,,#999,432903,R.K. Amin,266086,1,M,Gujarat,148372
INC,Dohad,1967,,,#019733,420684,B.R. Parmar,232398,1,M,Gujarat,113926
INC,Gandhinagar,1967,,,#019733,515980,S.M. Solanki,333158,1,M,Gujarat,156148
SWA,Godhra,1967,,,#999,426461,P.H. Mody,258182,1,M,Gujarat,122813
SWA,Jamnagar,1967,,,#999,414134,N. Dandekar,220176,1,M,Gujarat,111636
SWA,Junagadh,1967,,,#999,403474,V.J. Shah,220275,1,M,Gujarat,108303
SWA,Kaira,1967,,,#999,443349,P.N. Solanki,312044,1,M,Gujarat,163997
INC,Kutch,1967,,,#019733,370407,T.M. Sheth,207031,1,M,Gujarat,106853
INC,Mandvi,1967,,,#019733,428977,C.M. Kedaria,250792,1,M,Gujarat,143412
SWA,Mehsana,1967,,,#999,493885,R.J. Amin,345464,1,M,Gujarat,191205
SWA,Patan,1967,,,#999,485424,D.R. Parmar,304182,1,M,Gujarat,140754
SWA,Rajkot,1967,,,#999,460286,M.R. Masani,275609,1,M,Gujarat,128537
SWA,Sabarkantha,1967,,,#999,415763,C.C. Desai,264612,1,M,Gujarat,151011
INC,Surat,1967,,,#019733,422138,M.R. Desai,249079,1,M,Gujarat,163836
SWA,Surendranagar,1967,,,#999,450551,Meghrajji,273550,1,M,Gujarat,169191
BJS,Ambala,1967,,,#999,459451,S. Bhan,316269,1,M,Haryana,128003
IND,Gurgaon,1967,,,#95b3d7,527625,A. Gani,349394,1,M,Haryana,88326
INC,Hissar,1967,,,#019733,473354,R. Kishan,321280,1,M,Haryana,115963
INC,Jhajjar,1967,,,#019733,501785,S. Singh,356287,1,M,Haryana,209492
INC,Kaithal,1967,,,#019733,484420,G.L. Nanda,357691,1,M,Haryana,180770
INC,Karnal,1967,,,#019733,463594,M. Ram,336205,1,M,Haryana,168204
INC,Mahendragarh,1967,,,#019733,491115,G. Singh,313998,1,M,Haryana,93903
INC,Rohtak,1967,,,#019733,477706,R. Singh,350700,1,M,Haryana,176258
INC,Sirsa,1967,,,#019733,507661,D. Singh,350395,1,M,Haryana,193919
INC,Chamba,1967,,,#019733,245876,V. Chand,119451,1,M,Himachal Pradesh,39363
INC,Hamirpur,1967,,,#019733,279659,P. C. Verma,142167,1,M,Himachal Pradesh,72705
INC,Kangra,1967,,,#019733,261580,H. Raj,134001,1,M,Himachal Pradesh,44262
INC,Mahasu,1967,,,#019733,258163,V. Singh,129252,1,M,Himachal Pradesh,83782
INC,Mandi,1967,,,#019733,284025,L. Sen,121181,1,M,Himachal Pradesh,62596
INC,Simla,1967,,,#019733,253012,P. Singh,130712,1,M,Himachal Pradesh,72870
INC,Anantnag,1967,,,#019733,1,M.S. Qureshi,0,1,M,Jammu & Kashmir,0
INC,Baramulla,1967,,,#019733,367400,S.A. Agha,183023,1,M,Jammu & Kashmir,101769
INC,Jammu,1967,,,#019733,440581,I.J. Malhotra,287117,1,M,Jammu & Kashmir,139036
INC,Ladakh,1967,,,#019733,51381,K. Bakula,0,1,M,Jammu & Kashmir,0
JKN,Srinagar,1967,,,#999,354364,B.G. Mohamad,127068,1,M,Jammu & Kashmir,59415
INC,Udhampur,1967,,,#019733,418795,G.S. Brigadier,245416,1,M,Jammu & Kashmir,134684
CPI,Adoor,1967,,,#DE0000,441409,P. C. Adichan,346612,1,M,Kerala,179068
CPM,Ambalapuzha,1967,,,#DE0000,458181,S. Gopalan,356335,1,F,Kerala,176552
SSP,Badagara,1967,,,#999,463046,A. Sreedharan,330691,1,M,Kerala,215597
CPM,Chirayinkil,1967,,,#DE0000,410807,K. Anirudhan,299809,1,M,Kerala,157040
CPM,Ernakulam,1967,,,#DE0000,457108,V. V. Menon,360368,1,M,Kerala,176624
CPM,Kasaragod,1967,,,#DE0000,467371,A. K. Gopalan,335921,1,M,Kerala,206480
IND,Kollam,1967,,,#95b3d7,459508,N.S. Nair,359484,1,M,Kerala,207338
CPM,Kottayam,1967,,,#DE0000,426210,K. M. Abraham,335297,1,M,Kerala,145571
MUL,Kozhikode,1967,,,#999,495721,E. S. Sait,373554,1,M,Kerala,215136
MUL,Manjeri,1967,,,#999,453637,M. M. Ismail,289970,1,M,Kerala,198732
SSP,Mavelikara,1967,,,#999,459888,G. P. Mangalathumadom,350041,1,M,Kerala,147872
INC,Mukundapuram,1967,,,#019733,451269,P. G. Menon,353296,1,M,Kerala,175778
CPM,Muvattupuzha,1967,,,#DE0000,423640,P. P. Esthose,317602,1,M,Kerala,140403
CPM,Palakkad,1967,,,#DE0000,465825,E. K. Nayanar,267538,1,M,Kerala,158230
CPI,Peermade,1967,,,#DE0000,449574,P. K. V. Nair,306410,1,M,Kerala,142089
CPM,Ponnani,1967,,,#DE0000,441611,C. K. Chakrapani,266056,1,M,Kerala,157753
CPM,Tellicherry,1967,,,#DE0000,475141,P. Gopalan,358436,1,M,Kerala,221374
SSP,Thiruvananthapuram,1967,,,#999,457981,P. Viswambharan,310998,1,M,Kerala,153040
CPI,Thrissur,1967,,,#DE0000,458629,C. Janardhanan,353059,1,M,Kerala,180195
IND,Lakshadweep,1967,,,#95b3d7,14505,M.S. Padanatha,11807,1,M,Lakshadweep,4151
INC,Balaghat,1967,,,#019733,468694,C.R. Gautam,248228,1,M,Madhya Pradesh,125540
IND,Bastar,1967,,,#95b3d7,427235,J. Sundarlal,193182,1,M,Madhya Pradesh,53798
INC,Betul,1967,,,#019733,505649,S.N. Kumar,224269,1,M,Madhya Pradesh,102661
BJS,Bhind,1967,,,#999,516297,Y.S. Kushwah,301340,1,M,Madhya Pradesh,137586
BJS,Bhopal,1967,,,#999,528531,J.R. Joshi,284134,1,M,Madhya Pradesh,138698
INC,Bilaspur,1967,,,#019733,468243,Amarsingh,216395,1,M,Madhya Pradesh,98430
INC,Chhindwara,1967,,,#019733,492457,G.R. Mishra,192699,1,M,Madhya Pradesh,86171
INC,Damoh,1967,,,#019733,482099,M.J.B. Patel,263448,1,M,Madhya Pradesh,127111
BJS,Dhar,1967,,,#999,458570,Bharatsingh,246360,1,M,Madhya Pradesh,133435
INC,Durg,1967,,,#019733,532152,V.Y. Tamaskar,263248,1,M,Madhya Pradesh,108498
SWA,Guna,1967,,,#999,526703,V.R. Scindhia,293407,1,F,Madhya Pradesh,231186
BJS,Gwalior,1967,,,#999,524192,R. Avtar,308618,1,M,Madhya Pradesh,193614
INC,Hoshangabad,1967,,,#019733,457587,C.N.S. Daulatsingh,240232,1,M,Madhya Pradesh,131271
INC,Indore,1967,,,#019733,499407,P.C. Sethi,308422,1,M,Madhya Pradesh,134468
INC,Jabalpur,1967,,,#019733,487689,G. Das,271608,1,M,Madhya Pradesh,139427
INC,Janjgir,1967,,,#019733,500141,Minimata,219485,1,F,Madhya Pradesh,136589
INC,Jhabua,1967,,,#019733,461943,Sursingh,215823,1,M,Madhya Pradesh,87419
BJS,Kanker,1967,,,#999,473390,T.L.P. Shah,232028,1,M,Madhya Pradesh,90460
INC,Khandwa,1967,,,#019733,496852,G. Dikshit,290372,1,M,Madhya Pradesh,125236
INC,Khargone,1967,,,#019733,477890,S.C.K. Bajpai,237420,1,M,Madhya Pradesh,113236
INC,Mahasamund,1967,,,#019733,512663,V. Shukla,193246,1,M,Madhya Pradesh,103885
INC,Mandla,1967,,,#019733,479138,M. Uikey,157653,1,M,Madhya Pradesh,67390
BJS,Mandsaur,1967,,,#999,482032,K.S. Singh,283706,1,M,Madhya Pradesh,148654
IND,Morena,1967,,,#95b3d7,514135,Atamdas,257007,1,M,Madhya Pradesh,118167
INC,Raigarh,1967,,,#019733,504247,R. Gandha,236458,1,F,Madhya Pradesh,104980
INC,Raipur,1967,,,#019733,538719,L. Gupta,277371,1,M,Madhya Pradesh,103863
INC,Rajnandgaon,1967,,,#019733,512194,P. Devi,249807,1,F,Madhya Pradesh,132444
INC,Rewa,1967,,,#019733,559625,S.N. Shukla,319657,1,M,Madhya Pradesh,140468
BJS,Sagar,1967,,,#999,496617,Ramsingh,249703,1,M,Madhya Pradesh,112943
INC,Sarguja,1967,,,#019733,439322,B. Singh,152033,1,M,Madhya Pradesh,63385
INC,Satna,1967,,,#019733,525827,D.V. Singh,270307,1,M,Madhya Pradesh,132260
INC,Shahdol,1967,,,#019733,471957,G. Kumari,178017,1,F,Madhya Pradesh,117146
BJS,Shajapur,1967,,,#999,503266,P. Baboorao,272216,1,M,Madhya Pradesh,133652
INC,Sidhi,1967,,,#019733,519407,B.P. Singh,238369,1,M,Madhya Pradesh,132069
INC,Tikamgarh,1967,,,#019733,541011,N. Ram,276107,1,M,Madhya Pradesh,111230
BJS,Ujjain,1967,,,#999,498856,Hukumchand,315969,1,M,Madhya Pradesh,176171
BJS,Vidisha,1967,,,#999,508603,S. Sharma,276429,1,M,Madhya Pradesh,158105
DMK,Chengalpattu,1967,,,#800000,538456,C. C. Babu,417217,1,M,Madras,255845
DMK,Chidambaram,1967,,,#800000,524610,V. Mayavan,392957,1,M,Madras,205193
CPM,Coimbatore,1967,,,#DE0000,561096,K. Ramani,415791,1,M,Madras,240856
DMK,Cuddalore,1967,,,#800000,545062,V. K. Gounder,403169,1,M,Madras,225571
DMK,Dharapuram,1967,,,#800000,563703,C. T. Dhandapani,416332,1,M,Madras,259768
DMK,Dindigul,1967,,,#800000,555868,N. Anbuchezhian,416784,1,M,Madras,260065
DMK,Gobichettipalayam,1967,,,#800000,513981,P. A. Saminathan,373870,1,M,Madras,203798
DMK,Kallakurichi,1967,,,#800000,498804,M. Deiveekan,365563,1,M,Madras,193043
SWA,Karur,1967,,,#999,554715,M. Gounder,395042,1,F,Madras,209380
DMK,Krishnagiri,1967,,,#800000,503298,M. Kamalanathan,325111,1,M,Madras,165079
DMK,Kumbakonam,1967,,,#800000,534001,S. Era,426088,1,M,Madras,213866
DMK,Madras North,1967,,,#800000,550302,K. Manoharan,404452,1,M,Madras,227783
DMK,Madras South,1967,,,#800000,575015,C. N. Annadurai,417783,1,M,Madras,248099
CPM,Madurai,1967,,,#DE0000,572490,P. Ramamurti,434374,1,M,Madras,261390
DMK,Mayuram,1967,,,#800000,466790,K. Subravelu,367276,1,M,Madras,209660
DMK,Mettur,1967,,,#800000,544859,S. Kandappan,346274,1,M,Madras,184004
INC,Nagapattinam,1967,,,#019733,477019,V. Sambasivam,392927,1,M,Madras,164167
INC,Nagercoil,1967,,,#019733,474210,A. Nesamony,337681,1,M,Madras,180265
SWA,Nilgiris,1967,,,#999,502089,M. K. N. Gowder,348997,1,M,Madras,167712
DMK,Perambalur,1967,,,#800000,537811,A. Durairasu,426054,1,M,Madras,229941
SWA,Periyakulam,1967,,,#999,540711,H. Ajmalkhan,404894,1,M,Madras,183593
DMK,Pollachi,1967,,,#800000,549500,Narayanan,404753,1,M,Madras,237035
CPM,Pudukkottai,1967,,,#DE0000,537531,R. Umanath,413384,1,M,Madras,199469
IND,Ramanathapuram,1967,,,#95b3d7,526959,M. Sheriff,381977,1,M,Madras,180392
DMK,Salem,1967,,,#800000,520373,K. Rajaram,384419,1,M,Madras,219380
DMK,Sivaganga,1967,,,#800000,554582,Kiruttinan,423378,1,M,Madras,225106
SWA,Sivakasi,1967,,,#999,525365,P. Ramamoorthy,412809,1,M,Madras,194364
DMK,Sriperumbudur,1967,,,#800000,595157,P. Sivasankaran,448018,1,M,Madras,271528
INC,Tenkasi,1967,,,#019733,535903,R. S. Arumugam,401617,1,M,Madras,166737
DMK,Thanjavur,1967,,,#800000,521430,D.S. Gopalar,428254,1,M,Madras,225414
DMK,Tindivanam,1967,,,#800000,547024,T. D. R. Naidu,405713,1,M,Madras,201009
SWA,Tiruchendur,1967,,,#999,548835,Santosham,390339,1,M,Madras,183053
DMK,Tiruchengode,1967,,,#800000,573903,K. Anbazhagan,420276,1,M,Madras,232365
CPM,Tiruchirappalli,1967,,,#DE0000,537064,K. A. Nambiar,403213,1,M,Madras,202879
SWA,Tirunelveli,1967,,,#999,543945,S. Xavier,388325,1,M,Madras,186864
DMK,Tiruppattur,1967,,,#800000,478183,R. M. Gounder,347387,1,M,Madras,188309
DMK,Tiruttani,1967,,,#800000,538610,S. K. Sambandhan,404990,1,M,Madras,225229
DMK,Vandavasi,1967,,,#800000,523306,G. Viswanathan,386421,1,M,Madras,213537
DMK,Vellore,1967,,,#800000,504140,Kuchelar,365185,1,M,Madras,203887
INC,Ahmednagar,1967,,,#019733,467945,A. V. Patil,277354,1,M,Maharashtra,142925
INC,Akola,1967,,,#019733,513828,K. M. A. H. Sardarkhan,343314,1,M,Maharashtra,188248
INC,Amravati,1967,,,#019733,521799,K. G. Deshmukh,341874,1,M,Maharashtra,162887
INC,Aurangabad,1967,,,#019733,481505,B. D. Deshmukh,243415,1,M,Maharashtra,135865
INC,Baramati,1967,,,#019733,449494,T. S. Jadhav,267298,1,M,Maharashtra,166392
INC,Bhandara,1967,,,#019733,530880,A. R. Mehata,342725,1,M,Maharashtra,152206
CPI,Bhir,1967,,,#DE0000,530388,N. R. Patil,261368,1,M,Maharashtra,125216
INC,Bhiwandi,1967,,,#019733,509052,S. D. Baswant,315088,1,M,Maharashtra,136904
INC,Bombay Central,1967,,,#019733,520524,R. D. Bhandare,347573,1,M,Maharashtra,158060
INC,Bombay North East,1967,,,#019733,644638,S. G. Barve,426119,1,M,Maharashtra,171902
INC,Bombay North West,1967,,,#019733,620183,S. H. Shah,391965,1,M,Maharashtra,124071
SSP,Bombay South,1967,,,#999,464850,G. Fernandes,304813,1,M,Maharashtra,147841
CPI,Bombay South Central,1967,,,#DE0000,483146,S. A.Dange,334405,1,M,Maharashtra,142718
INC,Buldhana,1967,,,#019733,482954,S. R. Rane,330510,1,M,Maharashtra,172178
IND,Chanda,1967,,,#95b3d7,474396,K. M. Kaushik,277050,1,M,Maharashtra,139310
INC,Chimur,1967,,,#019733,506614,R. M. Hajarnawis,312051,1,M,Maharashtra,123336
INC,Dahanu,1967,,,#019733,439251,Y. M. Mukne,231471,1,M,Maharashtra,109864
INC,Dhule,1967,,,#019733,506847,C. A. Patil,289719,1,M,Maharashtra,164349
PWP,Hatkanangle,1967,,,#999,470375,M. V. R. C. Bhosale,345439,1,F,Maharashtra,189415
INC,Jalgaon,1967,,,#019733,507204,S. S. Samadali,292901,1,M,Maharashtra,125638
INC,Jalna,1967,,,#019733,488622,V. N. Jadhav,228492,1,M,Maharashtra,110423
INC,Karad,1967,,,#019733,463878,D. R. Chavan,320476,1,M,Maharashtra,239362
INC,Khamgaon,1967,,,#019733,496280,A. S. Kasture,331231,1,M,Maharashtra,188450
INC,Khed,1967,,,#019733,475268,R. K. Khadilkar,268506,1,M,Maharashtra,157229
PWP,Kolaba,1967,,,#999,480867,D. K. Kunte,312356,1,M,Maharashtra,164464
INC,Kolhapur,1967,,,#019733,456905,S. D. Mane,309531,1,M,Maharashtra,158327
INC,Kopargaon,1967,,,#019733,475212,A. P. Shince,299909,1,M,Maharashtra,138774
INC,Latur,1967,,,#019733,536980,T. D. Kamble,231251,1,M,Maharashtra,125896
INC,Malegaon,1967,,,#019733,453548,Z. M. Kahandole,271132,1,M,Maharashtra,140167
INC,Nagpur,1967,,,#019733,566904,N. R. Deoghare,354903,1,M,Maharashtra,129736
INC,Nanded,1967,,,#019733,555017,V. B. Tarodekar,289543,1,M,Maharashtra,147868
INC,Nandurbar,1967,,,#019733,477176,T. H. Gavit,260587,1,M,Maharashtra,150027
INC,Nashik,1967,,,#019733,436875,B. R. Kavade,274957,1,M,Maharashtra,155632
INC,Osmanabad,1967,,,#019733,511526,T. A. Patil,322468,1,M,Maharashtra,162146
INC,Pandharpur,1967,,,#019733,488018,T. H. Sonavane,318557,1,M,Maharashtra,159818
INC,Parbhani,1967,,,#019733,516182,S. S. Deshmukh,240752,1,M,Maharashtra,115884
SSP,Pune,1967,,,#999,437596,S. M. Joshi,291250,1,M,Maharashtra,150696
PSP,Rajapur,1967,,,#999,396063,N. B. Pai,221993,1,M,Maharashtra,126653
INC,Ramtek,1967,,,#019733,508935,A. G. Sonar,336011,1,M,Maharashtra,183258
INC,Ratnagiri,1967,,,#019733,451201,S. Mukherjee,256229,1,F,Maharashtra,112138
INC,Sangli,1967,,,#019733,506419,S. D. Patil,343408,1,M,Maharashtra,204185
INC,Satara,1967,,,#019733,459120,Y. B. Chavan,302276,1,M,Maharashtra,207895
INC,Sholapur,1967,,,#019733,445183,S. F. Damani,271266,1,M,Maharashtra,116734
INC,Wardha,1967,,,#019733,532594,K. J. Bajaj,358361,1,M,Maharashtra,144756
INC,Yeotmal,1967,,,#019733,483231,D. S. Patil,351675,1,M,Maharashtra,167416
CPI,Inner Manipur,1967,,,#DE0000,263495,M. Meghachandra,199320,1,M,Manipur,91131
IND,Outer Manipur,1967,,,#95b3d7,219554,P. Haokip,115842,1,M,Manipur,30403
INC,Bagalkot,1967,,,#019733,472138,S. B. Patil,299603,1,M,Mysore,183984
INC,Bangalore,1967,,,#019733,541271,K. Hanumanthiah,273294,1,M,Mysore,130814
INC,Belgaum,1967,,,#019733,477375,N. M. Nabisab,312909,1,M,Mysore,192046
INC,Bellary,1967,,,#019733,499874,V. K. R. V. Rao,322424,1,M,Mysore,173402
INC,Bidar,1967,,,#019733,474941,R. Veerappa,275877,1,M,Mysore,136413
SWA,Bijapur,1967,,,#999,447774,G. D. Patil,228385,1,M,Mysore,113208
INC,Chamarajanagar,1967,,,#019733,454447,S. M. Siddaiah,292289,1,M,Mysore,108831
INC,Chikkodi,1967,,,#019733,462055,B. Sahankaranand,284430,1,M,Mysore,192986
PSP,Chikmagalur,1967,,,#999,407267,M. Huchegowda,247089,1,M,Mysore,106812
SWA,Chitradurga,1967,,,#999,499894,J. M. Imam,326134,1,M,Mysore,164548
INC,Dharwad North,1967,,,#019733,433794,M. S. Bindurao,270595,1,M,Mysore,169173
INC,Dharwad South,1967,,,#019733,471334,M. F. Hussensab,292907,1,M,Mysore,147272
INC,Gulbarga,1967,,,#019733,489226,M. Yeshvantappa,231737,1,M,Mysore,136188
SWA,Hassan,1967,,,#999,468830,N. Shivappa,294788,1,M,Mysore,168620
INC,Hoskote,1967,,,#019733,503040,M. V. Krishnappa,293679,1,M,Mysore,160374
INC,Kanakapura,1967,,,#019733,444344,M. V. Rajasekharan,266380,1,M,Mysore,121394
IND,Kanara,1967,,,#95b3d7,463555,D. D. Dattatraya,280032,1,M,Mysore,143287
INC,Kolar,1967,,,#019733,461527,G. Y. Krishnan,276300,1,M,Mysore,131041
INC,Koppal,1967,,,#019733,519702,A. Sanganna,308778,1,M,Mysore,166690
INC,Madhugiri,1967,,,#019733,505434,Malimariyappa,286089,1,M,Mysore,156423
INC,Mandya,1967,,,#019733,503529,M. K. Shivananjappa,338928,1,M,Mysore,192706
INC,Mangalore,1967,,,#019733,448646,C. M. Poonacha,304756,1,M,Mysore,125162
INC,Mysore,1967,,,#019733,466278,H. D. Tulasidas,271520,1,M,Mysore,108855
SWA,Raichur,1967,,,#999,495088,R. V. Naik,223105,1,M,Mysore,117272
SSP,Shimoga,1967,,,#999,466047,J. H. Patel,296470,1,M,Mysore,161262
PSP,Tumkur,1967,,,#999,446612,K. Lakkappa,268779,1,M,Mysore,115312
SWA,Udipi,1967,,,#999,454974,J. M. L. Prabhu,294141,1,M,Mysore,122836
NNO,Nagaland,1967,,,#999,214951,Chubatoshi,0,1,M,Nagaland,0
BJS,Chandni Chowk,1967,,,#999,194661,R. Gopal,133786,1,M,Nct Of Delhi,58928
BJS,Delhi Sadar,1967,,,#999,225517,K. L. Gupta,155227,1,M,Nct Of Delhi,73801
BJS,East Delhi,1967,,,#999,265230,H. Devgun,170761,1,M,Nct Of Delhi,83261
BJS,Karol Bagh,1967,,,#999,233745,R. S. Vidhyarthi,154995,1,M,Nct Of Delhi,62292
BJS,New Delhi,1967,,,#999,208755,M.L Sondhi,148359,1,M,Nct Of Delhi,82173
INC,Outer Delhi,1967,,,#019733,258107,B. Parkash,164305,1,M,Nct Of Delhi,67017
BJS,South Delhi,1967,,,#999,298699,B. Madhok,193728,1,M,Nct Of Delhi,105611
SWA,Angul,1967,,,#999,481556,D. Deblal,165296,1,M,Orissa,79961
PSP,Balasore,1967,,,#999,461490,S. Kundu,227196,1,M,Orissa,113022
IND,Bhadrak,1967,,,#95b3d7,547557,D. Jena,294244,1,M,Orissa,104484
INC,Bhanjanagar,1967,,,#019733,506312,A. T. Sarma,215089,1,M,Orissa,69120
INC,Bhubaneswar,1967,,,#019733,515093,C. Panigrahi,225102,1,M,Orissa,79899
SWA,Bolangir,1967,,,#999,465745,R. R. S. Deo,203887,1,M,Orissa,143083
INC,Chatrapur,1967,,,#019733,508555,J. R. Rachakonda,201619,1,M,Orissa,107071
PSP,Cuttack,1967,,,#999,547621,S. Misra,264300,1,M,Orissa,103710
SWA,Dhenkanal,1967,,,#999,499572,R.K.P.S.D.M. Bahadur,229151,1,M,Orissa,144806
PSP,Jajpur,1967,,,#999,537526,B. Behera,278377,1,M,Orissa,171207
SWA,Kalahandi,1967,,,#999,415610,P. K. Deo,157993,1,M,Orissa,108336
PSP,Kendrapara,1967,,,#999,561875,S. Dwivedy,329767,1,M,Orissa,220582
SWA,Keonjhar,1967,,,#999,426034,G. Naik,118988,1,M,Orissa,79906
INC,Koraput,1967,,,#019733,481761,U. Ramachandra,116702,1,M,Orissa,59846
SWA,Mayurbhanj,1967,,,#999,448482,M. Majhi,147652,1,M,Orissa,76929
INC,Nowrangpur,1967,,,#019733,477248,K. Pradhani,112832,1,M,Orissa,51163
SWA,Phulbani,1967,,,#999,468645,A. Dipa,136609,1,M,Orissa,64531
SSP,Puri,1967,,,#999,520581,R. Ray,243164,1,M,Orissa,143901
INC,Sambalpur,1967,,,#019733,533170,S. Supakar,191927,1,M,Orissa,57349
SWA,Sundargarh,1967,,,#999,478738,D. Amat,202097,1,M,Orissa,105272
INC,Puducherry,1967,,,#019733,216689,N. Sethuraman,158872,1,M,Puducherry,63286
BJS,Amritsar,1967,,,#999,459126,Y.D. Sharma,327638,1,M,Punjab,104035
ADS,Bhatinda,1967,,,#999,493595,K. Singh,319550,1,M,Punjab,150415
INC,Fazilka,1967,,,#019733,494461,I. Singh,328284,1,M,Punjab,118948
ADS,Ferozepur,1967,,,#999,465986,S. Singh,326573,1,M,Punjab,162198
INC,Gurdaspur,1967,,,#019733,492194,D. Chand,334534,1,M,Punjab,105971
INC,Hoshiarpur,1967,,,#019733,494190,R. Kishan,327723,1,M,Punjab,95877
INC,Jalandhar,1967,,,#019733,460109,S. Singh,313790,1,M,Punjab,122923
