pc,votes,year,state,party,name,sex,age,category,electors,rank,color,polled_votes
NIZAMABAD,7266,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,7,#999,1033924
NIZAMABAD,4791,2014,Andhra Pradesh,B. C. United Front,ABDUL GANI,,,,,8,#999,1033924
NIZAMABAD,3990,2014,Andhra Pradesh,Independent,KANDEM PRABHAKAR,,,,,9,#95b3d7,1033924
NIZAMABAD,3651,2014,Andhra Pradesh,Pyramid Party of India,BANJA VEERAPPA,,,,,10,#999,1033924
NIZAMABAD,3529,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,SINGAREDDY RAVINDRA REDDY,,,,,11,#999,1033924
NIZAMABAD,3091,2014,Andhra Pradesh,Independent,CHIRULINGADRULA VENKATESHAM,,,,,12,#95b3d7,1033924
NIZAMABAD,2817,2014,Andhra Pradesh,Independent,S. CHANDRAIAH,,,,,13,#95b3d7,1033924
NIZAMABAD,2621,2014,Andhra Pradesh,Aam Aadmi Party,RAPELLY SRINIVAS,,,,,14,#999,1033924
NIZAMABAD,2462,2014,Andhra Pradesh,Independent,KOTAPATI NARSIMHAM NAIDU,,,,,15,#95b3d7,1033924
NIZAMABAD,1978,2014,Andhra Pradesh,Bahujan Mukti Party,SAGAR SUDDALA,,,,,16,#999,1033924
NIZAMABAD,1601,2014,Andhra Pradesh,Independent,ABDUL KAREEM KHAN (BABU),,,,,17,#95b3d7,1033924
ZAHIRABAD,508661,2014,Andhra Pradesh,Telangana Rashtra Samithi,B.B. PATIL,,,,,1,#999,1094806
ZAHIRABAD,364030,2014,Andhra Pradesh,Indian National Congress,SURESH KUMAR SHETKAR,,,,,2,#019733,1094806
ZAHIRABAD,157497,2014,Andhra Pradesh,Telugu Desam,K.MADAN MOHAN RAO,,,,,3,#4bacc6,1094806
ZAHIRABAD,18027,2014,Andhra Pradesh,Republican Party of India (A),MARRI DURGESH,,,,,4,#999,1094806
ZAHIRABAD,12383,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,MAHMOOD MOHIUDDIN,,,,,5,#999,1094806
ZAHIRABAD,11190,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,6,#999,1094806
ZAHIRABAD,8180,2014,Andhra Pradesh,Bahujan Samaj Party,SYED FEROZUDDIN,,,,,7,#77968E,1094806
ZAHIRABAD,4804,2014,Andhra Pradesh,Independent,BENJAMIN RAJU,,,,,8,#95b3d7,1094806
ZAHIRABAD,4426,2014,Andhra Pradesh,Independent,RAMA RAO,,,,,9,#95b3d7,1094806
ZAHIRABAD,3285,2014,Andhra Pradesh,Aam Aadmi Party,DR. SUNEEL KUMAR CHOWDHARY,,,,,10,#999,1094806
ZAHIRABAD,2323,2014,Andhra Pradesh,Independent,TANDALE AMBAJI RAO,,,,,11,#95b3d7,1094806
