pc,votes,year,state,party,name,sex,age,category,electors,rank,color,polled_votes
SARAN,6765,2014,Bihar,Bihar Janta Party,CHANDAN KUMAR ALIAS CHANDAN GUPTA,,,,,9,#999,863254
SARAN,5099,2014,Bihar,Aam Aadmi Party,PARMATMA SINGH,,,,,10,#999,863254
SARAN,3217,2014,Bihar,Jai Maha Bharath Party,RANJAN KUMAR,,,,,11,#999,863254
SARAN,2818,2014,Bihar,Bahujan Mukti Party,NIRAJ RAM,,,,,12,#999,863254
HAJIPUR (SC),455652,2014,Bihar,Lok Jan Shakti Party,RAMVILAS PASWAN,,,,,1,#999,904753
HAJIPUR (SC),230152,2014,Bihar,Indian National Congress,SANJEEV PRASAD TONI,,,,,2,#019733,904753
HAJIPUR (SC),95790,2014,Bihar,Janata Dal  (United),RAM SUNDAR DAS,,,,,3,#8064a2,904753
HAJIPUR (SC),24399,2014,Bihar,Independent,VIPHIYA DEVI,,,,,4,#95b3d7,904753
HAJIPUR (SC),21045,2014,Bihar,Independent,DINA NATH RAM,,,,,5,#95b3d7,904753
HAJIPUR (SC),15094,2014,Bihar,None of the Above,None of the Above,,,,,6,#999,904753
HAJIPUR (SC),12688,2014,Bihar,Bahujan Samaj Party,DHANESHWAR RAM,,,,,7,#77968E,904753
HAJIPUR (SC),8957,2014,Bihar,Bharatiya Momin Front,UJJAWAL KANT HUNKAR,,,,,8,#999,904753
HAJIPUR (SC),8896,2014,Bihar,Independent,UPENDER RAM,,,,,9,#95b3d7,904753
HAJIPUR (SC),7544,2014,Bihar,Independent,SURESH PASWAN,,,,,10,#95b3d7,904753
HAJIPUR (SC),6344,2014,Bihar,Aam Aadmi Party,RAJ KR. PASWAN,,,,,11,#999,904753
HAJIPUR (SC),4185,2014,Bihar,Samajwadi Party,VIRCHANDRA PASWAN,,,,,12,#B15928,904753
HAJIPUR (SC),3882,2014,Bihar,Bahujan Mukti Party,RINA RAGNI,,,,,13,#999,904753
HAJIPUR (SC),3711,2014,Bihar,Bajjikanchal Vikas Party,RANDHIR KUMAR RAM,,,,,14,#999,904753
HAJIPUR (SC),3216,2014,Bihar,All India Forward Bloc,SATYA NARAYAN PASWAN,,,,,15,#999,904753
HAJIPUR (SC),3198,2014,Bihar,Samajwadi Janata Party (Rashtriya),VIDHAN CHANDRA RANA,,,,,16,#999,904753
UJIARPUR,317352,2014,Bihar,Bharatiya Janata Party,NITYANAND RAI,,,,,1,#FB7B0D,858920
UJIARPUR,256883,2014,Bihar,Rashtriya Janata Dal,ALOK KUMAR MEHTA,,,,,2,#999,858920
UJIARPUR,119669,2014,Bihar,Janata Dal  (United),ASHWAMEDH DEVI,,,,,3,#8064a2,858920
UJIARPUR,53044,2014,Bihar,Communist Party of India  (Marxist),RAM DEO VERMA,,,,,4,#DE0000,858920
UJIARPUR,15198,2014,Bihar,Bahujan Samaj Party,DHARMENDRA SAHANI,,,,,5,#77968E,858920
UJIARPUR,12520,2014,Bihar,Janta Dal Rashtravadi,SHIVANI UMANI,,,,,6,#999,858920
UJIARPUR,11990,2014,Bihar,Shivsena,JITENDRA KUMAR RAI,,,,,7,#F05A00,858920
UJIARPUR,8917,2014,Bihar,Aam Aadmi Party,SURESH CHAUDHARI,,,,,8,#999,858920
UJIARPUR,7969,2014,Bihar,Proutist Sarva Samaj,VINDESHWARI SAHNI,,,,,9,#999,858920
UJIARPUR,7810,2014,Bihar,Jharkhand Mukti Morcha,MITHILESH KUMAR JHA,,,,,10,#999,858920
UJIARPUR,7661,2014,Bihar,Bahujan Mukti Party,MADHURI,,,,,11,#999,858920
UJIARPUR,6967,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),PHOOL BABU SINGH,,,,,12,#DE0000,858920
UJIARPUR,6171,2014,Bihar,None of the Above,None of the Above,,,,,13,#999,858920
UJIARPUR,5669,2014,Bihar,Rashtriya Lok Samta Party,KISHOR KUMAR,,,,,14,#999,858920
UJIARPUR,5631,2014,Bihar,Rashtriya Krantikari Samajwadi Party,AMRENDRA KUMAR YADAV,,,,,15,#999,858920
UJIARPUR,4201,2014,Bihar,Independent,ARJUN KUMAR SAH,,,,,16,#95b3d7,858920
UJIARPUR,3152,2014,Bihar,Jai Prakash Janata Dal,PREM LATA DEVI,,,,,17,#999,858920
UJIARPUR,3098,2014,Bihar,Independent,MINTU PASWAN,,,,,18,#95b3d7,858920
UJIARPUR,2536,2014,Bihar,Naya Daur Party,MD. TAHIR ARAMAN,,,,,19,#999,858920
UJIARPUR,2482,2014,Bihar,Mahamukti Dal,PRITHIVINATH PRASAD,,,,,20,#999,858920
SAMASTIPUR (SC),270401,2014,Bihar,Lok Jan Shakti Party,RAM CHANDRA PASWAN,,,,,1,#999,863199
SAMASTIPUR (SC),263529,2014,Bihar,Indian National Congress,DR. ASHOK KUMAR,,,,,2,#019733,863199
SAMASTIPUR (SC),200124,2014,Bihar,Janata Dal  (United),MAHESHWAR HAZARI,,,,,3,#8064a2,863199
SAMASTIPUR (SC),29211,2014,Bihar,None of the Above,None of the Above,,,,,4,#999,863199
SAMASTIPUR (SC),15837,2014,Bihar,Janta Dal Rashtravadi,BALESHWAR PASWAN,,,,,5,#999,863199
SAMASTIPUR (SC),13504,2014,Bihar,Independent,MITHILESH KUMAR RAJAK,,,,,6,#95b3d7,863199
SAMASTIPUR (SC),12813,2014,Bihar,Bahujan Samaj Party,RAM CHANDRA RAM,,,,,7,#77968E,863199
SAMASTIPUR (SC),12322,2014,Bihar,Rashtriya Krantikari Samajwadi Party,SHATRUDHAN KUMAR PASWAN,,,,,8,#999,863199
SAMASTIPUR (SC),11813,2014,Bihar,Rajnaitik Vikalp Party,VIJAY KUMAR RAM,,,,,9,#999,863199
SAMASTIPUR (SC),9954,2014,Bihar,Aam Aadmi Party,GANESH KUMAR,,,,,10,#999,863199
SAMASTIPUR (SC),9665,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),LAL BAHADUR SADA,,,,,11,#DE0000,863199
SAMASTIPUR (SC),7423,2014,Bihar,Samajwadi Janata Party (Rashtriya),AMIT KUMAR,,,,,12,#999,863199
SAMASTIPUR (SC),6603,2014,Bihar,Bahujan Mukti Party,ASHOK PASWAN,,,,,13,#999,863199
BEGUSARAI,428227,2014,Bihar,Bharatiya Janata Party,BHOLA SINGH,,,,,1,#FB7B0D,1077855
BEGUSARAI,369892,2014,Bihar,Rashtriya Janata Dal,MD. TANVEER HASSAN,,,,,2,#999,1077855
BEGUSARAI,192639,2014,Bihar,Communist Party of India,RAJENDRA PRASAD SINGH,,,,,3,#DE0000,1077855
BEGUSARAI,26622,2014,Bihar,None of the Above,None of the Above,,,,,4,#999,1077855
BEGUSARAI,12143,2014,Bihar,Independent,VAIJ NATH PASWAN,,,,,5,#95b3d7,1077855
BEGUSARAI,11144,2014,Bihar,Independent,SUSHIL KUMAR,,,,,6,#95b3d7,1077855
BEGUSARAI,9014,2014,Bihar,Bahujan Samaj Party,RAM PADARATH YADAV,,,,,7,#77968E,1077855
BEGUSARAI,8639,2014,Bihar,Aam Aadmi Party,SUNIL KUMAR,,,,,8,#999,1077855
BEGUSARAI,4858,2014,Bihar,Bahujan Mukti Party,PINKI DEVI,,,,,9,#999,1077855
BEGUSARAI,4605,2014,Bihar,Independent,RAJENDRA YADAV,,,,,10,#95b3d7,1077855
BEGUSARAI,3405,2014,Bihar,Independent,MOHAMMAD JAVED,,,,,11,#95b3d7,1077855
BEGUSARAI,3344,2014,Bihar,Bharatiya Bahujan Congress,HARI KANT PRASAD,,,,,12,#999,1077855
BEGUSARAI,3323,2014,Bihar,Independent,PANKAJ PASWAN,,,,,13,#95b3d7,1077855
KHAGARIA,313806,2014,Bihar,Lok Jan Shakti Party,CHOUDHARY MAHBOOB ALI KAISER,,,,,1,#999,896231
KHAGARIA,237803,2014,Bihar,Rashtriya Janata Dal,KRISHNA KUMARI YADAV,,,,,2,#999,896231
KHAGARIA,220316,2014,Bihar,Janata Dal  (United),DINESH CHANDRA YADAV,,,,,3,#8064a2,896231
KHAGARIA,24490,2014,Bihar,Communist Party of India  (Marxist),JAGDISH CHANDRA VASU,,,,,4,#DE0000,896231
KHAGARIA,23868,2014,Bihar,None of the Above,None of the Above,,,,,5,#999,896231
KHAGARIA,14926,2014,Bihar,Independent,UMESH CHANDRA BHARTI,,,,,6,#95b3d7,896231
KHAGARIA,14491,2014,Bihar,Aam Aadmi Party,DR. SWAMI VIVEKANAND,,,,,7,#999,896231
KHAGARIA,13888,2014,Bihar,Independent,SATISH PRASAD SINGH,,,,,8,#95b3d7,896231
KHAGARIA,6651,2014,Bihar,Samajwadi Janata Party (Rashtriya),MAKKHAN SAH,,,,,9,#999,896231
KHAGARIA,6480,2014,Bihar,Bahujan Samaj Party,RAJESH KUMAR,,,,,10,#77968E,896231
KHAGARIA,5722,2014,Bihar,Lok Dal,RAJEEV RANJAN,,,,,11,#999,896231
KHAGARIA,5215,2014,Bihar,Rashtriya Naujawan Dal,BRAHAMDEO MUKHIA,,,,,12,#999,896231
KHAGARIA,4522,2014,Bihar,Sarvajan Kalyan Loktantrik Party,GANESH MUKHIYA NISHAD,,,,,13,#999,896231
KHAGARIA,4053,2014,Bihar,Proutist Sarva Samaj,TEJ BAHADUR SINGH,,,,,14,#999,896231
BHAGALPUR,367623,2014,Bihar,Rashtriya Janata Dal,SHAILESH KUMAR URPH BULO MANDAL,,,,,1,#999,974016
BHAGALPUR,358138,2014,Bihar,Bharatiya Janata Party,SYED SHAHNAWAZ HUSSAIN,,,,,2,#FB7B0D,974016
BHAGALPUR,132256,2014,Bihar,Janata Dal  (United),ABU QAISER,,,,,3,#8064a2,974016
BHAGALPUR,18937,2014,Bihar,Independent,RAMJEE MANDAL,,,,,4,#95b3d7,974016
BHAGALPUR,12710,2014,Bihar,Independent,INDRADEO KUMAR SINGH,,,,,5,#95b3d7,974016
BHAGALPUR,11875,2014,Bihar,None of the Above,None of the Above,,,,,6,#999,974016
BHAGALPUR,11265,2014,Bihar,Bahujan Samaj Party,NAUSHABA KHANAM,,,,,7,#77968E,974016
BHAGALPUR,9295,2014,Bihar,Independent,MAHADEO KUMAR,,,,,8,#95b3d7,974016
BHAGALPUR,8025,2014,Bihar,Bharat Vikas Morcha,KUMKUM SINGH,,,,,9,#999,974016
BHAGALPUR,7122,2014,Bihar,Independent,SIKANDAR TANTI,,,,,10,#95b3d7,974016
BHAGALPUR,5830,2014,Bihar,Aam Aadmi Party,PROF. YOGENDRA MAHTO,,,,,11,#999,974016
BHAGALPUR,5778,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),RINKI KUMARI,,,,,12,#DE0000,974016
BHAGALPUR,5165,2014,Bihar,Independent,RANJAN KUMAR,,,,,13,#95b3d7,974016
BHAGALPUR,4734,2014,Bihar,Independent,ANAND KUMAR JAIN,,,,,14,#95b3d7,974016
BHAGALPUR,3444,2014,Bihar,Independent,SUMAN KUMAR,,,,,15,#95b3d7,974016
BHAGALPUR,3251,2014,Bihar,National Tiger Party,GAURAV KUMAR GHOSH,,,,,16,#999,974016
BHAGALPUR,3147,2014,Bihar,Bahujan Mukti Party,NISHI KANT MANDAL,,,,,17,#999,974016
BHAGALPUR,3005,2014,Bihar,Sankhyanupati Bhagidari Party,VIREN DAS,,,,,18,#999,974016
BHAGALPUR,2416,2014,Bihar,Samajwadi Party,PUROSOTTAM CHOUBEY,,,,,19,#B15928,974016
BANKA,285150,2014,Bihar,Rashtriya Janata Dal,JAI PRAKASH NARAYAN YADAV,,,,,1,#999,899353
BANKA,275006,2014,Bihar,Bharatiya Janata Party,PUTUL KUMARI,,,,,2,#FB7B0D,899353
BANKA,220708,2014,Bihar,Communist Party of India,SANJAY KUMAR -I,,,,,3,#DE0000,899353
BANKA,30814,2014,Bihar,Independent,NARESH KUMAR PRIYADARSHI,,,,,4,#95b3d7,899353
BANKA,12871,2014,Bihar,Independent,ALIMUDDIN ANSARI,,,,,5,#95b3d7,899353
BANKA,11520,2014,Bihar,Independent,INDRARAJ SINGH SAINI,,,,,6,#95b3d7,899353
BANKA,11056,2014,Bihar,Independent,SARGUN SAH,,,,,7,#95b3d7,899353
BANKA,10558,2014,Bihar,Bahujan Samaj Party,SANJAY KUMAR-II,,,,,8,#77968E,899353
BANKA,9753,2014,Bihar,None of the Above,None of the Above,,,,,9,#999,899353
BANKA,6058,2014,Bihar,Aam Aadmi Party,NIRAJ KUMAR,,,,,10,#999,899353
BANKA,4721,2014,Bihar,Independent,AKHIL BHARTIYA SHARMA,,,,,11,#95b3d7,899353
BANKA,4412,2014,Bihar,All India Trinamool Congress,SUBODH NARAYAN JHA,,,,,12,#0C6965,899353
BANKA,4317,2014,Bihar,Rajnaitik Vikalp Party,VIJAY BHARTI,,,,,13,#999,899353
BANKA,2977,2014,Bihar,National Loktantrik Party,MITHLESH KUMAR SINGH,,,,,14,#999,899353
BANKA,2481,2014,Bihar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),DEEPAK KUMAR,,,,,15,#999,899353
BANKA,2405,2014,Bihar,Bhartiya Ekta Manch Party,MUKESH KUMAR SINHA,,,,,16,#999,899353
BANKA,2280,2014,Bihar,Bharatiya Momin Front,MAHBOOB ALAM ANSARI,,,,,17,#999,899353
BANKA,2266,2014,Bihar,Bahujan Mukti Party,UMAKANT YADAV,,,,,18,#999,899353
MUNGER,352911,2014,Bihar,Lok Jan Shakti Party,VEENA DEVI,,,,,1,#999,914350
MUNGER,243827,2014,Bihar,Janata Dal  (United),RAJIV RANJAN SINGH ALIAS LALAN SINGH,,,,,2,#8064a2,914350
MUNGER,182971,2014,Bihar,Rashtriya Janata Dal,PRAGATI MEHTA,,,,,3,#999,914350
MUNGER,50469,2014,Bihar,Shivsena,ASHOK KUMAR SINGH,,,,,4,#F05A00,914350
MUNGER,15420,2014,Bihar,None of the Above,None of the Above,,,,,5,#999,914350
MUNGER,11225,2014,Bihar,Bahujan Samaj Party,KAMLESHWARI MANDAL,,,,,6,#77968E,914350
MUNGER,11122,2014,Bihar,Independent,UCHIT KUMAR,,,,,7,#95b3d7,914350
MUNGER,10264,2014,Bihar,Independent,MUZAFFAR FAKHRUDDIN,,,,,8,#95b3d7,914350
MUNGER,8112,2014,Bihar,Independent,SHARWAN KUMAR ANAND,,,,,9,#95b3d7,914350
MUNGER,7481,2014,Bihar,Aam Aadmi Party,SANDEEP,,,,,10,#999,914350
MUNGER,6769,2014,Bihar,Samajwadi Party,RAM BADAN RAI,,,,,11,#B15928,914350
MUNGER,5113,2014,Bihar,Sankhyanupati Bhagidari Party,SURYODAY PASWAN,,,,,12,#999,914350
MUNGER,4710,2014,Bihar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),PRAMOD KUMAR,,,,,13,#999,914350
MUNGER,3956,2014,Bihar,Bahujan Mukti Party,SHANKAR PRASAD,,,,,14,#999,914350
NALANDA,321982,2014,Bihar,Janata Dal  (United),KAUSHLENDRA KUMAR,,,,,1,#8064a2,921761
NALANDA,312355,2014,Bihar,Lok Jan Shakti Party,SATYA NAND SHARMA,,,,,2,#999,921761
NALANDA,127270,2014,Bihar,Indian National Congress,ASHISH RANJAN SINHA,,,,,3,#019733,921761
NALANDA,23595,2014,Bihar,Bahujan Samaj Party,SANJAY KUMAR,,,,,4,#77968E,921761
NALANDA,19477,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),SHASHI YADAV,,,,,5,#DE0000,921761
NALANDA,18224,2014,Bihar,Aam Aadmi Party,PARNAV PRAKASH,,,,,6,#999,921761
NALANDA,15370,2014,Bihar,Ati Picchara party,SHAILESH KUMAR,,,,,7,#999,921761
NALANDA,13381,2014,Bihar,Republican Party of India (A),RAKESH RANJAN SINHA,,,,,8,#999,921761
NALANDA,8757,2014,Bihar,Janvadi Party(Socialist),DHIRENDRA KUMAR,,,,,9,#999,921761
NALANDA,7472,2014,Bihar,Independent,KAUSHAL KUMAR KAUSHALENDRA SINHA ALIAS BHARAT MANAS,,,,,10,#95b3d7,921761
NALANDA,6788,2014,Bihar,Bahujan Mukti Party,LALLU RAM,,,,,11,#999,921761
NALANDA,6346,2014,Bihar,Independent,AWADH KUMAR,,,,,12,#95b3d7,921761
NALANDA,6048,2014,Bihar,Independent,MUNNA PRASAD,,,,,13,#95b3d7,921761
NALANDA,5452,2014,Bihar,None of the Above,None of the Above,,,,,14,#999,921761
NALANDA,4613,2014,Bihar,All India Trinamool Congress,NAYEB ALI,,,,,15,#0C6965,921761
NALANDA,4600,2014,Bihar,Bharatiya Inqalab Party,YOGENDRA PRASAD,,,,,16,#999,921761
NALANDA,4236,2014,Bihar,Bharat Bhrashtachar Mitao Party,MAHESH PASWAN,,,,,17,#999,921761
NALANDA,3620,2014,Bihar,Independent,NARESH PRASAD SINGH,,,,,18,#95b3d7,921761
NALANDA,2779,2014,Bihar,Sankhyanupati Bhagidari Party,PRAMOD KUMAR NIRALA,,,,,19,#999,921761
NALANDA,2604,2014,Bihar,Independent,VISHWAJIT KUMAR,,,,,20,#95b3d7,921761
NALANDA,2342,2014,Bihar,Rajnaitik Vikalp Party,NIRAJ SHARMA,,,,,21,#999,921761
NALANDA,2237,2014,Bihar,Independent,LATA SINHA,,,,,22,#95b3d7,921761
NALANDA,2213,2014,Bihar,Krantikari Vikas Dal,BHOLA SAO,,,,,23,#999,921761
PATNA SAHIB,485905,2014,Bihar,Bharatiya Janata Party,SHATRUGHANA SINHA,,,,,1,#FB7B0D,882262
PATNA SAHIB,220100,2014,Bihar,Indian National Congress,KUNAL SINGH,,,,,2,#019733,882262
PATNA SAHIB,91024,2014,Bihar,Janata Dal  (United),DR.GOPAL PRASAD SINHA,,,,,3,#8064a2,882262
PATNA SAHIB,16381,2014,Bihar,Aam Aadmi Party,PARVEEN AMANULLAH,,,,,4,#999,882262
PATNA SAHIB,10836,2014,Bihar,Samajwadi Party,UMESH KUMAR,,,,,5,#B15928,882262
PATNA SAHIB,9691,2014,Bihar,Bahujan Samaj Party,GANESH SAW,,,,,6,#77968E,882262
PATNA SAHIB,8834,2014,Bihar,Independent,GANGA VISHNU PRASAD,,,,,7,#95b3d7,882262
PATNA SAHIB,7727,2014,Bihar,None of the Above,None of the Above,,,,,8,#999,882262
PATNA SAHIB,6057,2014,Bihar,Independent,NAND KISHORE SINGH,,,,,9,#95b3d7,882262
PATNA SAHIB,3178,2014,Bihar,Samajwadi Janata Party (Rashtriya),SHREEKANT LABH,,,,,10,#999,882262
PATNA SAHIB,3015,2014,Bihar,Bahujan Mukti Party,CHANDRA BHUSHAN PRASAD CHANDRAVANSHI,,,,,11,#999,882262
PATNA SAHIB,2914,2014,Bihar,Independent,KUMAR RAJIV,,,,,12,#95b3d7,882262
PATNA SAHIB,2687,2014,Bihar,Bharatiya Jan Kranti Dal (Democratic),DR. RAKESH DUTTA MISHRA,,,,,13,#999,882262
PATNA SAHIB,2502,2014,Bihar,Krantikari Vikas Dal,LAL BAHADUR SINGH PATEL,,,,,14,#999,882262
PATNA SAHIB,2478,2014,Bihar,Independent,ANIL KUMAR,,,,,15,#95b3d7,882262
PATNA SAHIB,2166,2014,Bihar,Sankhyanupati Bhagidari Party,GAJENDRA KUMAR,,,,,16,#999,882262
PATNA SAHIB,1856,2014,Bihar,Loktantrik Janata Party (Secular),PARWEZ AHMAD,,,,,17,#999,882262
PATNA SAHIB,1834,2014,Bihar,Janta Dal Rashtravadi,JAUHAR AZAD,,,,,18,#999,882262
PATNA SAHIB,1834,2014,Bihar,Independent,SHYAM NANDAN PRASAD,,,,,19,#95b3d7,882262
PATNA SAHIB,1243,2014,Bihar,Independent,VIJAY KUMAR SAHNI,,,,,20,#95b3d7,882262
PATALIPUTRA,383262,2014,Bihar,Bharatiya Janata Party,RAM KRIPAL YADAV,,,,,1,#FB7B0D,978649
PATALIPUTRA,342940,2014,Bihar,Rashtriya Janata Dal,MISHA BHARTI,,,,,2,#999,978649
PATALIPUTRA,97228,2014,Bihar,Janata Dal  (United),RANJAN PRASAD YADAV,,,,,3,#8064a2,978649
PATALIPUTRA,51623,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),RAMESHWAR PRASAD,,,,,4,#DE0000,978649
PATALIPUTRA,17188,2014,Bihar,Bahujan Samaj Party,RAJ KUMAR RAM,,,,,5,#77968E,978649
PATALIPUTRA,16645,2014,Bihar,Independent,DURGESH NANDAN SINGH ALIAS DURGESH NANDAN,,,,,6,#95b3d7,978649
PATALIPUTRA,8184,2014,Bihar,Bharatiya Ekta Dal,SHATRUDHAN SAW,,,,,7,#999,978649
PATALIPUTRA,8084,2014,Bihar,Independent,NIRAJ KUMAR,,,,,8,#95b3d7,978649
PATALIPUTRA,6269,2014,Bihar,Samajwadi Janata Party (Rashtriya),SUNIL KUMAR,,,,,9,#999,978649
PATALIPUTRA,5854,2014,Bihar,Bharatiya Jan Kranti Dal (Democratic),ABINASH KUMAR,,,,,10,#999,978649
PATALIPUTRA,5637,2014,Bihar,Aam Aadmi Party,KUNDAN PRASAD SINGH,,,,,11,#999,978649
PATALIPUTRA,5412,2014,Bihar,Independent,KUMAR INDRA BHUSHAN,,,,,12,#95b3d7,978649
PATALIPUTRA,4804,2014,Bihar,Independent,JAI PRAKASH YADAV,,,,,13,#95b3d7,978649
PATALIPUTRA,4678,2014,Bihar,None of the Above,None of the Above,,,,,14,#999,978649
PATALIPUTRA,4555,2014,Bihar,Independent,SUNIL KUMAR SINGH,,,,,15,#95b3d7,978649
PATALIPUTRA,4302,2014,Bihar,Bharat Vikas Morcha,NAGENDRA KUMAR,,,,,16,#999,978649
PATALIPUTRA,3015,2014,Bihar,Sankhyanupati Bhagidari Party,MUKUL KUMAR SHARMA,,,,,17,#999,978649
PATALIPUTRA,2520,2014,Bihar,Independent,PANCHAM LAL,,,,,18,#95b3d7,978649
PATALIPUTRA,2484,2014,Bihar,Republican Party of India (A),DEO KUMAR VERMA,,,,,19,#999,978649
PATALIPUTRA,2268,2014,Bihar,Bahujan Mukti Party,CHANDRA DEV PRASAD,,,,,20,#999,978649
PATALIPUTRA,1697,2014,Bihar,Independent,MINENDRA KUMAR SINGH,,,,,21,#95b3d7,978649
ARRAH,391074,2014,Bihar,Bharatiya Janata Party,RAJ KUMAR SINGH,,,,,1,#FB7B0D,893213
ARRAH,255204,2014,Bihar,Rashtriya Janata Dal,SRIBHAGWAN SINGH KUSHWAHA,,,,,2,#999,893213
ARRAH,98805,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),RAJU YADAV,,,,,3,#DE0000,893213
ARRAH,75962,2014,Bihar,Janata Dal  (United),MEENA SINGH,,,,,4,#8064a2,893213
ARRAH,14703,2014,Bihar,None of the Above,None of the Above,,,,,5,#999,893213
ARRAH,10950,2014,Bihar,Akhil Bharatiya Jan Sangh,BHARAT BHUSHAN PANDEY,,,,,6,#999,893213
ARRAH,7637,2014,Bihar,Bahujan Samaj Party,RAMESH CHANDRA BADAL,,,,,7,#77968E,893213
ARRAH,7518,2014,Bihar,Aam Aadmi Party,DR. SURENDRA KUMAR PRASAD,,,,,8,#999,893213
ARRAH,7305,2014,Bihar,Independent,ASHOK RAM,,,,,9,#95b3d7,893213
ARRAH,6886,2014,Bihar,Bahujan Mukti Party,BAIJNATH YADAV,,,,,10,#999,893213
ARRAH,5879,2014,Bihar,Independent,GOPAL SINGH,,,,,11,#95b3d7,893213
ARRAH,5680,2014,Bihar,Hindustan Vikas Dal,SHAMBHU PRASAD SHARMA,,,,,12,#999,893213
ARRAH,5610,2014,Bihar,Independent,SHANKAR DAYAL PASWAN,,,,,13,#95b3d7,893213
BUXAR,319012,2014,Bihar,Bharatiya Janata Party,ASHWINI KUMAR CHOUBEY,,,,,1,#FB7B0D,888204
BUXAR,186674,2014,Bihar,Rashtriya Janata Dal,JAGADANAND SINGH,,,,,2,#999,888204
BUXAR,184788,2014,Bihar,Bahujan Samaj Party,DADAN YADAV,,,,,3,#77968E,888204
BUXAR,117012,2014,Bihar,Janata Dal  (United),SHYAM LAL SINGH KUSHWAHA,,,,,4,#8064a2,888204
BUXAR,13051,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),INDU SINGH,,,,,5,#DE0000,888204
BUXAR,12422,2014,Bihar,Independent,SHEO GOPAL CHOUDHARY,,,,,6,#95b3d7,888204
BUXAR,9179,2014,Bihar,None of the Above,None of the Above,,,,,7,#999,888204
BUXAR,7879,2014,Bihar,Aam Aadmi Party,SWETA PATHAK,,,,,8,#999,888204
BUXAR,7514,2014,Bihar,Suheldev Bhartiya Samaj Party,MOKARRAM HUSSAIN,,,,,9,#999,888204
BUXAR,6901,2014,Bihar,Pragatisheel Manav Samaj Party,PRADEEP KUMAR PRASAD,,,,,10,#999,888204
BUXAR,6130,2014,Bihar,Independent,NARENDRA PRATAP SINGH,,,,,11,#95b3d7,888204
BUXAR,5294,2014,Bihar,Independent,LALLAN RUPNARAIN PATHAK,,,,,12,#95b3d7,888204
BUXAR,3437,2014,Bihar,Janvadi Party(Socialist),SHIO KUMAR SHARMA,,,,,13,#999,888204
BUXAR,2740,2014,Bihar,Bharat Vikas Morcha,RAJENDRA KUMAR SINGH CHOUHAN,,,,,14,#999,888204
BUXAR,2241,2014,Bihar,Hindustan Vikas Dal,TAFIR HUSSIAN,,,,,15,#999,888204
BUXAR,2066,2014,Bihar,Bahujan Mukti Party,PARSHURAM PRASAD,,,,,16,#999,888204
BUXAR,1864,2014,Bihar,Janta Dal Rashtravadi,MONIBUR RAHMAN,,,,,17,#999,888204
SASARAM (SC),366087,2014,Bihar,Bharatiya Janata Party,CHHEDI PASWAN,,,,,1,#FB7B0D,846788
SASARAM (SC),302760,2014,Bihar,Indian National Congress,MEIRA KUMAR,,,,,2,#019733,846788
SASARAM (SC),93310,2014,Bihar,Janata Dal  (United),KARRA PARASU RAMAIAH,,,,,3,#8064a2,846788
SASARAM (SC),31528,2014,Bihar,Bahujan Samaj Party,BALESHWAR BHARTI,,,,,4,#77968E,846788
SASARAM (SC),13379,2014,Bihar,None of the Above,None of the Above,,,,,5,#999,846788
SASARAM (SC),11005,2014,Bihar,Aam Aadmi Party,GEETA ARYA,,,,,6,#999,846788
SASARAM (SC),7486,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),TETRI DEVI,,,,,7,#DE0000,846788
SASARAM (SC),6144,2014,Bihar,Independent,SURENDRA RAM,,,,,8,#95b3d7,846788
SASARAM (SC),4395,2014,Bihar,Independent,RAJNARAIN RAO,,,,,9,#95b3d7,846788
SASARAM (SC),3980,2014,Bihar,Independent,RAVIKANT CHAUDHARY,,,,,10,#95b3d7,846788
SASARAM (SC),3906,2014,Bihar,Bahujan Mukti Party,SAROJ RAM,,,,,11,#999,846788
SASARAM (SC),2808,2014,Bihar,Independent,NAND LAL RAM,,,,,12,#95b3d7,846788
KARAKAT,338892,2014,Bihar,Rashtriya Lok Samta Party,UPENDRA KUSHWAHA,,,,,1,#999,789927
KARAKAT,233651,2014,Bihar,Rashtriya Janata Dal,KANTI SINGH,,,,,2,#999,789927
KARAKAT,76709,2014,Bihar,Janata Dal  (United),MAHABALI SINGH,,,,,3,#8064a2,789927
KARAKAT,45503,2014,Bihar,Bahujan Samaj Party,SANJAY KEWAT,,,,,4,#77968E,789927
KARAKAT,32686,2014,Bihar,Communist Party of India  (Marxist-Leninist)  (Liberation),RAJA RAM SINGH,,,,,5,#DE0000,789927
KARAKAT,10185,2014,Bihar,None of the Above,None of the Above,,,,,6,#999,789927
KARAKAT,9919,2014,Bihar,Independent,SATYA NARAYAN SINGH,,,,,7,#95b3d7,789927
KARAKAT,6994,2014,Bihar,Rashtra Sewa Dal,PRADEEP KUMAR JOSHI,,,,,8,#999,789927
