party,year,state,pc,name,sex,age,category,votes,electors,color
INC,2009,MAHARASHTRA,NANDED,KHATGAONKAR PATIL BHASKARRAO BAPURAO,M,65,GEN,346400,1439015,#019733
INC,2009,MAHARASHTRA,NANDURBAR,GAVIT MANIKRAO HODLYA,M,75,ST,275936,1455543,#019733
INC,2009,MAHARASHTRA,PUNE,KALMADI SURESH,M,64,GEN,279973,1806953,#019733
INC,2009,MAHARASHTRA,RAMTEK,WASNIK MUKUL BALKRISHNA,M,49,SC,311614,1502900,#019733
INC,2009,MAHARASHTRA,RATNAGIRI,DR.NILESH NARAYAN RANE,M,28,GEN,353915,1252255,#019733
INC,2009,MAHARASHTRA,SANGLI,PRATIK PRAKASHBAPU PATIL,M,35,GEN,378620,1490571,#019733
INC,2009,MAHARASHTRA,SHOLAPUR,SHINDE SUSHILKUMAR SAMBHAJIRAO,M,67,SC,387591,1594138,#019733
INC,2009,MAHARASHTRA,WARDHA,DATTA MEGHE,M,72,GEN,352853,1408781,#019733
INC,2009,MANIPUR,INNER MANIPUR,DR. THOKCHOM MEINYA,M,58,GEN,230876,826755,#019733
INC,2009,MANIPUR,OUTER MANIPUR,THANGSO BAITE,M,56,ST,344517,909496,#019733
INC,2009,MEGHALAYA,SHILLONG,VINCENT H PALA,M,41,ST,232270,771965,#019733
INC,2009,MIZORAM,MIZORAM,C.L.RUALA,M,72,ST,213779,629374,#019733
INC,2009,NCT OF DELHI,CHANDNI CHOWK,KAPIL SIBAL,M,60,GEN,465713,1413535,#019733
INC,2009,NCT OF DELHI,EAST DELHI,SANDEEP DIKSHIT,M,44,GEN,518001,1604795,#019733
INC,2009,NCT OF DELHI,NEW DELHI,AJAY MAKAN,M,45,GEN,455867,1373146,#019733
INC,2009,NCT OF DELHI,NORTH EAST DELHI,JAI PRAKASH AGARWAL,M,64,GEN,518191,1677058,#019733
INC,2009,NCT OF DELHI,NORTH WEST DELHI,KRISHNA TIRATH,F,54,SC,487404,1798181,#019733
INC,2009,NCT OF DELHI,SOUTH DELHI,RAMESH KUMAR,M,53,GEN,360278,1542412,#019733
INC,2009,NCT OF DELHI,WEST DELHI,MAHABAL MISHRA,M,54,GEN,479899,1687727,#019733
INC,2009,ORISSA,BALASORE,SRIKANT KUMAR JENA,M,58,GEN,313888,1269342,#019733
INC,2009,ORISSA,BARGARH,SANJAY BHOI,M,35,GEN,397375,1320274,#019733
INC,2009,ORISSA,KALAHANDI,BHAKTA CHARAN DAS,M,52,GEN,401736,1421959,#019733
INC,2009,ORISSA,NABARANGPUR,PRADEEP KUMAR MAJHI,M,33,ST,308307,1215653,#019733
INC,2009,ORISSA,SAMBALPUR,AMARNATH PRADHAN,M,51,GEN,304890,1233251,#019733
INC,2009,ORISSA,SUNDARGARH,HEMANAND BISWAL,M,67,ST,280054,1248955,#019733
INC,2009,PUDUCHERRY,PUDUCHERRY,NARAYANASAMY,M,61,GEN,300391,762440,#019733
INC,2009,PUNJAB,ANANDPUR SAHIB,RAVNEET SINGH,M,33,GEN,404836,1338596,#019733
INC,2009,PUNJAB,FATEHGARH SAHIB,SUKHDEV SINGH,M,76,SC,393557,1207556,#019733
INC,2009,PUNJAB,GURDASPUR,PARTAP SINGH BAJWA,M,52,GEN,447994,1318967,#019733
INC,2009,PUNJAB,HOSHIARPUR,SANTOSH CHOWDHARY,F,66,SC,358812,1299234,#019733
INC,2009,PUNJAB,JALANDHAR,MOHINDER SINGH KAYPEE,M,53,SC,408103,1339842,#019733
INC,2009,PUNJAB,LUDHIANA,MANISH TEWARI,M,44,GEN,449264,1309308,#019733
INC,2009,PUNJAB,PATIALA,PRENEET KAUR,F,64,GEN,474188,1344864,#019733
INC,2009,PUNJAB,SANGRUR,VIJAY INDER SINGLA,M,37,GEN,358670,1251401,#019733
INC,2009,RAJASTHAN,AJMER,SACHIN PILOT,M,31,GEN,405575,1455339,#019733
INC,2009,RAJASTHAN,ALWAR,JITENDRA SINGH,M,38,GEN,450119,1373384,#019733
INC,2009,RAJASTHAN,BANSWARA,TARACHAND BHAGORA,M,55,ST,413169,1457980,#019733
INC,2009,RAJASTHAN,BARMER,HARISH CHOUDHARY,M,38,GEN,416497,1441456,#019733
INC,2009,RAJASTHAN,BHARATPUR,RATAN SINGH,M,62,SC,301434,1437111,#019733
INC,2009,RAJASTHAN,BHILWARA,DR. C. P. JOSHI,M,59,GEN,413128,1492687,#019733
INC,2009,RAJASTHAN,CHITTORGARH,(DR.)GIRIJA VYAS,F,62,GEN,399663,1601444,#019733
INC,2009,RAJASTHAN,GANGANAGAR,BHARAT RAM MEGHWAL,M,53,SC,476554,1491983,#019733
INC,2009,RAJASTHAN,JAIPUR,MAHESH JOSHI,M,54,GEN,397438,1684541,#019733
INC,2009,RAJASTHAN,JAIPUR RURAL,LAL CHAND KATARIA,M,40,GEN,278266,1444949,#019733
INC,2009,RAJASTHAN,JHUN JHUNU,SHEESH RAM OLA,M,81,GEN,306330,1432581,#019733
INC,2009,RAJASTHAN,JODHPUR,CHANDRESH KUMARI,F,65,GEN,361577,1506821,#019733
INC,2009,RAJASTHAN,KARAULI-DHOLPUR,KHILADI LAL BAIRWA,M,45,SC,215810,1303196,#019733
INC,2009,RAJASTHAN,KOTA,IJYARAJ SINGH,M,44,GEN,360486,1498971,#019733
INC,2009,RAJASTHAN,NAGAUR,DR. JYOTI MIRDHA,F,36,GEN,333261,1486307,#019733
INC,2009,RAJASTHAN,PALI,BADRI RAM JAKHAR,M,59,GEN,387604,1682713,#019733
INC,2009,RAJASTHAN,RAJSAMAND,GOPAL SINGH,M,58,GEN,294451,1489231,#019733
INC,2009,RAJASTHAN,SIKAR,MAHADEV SINGH,M,66,GEN,324812,1507740,#019733
INC,2009,RAJASTHAN,TONK,NAMO NARAIN,M,65,GEN,375572,1510047,#019733
INC,2009,RAJASTHAN,UDAIPUR,RAGHUVIR SINGH MEENA,M,48,ST,411510,1564137,#019733
INC,2009,TAMIL NADU,ARANI,KRISHNASSWAMY M,M,68,GEN,396728,1097865,#019733
INC,2009,TAMIL NADU,CUDDALORE,ALAGIRI S,M,56,GEN,320473,986030,#019733
INC,2009,TAMIL NADU,DINDIGUL,CHITTHAN N S V,M,75,GEN,361545,1085696,#019733
INC,2009,TAMIL NADU,KANCHEEPURAM,VISWANATHAN.P,M,44,SC,330237,1060188,#019733
INC,2009,TAMIL NADU,SIVAGANGA,CHIDAMBARAM P,M,63,GEN,334348,1092438,#019733
INC,2009,TAMIL NADU,THENI,AARON RASHID.J.M,M,58,GEN,340575,1074931,#019733
INC,2009,TAMIL NADU,TIRUNELVELI,RAMASUBBU S,M,59,GEN,274932,1059687,#019733
INC,2009,TAMIL NADU,VIRUDHUNAGAR,MANICKA TAGORE,M,36,GEN,307187,992051,#019733
INC,2009,UTTAR PRADESH,AKBARPUR,RAJARAM PAL,M,48,GEN,192549,1461050,#019733
INC,2009,UTTAR PRADESH,AMETHI,RAHUL GANDHI,M,38,GEN,464195,1431787,#019733
INC,2009,UTTAR PRADESH,BAHRAICH,KAMAL KISHOR,M,57,SC,160005,1246823,#019733
INC,2009,UTTAR PRADESH,BARA BANKI,P.L.PUNIA,M,64,SC,328418,1422218,#019733
INC,2009,UTTAR PRADESH,BAREILLY,PRAVEEN SINGH ARON,M,50,GEN,220976,1401423,#019733
INC,2009,UTTAR PRADESH,DHAURAHRA,KUNWAR JITIN PRASAD,M,36,GEN,391391,1269584,#019733
INC,2009,UTTAR PRADESH,DOMARIAGANJ,JAGDAMBIKA PAL,M,59,GEN,229872,1499679,#019733
INC,2009,UTTAR PRADESH,FAIZABAD,NIRMAL KHATRI,M,58,GEN,211543,1500160,#019733
INC,2009,UTTAR PRADESH,FARRUKHABAD,SALMAN KHURSHEED,M,56,GEN,169351,1306214,#019733
INC,2009,UTTAR PRADESH,GONDA,BENI PRASAD VERMA,M,68,GEN,155675,1341455,#019733
INC,2009,UTTAR PRADESH,JHANSI,PRADEEP KUMAR JAIN (ADITYA),M,47,GEN,252712,1562082,#019733
INC,2009,UTTAR PRADESH,KANPUR,SRI PRAKASH JAISWAL,M,64,GEN,214988,1390055,#019733
INC,2009,UTTAR PRADESH,KHERI,ZAFAR ALI NAQVI,M,61,GEN,184982,1297088,#019733
INC,2009,UTTAR PRADESH,KUSHI NAGAR,KU. RATANJEET PRATAP NARAYAN SINGH,M,45,GEN,223954,1438263,#019733
INC,2009,UTTAR PRADESH,MAHARAJGANJ,HARSH VARDHAN,M,61,GEN,305474,1509167,#019733
INC,2009,UTTAR PRADESH,MORADABAD,MOHAMMED AZHARUDDIN,M,46,GEN,301283,1388525,#019733
INC,2009,UTTAR PRADESH,PRATAPGARH,RAJKUMARI RATNA SINGH,F,49,GEN,169137,1435159,#019733
INC,2009,UTTAR PRADESH,RAE BARELI,SONIA GANDHI,F,62,GEN,481490,1379507,#019733
INC,2009,UTTAR PRADESH,SHRAWASTI,VINAY KUMAR ALIAS VINNU,M,45,GEN,201556,1405884,#019733
INC,2009,UTTAR PRADESH,SULTANPUR,DR.SANJAY SINGH,M,55,GEN,300411,1430955,#019733
INC,2009,UTTAR PRADESH,UNNAO,ANNUTANDON,F,51,GEN,475476,1818980,#019733
INC,2009,UTTARAKHAND,ALMORA,PRADEEP TAMTA,M,47,SC,200824,1057379,#019733
INC,2009,UTTARAKHAND,GARHWAL,SATPAL MAHARAJ,M,56,GEN,236949,1092282,#019733
INC,2009,UTTARAKHAND,HARDWAR,HARISH RAWAT,M,59,GEN,332235,1294280,#019733
INC,2009,UTTARAKHAND,NAINITAL,K.C. SINGH BABA,M,60,GEN,321377,1284092,#019733
INC,2009,UTTARAKHAND,TEHRI GARHWAL,VIJAY BAHUGUNA,M,62,GEN,263083,1159691,#019733
INC,2009,WEST BENGAL,BERHAMPORE,ADHIR RANJAN CHOWDHURY,M,53,GEN,541920,1179938,#019733
INC,2009,WEST BENGAL,JANGIPUR,PRANAB MUKHERJEE,M,72,GEN,506749,1087054,#019733
INC,2009,WEST BENGAL,MALDA,ABU HASEM KHAN CHOUDHURY,M,65,GEN,443377,1052093,#019733
INC,2009,WEST BENGAL,MALDAHA UTTAR,MAUSAM NOOR,F,27,GEN,440264,1101096,#019733
INC,2009,WEST BENGAL,MURSHIDABAD,ABDUL MANNAN HOSSAIN,M,56,GEN,496348,1192899,#019733
INC,2009,WEST BENGAL,RAIGANJ,DEEPA DASMUNSI,F,48,GEN,451776,1108382,#019733
IND,2009,BIHAR,BANKA,DIGVIJAY SINGH,M,54,GEN,185762,1338025,#95b3d7
IND,2009,BIHAR,SIWAN,OM PRAKASH YADAV,M,43,GEN,236194,1282480,#95b3d7
IND,2009,JAMMU & KASHMIR,LADAKH,HASSAN KHAN,M,70,ST,32701,152491,#95b3d7
IND,2009,JHARKHAND,CHATRA,INDER SINGH NAMDHARI,M,62,GEN,108336,1037665,#95b3d7
IND,2009,JHARKHAND,SINGHBHUM,MADHU KORA,M,38,ST,256827,957406,#95b3d7
IND,2009,MAHARASHTRA,KOLHAPUR,SADASHIVRAO DADOBA MANDLIK,M,74,GEN,428082,1583030,#95b3d7
IND,2009,RAJASTHAN,DAUSA,KIRODI LAL,M,57,ST,433666,1315810,#95b3d7
IND,2009,UTTAR PRADESH,ETAH,KALYAN SINGH R O MADHOLI,M,78,GEN,275717,1278295,#95b3d7
IND,2009,WEST BENGAL,JOYNAGAR,DR. TARUN MONDAL,M,50,SC,446200,1143640,#95b3d7
JD(S),2009,KARNATAKA,BANGALORE RURAL,H.D.KUMARASWAMY,M,49,GEN,493302,1904135,#8064a2
JD(S),2009,KARNATAKA,HASSAN,H. D. DEVEGOWDA,M,76,GEN,496429,1417213,#8064a2
JD(S),2009,KARNATAKA,MANDYA,N CHELUVARAYA SWAMY @ SWAMYGOWDA,M,49,GEN,384443,1499744,#8064a2
JD(U),2009,BIHAR,ARRAH,MEENA SINGH,F,44,GEN,212726,1555122,#8064a2
JD(U),2009,BIHAR,AURANGABAD,SUSHIL KUMAR SINGH,M,43,GEN,260153,1376323,#8064a2
JD(U),2009,BIHAR,BEGUSARAI,DR. MONAZIR HASSAN,M,51,GEN,205680,1473263,#8064a2
JD(U),2009,BIHAR,GOPALGANJ,PURNMASI RAM,M,52,SC,200024,1349072,#8064a2
JD(U),2009,BIHAR,HAJIPUR,RAM SUNDAR DAS,M,88,SC,246715,1327075,#8064a2
JD(U),2009,BIHAR,JAHANABAD,JAGDISH SHARMA,M,58,GEN,234769,1276912,#8064a2
JD(U),2009,BIHAR,JAMUI,BHUDEO CHOUDHARY,M,46,SC,178560,1404016,#8064a2
JD(U),2009,BIHAR,JHANJHARPUR,MANGANI LAL MANDAL,M,60,GEN,265175,1418977,#8064a2
JD(U),2009,BIHAR,KARAKAT,MAHABALI SINGH,M,54,GEN,196946,1386634,#8064a2
JD(U),2009,BIHAR,KHAGARIA,DINESH CHANDRA YADAV,M,50,GEN,266964,1342970,#8064a2
JD(U),2009,BIHAR,MADHEPURA,SHARAD YADAV,M,61,GEN,370585,1508361,#8064a2
JD(U),2009,BIHAR,MUNGER,RAJIV RANJAN SINGH ALIAS LALAN SINGH,M,55,GEN,374317,1564604,#8064a2
JD(U),2009,BIHAR,MUZAFFARPUR,CAPTAIN JAI NARAYAN PRASAD NISHAD,M,78,GEN,195091,1339949,#8064a2
JD(U),2009,BIHAR,NALANDA,KAUSHALENDRA KUMAR,M,44,GEN,299155,1719503,#8064a2
JD(U),2009,BIHAR,PATALIPUTRA,RANJAN PRASAD YADAV,M,64,GEN,269298,1526241,#8064a2
JD(U),2009,BIHAR,SAMASTIPUR,MAHESHWAR HAZARI,M,38,SC,259458,1312948,#8064a2
JD(U),2009,BIHAR,SITAMARHI,ARJUN ROY,M,37,GEN,232782,1355817,#8064a2
JD(U),2009,BIHAR,SUPAUL,VISHWA MOHAN KUMAR,M,47,GEN,313677,1279549,#8064a2
JD(U),2009,BIHAR,UJIARPUR,ASWAMEDH DEVI,F,40,GEN,180082,1229327,#8064a2
JD(U),2009,BIHAR,VALMIKI NAGAR,BAIDYANATH PRASAD MAHTO,M,51,GEN,277696,1275653,#8064a2
JKN,2009,JAMMU & KASHMIR,ANANTNAG,MIRZA MEHBOOB BEG,M,55,GEN,148317,1176223,#999
JKN,2009,JAMMU & KASHMIR,BARAMULLA,SHARIEF UD DIN SHARIQ,M,74,GEN,203022,1054496,#999
JKN,2009,JAMMU & KASHMIR,SRINAGAR,FAROOQ ABDULLAH,M,67,GEN,147035,1106729,#999
JMM,2009,JHARKHAND,DUMKA,SHIBU SOREN,M,64,ST,208518,1128361,#999
JMM,2009,JHARKHAND,PALAMU,KAMESHWAR BAITHA,M,56,SC,167995,1417375,#999
JVM,2009,JHARKHAND,KODARMA,BABULAL MARANDI,M,51,ST,199462,1390428,#999
KEC(M),2009,KERALA,KOTTAYAM,JOSE K.MANI (KARINGOZHECKAL),M,44,GEN,404962,1095242,#999
MDMK,2009,TAMIL NADU,ERODE,GANESHAMURTHI.A.,M,61,GEN,284148,1010079,#999
MUL,2009,KERALA,MALAPPURAM,E. AHAMED,M,70,GEN,427940,1019713,#999
MUL,2009,KERALA,PONNANI,E.T. MUHAMMED BASHEER,M,62,GEN,385801,997075,#999
NCP,2009,MAHARASHTRA,BARAMATI,SUPRIYA SULE,F,39,GEN,487827,1593460,#999
NCP,2009,MAHARASHTRA,BHANDARA - GONDIYA,PATEL PRAFUL MANOHARBHAI,M,52,GEN,489814,1450477,#999
NCP,2009,MAHARASHTRA,MADHA,PAWAR SHARADCHANDRA GOVINDRAO,M,68,GEN,530596,1558442,#999
NCP,2009,MAHARASHTRA,MUMBAI NORTH EAST,SANJAY DINA PATIL,M,40,GEN,213505,1572890,#999
NCP,2009,MAHARASHTRA,NASHIK,SAMEER BHUJBAL,M,35,GEN,238706,1448414,#999
NCP,2009,MAHARASHTRA,OSMANABAD,PATIL PADAMSINHA BAJIRAO,M,68,GEN,408840,1608852,#999
NCP,2009,MAHARASHTRA,SATARA,BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINHMAHARAJ,M,43,GEN,532583,1546146,#999
NCP,2009,MAHARASHTRA,THANE,DR.SANJEEV GANESH NAIK,M,37,GEN,301000,1806803,#999
NCP,2009,MEGHALAYA,TURA,AGATHA K. SANGMA,F,28,ST,154476,505774,#999
NPF,2009,NAGALAND,NAGALAND,C.M. CHANG,M,65,ST,832224,1321878,#999
RJD,2009,BIHAR,BUXAR,JAGADA NAND SINGH,M,65,GEN,132614,1340892,#999
RJD,2009,BIHAR,MAHARAJGANJ,UMA SHANAKER SINGH,M,61,GEN,211610,1312219,#999
RJD,2009,BIHAR,SARAN,LALU PRASAD,M,60,GEN,274209,1268338,#999
RJD,2009,BIHAR,VAISHALI,RAGHUVANSH PRASAD SINGH,M,62,GEN,284479,1278891,#999
RLD,2009,UTTAR PRADESH,AMROHA,DEVENDRA NAGPAL,M,38,GEN,283182,1173915,#999
RLD,2009,UTTAR PRADESH,BAGHPAT,AJIT SINGH,M,70,GEN,238638,1280602,#999
RLD,2009,UTTAR PRADESH,BIJNOR,SANJAY SINGH CHAUHAN,M,45,GEN,244587,1287070,#999
RLD,2009,UTTAR PRADESH,HATHRAS,SARIKA SINGH,F,29,SC,247927,1437725,#999
RLD,2009,UTTAR PRADESH,MATHURA,JAYANT CHAUDHARY,M,30,GEN,379870,1341649,#999
RSP,2009,WEST BENGAL,ALIPURDUARS,MANOHAR TIRKEY,M,54,ST,384890,1229301,#999
RSP,2009,WEST BENGAL,BALURGHAT,PRASANTA KUMAR MAJUMDAR,M,68,GEN,388444,1010224,#999
SAD,2009,PUNJAB,BHATINDA,HARSIMRAT KAUR BADAL,F,42,GEN,529472,1336790,#999
SAD,2009,PUNJAB,FARIDKOT,PARAMJIT KAUR GULSHAN,F,60,SC,457734,1288090,#999
SAD,2009,PUNJAB,FEROZEPUR,SHER SINGH GHUBAYA,M,46,SC,450900,1342488,#999
SAD,2009,PUNJAB,KHADOOR SAHIB,DR. RATTAN SINGH AJNALA,M,65,GEN,467980,1340145,#999
SDF,2009,SIKKIM,SIKKIM,PREM DAS RAI,M,54,GEN,159351,300584,#999
SHS,2009,MAHARASHTRA,AMRAVATI,ADSUL ANANDRAO VITHOBA,M,61,SC,314286,1423855,#F05A00
SHS,2009,MAHARASHTRA,AURANGABAD,CHANDRAKANT KHAIRE,M,57,GEN,255896,1417964,#F05A00
SHS,2009,MAHARASHTRA,BULDHANA,JADHAV PRATAPRAO GANPATRAO,M,49,GEN,353671,1382736,#F05A00
SHS,2009,MAHARASHTRA,HINGOLI,SUBHASH BAPURAO WANKHEDE,M,46,GEN,340148,1369774,#F05A00
SHS,2009,MAHARASHTRA,KALYAN,ANAND PRAKASH PARANJAPE,M,36,GEN,212476,1588507,#F05A00
SHS,2009,MAHARASHTRA,MAVAL,BABAR GAJANAN DHARMSHI,M,66,GEN,364857,1604886,#F05A00
SHS,2009,MAHARASHTRA,PARBHANI,ADV. DUDHGAONKAR GANESHRAO NAGORAO,M,64,GEN,385387,1610088,#F05A00
SHS,2009,MAHARASHTRA,RAIGAD,ANANT GEETE,M,58,GEN,413546,1359830,#F05A00
SHS,2009,MAHARASHTRA,SHIRDI,WAKCHAURE BHAUSAHEB RAJARAM,M,59,SC,359921,1317890,#F05A00
SHS,2009,MAHARASHTRA,SHIRUR,ADHALRAO SHIVAJI DATTATRAY,M,52,GEN,482563,1630466,#F05A00
SHS,2009,MAHARASHTRA,YAVATMAL-WASHIM,BHAVANA GAWALI (PATIL),F,36,GEN,384443,1554042,#F05A00
SP,2009,UTTAR PRADESH,ALLAHABAD,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,M,65,GEN,209431,1267492,#B15928
SP,2009,UTTAR PRADESH,BADAUN,DHARMENDRA YADAV,M,30,GEN,233744,1405695,#B15928
SP,2009,UTTAR PRADESH,BALLIA,NEERAJ SHEKHAR,M,40,GEN,276649,1679029,#B15928
SP,2009,UTTAR PRADESH,BANDA,R. K. SINGH PATEL,M,49,GEN,240948,1386265,#B15928
SP,2009,UTTAR PRADESH,BULANDSHAHR,KAMLESH,M,43,SC,236257,1482749,#B15928
SP,2009,UTTAR PRADESH,CHANDAULI,RAMKISHUN,M,49,GEN,180114,1446259,#B15928
SP,2009,UTTAR PRADESH,ETAWAH,PREMDAS,M,49,SC,278776,1416867,#B15928
SP,2009,UTTAR PRADESH,FATEHPUR,RAKESH SACHAN,M,53,GEN,218953,1536621,#B15928
SP,2009,UTTAR PRADESH,FIROZABAD,AKHILESH YADAV,M,35,GEN,287011,1422243,#B15928
SP,2009,UTTAR PRADESH,GHAZIPUR,RADHEY MOHAN SINGH,M,43,GEN,379233,1527723,#B15928
SP,2009,UTTAR PRADESH,HARDOI,USHA VERMA,F,43,SC,294030,1416949,#B15928
SP,2009,UTTAR PRADESH,JALAUN,GHANSYAM ANURAGI,M,35,SC,283023,1684988,#B15928
SP,2009,UTTAR PRADESH,KAISERGANJ,BRIJBHUSHAN SHARAN SINGH,M,52,GEN,196063,1376267,#B15928
SP,2009,UTTAR PRADESH,KANNAUJ,AKHILESH YADAV,M,35,GEN,337751,1504276,#B15928
SP,2009,UTTAR PRADESH,KAUSHAMBI,SHAILENDRA KUMAR,M,51,SC,246501,1391312,#B15928
SP,2009,UTTAR PRADESH,MACHHLISHAHR,TUFANI SAROJ,M,48,SC,223152,1751074,#B15928
SP,2009,UTTAR PRADESH,MAINPURI,MULAYAM SINGH YADAV,M,69,GEN,392308,1399259,#B15928
SP,2009,UTTAR PRADESH,MIRZAPUR,BAL KUMAR PATEL,M,48,GEN,218898,1405539,#B15928
SP,2009,UTTAR PRADESH,MOHANLALGANJ,SUSHILA SAROJ,F,58,SC,256367,1500237,#B15928
SP,2009,UTTAR PRADESH,NAGINA,YASHVIR SINGH,M,36,SC,234815,1196566,#B15928
SP,2009,UTTAR PRADESH,RAMPUR,JAYA PRADA NAHATA,F,45,GEN,230724,1154544,#B15928
SP,2009,UTTAR PRADESH,ROBERTSGANJ,PAKAURI LAL,M,57,SC,216478,1214735,#B15928
SP,2009,UTTAR PRADESH,SHAHJAHANPUR,MITHLESH,M,48,SC,257033,1627964,#B15928
SWP,2009,MAHARASHTRA,HATKANANGLE,SHETTI RAJU ALIAS DEVAPPA ANNA,M,41,GEN,481025,1458560,#999
TDP,2009,ANDHRA PRADESH,ADILABAD,RATHOD RAMESH,M,43,ST,372268,1131211,#4bacc6
TDP,2009,ANDHRA PRADESH,CHITTOOR,NARAMALLI SIVAPRASAD,M,57,SC,434376,1291921,#4bacc6
TDP,2009,ANDHRA PRADESH,HINDUPUR,KRISTAPPA NIMMALA,M,52,GEN,435753,1377610,#4bacc6
TDP,2009,ANDHRA PRADESH,KHAMMAM,NAMA NAGESWARA RAO,M,50,GEN,469368,1259815,#4bacc6
TDP,2009,ANDHRA PRADESH,MACHILIPATNAM,KONAKALLA NARAYANA RAO,M,59,GEN,409936,1251053,#4bacc6
TDP,2009,ANDHRA PRADESH,NARASARAOPET,MODUGULA VENUGOPALA REDDY,M,42,GEN,463358,1360431,#4bacc6
TRS,2009,ANDHRA PRADESH,MAHABUBNAGAR,K. CHANDRASEKHAR RAO,M,55,GEN,366569,1368868,#999
TRS,2009,ANDHRA PRADESH,MEDAK,VIJAYA SHANTHI .M,F,43,GEN,388839,1389721,#999
VCK,2009,TAMIL NADU,CHIDAMBARAM,"THIRUMAAVALAVAN, THOL",M,46,SC,428804,1126828,#999
