age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#019733,370681,JHULAN SINHA,INC,SARAN NORTH,111627,1,,BIHAR,68062,1951
,,#019733,276217,DWARKA NATH TIWARI,INC,SARAN SOUTH,117340,1,,BIHAR,50277,1951
,,#95b3d7,364184,KAMAL SINGH,IND,SHAHABAD NORTH WEST,150612,1,,BIHAR,43165,1951
,,#019733,697896,RAM SUBHAG SINGH,INC,SHAHABAD SOUTH,584689,1,,BIHAR,114988,1951
,,#95b3d7,68130,ANAND CHAND,IND,BILASPUR,0,1,,BILASPUR,0,1951
,,#019733,727815,MAVLANKAR GANESH VASUDEO,INC,AHMEDABAD,726462,1,,BOMBAY,230778,1951
,,#019733,394577,KANAVADE PANDHARINATH RAMCHANDRA,INC,AHMEDNAGAR NORTH,184024,1,,BOMBAY,102300,1951
,,#019733,386878,BOGAVAT UTTAMCHAND RAMCHAND,INC,AHMEDNAGAR SOUTH,156054,1,,BOMBAY,88815,1951
,,#019733,372878,CHAVDA AKBAR DALUMIYAN,INC,BANASKANTHA,140636,1,,BOMBAY,91753,1951
,,#95b3d7,380593,AMIN INDHUBHAI BHAILALBHAI,IND,BARODA WEST,201509,1,,BOMBAY,91419,1951
,,#019733,357228,DATAR BALWANT NAGESH,INC,BELGAUM NORTH,217619,1,,BOMBAY,133176,1951
,,#019733,385241,PATIL SHANKARGOUDA VIRANGOUDA,INC,BELGAUM SOUTH,237245,1,,BOMBAY,119521,1951
,,#019733,381993,RANE SHIVRAM RANGO,INC,BHUSAWAL,219720,1,,BOMBAY,124798,1951
,,#019733,370216,DUBE RAJARAM GIRDHARLAL,INC,BIJAPUR NORTH,179215,1,,BOMBAY,119895,1951
,,#019733,342857,BIDARI RAMAPPA BALAPPA,INC,BIJAPUR SOUTH,219578,1,,BOMBAY,159884,1951
,,#019733,730126,GANDHI VITHAL BALKRISHNA,INC,BOMBAY CITY NORTH,715888,1,,BOMBAY,149138,1951
,,#019733,370548,PATIL SADASHIV KANOJI,INC,BOMBAY CITY SOUTH,194136,1,,BOMBAY,96302,1951
,,#019733,379457,RAIJI JAYASHRI NAISHADH,INC,BOMBAY SUBURBAN,199927,1,,BOMBAY,88519,1951
,,#019733,380694,BHATT CHANDRASHANKAR MANISHANKAR,INC,BROACH,208885,1,,BOMBAY,98835,1951
,,#019733,365182,KARMAKA DATTATRAYA PARSURAMRAO,INC,DHARWAD NORTH,216283,1,,BOMBAY,129077,1951
,,#019733,371753,NESWI TIMMAPPA RUDRAPPA,INC,DHARWAD SOUTH,239315,1,,BOMBAY,144225,1951
,,#019733,356253,PATASKAR HARI VINAYAK,INC,JALGAON,205133,1,,BOMBAY,127361,1951
,,#019733,391562,DABHI FULSINHJEE BHARATSINHJI,INC,KAIRA NORTH,230681,1,,BOMBAY,136810,1951
,,#019733,368127,PATEL MANIBEN VALLABHBHAI,INC,KAIRA SOUTH,233148,1,,BOMBAY,146223,1951
,,#019733,370650,ALVA JAOCHIM PIEDADE,INC,KANARA,230512,1,,BOMBAY,139557,1951
,,#019733,352119,DESHMUKH CHINTAMAN DWARKANATH,INC,KOLABA,183658,1,,BOMBAY,112873,1951
,,#95b3d7,749539,KHARDEKAR BALASAHEB HASANMANTRAO,IND,KOLHAPUR CUM SATARA,832165,1,,BOMBAY,223056,1951
,,#019733,366111,PAREKH SHANTILAL GIRDHARLAL,INC,MEHSANA EAST,202822,1,,BOMBAY,107525,1951
,,#95b3d7,380505,KILACHAND TULSHIDAS KILACHAND,IND,MEHSANA WEST,225034,1,,BOMBAY,110478,1951
,,#019733,385868,DESHPANDE GOVIND HARI,INC,NASIK CENTRAL,205175,1,,BOMBAY,89261,1951
,,#019733,359731,ALTEKAR GANESH SADASHIV,INC,NORTH SATARA,198739,1,,BOMBAY,91319,1951
,,#019733,741930,GANDHI MANEKLAL MAGANLAL,INC,PANCCHMAHALS CUM BARODA EAST,318085,1,,BOMBAY,201891,1951
,,#019733,388404,GADGIL NARHAR VISHNU,INC,POONA CENTRAL,192406,1,,BOMBAY,102692,1951
,,#019733,378892,MAYDEO INDIRA ANANT,INC,POONA SOUTH,179289,1,,BOMBAY,114720,1951
,,#019733,374668,BHOSALE JAGANNATHRAO KRISHNARAO,INC,RATNAGIRI NORTH,151181,1,,BOMBAY,75366,1951
,,#019733,372880,JOSHI MORESHWAR DINKAR,INC,RATNAGIRI SOUTH,144239,1,,BOMBAY,57481,1951
,,#019733,372222,NANDA GULZARILAL BULAQIRAM,INC,SABARKANTHA,201468,1,,BOMBAY,106048,1951
,,#999,801712,MORE SHANKAR SHANTARAM,PWP,SHOLAPUR,780170,1,,BOMBAY,209697,1951
,,#019733,369033,PAWAR VYANKATRAO PIRAJIRAO,INC,SOUTH SATARA,223955,1,,BOMBAY,133915,1951
,,#019733,745093,DESAI KANHAIYALAL NANABHAI,INC,SURAT,861336,1,,BOMBAY,244016,1951
,,#019733,712902,NANDKAR ANANT SAVALARAM,INC,THANA,718242,1,,BOMBAY,151952,1951
,,#019733,753372,BHARATIYA SHALIGRAM RAMCHANDRA,INC,WEST KHANDESH,754356,1,,BOMBAY,171242,1951
,,#019733,94593,N. SOMANNA,INC,COORG,63813,1,,COORG,38063,1951
