pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
Nizamabad,2014,Andhra Pradesh,Independent,KOTAPATI NARSIMHAM NAIDU,,,,2462,,,,1033924
Nizamabad,2014,Andhra Pradesh,Bahujan Mukti Party,SAGAR SUDDALA,,,,1978,,,,1033924
Nizamabad,2014,Andhra Pradesh,Independent,ABDUL KAREEM KHAN (BABU),,,,1601,,,,1033924
Nizamabad,2014,Andhra Pradesh,None of the Above,None of the Above,,,,7266,,,,1033924
Zahirabad,2014,Andhra Pradesh,Telangana Rashtra Samithi,B.B. PATIL,,,,508661,,,,1094806
Zahirabad,2014,Andhra Pradesh,Indian National Congress,SURESH KUMAR SHETKAR,,,,364030,,,,1094806
Zahirabad,2014,Andhra Pradesh,Telugu Desam,K.MADAN MOHAN RAO,,,,157497,,,,1094806
Zahirabad,2014,Andhra Pradesh,Republican Party of India (A),MARRI DURGESH,,,,18027,,,,1094806
Zahirabad,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,MAHMOOD MOHIUDDIN,,,,12383,,,,1094806
Zahirabad,2014,Andhra Pradesh,Bahujan Samaj Party,SYED FEROZUDDIN,,,,8180,,,,1094806
Zahirabad,2014,Andhra Pradesh,Independent,BENJAMIN RAJU,,,,4804,,,,1094806
Zahirabad,2014,Andhra Pradesh,Independent,RAMA RAO,,,,4426,,,,1094806
Zahirabad,2014,Andhra Pradesh,Aam Aadmi Party,DR. SUNEEL KUMAR CHOWDHARY,,,,3285,,,,1094806
Zahirabad,2014,Andhra Pradesh,Independent,TANDALE AMBAJI RAO,,,,2323,,,,1094806
Zahirabad,2014,Andhra Pradesh,None of the Above,None of the Above,,,,11190,,,,1094806
Medak,2014,Andhra Pradesh,Telangana Rashtra Samithi,KALVAKUNTLA CHANDRASEKHAR RAO,,,,657492,,,,1191096
Medak,2014,Andhra Pradesh,Indian National Congress,DR.P. SHRAVAN KUMAR REDDY,,,,260463,,,,1191096
Medak,2014,Andhra Pradesh,Bharatiya Janata Party,CHAGANLA NARENDRA NATH,,,,181804,,,,1191096
Medak,2014,Andhra Pradesh,Independent,KUNDETI. RAVI.,,,,33507,,,,1191096
Medak,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,"PRABHUGOUD, PULLAIAHGARI",,,,11752,,,,1191096
Medak,2014,Andhra Pradesh,Republican Party of India (A),KOMPELLI PRABHUDAS,,,,7599,,,,1191096
Medak,2014,Andhra Pradesh,Bahujan Samaj Party,Y. SHANKAR GOUD,,,,6643,,,,1191096
Medak,2014,Andhra Pradesh,Majlis Bachao Tahreek,IQBAL ALI ZAFAR,,,,5010,,,,1191096
Medak,2014,Andhra Pradesh,Independent,MEKA. SUBBA RAO,,,,4441,,,,1191096
Medak,2014,Andhra Pradesh,Pyramid Party of India,BOMMA BALESHAM,,,,3297,,,,1191096
Medak,2014,Andhra Pradesh,Independent,GAJABINKAR BANSILAL,,,,3281,,,,1191096
Medak,2014,Andhra Pradesh,Independent,BALARAJU MITTAPALLY,,,,2973,,,,1191096
Medak,2014,Andhra Pradesh,Independent,GURJADA BHEERAIAH YADAV,,,,2053,,,,1191096
Medak,2014,Andhra Pradesh,None of the Above,None of the Above,,,,10781,,,,1191096
Malkajgiri,2014,Andhra Pradesh,Telugu Desam,CH.MALLA REDDY,,,,523336,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Telangana Rashtra Samithi,HANUMANTH RAO MYNAMPALLY,,,,494965,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Indian National Congress,SARVEY SATHYANARAYANA,,,,233711,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Lok Satta Party,DR.JAYAPRAKASH  NARAYAN .N,,,,158243,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,V.DINESH REDDY,,,,115170,,,,1620397
Malkajgiri,2014,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimeen,DIVAKAR DHARANIKOTA SUDHAKAR,,,,18543,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,PROF. K.NAGESHWAR,,,,13236,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Aam Aadmi Party,DR.N.V.SUDHA KIRAN,,,,8291,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Shramajeevi Party,JAJULA BHASKAR,,,,8003,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Bahujan Samaj Party,KARUNAKAR.R,,,,6133,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,D.BIKSHAPATHI,,,,5717,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Jai Samaikyandhra Party,BANDI SUDHAKAR,,,,4094,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,ANJANEYULU.E,,,,2677,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,KANTE SAYANNA,,,,2262,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Pyramid Party of India,SURAKANTI VENKAT REDDY,,,,2049,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,DASARI BHARATH REDDY,,,,1696,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,KOYALKAR BHOJ RAJ,,,,1546,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,GAJABINKAR BANSILAL,,,,1416,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Shivsena,MURARI.T.N,,,,1390,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,PEESARI SATISH REDDY,,,,1325,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,M.NAGESWARA RAO,,,,1301,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,VATTIKUTI RAMARAO GOUD,,,,1032,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,M.T.VARUGHESE,,,,1026,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,RAHUL PANDIT,,,,899,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Telangana Loksatta Party,PADURI SRINIVAS REDDY,,,,803,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,B.VEERA HANUMANTHA REDDY,,,,775,,,,1620397
Malkajgiri,2014,Andhra Pradesh,B.C.Bharata Desam Party,SATHYANARAYANA YAADAV PEDDIBOYINA,,,,597,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Andhra Pradesh Rashtra Samaikya Samithi Party,SUTHARAPU PADMAIAH,,,,538,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,POLISETTY KRISHNA RAO,,,,496,,,,1620397
Malkajgiri,2014,Andhra Pradesh,Independent,POTTURI TULASI DAS,,,,411,,,,1620397
Malkajgiri,2014,Andhra Pradesh,None of the Above,None of the Above,,,,8716,,,,1620397
Secundrabad,2014,Andhra Pradesh,Bharatiya Janata Party,BANDARU DATTATREYA,,,,438271,,,,1003769
Secundrabad,2014,Andhra Pradesh,Indian National Congress,M.ANJAN KUMAR YADAV,,,,183536,,,,1003769
Secundrabad,2014,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimeen,NARLA MOHAN RAO,,,,145120,,,,1003769
Secundrabad,2014,Andhra Pradesh,Telangana Rashtra Samithi,T.BHEEMSEN,,,,143847,,,,1003769
Secundrabad,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,SYED SAJID ALI,,,,45187,,,,1003769
Secundrabad,2014,Andhra Pradesh,Aam Aadmi Party,CHAYA RATAN MUSINIPALLY,,,,11184,,,,1003769
Secundrabad,2014,Andhra Pradesh,Jai Samaikyandhra Party,K. SRINIVASULU,,,,3691,,,,1003769
Secundrabad,2014,Andhra Pradesh,Bahujan Samaj Party,KHAJA KHALID ANWAR,,,,2863,,,,1003769
Secundrabad,2014,Andhra Pradesh,Indian Christian Secular Party,K.SAI KRISHNA MOHAN RAO,,,,2603,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,B.SUBRAMANYAM,,,,2481,,,,1003769
Secundrabad,2014,Andhra Pradesh,Telangana Communist Party of India,SONU SARSAL VALMIKI,,,,2311,,,,1003769
Secundrabad,2014,Andhra Pradesh,Revolutionary Socialist Party,J.RAMULU,,,,2058,,,,1003769
Secundrabad,2014,Andhra Pradesh,Republican Party of India (Khobragade),B.DEEPAK KUMAR,,,,1813,,,,1003769
Secundrabad,2014,Andhra Pradesh,Bahujan Mukti Party,RAGHU DESHABOINA,,,,1496,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,AVULA RANGANAYAKULU,,,,1144,,,,1003769
Secundrabad,2014,Andhra Pradesh,Majlis Markaz-e-Siyasee Party,KLHAJA SIRAJUDDIN AZAZ,,,,959,,,,1003769
Secundrabad,2014,Andhra Pradesh,Prem Janata Dal,DR.N.S.UDAY KUMAR,,,,928,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,S. LAKSHMAN RAO,,,,886,,,,1003769
Secundrabad,2014,Andhra Pradesh,Jantantra Party,DR.MALATHI LATHA EPPA,,,,873,,,,1003769
Secundrabad,2014,Andhra Pradesh,Akhil Bharatiya Muslim League (Secular),ABDUS SATTAR MUJAHED,,,,809,,,,1003769
Secundrabad,2014,Andhra Pradesh,Indian Union Muslim League,MOHD IMTIAZ HUSSAIN,,,,786,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,ANANTH RAO GUNDEPALLY,,,,779,,,,1003769
Secundrabad,2014,Andhra Pradesh,Pyramid Party of India,SHAKTHI SATYAVATHI,,,,638,,,,1003769
Secundrabad,2014,Andhra Pradesh,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),CH. MURAHARI,,,,554,,,,1003769
Secundrabad,2014,Andhra Pradesh,Samaikyandhra Parirakshana Samithi,KUMAR CHOWDARY YADAV.G,,,,547,,,,1003769
Secundrabad,2014,Andhra Pradesh,All India Forward Bloc,KARANKOTE NARENDER,,,,474,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,SYED MADANI QUADRI,,,,376,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,MOHAMMED RIZWAN HUSSAIN,,,,370,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,MOHD ABUBAKAR PARWAIZ SIDDIQUI,,,,322,,,,1003769
Secundrabad,2014,Andhra Pradesh,Independent,MICHAEL DANIEL OVELZ,,,,291,,,,1003769
Secundrabad,2014,Andhra Pradesh,None of the Above,None of the Above,,,,6572,,,,1003769
Hyderabad,2014,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimeen,ASADUDDIN OWAISI,,,,513868,,,,971421
Hyderabad,2014,Andhra Pradesh,Bharatiya Janata Party,DR.BHAGAVANTH RAO,,,,311414,,,,971421
Hyderabad,2014,Andhra Pradesh,Indian National Congress,S KRISHNA REDDY,,,,49310,,,,971421
Hyderabad,2014,Andhra Pradesh,Telangana Rashtra Samithi,RASHID SHAREEF,,,,37195,,,,971421
Hyderabad,2014,Andhra Pradesh,Pyramid Party of India,BINGHI RAJASHEKAR,,,,21796,,,,971421
Hyderabad,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,BODDU SAINATH REDDY,,,,10743,,,,971421
Hyderabad,2014,Andhra Pradesh,Aam Aadmi Party,LUBNA SARWATH,,,,6118,,,,971421
Hyderabad,2014,Andhra Pradesh,Independent,M A HABEEB,,,,5992,,,,971421
Hyderabad,2014,Andhra Pradesh,Bahujan Samaj Party,VENU GOPAL.P,,,,3100,,,,971421
Hyderabad,2014,Andhra Pradesh,Majlis Bachao Tahreek,SYED MUSTAFA MAHMOOD,,,,2102,,,,971421
Hyderabad,2014,Andhra Pradesh,All India Azaad Congress Party,S.KHAJA MOINUDDIN,,,,1593,,,,971421
Hyderabad,2014,Andhra Pradesh,Independent,SYED ABDUL GAFFER,,,,740,,,,971421
Hyderabad,2014,Andhra Pradesh,Independent,MD OSMAN,,,,728,,,,971421
Hyderabad,2014,Andhra Pradesh,Independent,SHAIK MOIN,,,,626,,,,971421
Hyderabad,2014,Andhra Pradesh,Socialist Party (India),JAYA VINDHYALA,,,,598,,,,971421
Hyderabad,2014,Andhra Pradesh,Nava Bharat National Party,N.MAHENDER SINGH,,,,485,,,,971421
Hyderabad,2014,Andhra Pradesh,None of the Above,None of the Above,,,,5013,,,,971421
CHELVELLA,2014,Andhra Pradesh,Telangana Rashtra Samithi,KONDA VISHWESHWAR REDDY,,,,435077,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Indian National Congress,PATLOLLA KARTIK REDDY,,,,362054,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Telugu Desam,TULLA VEERENDER,,,,353203,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Akhil Bharatiya Muslim League (Secular),CHAN PASHA,,,,56835,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,KONDA RAGHAVA REDDY,,,,40135,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Independent,G.MALLESHAM GOUD,,,,24660,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Bahujan Samaj Party,SAMALA RAVINDAR,,,,7732,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Aam Aadmi Party,REGATTE VENKAT REDDY,,,,7462,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Pyramid Party of India,KUMMARI GIRI,,,,5789,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Marxist Communist Party of India (United),MD YUNUS MIYA,,,,2904,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Indian Christian Secular Party,DR. P. SADHU SATYANADHAN,,,,2545,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Andhra Pradesh Rashtra Samaikya Samithi Party,SUTHARAPU PADMAIAH,,,,2214,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Independent,SANIKE RAM GOPAL YADAV,,,,2058,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Telangana Loksatta Party,DR.GOLLA RAMAIAH,,,,1765,,,,1315862
CHELVELLA,2014,Andhra Pradesh,Indian Union Muslim League,SYED HASHMATHULLAH QUADRI,,,,1411,,,,1315862
CHELVELLA,2014,Andhra Pradesh,None of the Above,None of the Above,,,,10018,,,,1315862
Mahbubnagar,2014,Andhra Pradesh,Telangana Rashtra Samithi,AP JITHENDER REDDY,,,,334228,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Indian National Congress,JAIPAL REDDY SUDINI,,,,331638,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Bharatiya Janata Party,DR. JANARDHAN REDDY NAGAM,,,,272791,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Pyramid Party of India,S.R.PREMAIAH,,,,30388,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Bahujan Samaj Party,KADIRE KRISHNA,,,,15779,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,H.A. RAHMAN,,,,9105,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Independent,IBRAHIM SYED,,,,4549,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Independent,DR. CHANDRA SEKHAR. A,,,,4033,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,Independent,S. SHIVA SHANKAR,,,,3252,,,,1014800
Mahbubnagar,2014,Andhra Pradesh,None of the Above,None of the Above,,,,9037,,,,1014800
Nagarkurnool,2014,Andhra Pradesh,Indian National Congress,YELLAIAH NANDI,,,,420075,,,,1108968
Nagarkurnool,2014,Andhra Pradesh,Telangana Rashtra Samithi,DR. MANDA JAGANNATH,,,,403399,,,,1108968
Nagarkurnool,2014,Andhra Pradesh,Telugu Desam,BAKKANI NARSIMLU,,,,183352,,,,1108968
Nagarkurnool,2014,Andhra Pradesh,Independent,BUDDULA SRINIVAS,,,,54680,,,,1108968
Nagarkurnool,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,MAREDU GOPAL,,,,22985,,,,1108968
Nagarkurnool,2014,Andhra Pradesh,Bahujan Samaj Party,BAHADHUR SRINIVAS,,,,12089,,,,1108968
Nagarkurnool,2014,Andhra Pradesh,None of the Above,None of the Above,,,,12388,,,,1108968
Nalgonda,2014,Andhra Pradesh,Indian National Congress,GUTHA SUKHENDER REDDY,,,,472093,,,,1189399
Nalgonda,2014,Andhra Pradesh,Telugu Desam,TERA CHINNAPA REDDY,,,,278937,,,,1189399
Nalgonda,2014,Andhra Pradesh,Telangana Rashtra Samithi,DR. PALLA RAJESHWAR REDDY,,,,260677,,,,1189399
Nalgonda,2014,Andhra Pradesh,Independent,MARRI NEHEMIAH,,,,56259,,,,1189399
Nalgonda,2014,Andhra Pradesh,Communist Party of India  (Marxist),NANDYALA NARSIMHA REDDY,,,,54423,,,,1189399
Nalgonda,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,GUNNAM NAGI REDDY,,,,39385,,,,1189399
Nalgonda,2014,Andhra Pradesh,Bahujan Samaj Party,KUNDARAPU RAMESH,,,,11517,,,,1189399
Nalgonda,2014,Andhra Pradesh,Pyramid Party of India,MANUPURI DAYA SAGAR,,,,4495,,,,1189399
Nalgonda,2014,Andhra Pradesh,Aam Aadmi Party,TEJAVATH BELLAIAH NAIK,,,,2308,,,,1189399
Nalgonda,2014,Andhra Pradesh,None of the Above,None of the Above,,,,9305,,,,1189399
Bhongir,2014,Andhra Pradesh,Telangana Rashtra Samithi,DR. BOORA NARSAIAH GOUD,,,,448245,,,,1211943
Bhongir,2014,Andhra Pradesh,Indian National Congress,KOMATIREDDY RAJGOPAL REDDY,,,,417751,,,,1211943
Bhongir,2014,Andhra Pradesh,Bharatiya Janata Party,INDRASENA REDDY NALLU,,,,183217,,,,1211943
Bhongir,2014,Andhra Pradesh,Communist Party of India  (Marxist),CHERUPALLY SEETHARAMULU,,,,54040,,,,1211943
Bhongir,2014,Andhra Pradesh,Independent,VARIKUPPALA KRISHNA VADDERA,,,,35011,,,,1211943
Bhongir,2014,Andhra Pradesh,Independent,NAVULLA MALLA REDDY,,,,26805,,,,1211943
Bhongir,2014,Andhra Pradesh,Bahujan Samaj Party,ARVAPALLY AMBATI,,,,9029,,,,1211943
Bhongir,2014,Andhra Pradesh,Independent,RAVULAPALLY KONDAL RAO,,,,7722,,,,1211943
Bhongir,2014,Andhra Pradesh,Republican Party of India,BOILLA NARENDER,,,,6850,,,,1211943
Bhongir,2014,Andhra Pradesh,Rashtriya Lok Dal,KAPILAVAI DILEEP KUMAR,,,,5552,,,,1211943
Bhongir,2014,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimeen,GUAHATI MOTHILAL,,,,2600,,,,1211943
Bhongir,2014,Andhra Pradesh,Jai Samaikyandhra Party,GUDURU JANARDHAN REDDY,,,,2341,,,,1211943
Bhongir,2014,Andhra Pradesh,Mahajana Socialist Party,NAGULA SRINIVAS YADAV,,,,1859,,,,1211943
Bhongir,2014,Andhra Pradesh,None of the Above,None of the Above,,,,10921,,,,1211943
Warangal,2014,Andhra Pradesh,Telangana Rashtra Samithi,KADIYAM SRIHARI,,,,661639,,,,1174631
Warangal,2014,Andhra Pradesh,Indian National Congress,RAJAIAH SIRICILLA,,,,269065,,,,1174631
Warangal,2014,Andhra Pradesh,Bharatiya Janata Party,PARAMESHWAR RAMAGALLA,,,,187139,,,,1174631
Warangal,2014,Andhra Pradesh,Bahujan Samaj Party,GANNARAPU SURENDER,,,,9536,,,,1174631
Warangal,2014,Andhra Pradesh,Independent,CHILUVERU PRATHAP,,,,9178,,,,1174631
Warangal,2014,Andhra Pradesh,Pyramid Party of India,THUPPARI NARASIMHA SWAMY,,,,7350,,,,1174631
Warangal,2014,Andhra Pradesh,Aam Aadmi Party,CHINTHA SWAMY,,,,5569,,,,1174631
Warangal,2014,Andhra Pradesh,Independent,JANNU MAHENDAR,,,,3211,,,,1174631
Warangal,2014,Andhra Pradesh,Marxist Communist Party of India (United),VENKANNA KANNAM,,,,2258,,,,1174631
Warangal,2014,Andhra Pradesh,Bahujan Mukti Party,VENKANNA NEERUDU,,,,2098,,,,1174631
Warangal,2014,Andhra Pradesh,Independent,KANAKAM RAMESH,,,,2013,,,,1174631
Warangal,2014,Andhra Pradesh,All India Forward Bloc,VENU ESAMPELLY,,,,1541,,,,1174631
Warangal,2014,Andhra Pradesh,None of the Above,None of the Above,,,,14034,,,,1174631
Mahabubabad,2014,Andhra Pradesh,Telangana Rashtra Samithi,PROF. AZMEERA SEETARAM NAIK,,,,320569,,,,1124370
Mahabubabad,2014,Andhra Pradesh,Indian National Congress,P. BALRAM,,,,285577,,,,1124370
