pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
BURDWAN,1957,WEST BENGAL,FBM,SUBIMAN GHOSE,,,,107670,425282,1,#999,213290
CALCUTTA CENTRAL,1957,WEST BENGAL,CPI,HIRENDRA NATH MUKHERJEE,,,,135308,395778,1,#DE0000,208047
CALCUTTA EAST,1957,WEST BENGAL,CPI,SADHAN CH. GUPTA,,,,143350,497202,1,#DE0000,228712
CALCUTTA NORTH WEST,1957,WEST BENGAL,INC,ASOKE KUMAR SEN,,,,102807,414217,1,#019733,205994
CALCUTTA SOUTH WEST,1957,WEST BENGAL,IND,BIREN ROY,,,,94944,403712,1,#95b3d7,188647
CONTAI,1957,WEST BENGAL,PSP,PRAMATHA NATH BANDOPADHAYA,,,,133853,441736,1,#999,271648
COOCH BEHAR,1957,WEST BENGAL,INC,SANTOSH BANERJEE,,,,247783,812583,1,#019733,769330
DARJEELING,1957,WEST BENGAL,INC,T. MANAEN,,,,60460,335292,1,#019733,139729
DIAMOND HARBOUR,1957,WEST BENGAL,CPI,KANSARI HALDER,,,,247785,925761,1,#DE0000,974006
GHATAL,1957,WEST BENGAL,INC,NIKUNJA BEHARI MAITY,,,,165597,443265,1,#019733,277622
HOOGHLY,1957,WEST BENGAL,CPI,PROVAT KAR,,,,81329,402713,1,#DE0000,232335
HOWRAH,1957,WEST BENGAL,CPI,MOHAMMED ELIAS,,,,108238,461154,1,#DE0000,224098
MALDA,1957,WEST BENGAL,INC,RENUKA RAY,,,,97217,409274,1,#019733,209203
MIDNAPORE,1957,WEST BENGAL,INC,NARASINGHA MALLA UGAL SANDA DEB,,,,194817,857143,1,#019733,733085
MURSHIDABAD,1957,WEST BENGAL,INC,MUHAMMAD KHUDA BUKHSH,,,,85041,423003,1,#019733,202822
NABADWIP,1957,WEST BENGAL,INC,ILA PAL CHOUDHURY,,,,134084,409205,1,#019733,219064
PURULIA,1957,WEST BENGAL,IND,BIBHUTI BHUSAN DAS GUPTA,,,,75890,366520,1,#95b3d7,132588
SERAMPORE,1957,WEST BENGAL,INC,JITENDRA NATH LAHIRI,,,,125798,428149,1,#019733,246062
TAMLUK,1957,WEST BENGAL,INC,SATISH CHANDRA SAMANTA,,,,158464,447374,1,#019733,312236
ULUBERIA,1957,WEST BENGAL,FBM,AUROBINDA GHOSAL,,,,120506,456093,1,#999,232984
WEST DINAJPUR,1957,WEST BENGAL,INC,SELKU MARDI,,,,177194,736998,1,#019733,608460
ADILABAD,1962,ANDHRA PRADESH,INC,G. NARAYAN REDDY,M,,,129068,404283,1,#019733,210032
ADONI,1962,ANDHRA PRADESH,INC,PENDEKANTI VENKATASUBBAIAH,M,,,136513,419077,1,#019733,240004
AMALAPURAM,1962,ANDHRA PRADESH,INC,BAYYA SURYANARAYANA MURTHY,M,,,151439,478247,1,#019733,325773
ANAKAPALLI,1962,ANDHRA PRADESH,INC,MISSULA SURYANARAYANAMURTHY,M,,,96895,427862,1,#019733,255307
ANANTAPUR,1962,ANDHRA PRADESH,INC,OSMAN ALI KHAN,M,,,120826,467475,1,#019733,290409
CHEEPURUPALLI,1962,ANDHRA PRADESH,INC,RAVU VENKATA GOPALAKRISHNA RANGA RAO,M,,,135315,410167,1,#019733,260106
CHITTOOR,1962,ANDHRA PRADESH,INC,MADABHUSI ANANTHASAYANAM AYYANGAR,M,,,130026,437788,1,#019733,287214
CUDDAPAH,1962,ANDHRA PRADESH,CPI,YEDDULA ESWARA REDDY,M,,,158877,497180,1,#DE0000,360955
ELURU,1962,ANDHRA PRADESH,CPI,VIRAMACHANENI VIMALADEVI,F,,,159379,470098,1,#DE0000,335961
GADWAL,1962,ANDHRA PRADESH,INC,JANUMPALLY RAMESHWAR RAO,M,,,116150,447475,1,#019733,259503
GUDIVADA,1962,ANDHRA PRADESH,INC,MANGANTI ANKINEEDU,M,,,186452,493266,1,#019733,380787
GUNTUR,1962,ANDHRA PRADESH,INC,KOTHA RAGHU RAMAIAH,M,,,204533,516008,1,#019733,355564
HINDUPUR,1962,ANDHRA PRADESH,INC,K.V. RAMAKRISHNA REDDY,M,,,89521,420888,1,#019733,250973
HYDERABAD,1962,ANDHRA PRADESH,INC,GOPAL S. MELKOTE,M,,,96447,315412,1,#019733,171631
KAKINADA,1962,ANDHRA PRADESH,INC,MOSALIKANTI THIRUMALA RAO,M,,,143575,454089,1,#019733,316290
KARIMNAGAR,1962,ANDHRA PRADESH,INC,JUVVADI RAMAPATHI RAO,M,,,120472,437969,1,#019733,237421
KAVALI,1962,ANDHRA PRADESH,INC,BEZWADA GOPALA REDDY,M,,,167031,478746,1,#019733,321496
KHAMMAM,1962,ANDHRA PRADESH,INC,T. LAKSHIKANTAMMA,F,,,163806,450611,1,#019733,329081
KURNOOL,1962,ANDHRA PRADESH,INC,YASODA REDDY,F,,,121999,463818,1,#019733,286002
MAHABUBABAD,1962,ANDHRA PRADESH,INC,ETIKALA MADHUSUDHAN RAO,M,,,126100,426441,1,#019733,277969
MAHABUBNAGAR,1962,ANDHRA PRADESH,INC,J.B. MUTYAL RAO,M,,,117573,413872,1,#019733,191012
MARKAPUR,1962,ANDHRA PRADESH,CPI,GUJJULA YELLAMANDA REDDY,M,,,146909,474652,1,#DE0000,299620
MASULIPATNAM,1962,ANDHRA PRADESH,IND,MANDALI VENKATASWAMY,M,,,153720,475481,1,#95b3d7,348302
MEDAK,1962,ANDHRA PRADESH,INC,P. HANUMANTHA RAO,M,,,88098,414481,1,#019733,194870
MIRYALGUDA,1962,ANDHRA PRADESH,CPI,LAXMI DASS,M,,,140884,453828,1,#DE0000,278793
NALGONDA,1962,ANDHRA PRADESH,CPI,RAVI NARAYANA REDDY,M,,,159145,446641,1,#DE0000,284894
NARASAPUR,1962,ANDHRA PRADESH,INC,DATLA BALARAMARAJU,M,,,181878,478392,1,#019733,363473
NARSIPATNAM,1962,ANDHRA PRADESH,INC,MATCHARASA MATCHARAJU,M,,,73518,407319,1,#019733,192986
NELLORE,1962,ANDHRA PRADESH,INC,B. ANJANAPPA,M,,,165206,480699,1,#019733,336089
NIZAMABAD,1962,ANDHRA PRADESH,INC,H.C. HEDA,M,,,106570,444598,1,#019733,234011
ONGOLE,1962,ANDHRA PRADESH,CPI,MADALA NARAYANASWAMY,M,,,127120,513758,1,#DE0000,320319
PARVATHIPURAM,1962,ANDHRA PRADESH,INC,BIDDIKA SATYANARAYANA,M,,,131625,420816,1,#019733,223878
PEDDAPALLI,1962,ANDHRA PRADESH,INC,M.R. KRISHNA,M,,,149561,412742,1,#019733,215101
RAJAHMUNDRY,1962,ANDHRA PRADESH,INC,DATLA SATYANARAYANA RAJU,M,,,175602,450040,1,#019733,318487
RAJAMPET,1962,ANDHRA PRADESH,SWA,C.L. NARASIMHA REDDY,M,,,155017,442554,1,#999,292769
SECUNDERABAD,1962,ANDHRA PRADESH,INC,AHMED MOHIUDDIN,M,,,92459,380287,1,#019733,191970
SRIKAKULAM,1962,ANDHRA PRADESH,INC,BODDIPALLI RAJAGOPALA ROW,M,,,112172,443080,1,#019733,263343
TENALI,1962,ANDHRA PRADESH,CPI,KOLLA VENKAIAH,M,,,143396,479831,1,#DE0000,355537
TIRUPATI,1962,ANDHRA PRADESH,INC,C. DASS,M,,,119539,383042,1,#019733,222030
VICARABAD,1962,ANDHRA PRADESH,INC,SANGAM LAKSHIMI BAI,F,,,123193,419557,1,#019733,208107
VIJAYAWADA,1962,ANDHRA PRADESH,INC,K.L.RAO,M,,,177794,449300,1,#019733,348802
VISAKHAPATNAM,1962,ANDHRA PRADESH,INC,VIJAYA ANANADA,M,,,159423,397925,1,#019733,227704
WARANGAL,1962,ANDHRA PRADESH,INC,BAKAR ALI MIRZA,M,,,113308,408061,1,#019733,243446
AUTONOMOUS DISTS,1962,ASSAM,HLC,GILBERT G. SWELL,M,,,91850,320132,1,#999,148551
BARPETA,1962,ASSAM,INC,RENUKA DEVI BARKATAKI,F,,,86691,450184,1,#019733,221598
CACHAR,1962,ASSAM,INC,JYOTSNA CHANDA,F,,,72086,383045,1,#019733,196100
DARRANG,1962,ASSAM,INC,BIJOY CHANDRA BHAGABATI,M,,,137990,378754,1,#019733,202548
DHUBRI,1962,ASSAM,INC,MAU GHYSUDDIN AHAMMAD,M,,,89407,391360,1,#019733,209435
DIBRUGARH,1962,ASSAM,INC,JOGENDRA NATH HAZARIKA,M,,,98687,390564,1,#019733,172985
GAUHATI,1962,ASSAM,PSP,HEM BORUA,M,,,133812,467175,1,#999,268162
GOALPARA,1962,ASSAM,INC,DHARANI DHOR BASUMOTARI,M,,,94209,429220,1,#019733,218280
JORHAT,1962,ASSAM,PSP,RAJENDRA NATH BARUAH,M,,,78091,404220,1,#999,185615
KARIMGANJ,1962,ASSAM,INC,NIHAR RANJAN LASKAR,M,,,112584,397814,1,#019733,224582
NOWGONG,1962,ASSAM,INC,LILADHAR KOTOKI,M,,,97942,471350,1,#019733,239138
SIBSAGAR,1962,ASSAM,INC,PRAFULLA CHANDRA BARUAH,M,,,101746,458998,1,#019733,208317
AURANGABAD,1962,BIHAR,SWA,LALITA RAJYA LAXMI,F,,,64552,409761,1,#999,164706
BAGAHA,1962,BIHAR,INC,KAMAL NATH TEWARI,M,,,99684,385005,1,#019733,182194
BANKA,1962,BIHAR,INC,SHAKUNTALA DEVI,F,,,87359,412008,1,#019733,158567
BARH,1962,BIHAR,INC,TARKESHWARI SINHA,F,,,103802,377162,1,#019733,185787
BEGUSARAI,1962,BIHAR,INC,MATHURA PRASAD MISHRA,M,,,105883,404740,1,#019733,208012
BETTIAH,1962,BIHAR,INC,BHOLA RAUT,M,,,79043,380043,1,#019733,141707
BHAGALPUR,1962,BIHAR,INC,BHAGWAT JHA AZAD,M,,,100657,436725,1,#019733,203756
BIKRAMGANJ,1962,BIHAR,INC,RAM SUBHAG SINGH,M,,,98649,423247,1,#019733,227180
BUXAR,1962,BIHAR,INC,ANANT PRASAD SHARMA,M,,,97962,453468,1,#019733,227391
CHAPRA,1962,BIHAR,INC,RAMSEKHAR PRASAD SINGH,M,,,85952,459344,1,#019733,221420
CHATRA,1962,BIHAR,SWA,VIJAYA RAJE,F,,,88066,379753,1,#999,140828
DARBHANGA,1962,BIHAR,INC,SHREE NARAYAN DAS,M,,,106979,487848,1,#019733,193341
DHANBAD,1962,BIHAR,INC,P. R. CHAKRAVARTI,M,,,75170,451555,1,#019733,198805
DUMKA,1962,BIHAR,INC,SATYA CHANDRA BESRA,M,,,50430,399218,1,#019733,133643
GAYA,1962,BIHAR,INC,BRAJESHWAR PRASAD,M,,,69933,337429,1,#019733,160806
GIRIDIH,1962,BIHAR,SWA,THAKUR BATESHWAR SINGH,M,,,50469,374463,1,#999,124309
GODDA,1962,BIHAR,INC,PRABHUDAYAL HIMMATSINGKA,M,,,78558,395448,1,#019733,184004
GOPALGANJ,1962,BIHAR,INC,DWAIKA NATH TIWARI,M,,,96753,422101,1,#019733,198590
HAJIPUR,1962,BIHAR,INC,RAJESHWAR PATEL,M,,,104351,421299,1,#019733,250637
HAZARIBAGH,1962,BIHAR,SWA,BASANT NARAIN SINGH,M,,,81029,395311,1,#999,121273
JAHANABAD,1962,BIHAR,INC,SATYABHAMA DEVI,F,,,73893,436653,1,#019733,221449
JAINAGAR,1962,BIHAR,INC,YAMUNA PRASAD MANDAL,M,,,101002,471460,1,#019733,205781
JAMSHEDPUR,1962,BIHAR,CPI,UDAIKAR MISHRA,M,,,75000,435297,1,#DE0000,174488
JAMUI,1962,BIHAR,INC,NAYANTARA DAS,M,,,101440,408420,1,#019733,204865
KATIHAR,1962,BIHAR,PSP,PRIYA GUPTA,M,,,82531,451056,1,#999,181609
KESARIA,1962,BIHAR,INC,BHISHMA PRASAD YADAVA,M,,,88307,389402,1,#019733,165370
KHAGARIA,1962,BIHAR,INC,JIYALAL MANDAL,M,,,118385,431546,1,#019733,220033
KISHANGANJ,1962,BIHAR,INC,MOHAMMAD TAHIR,M,,,64522,486140,1,#019733,180963
LOHARDAGA,1962,BIHAR,SWA,DAVID MUNZNI,M,,,58174,368021,1,#999,131722
MADHUBANI,1962,BIHAR,PSP,YOGENDRA JHA,M,,,67832,427660,1,#999,199301
MAHARAJGANJ,1962,BIHAR,INC,KRISHNAKANTA SINGH,M,,,73670,401654,1,#019733,164537
MAHUA,1962,BIHAR,INC,CHANDRAMANI LAL CHOUDHARY,M,,,85825,447690,1,#019733,213073
MONGHYR,1962,BIHAR,INC,BANARSI PRASAD SINHA,M,,,91861,374823,1,#019733,193402
MOTIHARI,1962,BIHAR,INC,BIBHUTI MISHRA,M,,,99170,379579,1,#019733,176141
MUZAFFARPUR,1962,BIHAR,INC,DIGVIJOY NARAIN SINGH,M,,,92393,464546,1,#019733,211774
NALANDA,1962,BIHAR,INC,SIDHESHWAR PRASAD,M,,,95883,453708,1,#019733,220425
NAWADA,1962,BIHAR,INC,RAMDHANI DAS,M,,,99106,420933,1,#019733,193032
PALAMU,1962,BIHAR,SWA,SHASHANK MANJARI,M,,,82170,386107,1,#999,140145
PATNA,1962,BIHAR,INC,RAMDULARI DEVI,F,,,101687,400456,1,#019733,226536
PUPRI,1962,BIHAR,INC,SASHIRANJAN PRASAD SAH,M,,,74653,415653,1,#019733,222657
PURNEA,1962,BIHAR,INC,PHANI GOPAL SEN GUPTA,M,,,117705,503100,1,#019733,213997
RAJMAHAL,1962,BIHAR,JP,ISWAR MARANDI,M,,,74666,389321,1,#999,141377
RANCHI EAST,1962,BIHAR,SWA,PRASHANTA KUMAR GHOSH,M,,,43256,373768,1,#999,133959
RANCHI WEST,1962,BIHAR,JP,JAIPAL SINGH,M,,,103310,421139,1,#999,196570
ROSERA,1962,BIHAR,INC,RAMESHWAR SAHU,M,,,122921,431956,1,#019733,177997
SAHARSA,1962,BIHAR,SOC,BHUPENDRA NARAYAN MANDAL,M,,,97038,426782,1,#999,197161
SAMASTIPUR,1962,BIHAR,INC,SATYA NARYAN SINHA,M,,,82522,383747,1,#019733,198896
SASARAM,1962,BIHAR,INC,JAGJIVAN RAM,M,,,137060,416753,1,#019733,252531
SHAHABAD,1962,BIHAR,INC,BALI RAM BHAGAT,M,,,133373,415615,1,#019733,217628
SINGHBHUM,1962,BIHAR,JP,HARICHARAN SOY,M,,,53269,413797,1,#999,125343
SITAMARHI,1962,BIHAR,INC,NAGINDRA PD. YADAB,M,,,90910,455960,1,#019733,238273
SIWAN,1962,BIHAR,INC,MD. YUSUF,M,,,78030,424260,1,#019733,191902
SONBARSA,1962,BIHAR,INC,TULMOHAN RAM,M,,,92622,402111,1,#019733,186351
AHMEDABAD,1962,GUJARAT,NJP,INDULAL KANAIYALAL YAGNIK,M,,,134323,433392,1,#999,255169
AMRELI,1962,GUJARAT,INC,JAYABEN VAJUBHAI SHAH,F,,,139459,418212,1,#019733,213900
ANAND,1962,GUJARAT,SWA,KUMAR NARENDRASINH RANJITSINH MAHIDA,M,,,169116,472873,1,#999,315503
BANASKANTHA,1962,GUJARAT,INC,JOHARABEN AKABARBHAI CHAVADA,F,,,115931,441054,1,#019733,202556
BARODA,1962,GUJARAT,INC,SHRIMANT MAHARAJA FATEHSINHRAO PRATAPSINHRAO GAEKWAD,M,,,189562,446026,1,#019733,259393
BHAVNAGAR,1962,GUJARAT,PSP,JASHVANTRAI NANUBHAI MEHTA,M,,,98099,448886,1,#999,201098
BROACH,1962,GUJARAT,INC,CHHOTUBHAI MAKANBHAI PATEL,M,,,130060,429499,1,#019733,280661
BULSAR,1962,GUJARAT,INC,NANUBHAI NICHHABHAI PATEL,M,,,149689,471481,1,#019733,295719
DOHAD,1962,GUJARAT,SWA,HIRABHAI KUNVERBHAI BARIA,M,,,107348,443761,1,#999,233560
JAMNAGAR,1962,GUJARAT,INC,MANUBHAI MANSUKHLAL SHAH,M,,,122628,426809,1,#019733,171104
JUNAGADH,1962,GUJARAT,INC,CHITTARANJAN RUGNATH RAJA,M,,,123288,423066,1,#019733,206427
KAIRA,1962,GUJARAT,SWA,PRAVINSINH NATVERSINH SOLANKI,M,,,134112,436539,1,#999,271376
KUTCH,1962,GUJARAT,SWA,M. K. S. HIMATSINHJI VIJARAJJI,M,,,145947,408740,1,#999,243047
MANDVI,1962,GUJARAT,INC,CHHAGANBHAI MADARIBHAI KEDARIA,M,,,135651,462461,1,#019733,259693
MEHSANA,1962,GUJARAT,INC,MANSINH PRITHVIRAJ PATEL,M,,,154631,446979,1,#019733,302324
PANCHMAHALS,1962,GUJARAT,INC,DAHYABHAI JIVANJI NAIK,M,,,85380,408271,1,#019733,189726
PATAN,1962,GUJARAT,INC,PURUSHOTTAMDAS RANCHHODDAS PATEL,M,,,125797,389956,1,#019733,217521
RAJKOT,1962,GUJARAT,INC,UCHHARANGRAI NAVALSHANKER DHEBAR,M,,,102344,390228,1,#019733,185253
SABARKANTHA,1962,GUJARAT,INC,GULZARILAL BULAKHIDAS NANDA,M,,,129468,417575,1,#019733,252158
SABARMATI,1962,GUJARAT,INC,MULDAS BHUDARDAS VAISHYA,M,,,128242,454460,1,#019733,259581
SURAT,1962,GUJARAT,INC,MORARJI RANCHHODJI DESAI,M,,,165225,417377,1,#019733,240559
SURENDRANAGAR,1962,GUJARAT,INC,GHANSHYAMBHAI CHHOTALAL OZA,M,,,123006,437334,1,#019733,226230
CHAMBA,1962,HIMACHAL PRADESH,INC,CHATTAR SINGH,M,,,32324,181428,1,#019733,50927
MAHASU,1962,HIMACHAL PRADESH,INC,VIRBHADRA SINGH,M,,,49011,160883,1,#019733,63768
MANDI,1962,HIMACHAL PRADESH,INC,LALIT SEN,M,,,46856,193127,1,#019733,73714
SIRMUR,1962,HIMACHAL PRADESH,INC,PARTAP SINGH,M,,,38558,176158,1,#019733,54499
AMBALAPUZHA,1962,KERALA,CPI,P. K. VASUDEVAN NAIR,M,,,170170,445802,1,#DE0000,329107
BADAGARA,1962,KERALA,IND,A. V. RAGHAVAN,M,,,204315,463498,1,#95b3d7,335723
CHIRAYINKIL,1962,KERALA,CPI,M. K. KUMARAN,M,,,168927,437189,1,#DE0000,304635
ERNAKULAM,1962,KERALA,INC,A. M. THOMAS,M,,,181105,455280,1,#019733,356879
KASARAGOD,1962,KERALA,CPI,A. K. GOPALAN,M,,,188384,460358,1,#DE0000,303027
KOLLAM,1962,KERALA,RSP,SREEKANTAN NAIR,M,,,199377,442109,1,#999,333799
KOTTAYAM,1962,KERALA,INC,MATHEW MANIYANGADAN,M,,,177811,409662,1,#019733,290336
KOZHIKODE,1962,KERALA,ML,C. H. MUHAMMED KOYA,M,,,104277,434064,1,#999,306957
MANJERI,1962,KERALA,ML,MUHAMMAD ISMAIL SAHIB,M,,,97290,431863,1,#999,240229
MAVELIKARA,1962,KERALA,INC,ACHUTHAN,M,,,149244,422829,1,#019733,300871
MUKUNDAPURAM,1962,KERALA,INC,GOVINDA MENON PANAMPILLI,M,,,195038,457338,1,#019733,360491
MUVATTUPUZHA,1962,KERALA,INC,CHERIAN,M,,,157735,467654,1,#019733,290822
PALAKKAD,1962,KERALA,CPI,KUNHAN PATINJARA VEETILPADI,M,,,131688,417640,1,#DE0000,200691
PONNANI,1962,KERALA,CPI,IMBICHI BAVA EZHUKUDIKKAL,M,,,128288,411076,1,#DE0000,256433
TELLICHERRY,1962,KERALA,IND,S. K. POTTEKKATT,M,,,216836,501672,1,#95b3d7,368722
THIRUVALLA,1962,KERALA,INC,G. RAVINDRA VARMA,M,,,184054,436674,1,#019733,303647
THIRUVANANTHAPURAM,1962,KERALA,IND,NATARAJA PILLAI,M,,,161713,470222,1,#95b3d7,322643
THRISSUR,1962,KERALA,CPI,KRISHNA WARRIAR,M,,,164899,438212,1,#DE0000,323971
BALAGHAT,1962,MADHYA PRADESH,PSP,BHOLARAM RAMAJI,M,,,69786,415891,1,#999,175366
BALODA BAZAR,1962,MADHYA PRADESH,INC,MINIMATA,F,,,68063,427546,1,#019733,128764
BASTAR,1962,MADHYA PRADESH,IND,LAKHMU BHAWANI,M,,,87557,421440,1,#95b3d7,187656
BHIND,1962,MADHYA PRADESH,INC,SURAJ PRASAD ALIAS SURYA PRASHAD,M,,,75730,467201,1,#019733,227622
BHOPAL,1962,MADHYA PRADESH,INC,MAIMOONA SULTAN,F,,,83204,507527,1,#019733,227292
BILASPUR,1962,MADHYA PRADESH,IND,SATYA PRAKASH,M,,,54845,439048,1,#95b3d7,153765
CHHINDWARA,1962,MADHYA PRADESH,INC,BHIKULAL LACHHMICHAND,M,,,81726,462730,1,#019733,169158
DAMOH,1962,MADHYA PRADESH,INC,SAHODRA BAI,F,,,77710,419223,1,#019733,187113
DEWAS,1962,MADHYA PRADESH,JS,HUKUMCHAND,M,,,106706,438964,1,#999,229503
DURG,1962,MADHYA PRADESH,INC,MOHANLAL BAKLIWAL,M,,,88539,519964,1,#019733,212181
GUNA,1962,MADHYA PRADESH,INC,RAMSAHAI SHIVPRASAD PANDE,M,,,100135,481461,1,#019733,213679
GWALIOR,1962,MADHYA PRADESH,INC,VIJAYA RAJE SCINDIA,F,,,173171,431098,1,#019733,228154
HOSHANGABAD,1962,MADHYA PRADESH,PSP,HARI VISHNU KAMATH,M,,,72649,385818,1,#999,174191
INDORE,1962,MADHYA PRADESH,IND,HOMI DAJI,M,,,95682,405346,1,#95b3d7,229546
JABALPUR,1962,MADHYA PRADESH,INC,GOVIND DAS,M,,,105185,396079,1,#019733,195895
JANJGIR,1962,MADHYA PRADESH,INC,AMARSINGH,M,,,79822,443124,1,#019733,147108
JHABUA,1962,MADHYA PRADESH,INC,JAMUNADEVI,F,,,68024,420959,1,#019733,155224
KHAJURAHO,1962,MADHYA PRADESH,INC,RAM SAHAI,M,,,89722,469766,1,#019733,193432
KHANDWA,1962,MADHYA PRADESH,INC,MAHESHDUTTA,M,,,105889,449704,1,#019733,229722
KHARGONE,1962,MADHYA PRADESH,JS,RAMCHANDRA BADE,M,,,105386,456670,1,#999,198290
MAHASAMUND,1962,MADHYA PRADESH,INC,VIDYA CHARAN SHUKLA,M,,,56664,470198,1,#019733,157995
MANDLA,1962,MADHYA PRADESH,INC,MANGRU GANU UIKE,M,,,47789,411583,1,#019733,114763
MANDSAUR,1962,MADHYA PRADESH,JS,UMASHANKER,M,,,117850,419484,1,#999,231826
RAIGARH,1962,MADHYA PRADESH,RRP,RAJA VIJAYA BHUSAN SINGH DEO,M,,,56991,438535,1,#999,183038
RAIPUR,1962,MADHYA PRADESH,INC,KESHAR KUMARI DEVI,F,,,93807,458195,1,#019733,238795
RAJGARH,1962,MADHYA PRADESH,IND,BHANUPRAKASH SINGH,M,,,77355,422942,1,#95b3d7,170303
RAJNANDGAON,1962,MADHYA PRADESH,INC,BIRENDRA BAHADUR SINGH,M,,,76012,440331,1,#019733,169886
REWA,1962,MADHYA PRADESH,INC,SHIV DUTTA,M,,,56616,448725,1,#019733,200228
SAGAR,1962,MADHYA PRADESH,INC,JAWALA PRASAD JHUMAKLAL,M,,,92387,428923,1,#019733,189214
SARGUJA,1962,MADHYA PRADESH,INC,BABUNATH SINGH,M,,,43505,427701,1,#019733,120838
SEONI,1962,MADHYA PRADESH,INC,NARAYANRAO MANIRAM WADIWA,M,,,63909,417744,1,#019733,151731
SHAHDOL,1962,MADHYA PRADESH,SOC,BUDDHU SINGH,M,,,53218,458324,1,#999,134079
SHIVPURI,1962,MADHYA PRADESH,INC,VEDEHI CHARAN,M,,,76181,441893,1,#019733,178019
SIDHI,1962,MADHYA PRADESH,INC,ANAND CHANDRA,M,,,46625,436817,1,#019733,160530
TIKAMGARH,1962,MADHYA PRADESH,PSP,KURE MATE,M,,,97647,450112,1,#999,221561
UJJAIN,1962,MADHYA PRADESH,INC,RADHELAL VYAS,M,,,84976,443172,1,#019733,217950
ARUPPUKKOTTAI,1962,MADRAS,FB,U. MUTHU RAMALINGA THEVAR,M,,,175772,496604,1,#999,339839
CHENGALPATTU,1962,MADRAS,INC,O. V. ALAGESAN,M,,,169988,429553,1,#019733,320098
CHIDAMBARAM,1962,MADRAS,INC,R. KANGAGOSABAI,M,,,140731,457267,1,#019733,315338
COIMBATORE,1962,MADRAS,INC,P. R. RAMAKRISHNAN,M,,,151019,509869,1,#019733,386626
CUDDALORE,1962,MADRAS,DMK,T. RAMABADRA NAIDU,M,,,160811,479031,1,#800000,312968
DINDIGUL,1962,MADRAS,INC,T. S. SOUNDARAM RAMACHANDRAM,M,,,138574,461145,1,#019733,320574
ERODE,1962,MADRAS,INC,PARAMASIVA GOUNDER,M,,,156739,478370,1,#019733,342567
GOBICHETTIPALAYAM,1962,MADRAS,INC,P. G. KARUTHIRUMAN,M,,,142993,435401,1,#019733,287307
KARUR,1962,MADRAS,INC,R. RAMANATHAN CHETTIAR,M,,,139385,461862,1,#019733,286846
KOILPATTI,1962,MADRAS,INC,S. C. BALAKRISHNAN,M,,,150175,454673,1,#019733,313249
KRISHNAGIRI,1962,MADRAS,DMK,K. RAJARAM,M,,,127508,473080,1,#800000,261380
KUMBAKONAM,1962,MADRAS,INC,C. R. PATTABIRAMAN,M,,,155389,451280,1,#019733,329154
MADRAS NORTH,1962,MADRAS,INC,P. SRINIVASAN,M,,,122160,452645,1,#019733,324285
MADRAS SOUTH,1962,MADRAS,DMK,K. MANOHARAN,M,,,151917,486728,1,#800000,339625
MADURAI,1962,MADRAS,INC,N. M. R. SUBBARAMAN,M,,,140574,487321,1,#019733,355419
MAYURAM,1962,MADRAS,INC,MARAGATHAM,M,,,149330,449027,1,#019733,326487
MELUR,1962,MADRAS,INC,P. MARUTHAIAH,M,,,155629,421613,1,#019733,298339
NAGAPATTINAM,1962,MADRAS,INC,GOPALSAMY THENKONDAR,M,,,161421,448355,1,#019733,351089
NAGERCOIL,1962,MADRAS,INC,A. NESAMONY,M,,,157208,430947,1,#019733,278896
NAMAKKAL,1962,MADRAS,INC,V. K. RAMASWAMY,M,,,118603,408580,1,#019733,270598
NILGIRIS,1962,MADRAS,INC,AKKAMMA DEVI,F,,,163420,450481,1,#019733,311056
PERAMBALUR,1962,MADRAS,DMK,ERA SEZHIYAN,M,,,188926,473412,1,#800000,338001
PERIYAKULAM,1962,MADRAS,INC,MALAICHAMY THEVAR,M,,,146829,444152,1,#019733,303116
POLLACHI,1962,MADRAS,INC,C. SUBRAMANIAM,M,,,176512,448744,1,#019733,312991
PUDUKKOTTAI,1962,MADRAS,CPI,R. UMANATH,M,,,134162,446368,1,#DE0000,298179
RAMANATHAPURAM,1962,MADRAS,INC,N. ARUNACHALAM,M,,,145396,517361,1,#019733,353453
SALEM,1962,MADRAS,INC,S. V. RAMASWAMY,M,,,147525,440434,1,#019733,298991
SRIPERUMBUDUR,1962,MADRAS,DMK,P. SIVASANKARAN,M,,,157733,465133,1,#800000,300094
TENKASI,1962,MADRAS,INC,M. P. SWAMY,M,,,165169,458052,1,#019733,322934
THANJAVUR,1962,MADRAS,INC,VAIRAVA THEVAR,M,,,143185,453163,1,#019733,328556
THIRUVALLUR,1962,MADRAS,INC,V. GOVINDASWAMY NAIDU,M,,,157343,484018,1,#019733,328361
THIRUVANNAMALAI,1962,MADRAS,DMK,DHARMALINGAM,M,,,141254,449968,1,#800000,288356
TINDIVANAM,1962,MADRAS,INC,R. VENKATASUBBA REDDIAR,M,,,132330,441497,1,#019733,273719
TIRUCHENDUR,1962,MADRAS,INC,T. T. KRISHNAMACHARI,M,,,0,460766,1,#019733,0
TIRUCHENGODE,1962,MADRAS,INC,P. SUBBARAYAN,M,,,109799,416657,1,#019733,251005
TIRUCHIRAPPALLI,1962,MADRAS,CPI,K. ANADA NAMBIAR,M,,,156706,438690,1,#DE0000,327834
TIRUKOILUR,1962,MADRAS,INC,L. ELAYA PERUMAL,M,,,134815,437767,1,#019733,251930
