pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
SARAN NORTH,1951,BIHAR,INC,JHULAN SINHA,,,,68062,370681,1,#019733,111627
SARAN SOUTH,1951,BIHAR,INC,DWARKA NATH TIWARI,,,,50277,276217,1,#019733,117340
SHAHABAD NORTH WEST,1951,BIHAR,IND,KAMAL SINGH,,,,43165,364184,1,#95b3d7,150612
SHAHABAD SOUTH,1951,BIHAR,INC,RAM SUBHAG SINGH,,,,114988,697896,1,#019733,584689
BILASPUR,1951,BILASPUR,IND,ANAND CHAND,,,,0,68130,1,#95b3d7,0
AHMEDABAD,1951,BOMBAY,INC,MAVLANKAR GANESH VASUDEO,,,,230778,727815,1,#019733,726462
AHMEDNAGAR NORTH,1951,BOMBAY,INC,KANAVADE PANDHARINATH RAMCHANDRA,,,,102300,394577,1,#019733,184024
AHMEDNAGAR SOUTH,1951,BOMBAY,INC,BOGAVAT UTTAMCHAND RAMCHAND,,,,88815,386878,1,#019733,156054
BANASKANTHA,1951,BOMBAY,INC,CHAVDA AKBAR DALUMIYAN,,,,91753,372878,1,#019733,140636
BARODA WEST,1951,BOMBAY,IND,AMIN INDHUBHAI BHAILALBHAI,,,,91419,380593,1,#95b3d7,201509
BELGAUM NORTH,1951,BOMBAY,INC,DATAR BALWANT NAGESH,,,,133176,357228,1,#019733,217619
BELGAUM SOUTH,1951,BOMBAY,INC,PATIL SHANKARGOUDA VIRANGOUDA,,,,119521,385241,1,#019733,237245
BHUSAWAL,1951,BOMBAY,INC,RANE SHIVRAM RANGO,,,,124798,381993,1,#019733,219720
BIJAPUR NORTH,1951,BOMBAY,INC,DUBE RAJARAM GIRDHARLAL,,,,119895,370216,1,#019733,179215
BIJAPUR SOUTH,1951,BOMBAY,INC,BIDARI RAMAPPA BALAPPA,,,,159884,342857,1,#019733,219578
BOMBAY CITY NORTH,1951,BOMBAY,INC,GANDHI VITHAL BALKRISHNA,,,,149138,730126,1,#019733,715888
BOMBAY CITY SOUTH,1951,BOMBAY,INC,PATIL SADASHIV KANOJI,,,,96302,370548,1,#019733,194136
BOMBAY SUBURBAN,1951,BOMBAY,INC,RAIJI JAYASHRI NAISHADH,,,,88519,379457,1,#019733,199927
BROACH,1951,BOMBAY,INC,BHATT CHANDRASHANKAR MANISHANKAR,,,,98835,380694,1,#019733,208885
DHARWAD NORTH,1951,BOMBAY,INC,KARMAKA DATTATRAYA PARSURAMRAO,,,,129077,365182,1,#019733,216283
DHARWAD SOUTH,1951,BOMBAY,INC,NESWI TIMMAPPA RUDRAPPA,,,,144225,371753,1,#019733,239315
JALGAON,1951,BOMBAY,INC,PATASKAR HARI VINAYAK,,,,127361,356253,1,#019733,205133
KAIRA NORTH,1951,BOMBAY,INC,DABHI FULSINHJEE BHARATSINHJI,,,,136810,391562,1,#019733,230681
KAIRA SOUTH,1951,BOMBAY,INC,PATEL MANIBEN VALLABHBHAI,,,,146223,368127,1,#019733,233148
KANARA,1951,BOMBAY,INC,ALVA JAOCHIM PIEDADE,,,,139557,370650,1,#019733,230512
KOLABA,1951,BOMBAY,INC,DESHMUKH CHINTAMAN DWARKANATH,,,,112873,352119,1,#019733,183658
KOLHAPUR CUM SATARA,1951,BOMBAY,IND,KHARDEKAR BALASAHEB HASANMANTRAO,,,,223056,749539,1,#95b3d7,832165
MEHSANA EAST,1951,BOMBAY,INC,PAREKH SHANTILAL GIRDHARLAL,,,,107525,366111,1,#019733,202822
MEHSANA WEST,1951,BOMBAY,IND,KILACHAND TULSHIDAS KILACHAND,,,,110478,380505,1,#95b3d7,225034
NASIK CENTRAL,1951,BOMBAY,INC,DESHPANDE GOVIND HARI,,,,89261,385868,1,#019733,205175
NORTH SATARA,1951,BOMBAY,INC,ALTEKAR GANESH SADASHIV,,,,91319,359731,1,#019733,198739
PANCCHMAHALS CUM BARODA EAST,1951,BOMBAY,INC,GANDHI MANEKLAL MAGANLAL,,,,201891,741930,1,#019733,318085
POONA CENTRAL,1951,BOMBAY,INC,GADGIL NARHAR VISHNU,,,,102692,388404,1,#019733,192406
POONA SOUTH,1951,BOMBAY,INC,MAYDEO INDIRA ANANT,,,,114720,378892,1,#019733,179289
RATNAGIRI NORTH,1951,BOMBAY,INC,BHOSALE JAGANNATHRAO KRISHNARAO,,,,75366,374668,1,#019733,151181
RATNAGIRI SOUTH,1951,BOMBAY,INC,JOSHI MORESHWAR DINKAR,,,,57481,372880,1,#019733,144239
SABARKANTHA,1951,BOMBAY,INC,NANDA GULZARILAL BULAQIRAM,,,,106048,372222,1,#019733,201468
SHOLAPUR,1951,BOMBAY,PWP,MORE SHANKAR SHANTARAM,,,,209697,801712,1,#999,780170
SOUTH SATARA,1951,BOMBAY,INC,PAWAR VYANKATRAO PIRAJIRAO,,,,133915,369033,1,#019733,223955
SURAT,1951,BOMBAY,INC,DESAI KANHAIYALAL NANABHAI,,,,244016,745093,1,#019733,861336
THANA,1951,BOMBAY,INC,NANDKAR ANANT SAVALARAM,,,,151952,712902,1,#019733,718242
WEST KHANDESH,1951,BOMBAY,INC,BHARATIYA SHALIGRAM RAMCHANDRA,,,,171242,753372,1,#019733,754356
COORG,1951,COORG,INC,N. SOMANNA,,,,38063,94593,1,#019733,63813
CHAMBA SIRMUR,1951,HIMACHAL PRADESH,INC,A. R. SEWAL,,,,28451,180581,1,#019733,47812
MANDI MAHASU,1951,HIMACHAL PRADESH,INC,AMRIT KAUR,,,,47152,350437,1,#019733,175377
ADILABAD,1951,HYDERABAD,SP,C. MADHAV REDDY,,,,90995,351017,1,#B15928,156907
AMBAD,1951,HYDERABAD,INC,HANMANTH RAO GANESHRAO,,,,80563,381233,1,#019733,145667
AURANGABAD,1951,HYDERABAD,INC,SURESHCHANDRA SHIVPRASAD ARYA,,,,71092,361434,1,#019733,138306
BHIR,1951,HYDERABAD,PDF,RAMCHANDER GOVIND PARANJPPE,,,,67752,344586,1,#999,126253
BIDAR,1951,HYDERABAD,INC,SHOUKATULLA SHAH ANSARI,,,,92105,335863,1,#019733,158378
GULABARGA,1951,HYDERABAD,INC,SWAMY RAMANAND TIRTH,,,,56087,364590,1,#019733,106140
HYDERABAD CITY,1951,HYDERABAD,INC,AHMED MOHIUDDIN,,,,70004,343535,1,#019733,147657
IBRAHIMPATAM,1951,HYDERABAD,INC,SADAT ALI KHAN,,,,66536,345396,1,#019733,144579
KARIMNAGAR,1951,HYDERABAD,PDF,BADAN YELLA REDDY,#8064a2,,,197234,750904,1,#999,715873
KHAMMAM,1951,HYDERABAD,PDF,T. B. VITTALA RAO,,,,101223,354276,1,#999,188064
KUSTAGI,1951,HYDERABAD,IND,SHIV MURTHY SWAMY,,,,107209,356258,1,#95b3d7,170259
MAHBOOBNAGAR,1951,HYDERABAD,INC,JANARDHAN REDDY,,,,173926,756778,1,#019733,344270
MEDAK,1951,HYDERABAD,PDF,JAISOORYA,,,,90366,360324,1,#999,197637
NALGONDA,1951,HYDERABAD,PDF,RAVI NARAYAN REDDY,,,,309162,729504,1,#999,807033
NANDED,1951,HYDERABAD,INC,SHANKER RAO SRINIVAS RAO,,,,122638,710146,1,#019733,444504
NIZAMABAD,1951,HYDERABAD,INC,HARISH CHANDRA HEDA,,,,86619,335863,1,#019733,160995
OSMANABAD,1951,HYDERABAD,INC,DIWAN RAGHEVENDRA SRINIVAS RAO,,,,101573,373951,1,#019733,194043
PARBHANI,1951,HYDERABAD,PWP,NARAYAN RAO WAGHMARE,,,,92698,370348,1,#999,140434
VICARABAD,1951,HYDERABAD,INC,EBENEZER S. A.,,,,140861,377940,1,#019733,181357
WARANGAL,1951,HYDERABAD,PDF,PENDYAL RAGHAVA RAO,,,,77264,365451,1,#999,186506
YADGIR,1951,HYDERABAD,INC,KRISHNA CHARYA JOSHI,,,,0,362832,1,#019733,0
KUTCH EAST,1951,KUTCH,INC,DHOLAKIA GULABSHANKER AMRUTLAL,,,,31625,147409,1,#019733,49236
KUTCH WEST,1951,KUTCH,INC,KHIMJI BHAWANJI ARJUN,,,,47146,140991,1,#019733,70344
GUNA,1951,MADHYA BHARAT,HMS,V. G. DESHPANDE,,,,56518,378353,1,#999,138858
GWALIOR,1951,MADHYA BHARAT,HMS,V. G. DESHPANDE,,,,65695,379320,1,#999,144412
INDORE,1951,MADHYA BHARAT,INC,NANDLAL SURYA NARAYAN,,,,109506,387379,1,#019733,178654
JHABUA,1951,MADHYA BHARAT,INC,AMAR SINGH,,,,58299,369032,1,#019733,140946
MANDSAUR,1951,MADHYA BHARAT,INC,KAILASH NATH KATJU,,,,92356,371375,1,#019733,140861
MORENA BHIND,1951,MADHYA BHARAT,INC,RADHA CHARAN,,,,124878,743114,1,#019733,462963
NIMAR,1951,MADHYA BHARAT,INC,BAJINATH MAHODAYA,,,,83433,375327,1,#019733,127499
SHAJAPUR RAJGARH,1951,MADHYA BHARAT,INC,LILADHAR JOSHI,,,,139948,734582,1,#019733,485562
UJJAIN,1951,MADHYA BHARAT,INC,RADHELAL VYAS,,,,72868,352375,1,#019733,133816
AMRAVATI EAST,1951,MADHYA PRADESH,INC,PANJABRAO SHAMRAO DESHMUKH,,,,139120,357241,1,#019733,221630
AMRAVATI WEST,1951,MADHYA PRADESH,INC,KRUSHNARAO GULABRAO DESHMUKH,,,,120266,384307,1,#019733,207654
BALAGHAT,1951,MADHYA PRADESH,INC,C. D. GOUTAM,,,,117725,370922,1,#019733,179578
BASTAR,1951,MADHYA PRADESH,IND,MUCHAKI KOSA,,,,177588,384277,1,#95b3d7,213845
BETUL,1951,MADHYA PRADESH,INC,BHIKULAL LAKHMICHAND CHANDAK,,,,129277,387336,1,#019733,216283
BHANDARA,1951,MADHYA PRADESH,INC,CHATURBHUJ VITHALDAS JASANI,,,,230096,770354,1,#019733,808807
