#,AC_NAME,AC_NO,Deposit Threshold,EVM Votes,Migrant Votes,Migrant Votes ,NAME,O.S.N.,party_code,Polled_Votes,Postal Votes,Rank,ST_CD,ST_NAME,State-code,VOTES,Vote %,YEAR,color_code,PARTY,polled_votes,vote_percent
3,Mahesana,4,0,11979,0,0,NOTA,13,None of the Above,1081938,88,3,S06,Gujarat,S06,12067,1.115313447,2019,#DDD1CA,NOTA,1081938,1.12
2,Sabarkantha,5,1,428836,0,0,THAKOR RAJENDRASINH SHIVSINH,1,Indian National Congress,1218354,4161,2,S06,Gujarat,S06,432997,35.53950658,2019,#3498DB,INC,1218354,35.54
1,Sabarkantha,5,1,696498,0,0,RATHOD DIPSINH SHANKARSINH,2,Bharatiya Janata Party,1218354,5486,1,S06,Gujarat,S06,701984,57.61740841,2019,#ff7f0e,BJP,1218354,57.62
5,Sabarkantha,5,0,7798,0,0,VINODBHAI JETHABHAI MESARIYA,3,Bahujan Samaj Party,1218354,114,5,S06,Gujarat,S06,7912,0.649400749,2019,#22409A,BSP,1218354,0.65
10,Sabarkantha,5,0,2687,0,0,KHARADI DHARMENDRASINGH SAMSUBHAI,4,Bhartiya Tribal Party,1218354,146,10,S06,Gujarat,S06,2833,0.232526835,2019,#363636,BTP,1218354,0.23
16,Sabarkantha,5,0,1897,0,0,JADEJA INDRAVIJAYSINH KALYANSINH,5,Yuva Jan Jagriti Party,1218354,23,16,S06,Gujarat,S06,1920,0.157589666,2019,#363636,VJJP,1218354,0.16
19,Sabarkantha,5,0,1437,0,0,NARESHKUMAR RAMESHBHAI PATEL,6,Bharatiya National Janta Dal,1218354,10,19,S06,Gujarat,S06,1447,0.118766795,2019,#363636,BNJD,1218354,0.12
14,Sabarkantha,5,0,2231,0,0,PATEL JAYANTIBHAI SHAMJIBHAI,7,Hindusthan Nirman Dal,1218354,16,14,S06,Gujarat,S06,2247,0.184429156,2019,#363636,HND,1218354,0.18
21,Sabarkantha,5,0,1268,0,0,MAYURSINH VANRAJSINH ZALA,8,Rashtra Vikas Zumbes Party,1218354,22,21,S06,Gujarat,S06,1290,0.105880557,2019,,,1218354,0.11
20,Sabarkantha,5,0,1320,0,0,LAXMISHANKAR MADHUSUDAN JOSHI,9,Jan Satya Path Party,1218354,15,20,S06,Gujarat,S06,1335,0.109574065,2019,,,1218354,0.11
15,Sabarkantha,5,0,2170,0,0,VIKRAMBHAI BAHECHARBHAI MAKWANA,10,Garvi Gujarat Party,1218354,19,15,S06,Gujarat,S06,2189,0.179668635,2019,#363636,GGP,1218354,0.18
18,Sabarkantha,5,0,1500,0,0,KALABHAI BABABHAI PARMAR,11,Independent,1218354,10,18,S06,Gujarat,S06,1510,0.123937706,2019,#CEB58C,IND,1218354,0.12
17,Sabarkantha,5,0,1877,0,0,ZALA DALPATSINH MOTISINH,12,Independent,1218354,7,17,S06,Gujarat,S06,1884,0.15463486,2019,#CEB58C,IND,1218354,0.15
11,Sabarkantha,5,0,2722,0,0,PATEL KIRITKUMAR BABARBHAI,13,Independent,1218354,5,11,S06,Gujarat,S06,2727,0.223826573,2019,#CEB58C,IND,1218354,0.22
9,Sabarkantha,5,0,4924,0,0,PATEL KESHAVLAL GANGARAMBHAI,14,Independent,1218354,5,9,S06,Gujarat,S06,4929,0.404562221,2019,#CEB58C,IND,1218354,0.4
4,Sabarkantha,5,0,9174,0,0,PATHAN AAIYUBKHAN AJABKHAN,15,Independent,1218354,3,4,S06,Gujarat,S06,9177,0.753229357,2019,#CEB58C,IND,1218354,0.75
3,Sabarkantha,5,0,17154,0,0,RAVAL RAJUBHAI PUNJABHAI,16,Independent,1218354,21,3,S06,Gujarat,S06,17175,1.40968881,2019,#CEB58C,IND,1218354,1.41
6,Sabarkantha,5,0,7747,0,0,LATA BABUBHAI NATHAJI,17,Independent,1218354,30,6,S06,Gujarat,S06,7777,0.638320225,2019,#CEB58C,IND,1218354,0.64
8,Sabarkantha,5,0,5829,0,0,LUHAR HAFIJHUSEN HAJINURMAHMAD,18,Independent,1218354,6,8,S06,Gujarat,S06,5835,0.478924845,2019,#CEB58C,IND,1218354,0.48
12,Sabarkantha,5,0,2659,0,0,SANGHANI MUSTAKBHAI JAMALBHAI,19,Independent,1218354,2,12,S06,Gujarat,S06,2661,0.218409428,2019,#CEB58C,IND,1218354,0.22
13,Sabarkantha,5,0,2410,0,0,SOLANKI MAGANBHAI LAKHABHAI,20,Independent,1218354,12,13,S06,Gujarat,S06,2422,0.198792797,2019,#CEB58C,IND,1218354,0.2
7,Sabarkantha,5,0,6031,0,0,NOTA,21,None of the Above,1218354,72,7,S06,Gujarat,S06,6103,0.500921735,2019,#DDD1CA,NOTA,1218354,0.5
1,Gandhinagar,6,1,889925,0,0,AMIT SHAH,1,Bharatiya Janata Party,1284090,4699,1,S06,Gujarat,S06,894624,69.66988295,2019,#ff7f0e,BJP,1284090,69.67
2,Gandhinagar,6,1,334082,0,0,Dr. C. J. CHAVDA,2,Indian National Congress,1284090,3528,2,S06,Gujarat,S06,337610,26.29177083,2019,#3498DB,INC,1284090,26.29
5,Gandhinagar,6,0,6335,0,0,JAYENDRA KARSHANBHAI RATHOD,3,Bahujan Samaj Party,1284090,65,5,S06,Gujarat,S06,6400,0.498407433,2019,#22409A,BSP,1284090,0.5
13,Gandhinagar,6,0,1434,0,0,CHANDRAPAL HASMUKH BAVJIBHAI,4,Peoples Party of India (Democratic),1284090,4,13,S06,Gujarat,S06,1438,0.11198592,2019,#363636,PPI,1284090,0.11
15,Gandhinagar,6,0,880,0,0,NARENDRABHAI REVASHANKAR TRIVEDI,5,Jan Satya Path Party,1284090,8,15,S06,Gujarat,S06,888,0.069154031,2019,,,1284090,0.07
8,Gandhinagar,6,0,1718,0,0,PATEL AMARISH JASVANTLAL (C. A.),6,Hindusthan Nirman Dal,1284090,23,8,S06,Gujarat,S06,1741,0.135582397,2019,#363636,HND,1284090,0.14
11,Gandhinagar,6,0,1470,0,0,BHOGILAL J. RATHOD (ADVOCATE),7,Bahujan Mukti Party,1284090,20,11,S06,Gujarat,S06,1490,0.11603548,2019,#363636,BMP,1284090,0.12
12,Gandhinagar,6,0,1454,0,0,MAKVANA PRAKASHBHAI BAHECHARJI (HITUBHA),8,Garvi Gujarat Party,1284090,17,12,S06,Gujarat,S06,1471,0.114555833,2019,#363636,GGP,1284090,0.11
14,Gandhinagar,6,0,1089,0,0,RAHUL CHIMANBHAI MEHTA,9,Right to Recall Party,1284090,8,14,S06,Gujarat,S06,1097,0.085430149,2019,#363636,RTRP,1284090,0.09
17,Gandhinagar,6,0,734,0,0,Dr. N. T. SENGAL,10,Bahujan Suraksha Dal,1284090,9,17,S06,Gujarat,S06,743,0.057861988,2019,,,1284090,0.06
18,Gandhinagar,6,0,687,0,0,KHODABHAI LALAJIBHAI DESAI,11,Independent,1284090,8,18,S06,Gujarat,S06,695,0.054123932,2019,#CEB58C,IND,1284090,0.05
16,Gandhinagar,6,0,860,0,0,PATHAN FIROZKHAN SAEEDKHAN,12,Independent,1284090,2,16,S06,Gujarat,S06,862,0.067129251,2019,#CEB58C,IND,1284090,0.07
9,Gandhinagar,6,0,1686,0,0,MAKWANA ANILKUMAR SOMABHAI,13,Independent,1284090,5,9,S06,Gujarat,S06,1691,0.131688589,2019,#CEB58C,IND,1284090,0.13
10,Gandhinagar,6,0,1557,0,0,MAHENDRABHAI SOMABHAI PATNI,14,Independent,1284090,2,10,S06,Gujarat,S06,1559,0.121408936,2019,#CEB58C,IND,1284090,0.12
7,Gandhinagar,6,0,2661,0,0,RATHOD VALJIBHAI BECHARBHAI,15,Independent,1284090,3,7,S06,Gujarat,S06,2664,0.207462094,2019,#CEB58C,IND,1284090,0.21
4,Gandhinagar,6,0,9006,0,0,VORA ALIMAHMAD RAJABHAI,16,Independent,1284090,2,4,S06,Gujarat,S06,9008,0.701508461,2019,#CEB58C,IND,1284090,0.7
6,Gandhinagar,6,0,5891,0,0,SHEKH SHAHINBANU MOLANA MUSTAK,17,Independent,1284090,4,6,S06,Gujarat,S06,5895,0.459079971,2019,#CEB58C,IND,1284090,0.46
3,Gandhinagar,6,0,13984,0,0,NOTA,18,None of the Above,1284090,230,3,S06,Gujarat,S06,14214,1.106931757,2019,#DDD1CA,NOTA,1284090,1.11
2,Ahmedabad East,7,1,312883,0,0,Gitaben Patel,1,Indian National Congress,1116367,2621,2,S06,Gujarat,S06,315504,28.2616738,2019,#3498DB,INC,1116367,28.26
1,Ahmedabad East,7,1,745810,0,0,Patel Hasmukhbhai Somabhai,2,Bharatiya Janata Party,1116367,4024,1,S06,Gujarat,S06,749834,67.16733834,2019,#ff7f0e,BJP,1116367,67.17
3,Ahmedabad East,7,0,8970,0,0,Vaghela Ganeshbhai Narsinhbhai,3,Bahujan Samaj Party,1116367,151,3,S06,Gujarat,S06,9121,0.817025226,2019,#22409A,BSP,1116367,0.82
22,Ahmedabad East,7,0,625,0,0,Kadri Mohammad Sabir,4,Ambedkar National Congress,1116367,3,22,S06,Gujarat,S06,628,0.056253902,2019,#363636,ANC,1116367,0.06
24,Ahmedabad East,7,0,576,0,0,Chauhan Narendrasinh Makhatulsinh,5,Yuva Jan Jagriti Party,1116367,13,24,S06,Gujarat,S06,589,0.052760427,2019,#363636,VJJP,1116367,0.05
19,Ahmedabad East,7,0,699,0,0,Thakur Jitendrasinh Surendrasinh,6,Loktantrik Rashrtavadi Party,1116367,6,19,S06,Gujarat,S06,705,0.063151276,2019,,,1116367,0.06
20,Ahmedabad East,7,0,701,0,0,Bhatt Sunilkumar Narendrabhai,7,Right to Recall Party,1116367,3,20,S06,Gujarat,S06,704,0.063061699,2019,#363636,RTRP,1116367,0.06
23,Ahmedabad East,7,0,602,0,0,Manoj Premchand Gupta,8,Sarvodaya Bharat Party,1116367,2,23,S06,Gujarat,S06,604,0.054104072,2019,#363636,SBP,1116367,0.05
18,Ahmedabad East,7,0,818,0,0,Mishra Arjun Ramshankar,9,Jan Sangharsh Virat Party,1116367,3,18,S06,Gujarat,S06,821,0.073542124,2019,#363636,JSVP,1116367,0.07
21,Ahmedabad East,7,0,625,0,0,Mundra Anilkumar,10,Lok Gathbandhan Party,1116367,10,21,S06,Gujarat,S06,635,0.056880936,2019,#363636,LGP,1116367,0.06
13,Ahmedabad East,7,0,1332,0,0,Rajesh Maurya,11,Prajatantra Aadhar Party,1116367,14,13,S06,Gujarat,S06,1346,0.120569669,2019,,,1116367,0.12
16,Ahmedabad East,7,0,898,0,0,Virat Pradip Shah,12,Jan Satya Path Party,1116367,1,16,S06,Gujarat,S06,899,0.080529073,2019,,,1116367,0.08
10,Ahmedabad East,7,0,1644,0,0,Vekariya Rushi Bharatbhai (Patel),13,Hindusthan Nirman Dal,1116367,5,10,S06,Gujarat,S06,1649,0.147711281,2019,#363636,HND,1116367,0.15
15,Ahmedabad East,7,0,1271,0,0,Samirbhai Rajeshkumar Upadhyay,14,Manvadhikar National Party,1116367,1,15,S06,Gujarat,S06,1272,0.113941025,2019,#363636,MNP,1116367,0.11
8,Ahmedabad East,7,0,2442,0,0,Dr. Hitesh Mahendrabhai,15,Nirbhay Bharteey Party,1116367,7,8,S06,Gujarat,S06,2449,0.219372303,2019,#363636,NBP,1116367,0.22
5,Ahmedabad East,7,0,6081,0,0,Atulbhai Nanubhai Kathiriya,16,Independent,1116367,1,5,S06,Gujarat,S06,6082,0.544802919,2019,#CEB58C,IND,1116367,0.54
6,Ahmedabad East,7,0,3547,0,0,Chauhan Kiritbhai,17,Independent,1116367,1,6,S06,Gujarat,S06,3548,0.317816632,2019,#CEB58C,IND,1116367,0.32
7,Ahmedabad East,7,0,2509,0,0,Jayswal Nareshkumar Babulal (Raju Mataji),18,Independent,1116367,8,7,S06,Gujarat,S06,2517,0.22546349,2019,#CEB58C,IND,1116367,0.23
12,Ahmedabad East,7,0,1392,0,0,Devda Dasharath Misarilal,19,Independent,1116367,3,12,S06,Gujarat,S06,1395,0.124958907,2019,#CEB58C,IND,1116367,0.12
27,Ahmedabad East,7,0,457,0,0,Pareshkumar Nanubhai Mulani,20,Independent,1116367,1,27,S06,Gujarat,S06,458,0.041025935,2019,#CEB58C,IND,1116367,0.04
25,Ahmedabad East,7,0,572,0,0,Bharvad Saileshkumar Kalidas,21,Independent,1116367,1,25,S06,Gujarat,S06,573,0.051327207,2019,#CEB58C,IND,1116367,0.05
9,Ahmedabad East,7,0,1789,0,0,Mahesh Prabhudas Ahuja,22,Independent,1116367,2,9,S06,Gujarat,S06,1791,0.160431113,2019,#CEB58C,IND,1116367,0.16
26,Ahmedabad East,7,0,529,0,0,Mishra Rajkumar Malekchand,23,Independent,1116367,5,26,S06,Gujarat,S06,534,0.047833732,2019,#CEB58C,IND,1116367,0.05
17,Ahmedabad East,7,0,888,0,0,Minaxiben Rakeshkumar Solanki,24,Independent,1116367,10,17,S06,Gujarat,S06,898,0.080439497,2019,#CEB58C,IND,1116367,0.08
14,Ahmedabad East,7,0,1337,0,0,Sharma Brijesh Kumar Ujagarlal,25,Independent,1116367,0,14,S06,Gujarat,S06,1337,0.119763483,2019,#CEB58C,IND,1116367,0.12
11,Ahmedabad East,7,0,1465,0,0,Sheikh Salmabanu Mohammad Salim,26,Independent,1116367,1,11,S06,Gujarat,S06,1466,0.131318823,2019,#CEB58C,IND,1116367,0.13
4,Ahmedabad East,7,0,8834,0,0,NOTA,27,None of the Above,1116367,174,4,S06,Gujarat,S06,9008,0.806903106,2019,#DDD1CA,NOTA,1116367,0.81
1,Ahmedabad West,8,1,638241,0,0,DR. KIRIT P. SOLANKI,1,Bharatiya Janata Party,997024,3381,1,S06,Gujarat,S06,641622,64.35371666,2019,#ff7f0e,BJP,997024,64.35
4,Ahmedabad West,8,0,9909,0,0,TRIBHOVANDAS KARSANDAS VAGHELA,2,Bahujan Samaj Party,997024,119,4,S06,Gujarat,S06,10028,1.005793241,2019,#22409A,BSP,997024,1.01
2,Ahmedabad West,8,1,317797,0,0,RAJU PARMAR,3,Indian National Congress,997024,2279,2,S06,Gujarat,S06,320076,32.10313894,2019,#3498DB,INC,997024,32.1
5,Ahmedabad West,8,0,2059,0,0,CHAUHAN HARISHBHAI JETHABHAI,4,Rashtriya Power Party,997024,4,5,S06,Gujarat,S06,2063,0.206915781,2019,#363636,RPP,997024,0.21
11,Ahmedabad West,8,0,723,0,0,JADAV ULPESH JAYANTILAL,5,Peoples Party of India (Democratic),997024,2,11,S06,Gujarat,S06,725,0.072716404,2019,#363636,PPI,997024,0.07
13,Ahmedabad West,8,0,608,0,0,DIPIKA JITENDRAKUMAR SUTARIA,6,Manvadhikar National Party,997024,7,13,S06,Gujarat,S06,615,0.06168357,2019,#363636,MNP,997024,0.06
7,Ahmedabad West,8,0,1376,0,0,VAGHELA ASHWINBHAI AMRUTBHAI,7,Bhartiya Tribal Party,997024,19,7,S06,Gujarat,S06,1395,0.139916391,2019,#363636,BTP,997024,0.14
9,Ahmedabad West,8,0,1052,0,0,VEDUBHAI KAUTIKBHAI SIRASAT,8,Ambedkarite Party of India,997024,3,9,S06,Gujarat,S06,1055,0.105814905,2019,#363636,API,997024,0.11
14,Ahmedabad West,8,0,522,0,0,SOLANKI CHIRAGBHAI SOMABHAI,9,Jan Satya Path Party,997024,2,14,S06,Gujarat,S06,524,0.052556408,2019,,,997024,0.05
12,Ahmedabad West,8,0,613,0,0,HARSHADKUMAR LAXMANBHAI SOLANKI,10,Right to Recall Party,997024,8,12,S06,Gujarat,S06,621,0.062285361,2019,#363636,RTRP,997024,0.06
10,Ahmedabad West,8,0,808,0,0,BHITORA BHAVESH CHIMANBHAI,11,Independent,997024,2,10,S06,Gujarat,S06,810,0.081241776,2019,#CEB58C,IND,997024,0.08
6,Ahmedabad West,8,0,1416,0,0,MALHOTRA PANKAJKUMAR DAYABHAI (DOCTOR SAHEB),12,Independent,997024,4,6,S06,Gujarat,S06,1420,0.142423853,2019,#CEB58C,IND,997024,0.14
8,Ahmedabad West,8,0,1347,0,0,MAHEDIA MAHENDRABHAI PARSOTTAMDAS,13,Independent,997024,4,8,S06,Gujarat,S06,1351,0.135503258,2019,#CEB58C,IND,997024,0.14
3,Ahmedabad West,8,0,14580,0,0,NOTA,14,None of the Above,997024,139,3,S06,Gujarat,S06,14719,1.476293449,2019,#DDD1CA,NOTA,997024,1.48
2,Surendranagar,9,1,351610,0,0,KOLI PATEL SOMABHAI GANDALAL,1,Indian National Congress,1077726,2797,2,S06,Gujarat,S06,354407,32.88470353,2019,#3498DB,INC,1077726,32.88
6,Surendranagar,9,0,8151,0,0,PARMAR GHOGHAJIBHAI KANJIBHAI,2,Nationalist Congress Party,1077726,113,6,S06,Gujarat,S06,8264,0.766799725,2019,#EAECF0,NCP,1077726,0.77
1,Surendranagar,9,1,626957,0,0,Dr. MUNJAPARA MAHENDRABHAI,3,Bharatiya Janata Party,1077726,4887,1,S06,Gujarat,S06,631844,58.62751757,2019,#ff7f0e,BJP,1077726,58.63
3,Surendranagar,9,0,12662,0,0,ADVOCATE SHAILESH N. SOLANKI,4,Bahujan Samaj Party,1077726,198,3,S06,Gujarat,S06,12860,1.193253202,2019,#22409A,BSP,1077726,1.19
17,Surendranagar,9,0,1453,0,0,THAKOR JAGUJI KUNVARJI URFE J.K. THAKOR,5,Vyavastha Parivartan Party,1077726,22,17,S06,Gujarat,S06,1475,0.136862245,2019,#363636,VPP,1077726,0.14
18,Surendranagar,9,0,1419,0,0,DEKAVADIYA DARJIBHAI MAGANBHAI (PATIDAR),6,Hindusthan Nirman Dal,1077726,14,18,S06,Gujarat,S06,1433,0.132965151,2019,#363636,HND,1077726,0.13
29,Surendranagar,9,0,814,0,0,OGHADBHAI SAGARAMBHAI MER,7,Independent,1077726,3,29,S06,Gujarat,S06,817,0.075807766,2019,#CEB58C,IND,1077726,0.08
28,Surendranagar,9,0,876,0,0,KAMABHAI PETHABHAI MAKWANA,8,Independent,1077726,15,28,S06,Gujarat,S06,891,0.082674075,2019,#CEB58C,IND,1077726,0.08
22,Surendranagar,9,0,1120,0,0,KARIMBHAI ADAMBHAI URFE BABABHAI,9,Independent,1077726,14,22,S06,Gujarat,S06,1134,0.10522155,2019,#CEB58C,IND,1077726,0.11
23,Surendranagar,9,0,1131,0,0,KALUBHAI MALUBHAI VADALIYA,10,Independent,1077726,2,23,S06,Gujarat,S06,1133,0.105128762,2019,#CEB58C,IND,1077726,0.11
8,Surendranagar,9,0,4625,0,0,KOLI PATEL LALJIBHAI CHATURBHAI,11,Independent,1077726,41,8,S06,Gujarat,S06,4666,0.432948634,2019,#CEB58C,IND,1077726,0.43
19,Surendranagar,9,0,1421,0,0,KOLI RAMESHBHAI VIRSANGBHAI VAGHELA,12,Independent,1077726,9,19,S06,Gujarat,S06,1430,0.132686787,2019,#CEB58C,IND,1077726,0.13
14,Surendranagar,9,0,2456,0,0,GOLTAR BHAGVANBHAI MAIYABHAI,13,Independent,1077726,15,14,S06,Gujarat,S06,2471,0.229279056,2019,#CEB58C,IND,1077726,0.23
10,Surendranagar,9,0,3101,0,0,JARGELA HASANBHAI ABDULBHAI,14,Independent,1077726,9,10,S06,Gujarat,S06,3110,0.288570564,2019,#CEB58C,IND,1077726,0.29
11,Surendranagar,9,0,3046,0,0,DANIYA ANIRUDDHBHAI GANDABHAI,15,Independent,1077726,1,11,S06,Gujarat,S06,3047,0.282724923,2019,#CEB58C,IND,1077726,0.28
4,Surendranagar,9,0,11097,0,0,DOST MER,16,Independent,1077726,6,4,S06,Gujarat,S06,11103,1.030224751,2019,#CEB58C,IND,1077726,1.03
7,Surendranagar,9,0,6636,0,0,NARESH MAKWANA,17,Independent,1077726,1,7,S06,Gujarat,S06,6637,0.615833709,2019,#CEB58C,IND,1077726,0.62
15,Surendranagar,9,0,2376,0,0,PATEL BALDEVBHAI JIVABHAI,18,Independent,1077726,1,15,S06,Gujarat,S06,2377,0.220556988,2019,#CEB58C,IND,1077726,0.22
12,Surendranagar,9,0,2887,0,0,BHATHANIYA FARIDBHAI AMIJIBHAI,19,Independent,1077726,0,12,S06,Gujarat,S06,2887,0.267878849,2019,#CEB58C,IND,1077726,0.27
9,Surendranagar,9,0,3814,0,0,BHAVANBHAI DEVJIBHAI VORA,20,Independent,1077726,2,9,S06,Gujarat,S06,3816,0.354078866,2019,#CEB58C,IND,1077726,0.35
26,Surendranagar,9,0,971,0,0,BHANJIBHAI SHEKHAVA,21,Independent,1077726,11,26,S06,Gujarat,S06,982,0.091117779,2019,#CEB58C,IND,1077726,0.09
20,Surendranagar,9,0,1329,0,0,BHUPATBHAI LALJIBHAI SOLANKI,22,Independent,1077726,21,20,S06,Gujarat,S06,1350,0.12526375,2019,#CEB58C,IND,1077726,0.13
30,Surendranagar,9,0,743,0,0,MAKWANA DALPATBHAI LAGHARBHAI,23,Independent,1077726,3,30,S06,Gujarat,S06,746,0.06921982,2019,#CEB58C,IND,1077726,0.07
24,Surendranagar,9,0,1058,0,0,RATHOD ASHOKBHAI VITTHALBHAI,24,Independent,1077726,3,24,S06,Gujarat,S06,1061,0.098448029,2019,#CEB58C,IND,1077726,0.1
27,Surendranagar,9,0,897,0,0,RATHOD ANANDBHAI PACHANBHAI,25,Independent,1077726,4,27,S06,Gujarat,S06,901,0.083601954,2019,#CEB58C,IND,1077726,0.08
32,Surendranagar,9,0,633,0,0,VAGHELA DAHYABHAI KHENGARBHAI,26,Independent,1077726,2,32,S06,Gujarat,S06,635,0.058920356,2019,#CEB58C,IND,1077726,0.06
31,Surendranagar,9,0,694,0,0,VAGHELA PRAKASHBHAI BACHUBHAI,27,Independent,1077726,3,31,S06,Gujarat,S06,697,0.06467321,2019,#CEB58C,IND,1077726,0.06
25,Surendranagar,9,0,993,0,0,SARDARKHAN MALEK,28,Independent,1077726,0,25,S06,Gujarat,S06,993,0.092138447,2019,#CEB58C,IND,1077726,0.09
21,Surendranagar,9,0,1153,0,0,SALIMBHAI SHAHBUDINBHAI PATHAN,29,Independent,1077726,0,21,S06,Gujarat,S06,1153,0.106984521,2019,#CEB58C,IND,1077726,0.11
13,Surendranagar,9,0,2615,0,0,SAPRA VIPUL R.,30,Independent,1077726,0,13,S06,Gujarat,S06,2615,0.242640523,2019,#CEB58C,IND,1077726,0.24
16,Surendranagar,9,0,2003,0,0,HANIFBHAI KAYABHAI KATIYA,31,Independent,1077726,1,16,S06,Gujarat,S06,2004,0.185947077,2019,#CEB58C,IND,1077726,0.19
5,Surendranagar,9,0,8510,0,0,NOTA,32,None of the Above,1077726,277,5,S06,Gujarat,S06,8787,0.815327829,2019,#DDD1CA,NOTA,1077726,0.82
2,Rajkot,10,1,388405,0,0,KAGATHARA LALITBHAI,1,Indian National Congress,1195271,1833,2,S06,Gujarat,S06,390238,32.64849561,2019,#3498DB,INC,1195271,32.65
1,Rajkot,10,1,755296,0,0,KUNDARIA MOHANBHAI KALYANJIBHAI,2,Bharatiya Janata Party,1195271,3349,1,S06,Gujarat,S06,758645,63.4705435,2019,#ff7f0e,BJP,1195271,63.47
4,Rajkot,10,0,15288,0,0,VIJAY PARMAR,3,Bahujan Samaj Party,1195271,100,4,S06,Gujarat,S06,15388,1.287406789,2019,#22409A,BSP,1195271,1.29
8,Rajkot,10,0,1383,0,0,AMARDAS B. DESANI,4,Independent,1195271,9,8,S06,Gujarat,S06,1392,0.116458945,2019,#CEB58C,IND,1195271,0.12
9,Rajkot,10,0,1164,0,0,CHITRODA NATHALAL (CHITRODA SIR),5,Independent,1195271,5,9,S06,Gujarat,S06,1169,0.097802088,2019,#CEB58C,IND,1195271,0.1
11,Rajkot,10,0,968,0,0,J. B. CHAUHAN,6,Independent,1195271,2,11,S06,Gujarat,S06,970,0.081153144,2019,#CEB58C,IND,1195271,0.08
10,Rajkot,10,0,1140,0,0,CHAUHAN MANOJBHAI PRAVINBHAI,7,Independent,1195271,6,10,S06,Gujarat,S06,1146,0.095877839,2019,#CEB58C,IND,1195271,0.1
7,Rajkot,10,0,1587,0,0,JASPALSINH MAHAVEERSINH TOMAR,8,Independent,1195271,9,7,S06,Gujarat,S06,1596,0.133526205,2019,#CEB58C,IND,1195271,0.13
6,Rajkot,10,0,2164,0,0,DENGADA PRAVINBHAI MEGHJIBHAI,9,Independent,1195271,2,6,S06,Gujarat,S06,2166,0.181214135,2019,#CEB58C,IND,1195271,0.18
5,Rajkot,10,0,4237,0,0,RAKESH PATEL,10,Independent,1195271,6,5,S06,Gujarat,S06,4243,0.354982259,2019,#CEB58C,IND,1195271,0.35
3,Rajkot,10,0,18080,0,0,NOTA,11,None of the Above,1195271,238,3,S06,Gujarat,S06,18318,1.532539483,2019,#DDD1CA,NOTA,1195271,1.53
1,Porbandar,11,1,560011,0,0,RAMESHBHAI LAVJIBHAI DHADUK,1,Bharatiya Janata Party,949947,3870,1,S06,Gujarat,S06,563881,59.35920636,2019,#ff7f0e,BJP,949947,59.36
2,Porbandar,11,1,331883,0,0,LALIT VASOYA,2,Indian National Congress,949947,2175,2,S06,Gujarat,S06,334058,35.16596189,2019,#3498DB,INC,949947,35.17
3,Porbandar,11,0,9874,0,0,SAMATBHAI GOVABHAI KADAVALA,3,Bahujan Samaj Party,949947,218,3,S06,Gujarat,S06,10092,1.062375059,2019,#22409A,BSP,949947,1.06
10,Porbandar,11,0,1514,0,0,BHARGAV SURESHCHANDRA JOSHI,4,Gujarat Janta Panchayat Party,949947,10,10,S06,Gujarat,S06,1524,0.160430003,2019,,,949947,0.16
15,Porbandar,11,0,707,0,0,VAKIL VINZUDA RANJITBHAI NARANBHAI,5,Bahujan Maha Party,949947,6,15,S06,Gujarat,S06,713,0.075056819,2019,#363636,BMP,949947,0.08
17,Porbandar,11,0,645,0,0,ALPESHKUMAR V.VADOLIYA(1008),6,Independent,949947,3,17,S06,Gujarat,S06,648,0.068214332,2019,#CEB58C,IND,949947,0.07
14,Porbandar,11,0,742,0,0,ATROLIYA KARABHAI GAGANBHAI,7,Independent,949947,38,14,S06,Gujarat,S06,780,0.082109844,2019,#CEB58C,IND,949947,0.08
18,Porbandar,11,0,604,0,0,UNADKAT PRAKASHBHAI VALLABHDAS,8,Independent,949947,1,18,S06,Gujarat,S06,605,0.063687764,2019,#CEB58C,IND,949947,0.06
16,Porbandar,11,0,683,0,0,KIRTIKUMAR BAVANJIBHAI MARVANIA,9,Independent,949947,2,16,S06,Gujarat,S06,685,0.072109286,2019,#CEB58C,IND,949947,0.07
13,Porbandar,11,0,792,0,0,BHANUBHAI NAGABHAI ODEDRA,10,Independent,949947,23,13,S06,Gujarat,S06,815,0.08579426,2019,#CEB58C,IND,949947,0.09
7,Porbandar,11,0,3867,0,0,RABARI DASABHAI KARABHAI,11,Independent,949947,62,7,S06,Gujarat,S06,3929,0.413602022,2019,#CEB58C,IND,949947,0.41
11,Porbandar,11,0,1345,0,0,RATHOD DAYABHAI HIRABHAI,12,Independent,949947,5,11,S06,Gujarat,S06,1350,0.142113192,2019,#CEB58C,IND,949947,0.14
12,Porbandar,11,0,1216,0,0,RANK JIGNESHBHAI GOVINDBHAI,13,Independent,949947,2,12,S06,Gujarat,S06,1218,0.12821768,2019,#CEB58C,IND,949947,0.13
9,Porbandar,11,0,1979,0,0,RIYAZ OSMAN SURIYA ALIAS LALO MURGHIVALA,14,Independent,949947,4,9,S06,Gujarat,S06,1983,0.208748488,2019,#CEB58C,IND,949947,0.21
8,Porbandar,11,0,3704,0,0,RESHMA PATEL,15,Independent,949947,12,8,S06,Gujarat,S06,3716,0.391179718,2019,#CEB58C,IND,949947,0.39
4,Porbandar,11,0,8652,0,0,VIMALBHAI RATILAL RAMANI,16,Independent,949947,1,4,S06,Gujarat,S06,8653,0.910892923,2019,#CEB58C,IND,949947,0.91
