PARTY,YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color
DMK,1974,Reddiapalayam,Pondicherry,20,3,GEN,"PERUMAL RAJA, G.",M,,,1365,7586,#c0392b
DMK,1974,Lawspet,Pondicherry,21,1,GEN,"FAROOK, M. O. H.",M,,,3461,8827,#c0392b
ADMK,1974,Lawspet,Pondicherry,21,2,GEN,"VARAZHAU, N.",M,,,3275,8827,#b2d33c
NCO,1974,Lawspet,Pondicherry,21,3,GEN,"ANNAMALAI, D.",M,,,2091,8827,#1F77B4
ADMK,1974,Cotchery,Pondicherry,22,1,GEN,T. SUBBAIYA,M,,,3660,7949,#b2d33c
NCO,1974,Cotchery,Pondicherry,22,2,GEN,S. M. JAMBULINGAM,M,,,2446,7949,#1F77B4
DMK,1974,Cotchery,Pondicherry,22,3,GEN,R. THIRUMENY,M,,,1843,7949,#c0392b
ADMK,1974,Karaikal,Pondicherry,23,1,GEN,K. KANDHI.,M,,,3964,9611,#b2d33c
INC,1974,Karaikal,Pondicherry,23,2,GEN,P. SHANMUGAM,M,,,3666,9611,#2ecc71
DMK,1974,Karaikal,Pondicherry,23,3,GEN,S. S. MANI,M,,,1981,9611,#c0392b
ADMK,1974,Karaikal South,Pondicherry,24,1,GEN,S. RAMASAMY,M,,,3296,7043,#b2d33c
NCO,1974,Karaikal South,Pondicherry,24,2,GEN,S. SAVARIRAJAN,M,,,1857,7043,#1F77B4
IND,1974,Karaikal South,Pondicherry,24,3,GEN,A. M. KALIAPPAN,M,,,1814,7043,#bdc3c7
IND,1974,Karaikal South,Pondicherry,24,4,GEN,G. ROTHINAVEI,M,,,76,7043,#bdc3c7
ADMK,1974,Neravy Grand Aldee,Pondicherry,25,1,GEN,V. M. C. VARADAPILLAI,M,,,5313,8871,#b2d33c
DMK,1974,Neravy Grand Aldee,Pondicherry,25,2,GEN,V. M. C. SIVASHANMUGANATHAN,M,,,2992,8871,#c0392b
INC,1974,Neravy Grand Aldee,Pondicherry,25,3,GEN,A. ABDULJABBAR,M,,,522,8871,#2ecc71
IND,1974,Neravy Grand Aldee,Pondicherry,25,4,GEN,G. RETHINAVEL,M,,,44,8871,#bdc3c7
DMK,1974,Tirunallar,Pondicherry,26,1,GEN,A. SOUNDARARENGAN,M,,,3742,7589,#c0392b
NCO,1974,Tirunallar,Pondicherry,26,2,GEN,S. ARANGASAMY,M,,,2711,7589,#1F77B4
ADMK,1974,Tirunallar,Pondicherry,26,3,GEN,S. M. A. MOHAMED ARIF,M,,,1136,7589,#b2d33c
INC,1974,Neduncadu,Pondicherry,27,1,SC,R. COUPOUSAMY,M,,,2934,7125,#2ecc71
ADMK,1974,Neduncadu,Pondicherry,27,2,SC,P. SELVARAJ,M,,,2225,7125,#b2d33c
DMK,1974,Neduncadu,Pondicherry,27,3,SC,N. RASANGAM,M,,,1891,7125,#c0392b
CPM,1974,Neduncadu,Pondicherry,27,4,SC,M. KALIAPERUMAL,M,,,75,7125,#ff5757
CPM,1974,Mahe,Pondicherry,28,1,GEN,KUNNUMMAL RAGHAVAN,M,,,1816,5498,#ff5757
IND,1974,Mahe,Pondicherry,28,2,GEN,IRAYE KUNNATHITATHIL KUMARAN,M,,,1528,5498,#bdc3c7
INC,1974,Mahe,Pondicherry,28,3,GEN,CANDOTTE ERRAMBALLY BHARATHAN,M,,,1268,5498,#2ecc71
IND,1974,Mahe,Pondicherry,28,4,GEN,NALUPURAYIL VELANDI CHAKRAPANI,M,,,824,5498,#bdc3c7
IND,1974,Mahe,Pondicherry,28,5,GEN,POOTHATA NARAYANAN,M,,,62,5498,#bdc3c7
INC,1974,Paloor,Pondicherry,29,1,GEN,VANMERI NATAYI PURUSHOTHAMAN,M,,,1980,4781,#2ecc71
IND,1974,Paloor,Pondicherry,29,2,GEN,MOTTAMAL POCKU,M,,,1081,4781,#bdc3c7
IND,1974,Paloor,Pondicherry,29,3,GEN,THREPRAVEETIL NATAYI KARAYI SACHINDRANATH,M,,,1076,4781,#bdc3c7
IND,1974,Paloor,Pondicherry,29,4,GEN,VALAPPKATH CHERYATH P. UMMERCUTTY HAJI,M,,,644,4781,#bdc3c7
IND,1974,Yanam,Pondicherry,30,1,GEN,KAMICHETTY SRIPARASSOURAMA VARAPRASSADARAO,M,,,2284,4331,#bdc3c7
INC,1974,Yanam,Pondicherry,30,2,GEN,NAIDOU MADDIMSETTY SATYAMURTY,M,,,1986,4331,#2ecc71
ADMK,1974,Yanam,Pondicherry,30,3,GEN,C. S. JAYALAKSHMI,F,,,61,4331,#b2d33c
ADMK,1977,Muthialpet,Pondicherry,1,1,GEN,G. PALANI RAJA,M,,,4170,9769,#b2d33c
JNP,1977,Muthialpet,Pondicherry,1,2,GEN,M. VELAYUDHAM,M,,,2713,9769,#9A9E56
DMK,1977,Muthialpet,Pondicherry,1,3,GEN,K. MURUGAIAN,M,,,1319,9769,#c0392b
INC,1977,Muthialpet,Pondicherry,1,4,GEN,A. BALASUBRAMANIAN,M,,,1295,9769,#2ecc71
IND,1977,Muthialpet,Pondicherry,1,5,GEN,G. BHUVANENDIRAN,M,,,203,9769,#bdc3c7
IND,1977,Muthialpet,Pondicherry,1,6,GEN,M. VELAYUDHAM CHETTIAR,M,,,69,9769,#bdc3c7
JNP,1977,Cassicade,Pondicherry,2,1,GEN,ANSARI DURAISAMY,M,,,3551,7553,#9A9E56
ADMK,1977,Cassicade,Pondicherry,2,2,GEN,ARUMUGHOM N.,M,,,2661,7553,#b2d33c
INC,1977,Cassicade,Pondicherry,2,3,GEN,PONNURANGAM S.,M,,,1341,7553,#2ecc71
JNP,1977,Raj Bhavan,Pondicherry,3,1,GEN,RAMAJAYAM D.,M,,,1411,3996,#9A9E56
INC,1977,Raj Bhavan,Pondicherry,3,2,GEN,DANA KANTHRAJ,M,,,1397,3996,#2ecc71
ADMK,1977,Raj Bhavan,Pondicherry,3,3,GEN,SADAGOPAN S.,M,,,870,3996,#b2d33c
DMK,1977,Raj Bhavan,Pondicherry,3,4,GEN,DURAI SUBRAMANIAN,M,,,318,3996,#c0392b
ADMK,1977,Bussy,Pondicherry,4,1,GEN,SUSAIRAJ S.,M,,,1289,4044,#b2d33c
INC,1977,Bussy,Pondicherry,4,2,GEN,ACHRAFF C. M.,M,,,1162,4044,#2ecc71
JNP,1977,Bussy,Pondicherry,4,3,GEN,MASTHAN N.,M,,,1033,4044,#9A9E56
DMK,1977,Bussy,Pondicherry,4,4,GEN,NARAYANAN J.,M,,,546,4044,#c0392b
IND,1977,Bussy,Pondicherry,4,5,GEN,ANGAPPA PILLAI T.,M,,,14,4044,#bdc3c7
ADMK,1977,Oupalam,Pondicherry,5,1,GEN,C. N. PATHASARATHY,M,,,2551,6953,#b2d33c
JNP,1977,Oupalam,Pondicherry,5,2,GEN,MUNISAMY D.,M,,,2304,6953,#9A9E56
DMK,1977,Oupalam,Pondicherry,5,3,GEN,SITHA VEDANAYAGAM,M,,,1195,6953,#c0392b
CPI,1977,Oupalam,Pondicherry,5,4,GEN,MANJINI M.,M,,,864,6953,#ff5757
IND,1977,Oupalam,Pondicherry,5,5,GEN,KOTHANDAPANI BASKRAN G.,M,,,39,6953,#bdc3c7
ADMK,1977,Orleampeth,Pondicherry,6,1,GEN,N. MANIMARAM MARIMUTHU,M,,,3779,8484,#b2d33c
JNP,1977,Orleampeth,Pondicherry,6,2,GEN,S. RAMALINGAM,M,,,1800,8484,#9A9E56
DMK,1977,Orleampeth,Pondicherry,6,3,GEN,D. BAVANI,F,,,1206,8484,#c0392b
CPI,1977,Orleampeth,Pondicherry,6,4,GEN,N. RANGANATHAN,M,,,1176,8484,#ff5757
IND,1977,Orleampeth,Pondicherry,6,5,GEN,K. MUTHU,M,,,523,8484,#bdc3c7
JNP,1977,Nellithope,Pondicherry,7,1,GEN,R. KANNAN,M,,,2757,7217,#9A9E56
ADMK,1977,Nellithope,Pondicherry,7,2,GEN,P. VENGATESAN,M,,,2137,7217,#b2d33c
CPI,1977,Nellithope,Pondicherry,7,3,GEN,SARASWATHY SUBBAYYA,F,,,1423,7217,#ff5757
DMK,1977,Nellithope,Pondicherry,7,4,GEN,D. ARIRAMAN,M,,,900,7217,#c0392b
INC,1977,Modeliarpeth,Pondicherry,8,1,GEN,V. SABABADY KOTHANDRAMAN,M,,,3947,9470,#2ecc71
ADMK,1977,Modeliarpeth,Pondicherry,8,2,GEN,A. RADHARISHANAN,M,,,2243,9470,#b2d33c
JNP,1977,Modeliarpeth,Pondicherry,8,3,GEN,JEYASELAN PADMANABHAN,M,,,1893,9470,#9A9E56
DMK,1977,Modeliarpeth,Pondicherry,8,4,GEN,S. MUTHU,M,,,1387,9470,#c0392b
DMK,1977,Ariankuppam,Pondicherry,9,1,GEN,P. SUBBARAYAN,M,,,3345,9595,#c0392b
INC,1977,Ariankuppam,Pondicherry,9,2,GEN,G. DHARMALINGAM,M,,,2583,9595,#2ecc71
ADMK,1977,Ariankuppam,Pondicherry,9,3,GEN,M. PANDURANGAN RAMA KRISHNAN,M,,,2536,9595,#b2d33c
JNP,1977,Ariankuppam,Pondicherry,9,4,GEN,A. BAKTHAVACHALAM,M,,,1048,9595,#9A9E56
IND,1977,Ariankuppam,Pondicherry,9,5,GEN,S. RASENDIRAN,M,,,83,9595,#bdc3c7
ADMK,1977,Embalom,Pondicherry,10,1,SC,SIVALOGANATHAN K.,M,,,2442,6682,#b2d33c
INC,1977,Embalom,Pondicherry,10,2,SC,MURUGESAN G.,M,,,2200,6682,#2ecc71
DMK,1977,Embalom,Pondicherry,10,3,SC,THANGARASU G.,M,,,1093,6682,#c0392b
JNP,1977,Embalom,Pondicherry,10,4,SC,AYYANAR N. K.,M,,,947,6682,#9A9E56
INC,1977,Nettapakkam,Pondicherry,11,1,GEN,SRVAPRAKASAM S.,M,,,3122,7481,#2ecc71
JNP,1977,Nettapakkam,Pondicherry,11,2,GEN,SUBBARAYA GOUNDAR R.,M,,,2915,7481,#9A9E56
ADMK,1977,Nettapakkam,Pondicherry,11,3,GEN,VEERAPPAN M. R.,M,,,1378,7481,#b2d33c
DMK,1977,Nettapakkam,Pondicherry,11,4,GEN,RAMABADRA REDDIAR D.,M,,,66,7481,#c0392b
ADMK,1977,Kuruvinatham,Pondicherry,12,1,GEN,N. VENGADASAMY,M,,,3359,8424,#b2d33c
JNP,1977,Kuruvinatham,Pondicherry,12,2,GEN,K. R. SUBRAMANI PADAYACHI,M,,,2939,8424,#9A9E56
INC,1977,Kuruvinatham,Pondicherry,12,3,GEN,S. JEGADEESAN,M,,,1262,8424,#2ecc71
DMK,1977,Kuruvinatham,Pondicherry,12,4,GEN,V. DHAMODARAN,M,,,864,8424,#c0392b
JNP,1977,Bahour,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,3399,7461,#9A9E56
ADMK,1977,Bahour,Pondicherry,13,2,SC,A. THULUKKANAM,M,,,2346,7461,#b2d33c
CPI,1977,Bahour,Pondicherry,13,3,SC,R. THANGAVELU CLEMANSO,M,,,1507,7461,#ff5757
DMK,1977,Bahour,Pondicherry,13,4,SC,P. ARIAKRISHNAN,M,,,209,7461,#c0392b
ADMK,1977,Thirubuvanai,Pondicherry,14,1,SC,MANIYAM M.,M,,,3226,7263,#b2d33c
JNP,1977,Thirubuvanai,Pondicherry,14,2,SC,PICHAIKARAN G.,M,,,1413,7263,#9A9E56
INC,1977,Thirubuvanai,Pondicherry,14,3,SC,MUNIAN K.,M,,,1065,7263,#2ecc71
DMK,1977,Thirubuvanai,Pondicherry,14,4,SC,KALVARAYAN M.,M,,,1035,7263,#c0392b
IND,1977,Thirubuvanai,Pondicherry,14,5,SC,MURUGESAN A.,M,,,524,7263,#bdc3c7
ADMK,1977,Mannadipeth,Pondicherry,15,1,GEN,RAMACHANDRAN D.,M,,,3824,8588,#b2d33c
JNP,1977,Mannadipeth,Pondicherry,15,2,GEN,RAJARAM REDDIAR N.,M,,,2096,8588,#9A9E56
INC,1977,Mannadipeth,Pondicherry,15,3,GEN,RAJARAM P.,M,,,2074,8588,#2ecc71
DMK,1977,Mannadipeth,Pondicherry,15,4,GEN,SELVARASU S.,M,,,594,8588,#c0392b
ADMK,1977,Ossudu,Pondicherry,16,1,SC,THANGAVELU M.,M,,,2902,6916,#b2d33c
INC,1977,Ossudu,Pondicherry,16,2,SC,NAGARATHINAM V.,M,,,1640,6916,#2ecc71
JNP,1977,Ossudu,Pondicherry,16,3,SC,SIVAPARAKASAM R.,M,,,1451,6916,#9A9E56
DMK,1977,Ossudu,Pondicherry,16,4,SC,VEERAMMAL VANAMAYIL M.,F,,,809,6916,#c0392b
IND,1977,Ossudu,Pondicherry,16,5,SC,RAJALASHUMI P.,F,,,62,6916,#bdc3c7
IND,1977,Ossudu,Pondicherry,16,6,SC,ARIKRISHNAN N.,M,,,52,6916,#bdc3c7
ADMK,1977,Villenour,Pondicherry,17,1,GEN,PAZHANINATHAN S.,M,,,2891,8259,#b2d33c
JNP,1977,Villenour,Pondicherry,17,2,GEN,VARADARASSU P.,M,,,2728,8259,#9A9E56
DMK,1977,Villenour,Pondicherry,17,3,GEN,SHANMUGAM M. A.,M,,,1701,8259,#c0392b
INC,1977,Villenour,Pondicherry,17,4,GEN,DEVADASS N.,M,,,939,8259,#2ecc71
DMK,1977,Ozhukarai,Pondicherry,18,1,GEN,G. PERUMAL RAJA,M,,,2477,7820,#c0392b
ADMK,1977,Ozhukarai,Pondicherry,18,2,GEN,G. VENUGOPAL,M,,,2216,7820,#b2d33c
CPI,1977,Ozhukarai,Pondicherry,18,3,GEN,N. GURUSAMY,M,,,1685,7820,#ff5757
JNP,1977,Ozhukarai,Pondicherry,18,4,GEN,P. DEVARAJ B. D. S.,M,,,1442,7820,#9A9E56
JNP,1977,Thattanchavady,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,4669,8573,#9A9E56
CPI,1977,Thattanchavady,Pondicherry,19,2,GEN,V. NARAYANASAMY,M,,,2005,8573,#ff5757
ADMK,1977,Thattanchavady,Pondicherry,19,3,GEN,N. JAYARAMAN,M,,,1355,8573,#b2d33c
DMK,1977,Thattanchavady,Pondicherry,19,4,GEN,M. C. THANAGAVELAN,M,,,402,8573,#c0392b
IND,1977,Thattanchavady,Pondicherry,19,5,GEN,K. S. KULLAYAPPA,M,,,142,8573,#bdc3c7
CPI,1977,Reddiarpalayam,Pondicherry,20,1,GEN,V. SUBBIAH,M,,,2775,7851,#ff5757
JNP,1977,Reddiarpalayam,Pondicherry,20,2,GEN,R. VENKATACHALA KOUNDAR,M,,,2688,7851,#9A9E56
ADMK,1977,Reddiarpalayam,Pondicherry,20,3,GEN,P.K. LOGNATHAN VELU,M,,,1977,7851,#b2d33c
DMK,1977,Reddiarpalayam,Pondicherry,20,4,GEN,C.S. JAYALATCHUMI,F,,,343,7851,#c0392b
IND,1977,Reddiarpalayam,Pondicherry,20,5,GEN,G. MANIVANNAN,M,,,68,7851,#bdc3c7
ADMK,1977,Lawspet,Pondicherry,21,1,GEN,N. VARADHAN,M,,,4477,9380,#b2d33c
INC,1977,Lawspet,Pondicherry,21,2,GEN,M.K. JEEVARATHINA ODAYAR,M,,,2530,9380,#2ecc71
JNP,1977,Lawspet,Pondicherry,21,3,GEN,S. RAMALINGAM,M,,,1638,9380,#9A9E56
DMK,1977,Lawspet,Pondicherry,21,4,GEN,P. DEIVANAYAGAM,M,,,735,9380,#c0392b
ADMK,1977,Cotchery,Pondicherry,22,1,GEN,T. SUBBIAH,M,,,3041,8037,#b2d33c
IND,1977,Cotchery,Pondicherry,22,2,GEN,G. PANJAVARNAM,M,,,1674,8037,#bdc3c7
JNP,1977,Cotchery,Pondicherry,22,3,GEN,E. RETHINACADIVELU,M,,,1167,8037,#9A9E56
DMK,1977,Cotchery,Pondicherry,22,4,GEN,R. NALAMAGARAJAN,M,,,1126,8037,#c0392b
CPI,1977,Cotchery,Pondicherry,22,5,GEN,N.G. RAJAN,M,,,1029,8037,#ff5757
IND,1977,Karaikal,Pondicherry,23,1,GEN,K. KANDHI,M,,,3995,9326,#bdc3c7
JNP,1977,Karaikal,Pondicherry,23,2,GEN,S. AMEERUDEEN,M,,,2040,9326,#9A9E56
DMK,1977,Karaikal,Pondicherry,23,3,GEN,R. RAJAYYAN,M,,,1418,9326,#c0392b
ADMK,1977,Karaikal,Pondicherry,23,4,GEN,M.Y. MOHAMED ALI MARRAICAR,M,,,1228,9326,#b2d33c
INC,1977,Karaikal,Pondicherry,23,5,GEN,M. GOVINDARASU,M,,,645,9326,#2ecc71
ADMK,1977,Karaikal South,Pondicherry,24,1,GEN,S. RAMASSAMY,M,,,3424,7230,#b2d33c
JNP,1977,Karaikal South,Pondicherry,24,2,GEN,S. SAVARIRAJAN,M,,,2698,7230,#9A9E56
DMK,1977,Karaikal South,Pondicherry,24,3,GEN,N. RAMASAMY,M,,,570,7230,#c0392b
INC,1977,Karaikal South,Pondicherry,24,4,GEN,A. MARIAKULANDAI,M,,,335,7230,#2ecc71
IND,1977,Karaikal South,Pondicherry,24,5,GEN,G. RETHINAVEL,M,,,203,7230,#bdc3c7
JNP,1977,Neravy-Grand Aldee,Pondicherry,25,1,GEN,V.M.C. VARADHAPILLAI,M,,,3314,9028,#9A9E56
DMK,1977,Neravy-Grand Aldee,Pondicherry,25,2,GEN,V.M.C. SRIVAKUMAR,M,,,3134,9028,#c0392b
ADMK,1977,Neravy-Grand Aldee,Pondicherry,25,3,GEN,T.K.S.M. SOMA-SUNDARAM,M,,,2386,9028,#b2d33c
INC,1977,Neravy-Grand Aldee,Pondicherry,25,4,GEN,G. JAYABALAN,M,,,194,9028,#2ecc71
DMK,1977,Tirunallar,Pondicherry,26,1,GEN,N.V. RAMALINGAM,M,,,2654,7793,#c0392b
ADMK,1977,Tirunallar,Pondicherry,26,2,GEN,A. SOUNDARANGAN,M,,,2376,7793,#b2d33c
INC,1977,Tirunallar,Pondicherry,26,3,GEN,P. SHANMUGAM,M,,,1811,7793,#2ecc71
JNP,1977,Tirunallar,Pondicherry,26,4,GEN,S. ARAGASAMY,M,,,952,7793,#9A9E56
ADMK,1977,Neduncadu,Pondicherry,27,1,SC,P. SELVARAJ,M,,,2789,7124,#b2d33c
INC,1977,Neduncadu,Pondicherry,27,2,SC,R. KUPPUSAMY,M,,,2688,7124,#2ecc71
DMK,1977,Neduncadu,Pondicherry,27,3,SC,M. PACKIRISAMY,M,,,995,7124,#c0392b
JNP,1977,Neduncadu,Pondicherry,27,4,SC,A. MUNISAMY,M,,,652,7124,#9A9E56
IND,1977,Mahe,Pondicherry,28,1,GEN,RAGHAVAN K.V.,M,,,2847,5860,#bdc3c7
INC,1977,Mahe,Pondicherry,28,2,GEN,RAMAN P.K.,M,,,2835,5860,#2ecc71
IND,1977,Mahe,Pondicherry,28,3,GEN,MURALEEDHARAN P.K.,M,,,178,5860,#bdc3c7
IND,1977,Palloor,Pondicherry,29,1,GEN,CHANDRASEKRAN T.K.,M,,,2853,5263,#bdc3c7
INC,1977,Palloor,Pondicherry,29,2,GEN,PURUSHOTHAMAN VANMERI NADAYE,M,,,2297,5263,#2ecc71
IND,1977,Palloor,Pondicherry,29,3,GEN,GOVINDAN NAMBIAR K.K.,M,,,109,5263,#bdc3c7
IND,1977,Palloor,Pondicherry,29,4,GEN,RAJAN MANGAT,M,,,4,5263,#bdc3c7
JNP,1977,Yanam,Pondicherry,30,1,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,2047,4258,#9A9E56
INC,1977,Yanam,Pondicherry,30,2,GEN,ABDUL KHADAR JEELANI MOHAMMED,M,,,1981,4258,#2ecc71
IND,1977,Yanam,Pondicherry,30,3,GEN,SATYAMURTY,M,,,230,4258,#bdc3c7
DMK,1980,Muthialpet,Pondicherry,1,1,GEN,G. PALANIRAJA,M,,,7396,11609,#c0392b
ADMK,1980,Muthialpet,Pondicherry,1,2,GEN,A. V. VAITHILINGAM,M,,,3456,11609,#b2d33c
IND,1980,Muthialpet,Pondicherry,1,3,GEN,K. MURUGAIYAN,M,,,605,11609,#bdc3c7
INC(U),1980,Muthialpet,Pondicherry,1,4,GEN,ADRIEN,M,,,152,11609,#222
INC,1980,Cassicade,Pondicherry,2,1,GEN,V. KATHIRVELU,M,,,3948,7647,#2ecc71
JNP,1980,Cassicade,Pondicherry,2,2,GEN,ANSARI P. DURAISAMY,M,,,1716,7647,#9A9E56
INC(U),1980,Cassicade,Pondicherry,2,3,GEN,S. SUGUMARAN,M,,,849,7647,#222
IND,1980,Cassicade,Pondicherry,2,4,GEN,S. KRISHNARAJ,M,,,531,7647,#bdc3c7
IND,1980,Cassicade,Pondicherry,2,5,GEN,MUNISAMY (DURAI),M,,,273,7647,#bdc3c7
IND,1980,Cassicade,Pondicherry,2,6,GEN,L. RAMALINGAM,M,,,112,7647,#bdc3c7
IND,1980,Cassicade,Pondicherry,2,7,GEN,U. MAHABAL KUMAR,M,,,107,7647,#bdc3c7
IND,1980,Cassicade,Pondicherry,2,8,GEN,D. EXPO RAMANATHAN,M,,,47,7647,#bdc3c7
IND,1980,Cassicade,Pondicherry,2,9,GEN,N. RAMU ALIAS SUBRAMANIAN,M,,,34,7647,#bdc3c7
IND,1980,Cassicade,Pondicherry,2,10,GEN,N. KANTHALAN,M,,,30,7647,#bdc3c7
DMK,1980,Raj Bhavan,Pondicherry,3,1,GEN,L. JOSEPH MARIADASS,M,,,1880,4094,#c0392b
CPI,1980,Raj Bhavan,Pondicherry,3,2,GEN,V. SUBBIAH,M,,,1082,4094,#ff5757
JNP,1980,Raj Bhavan,Pondicherry,3,3,GEN,M. K. JEEVARATHINA ODAYAR,M,,,510,4094,#9A9E56
IND,1980,Raj Bhavan,Pondicherry,3,4,GEN,M. V. VAITHILINGAM,M,,,479,4094,#bdc3c7
IND,1980,Raj Bhavan,Pondicherry,3,5,GEN,N. KALIAPERUMAL,M,,,70,4094,#bdc3c7
IND,1980,Raj Bhavan,Pondicherry,3,6,GEN,MARIUS BALA,M,,,37,4094,#bdc3c7
JNP(S),1980,Raj Bhavan,Pondicherry,3,7,GEN,THIAGI THIRUKAMU,M,,,36,4094,#222
INC,1980,Bussy,Pondicherry,4,1,GEN,C. M. ACHRAFF,M,,,2898,4178,#2ecc71
ADMK,1980,Bussy,Pondicherry,4,2,GEN,R. P. JOSEPH,M,,,716,4178,#b2d33c
IND,1980,Bussy,Pondicherry,4,3,GEN,A. JAYARAJ,M,,,469,4178,#bdc3c7
IND,1980,Bussy,Pondicherry,4,4,GEN,E. RAMACHANDRAN,M,,,60,4178,#bdc3c7
JNP(S),1980,Bussy,Pondicherry,4,5,GEN,A. PHILOMINA,F,,,35,4178,#222
DMK,1980,Oupalam,Pondicherry,5,1,GEN,SITHA VEDANAYAGAM,M,,,5419,7735,#c0392b
ADMK,1980,Oupalam,Pondicherry,5,2,GEN,C. N. PARTHASARATHY,M,,,2177,7735,#b2d33c
IND,1980,Oupalam,Pondicherry,5,3,GEN,GADJENDIRIN BASKARA,M,,,52,7735,#bdc3c7
IND,1980,Oupalam,Pondicherry,5,4,GEN,S. RAJARAM,M,,,48,7735,#bdc3c7
IND,1980,Oupalam,Pondicherry,5,5,GEN,R. KRISHNAN,M,,,39,7735,#bdc3c7
DMK,1980,Orleampeth,Pondicherry,6,1,GEN,NA. MANIMARAN ALIAS NA. MARIMUTHU,M,,,5721,9583,#c0392b
ADMK,1980,Orleampeth,Pondicherry,6,2,GEN,P. K. LOGANATHAN,M,,,2820,9583,#b2d33c
IND,1980,Orleampeth,Pondicherry,6,3,GEN,BHAVANI MADURAGAVI,F,,,573,9583,#bdc3c7
IND,1980,Orleampeth,Pondicherry,6,4,GEN,S. KANDAVEL,M,,,154,9583,#bdc3c7
IND,1980,Orleampeth,Pondicherry,6,5,GEN,S. SINNAVEERAPPAN,M,,,141,9583,#bdc3c7
INC(U),1980,Orleampeth,Pondicherry,6,6,GEN,V. DHALAPATHIPANDIAN ALIAS KALIDAS,M,,,117,9583,#222
IND,1980,Orleampeth,Pondicherry,6,7,GEN,A. VADIVELU ALIAS NAGAPPAN,M,,,30,9583,#bdc3c7
IND,1980,Orleampeth,Pondicherry,6,8,GEN,A. V. MUTHU,M,,,27,9583,#bdc3c7
DMK,1980,Nellithope,Pondicherry,7,1,GEN,P. RAMALINGAM,M,,,4019,7470,#c0392b
ADMK,1980,Nellithope,Pondicherry,7,2,GEN,B. MANIMARAN,M,,,2110,7470,#b2d33c
CPI,1980,Nellithope,Pondicherry,7,3,GEN,N. RANGANATHAN,M,,,1010,7470,#ff5757
IND,1980,Nellithope,Pondicherry,7,4,GEN,C. MOUNISSAMY,M,,,177,7470,#bdc3c7
INC(U),1980,Nellithope,Pondicherry,7,5,GEN,N. RAJAGOPALAN,M,,,138,7470,#222
IND,1980,Nellithope,Pondicherry,7,6,GEN,G. PANNEERSELVAM,M,,,16,7470,#bdc3c7
INC,1980,Modeliarpeth,Pondicherry,8,1,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,5258,10867,#2ecc71
CPI,1980,Modeliarpeth,Pondicherry,8,2,GEN,M. MANJINI,M,,,2950,10867,#ff5757
CPM,1980,Modeliarpeth,Pondicherry,8,3,GEN,D. B. GOVINDAN,M,,,2306,10867,#ff5757
IND,1980,Modeliarpeth,Pondicherry,8,4,GEN,ALAGIRI,M,,,353,10867,#bdc3c7
DMK,1980,Ariankuppam,Pondicherry,9,1,GEN,P. SUBBURAYAN,M,,,5900,10248,#c0392b
ADMK,1980,Ariankuppam,Pondicherry,9,2,GEN,M. PANDURANGAN,M,,,3628,10248,#b2d33c
INC(U),1980,Ariankuppam,Pondicherry,9,3,GEN,SAVOUNDARARAJA ALIAS RADHA,M,,,390,10248,#222
IND,1980,Ariankuppam,Pondicherry,9,4,GEN,V. ARUMUGAM ALIAS VINAYAGAM,M,,,257,10248,#bdc3c7
IND,1980,Ariankuppam,Pondicherry,9,5,GEN,S. PERUMAL,M,,,73,10248,#bdc3c7
INC,1980,Embalom,Pondicherry,10,1,SC,G. MURUGESAN,M,,,5033,7369,#2ecc71
ADMK,1980,Embalom,Pondicherry,10,2,SC,N. RAMAJAYAM,M,,,1773,7369,#b2d33c
IND,1980,Embalom,Pondicherry,10,3,SC,K. SIVALOGANATHAN,M,,,487,7369,#bdc3c7
IND,1980,Embalom,Pondicherry,10,4,SC,N. ARIKRISHNAN,M,,,76,7369,#bdc3c7
JNP,1980,Nettapakkam,Pondicherry,11,1,GEN,R. SUBBARAYA GOUNDER,M,,,4201,8421,#9A9E56
INC,1980,Nettapakkam,Pondicherry,11,2,GEN,V. VAITHILINGAM,M,,,4076,8421,#2ecc71
IND,1980,Nettapakkam,Pondicherry,11,3,GEN,S. NARA REDDIAR,M,,,144,8421,#bdc3c7
DMK,1980,Kuruvinatham,Pondicherry,12,1,GEN,M. A. SHANMUGAM,M,,,3738,8776,#c0392b
JNP,1980,Kuruvinatham,Pondicherry,12,2,GEN,K. R. SUBRAMANIA PADAYACHI,M,,,2725,8776,#9A9E56
IND,1980,Kuruvinatham,Pondicherry,12,3,GEN,N. VENKATASAMY,M,,,2313,8776,#bdc3c7
JNP,1980,Bahour,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,4154,8082,#9A9E56
CPI,1980,Bahour,Pondicherry,13,2,SC,A. RAMAMURTHY,M,,,2562,8082,#ff5757
DMK,1980,Bahour,Pondicherry,13,3,SC,D. BREM JEYANDAN,M,,,913,8082,#c0392b
INC(U),1980,Bahour,Pondicherry,13,4,SC,G. KOTHANLAPANI BASKARA ALIAS G. K. BASKARAN,M,,,453,8082,#222
