year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color,polled_votes
1969,Nedouncadou,Pondicherry,27,1,GEN,P. SHANMUGAM,M,,,3103,INC,#019733,6186
1969,Mahe,Pondicherry,28,1,GEN,I.K. KUMARAN,M,,,2885,IND,#888888,4863
1969,Pallour,Pondicherry,29,1,GEN,V.N. PURUSHOTHAMAN,M,,,2609,INC,#019733,3857
1969,Yanaon,Pondicherry,30,1,GEN,K.S. P.V. RAO NAIDU,M,,,2287,IND,#888888,4116
1974,Muthialpet,Pondicherry,1,1,GEN,"PAJANIRAJA, G.",M,,,4315,ADMK,#9DBC2A,9835
1974,Cassicade,Pondicherry,2,1,GEN,"ANSARI DURAISWAMY, P.",M,,,2996,NCO,#1F77B4,7699
1974,Raj Bhavan,Pondicherry,3,1,GEN,DHANA KANTHARAJ,M,,,2399,INC,#019733,4284
1974,Bussy,Pondicherry,4,1,GEN,"PAKKIAM, S.",M,,,1680,ADMK,#9DBC2A,4354
1974,Oupalam,Pondicherry,5,1,GEN,"PARTHASARATHY, C. N.",M,,,3198,ADMK,#9DBC2A,6828
1974,Orleampeth,Pondicherry,6,1,GEN,"MANIMARAN, N.",M,,,3833,ADMK,#9DBC2A,7912
1974,Nellithope,Pondicherry,7,1,GEN,"KANNAN, R.",M,,,2495,NCO,#1F77B4,6606
1974,Modeliarpeth,Pondicherry,8,1,GEN,SABAPATHY ALIAS KOTHANDARAMAN,M,,,3889,NCO,#1F77B4,9031
1974,Arinkuppam,Pondicherry,9,1,GEN,"PURUSHOTHAMAN, P. C.",M,,,3364,INC,#019733,9076
1974,Embalom,Pondicherry,10,1,SC,G. MURUGESAN,M,,,3140,INC,#019733,6663
1974,Nettapakkam,Pondicherry,11,1,GEN,V. VENGATASUBBA REDDI,M,,,4072,INC,#019733,7317
1974,Kuruvinatham,Pondicherry,12,1,GEN,VENGATASAMY,M,,,3445,ADMK,#9DBC2A,7741
1974,Bahour,Pondicherry,13,1,SC,THANGAVEL CLAMANSO,M,,,2727,CPI,#DE0000,7034
1974,Thirubuvanai,Pondicherry,14,1,SC,A. GOPAL,M,,,2672,INC,#019733,7644
1974,Mannadipath,Pondicherry,15,1,GEN,D. RAMACHANDIRA REDDIAR,M,,,3467,ADMK,#9DBC2A,7537
1974,Ossudu,Pondicherry,16,1,SC,T. EZHUMALAI,M,,,3426,ADMK,#9DBC2A,7163
1974,Villenour,Pondicherry,17,1,GEN,M. K. JEEVARATHINA ODAYAR,M,,,2812,NCO,#1F77B4,7601
1974,Orhukarai,Pondicherry,18,1,GEN,"VENUGOPAL ALIAS MANNATHAN, G.",M,,,2982,ADMK,#9DBC2A,7560
1974,Thattanchavady,Pondicherry,19,1,GEN,"PETHAPERUMAL, V.",M,,,3468,NCO,#1F77B4,7402
1974,Reddiapalayam,Pondicherry,20,1,GEN,SUBBIAH V.,M,,,3345,CPI,#DE0000,7586
1974,Lawspet,Pondicherry,21,1,GEN,"FAROOK, M. O. H.",M,,,3461,DMK,#800000,8827
1974,Cotchery,Pondicherry,22,1,GEN,T. SUBBAIYA,M,,,3660,ADMK,#9DBC2A,7949
1974,Karaikal,Pondicherry,23,1,GEN,K. KANDHI.,M,,,3964,ADMK,#9DBC2A,9611
1974,Karaikal South,Pondicherry,24,1,GEN,S. RAMASAMY,M,,,3296,ADMK,#9DBC2A,7043
1974,Neravy Grand Aldee,Pondicherry,25,1,GEN,V. M. C. VARADAPILLAI,M,,,5313,ADMK,#9DBC2A,8871
1974,Tirunallar,Pondicherry,26,1,GEN,A. SOUNDARARENGAN,M,,,3742,DMK,#800000,7589
1974,Neduncadu,Pondicherry,27,1,SC,R. COUPOUSAMY,M,,,2934,INC,#019733,7125
1974,Mahe,Pondicherry,28,1,GEN,KUNNUMMAL RAGHAVAN,M,,,1816,CPM,#DE0000,5498
1974,Paloor,Pondicherry,29,1,GEN,VANMERI NATAYI PURUSHOTHAMAN,M,,,1980,INC,#019733,4781
1974,Yanam,Pondicherry,30,1,GEN,KAMICHETTY SRIPARASSOURAMA VARAPRASSADARAO,M,,,2284,IND,#888888,4331
1977,Muthialpet,Pondicherry,1,1,GEN,G. PALANI RAJA,M,,,4170,ADMK,#9DBC2A,9769
1977,Cassicade,Pondicherry,2,1,GEN,ANSARI DURAISAMY,M,,,3551,JNP,#9A9E56,7553
1977,Raj Bhavan,Pondicherry,3,1,GEN,RAMAJAYAM D.,M,,,1411,JNP,#9A9E56,3996
1977,Bussy,Pondicherry,4,1,GEN,SUSAIRAJ S.,M,,,1289,ADMK,#9DBC2A,4044
1977,Oupalam,Pondicherry,5,1,GEN,C. N. PATHASARATHY,M,,,2551,ADMK,#9DBC2A,6953
1977,Orleampeth,Pondicherry,6,1,GEN,N. MANIMARAM MARIMUTHU,M,,,3779,ADMK,#9DBC2A,8484
1977,Nellithope,Pondicherry,7,1,GEN,R. KANNAN,M,,,2757,JNP,#9A9E56,7217
1977,Modeliarpeth,Pondicherry,8,1,GEN,V. SABABADY KOTHANDRAMAN,M,,,3947,INC,#019733,9470
1977,Ariankuppam,Pondicherry,9,1,GEN,P. SUBBARAYAN,M,,,3345,DMK,#800000,9595
1977,Embalom,Pondicherry,10,1,SC,SIVALOGANATHAN K.,M,,,2442,ADMK,#9DBC2A,6682
1977,Nettapakkam,Pondicherry,11,1,GEN,SRVAPRAKASAM S.,M,,,3122,INC,#019733,7481
1977,Kuruvinatham,Pondicherry,12,1,GEN,N. VENGADASAMY,M,,,3359,ADMK,#9DBC2A,8424
1977,Bahour,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,3399,JNP,#9A9E56,7461
1977,Thirubuvanai,Pondicherry,14,1,SC,MANIYAM M.,M,,,3226,ADMK,#9DBC2A,7263
