AC_NAME,PARTY,YEAR,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,District
Thiruvottiyur,DMK,1967,Tamil Nadu,15,1,GEN,A. P. ARASU,M,0,,51437,84001,#c0392b,Thiruvallur
Thiruvottiyur,INC,1967,Tamil Nadu,15,2,GEN,V. VENKATESWARALU,M,0,,32564,84001,#2ecc71,Thiruvallur
St Thomas Mount,DMK,1967,Tamil Nadu,16,1,GEN,M. G. RAMACHANDRAN,M,0,,54106,81151,#c0392b,
St Thomas Mount,INC,1967,Tamil Nadu,16,2,GEN,T. L. RAGHUPATHY,M,0,,26432,81151,#2ecc71,
St Thomas Mount,BJS,1967,Tamil Nadu,16,3,GEN,K. KASINATHAN,M,0,,613,81151,#222,
Tirupporur,DMK,1967,Tamil Nadu,17,1,GEN,M. ADHI,M,0,,39047,65051,#c0392b,
Tirupporur,INC,1967,Tamil Nadu,17,2,GEN,N. M. MANIVARAMA,M,0,,22631,65051,#2ecc71,
Tirupporur,IND,1967,Tamil Nadu,17,3,GEN,BUPATHY,M,0,,2039,65051,#bdc3c7,
Tirupporur,IND,1967,Tamil Nadu,17,4,GEN,SAHADEVAN,M,0,,1334,65051,#bdc3c7,
Chengalpattu,DMK,1967,Tamil Nadu,18,1,GEN,C. G. VISWANATHAN,M,0,,43428,69186,#c0392b,Kancheepuram
Chengalpattu,INC,1967,Tamil Nadu,18,2,GEN,T. NAICKER,M,0,,19879,69186,#2ecc71,Kancheepuram
Chengalpattu,IND,1967,Tamil Nadu,18,3,GEN,NARASIMHAN,M,0,,5879,69186,#bdc3c7,Kancheepuram
Maduranthakam,DMK,1967,Tamil Nadu,19,1,GEN,KOTHANDAM,M,0,,38382,64830,#c0392b,Kancheepuram
Maduranthakam,INC,1967,Tamil Nadu,19,2,GEN,G. REDDY,M,0,,25200,64830,#2ecc71,Kancheepuram
Maduranthakam,IND,1967,Tamil Nadu,19,3,GEN,V. KRISHNASWAMY,M,0,,1248,64830,#bdc3c7,Kancheepuram
Acharapakkam,SWA,1967,Tamil Nadu,20,1,SC,P. S. ELLAPPAN,M,0,,38223,61545,#222,
Acharapakkam,INC,1967,Tamil Nadu,20,2,SC,P. SARADAMBAL,M,0,,23322,61545,#2ecc71,
Uthiramerur,DMK,1967,Tamil Nadu,21,1,GEN,K. M. RAJAGOPAL,M,0,,47689,74503,#c0392b,Kancheepuram
Uthiramerur,INC,1967,Tamil Nadu,21,2,GEN,O. S. REDDIAR,M,0,,26814,74503,#2ecc71,Kancheepuram
Kancheepuram,DMK,1967,Tamil Nadu,22,1,GEN,N. KRISHNAN,M,0,,45266,79715,#c0392b,Kancheepuram
Kancheepuram,INC,1967,Tamil Nadu,22,2,GEN,V. C. S. NAYAGAR,M,0,,33716,79715,#2ecc71,Kancheepuram
Kancheepuram,BJS,1967,Tamil Nadu,22,3,GEN,C. JEEVARATHINAM,M,0,,733,79715,#222,Kancheepuram
Kunnathur,DMK,1967,Tamil Nadu,23,1,SC,M. GOPAL,M,0,,47772,69359,#c0392b,
Kunnathur,INC,1967,Tamil Nadu,23,2,SC,P. APPAVOO,M,0,,20563,69359,#2ecc71,
Kunnathur,IND,1967,Tamil Nadu,23,3,SC,B. A. MOORTHY,M,0,,1024,69359,#bdc3c7,
Sriperumbudur,DMK,1967,Tamil Nadu,24,1,GEN,D. IRAJARATHINAM,M,0,,41655,76949,#c0392b,Kancheepuram
Sriperumbudur,INC,1967,Tamil Nadu,24,2,GEN,M. BHAKTAVATSALAM,M,0,,32729,76949,#2ecc71,Kancheepuram
Sriperumbudur,IND,1967,Tamil Nadu,24,3,GEN,GUINDIRATHINAM,M,0,,1640,76949,#bdc3c7,Kancheepuram
Sriperumbudur,IND,1967,Tamil Nadu,24,4,GEN,SUBRAMANIAN,M,0,,558,76949,#bdc3c7,Kancheepuram
Sriperumbudur,IND,1967,Tamil Nadu,24,5,GEN,C. VENKATARAMAN,M,0,,367,76949,#bdc3c7,Kancheepuram
Kadambathur,DMK,1967,Tamil Nadu,25,1,GEN,C. V. M. ANNAMALAI,M,0,,43499,65240,#c0392b,
Kadambathur,INC,1967,Tamil Nadu,25,2,GEN,C. C. NAIDU,M,0,,21741,65240,#2ecc71,
Thiruvallur,DMK,1967,Tamil Nadu,26,1,SC,S. M. DORAIRAJ,M,0,,40687,61592,#c0392b,Thiruvallur
Thiruvallur,INC,1967,Tamil Nadu,26,2,SC,V. S. ARUNACHALAM,M,0,,19030,61592,#2ecc71,Thiruvallur
Thiruvallur,IND,1967,Tamil Nadu,26,3,SC,P. GOPAL,M,0,,1875,61592,#bdc3c7,Thiruvallur
Tiruttani,INC,1967,Tamil Nadu,27,1,GEN,K. VINAYAKAM,M,0,,27123,67237,#2ecc71,Thiruvallur
