constituency,1951,1957,1962,1967,1969,1971,1972,1977,1982,1987,1991,1996,2001,2006,2011
Indpur,,,INC,INC,BAC,BBC,INC,JNP,CPI,CPI,CPI,CPI,CPI,CPI,
Itahar,INC,CPI,INC,INC,INC,INC,INC,INC,ICS,CPI,INC,CPI,CPI,CPI,AITC
Midnapur,,INC,INC,CPI,CPI,CPI,CPI,JNP,CPI,CPI,CPI,CPI,CPI,CPI,
Nandigram,,,,CPI,CPI,CPI,CPI,JNP,CPI,CPI,CPI,INC,CPI,CPI,AITC
Panskura West,,INC,INC,BAC,BAC,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,
Pataspur,,PSP,INC,CPI,CPI,INC,INC,JNP,CPI,CPI,CPI,CPI,CPI,CPI,
Tamluk,INC,INC,INC,BAC,BAC,BAC,INC,CPI,CPI,CPI,INC,INC,AITC,CPI,AITC
Amdanga,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Amta,,,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC
Arambagh,IND,INC,,BAC,INC,NCO,NCO,JNP,INC,CPM,CPM,CPM,CPM,CPM,AITC
Asansol,FBL(RG),INC,CPI,INC,CPM,CPM,CPI,CPM,CPM,INC,CPM,INC,AITC,CPM,
Ashoknagar,,,,CPI,CPI,CPM,IND,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Aurangabad,,,,,,,,INC,INC,CPM,CPM,INC,INC,CPM,
Ausgram,INC,INC,IND,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Baduria,,INC,INC,INC,CPM,INC,INC,CPM,INC,CPM,INC,INC,INC,CPM,INC
Bagnan,INC,CPI,INC,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,AITC
Balagarh,INC,CPI,INC,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Bally,INC,INC,INC,INC,CPM,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,AITC
Balrampur,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Banduan,,,LSS,IND,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Bankura,HMS,INC,CPI,INC,CPI,INC,INC,CPM,INC,CPM,CPM,CPM,AITC,CPM,AITC
Bansberia,,,,,,,,CPM,CPM,CPM,CPM,INC,CPM,CPM,
Barabani,,,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,AITC,CPM,AITC
Barjora,INC,,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Baruipur,INC,CPI,INC,SSP,SSP,CPM,INC,CPM,CPM,CPM,INC,INC,AITC,CPM,
Basirhat,INC,INC,INC,CPI,CPI,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Behala East,,,,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,
Belgachia East,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Beliaghata,FBL(MG),CPI,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Bhatar,,INC,CPI,INC,CPI,CPM,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Bijpur,,CPI,CPI,CPM,CPM,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Bishnupur East,,,INC,CPM,CPM,INC,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,
Bishnupur West,,,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC,CPM,
Burdwan North,,,,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Burdwan South,,,,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Canning East,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Canning West,,,,,,,,CPM,CPM,INC,CPM,CPM,AITC,CPM,
Chakdaha,,,,,,,,IND,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Champdani,,,,INC,CPM,CPM,CPI,CPM,CPM,CPM,INC,INC,INC,CPM,AITC
