AC_NAME,AC_NO,AC_TYPE,AGE,CATEGORY,NAME,PARTY,SEX,ST_NAME,VOTES,YEAR,polled_votes,rank
Poonjar,51,GEN,,,EMMANUAL PALKEDAY,PSP,M,Kerala,4449,1957,34773,3
Puliyannur,52,GEN,,,K. M. JOSEPH CHAZHICATT,PSP,M,Kerala,18605,1957,37576,1
Puliyannur,52,GEN,,,CHANDY,INC,M,Kerala,17915,1957,37576,2
Puliyannur,52,GEN,,,V. G. NAIR,IND,M,Kerala,1056,1957,37576,3
Palluruthy,53,GEN,,,ALEXANDER PARAMBITHARA,INC,M,Kerala,23666,1957,45507,1
Palluruthy,53,GEN,,,GANGADHARAN P.,CPI,M,Kerala,19848,1957,45507,2
Palluruthy,53,GEN,,,RAMAKRISHNAN NAIR P. K.,PSP,M,Kerala,1993,1957,45507,3
Mattancherry,54,GEN,,,VISWANATHAN K. K.,INC,M,Kerala,19106,1957,35671,1
Mattancherry,54,GEN,,,ABOO T. M.,CPI,M,Kerala,13046,1957,35671,2
Mattancherry,54,GEN,,,EBRAHIM S/O MOHAMMED,PSP,M,Kerala,3007,1957,35671,3
Mattancherry,54,GEN,,,PAI L. G.,RSP,M,Kerala,512,1957,35671,4
Narakkal,55,GEN,,,K. C. ABRAHAM,INC,M,Kerala,24253,1957,48537,1
Narakkal,55,GEN,,,K. K. RAMAKRISHNAN,CPI,M,Kerala,22321,1957,48537,2
Narakkal,55,GEN,,,POULO I.,PSP,M,Kerala,1963,1957,48537,3
Ernakulam,56,GEN,,,JACOB A. L.,INC,M,Kerala,23857,1957,44214,1
Ernakulam,56,GEN,,,V. RAMANKUTTY MENON,CPI,M,Kerala,18172,1957,44214,2
Ernakulam,56,GEN,,,K. SREENIVASA MALLAN,IND,M,Kerala,1602,1957,44214,3
Ernakulam,56,GEN,,,T. X. RAPHY,IND,M,Kerala,583,1957,44214,4
Kanayannur,57,GEN,,,RAMAKRISHNAN T. K.,CPI,M,Kerala,21292,1957,42753,1
