PARTY,Total seats,Winning Seats,Winning Percent
BSP,394,,0
TMM,137,,0
IJK,126,,0
SP,76,,0
PB,63,,0
AIIC(T),46,,0
JD(U),46,,0
LJP,44,,0
CPI(ML)(L),42,,0
ICJ,36,,0
JD(S),35,,0
RPI,34,,0
JMM,33,,0
BJP,748,5,0.668449198
JP,146,1,0.684931507
ADK(JR),175,2,1.142857143
AIFB,61,1,1.639344262
MDMK,426,8,1.877934272
JNP,355,19,5.352112676
JD,31,2,6.451612903
NCO,201,15,7.462686567
