constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016,2021,2026
Thottiyam,DMK,DMK,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,INC,,,,
Thousand Lights,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK,DMK,DMK,TVK
Thuraiyur,,,,,,,,,,,ADMK,DMK,DMK,TVK
Tindivanam,INC,DMK,INC,INC,INC,DMK,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,VCK
Tiruchendur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK,DMK,DMK,DMK
Tiruchengodu,DMK,DMK,ADMK,ADMK,ADMK,CPM,ADMK,DMK,ADMK,ADMK,DMDK,ADMK,DMK,TVK
Tiruchirapalli-I,DMK,DMK,ADMK,ADMK,DMK,DMK,ADMK,DMK,DMK,DMK,,,,
Tiruchirapalli-Ii,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,,,,
Tiruchirappalli East,,,,,,,,,,,ADMK,ADMK,DMK,TVK
Tiruchirappalli West,,,,,,,,,,,ADMK,DMK,DMK,DMK
Tiruchuli,,,,,,,,,,,DMK,DMK,DMK,DMK
Tirukkoyilur,INC,DMK,,,,,,,,,DMDK,DMK,DMK,ADMK
Tirunelveli,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,BJP,TVK
Tirupathur,DMK,DMK,CPI,INC,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK,TVK
Tiruppattur,DMK,DMK,DMK,DMK,INC,DMK,ADMK,DMK,PMK,PMK,ADMK,DMK,DMK,TVK
Tirupporur,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,,,,
Tiruppur,DMK,DMK,ADMK,ADMK,CPI,CPM,ADMK,CPI,ADMK,CPM,,,,
Tiruppur North,,,,,,,,,,,ADMK,ADMK,ADMK,TVK
Tiruppur South,,,,,,,,,,,CPM,ADMK,DMK,TVK
Tiruttani,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,ADMK,DMDK,ADMK,DMK,ADMK
Tiruvadanai,Others,DMK,INC,ADMK,INC,INC,INC,TMC,TMC,INC,DMK,ADMK,INC,TVK
Tiruvannamalai,INC,DMK,DMK,INC,INC,DMK,INC,DMK,DMK,DMK,DMK,DMK,DMK,DMK
Tittakudi,,,,,,,,,,,DMDK,DMK,DMK,DMK
T-Nagar,DMK,NCO,DMK,Others,INC,DMK,ADMK,TMC,DMK,ADMK,ADMK,ADMK,DMK,TVK
Triplicane,DMK,DMK,DMK,INC,DMK,DMK,ADMK,DMK,DMK,ADMK,,,,
Uddanapalle,Others,IND,,,,,,,,,,,,
Udhagamandalam,Others,DMK,ADMK,INC,INC,INC,INC,DMK,INC,INC,ADMK,INC,INC,BJP
Udumalpet,DMK,DMK,ADMK,ADMK,INC,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,DMK
Ulundurpet,INC,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK,DMK
Uppiliapuram,DMK,DMK,INC,ADMK,ADMK,Others,ADMK,DMK,ADMK,DMK,,,,
Usilampatti,Others,Others,Others,Others,IND,DMK,ADMK,AIFB,AIFB,ADMK,AIFB,ADMK,ADMK,TVK
Uthangarai,INC,DMK,,,,,,,,,ADMK,ADMK,ADMK,TVK
Uthiramerur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,TVK
Vadamadurai,INC,DMK,,,,,,,,,,,,
Valangiman,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,,,,
Valparai,DMK,DMK,ADMK,CPI,INC,Others,ADMK,DMK,TMC,INC,CPI,ADMK,ADMK,DMK
Vandavasi,DMK,DMK,ADMK,ADMK,INC,DMK,ADMK,DMK,PMK,DMK,ADMK,DMK,DMK,DMK
Vaniyambadi,INC,IND,IND,ADMK,INC,DMK,INC,DMK,IND,DMK,ADMK,ADMK,ADMK,IUML
Vanur,DMK,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,DMK
Varahur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,,,,
Vasudevanallur,DMK,DMK,CPM,CPM,INC,INC,INC,TMC,TMC,MDMK,ADMK,ADMK,DMK,DMK
Vedaranyam,INC,DMK,DMK,ADMK,DMK,INC,INC,DMK,DMK,DMK,ADMK,ADMK,ADMK,ADMK
Vedasandur,CPM,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,INC,ADMK,ADMK,DMK,DMK
Veerapandi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,TVK
Velachery,,,,,,,,,,,ADMK,DMK,INC,TVK
Vellakoil,DMK,DMK,INC,ADMK,ADMK,Others,ADMK,DMK,DMK,DMK,,,,
Vellore,DMK,DMK,ADMK,DMK,DMK,DMK,INC,TMC,TMC,INC,ADMK,DMK,DMK,TVK
Veppanahalli,,,,,,,,,,,DMK,DMK,ADMK,DMK
Vikravandi,,,,,,,,,,,CPM,DMK,DMK,PMK
Vilathikulam,DMK,DMK,ADMK,ADMK,DMK,Others,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,DMK,DMK
Vilavancode,INC,NCO,CPM,CPM,INC,INC,INC,CPM,CPM,CPM,INC,INC,INC,INC
Villivakkam,,,DMK,ADMK,CPM,CPM,INC,TMC,DMK,DMK,ADMK,DMK,DMK,TVK
Villupuram,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK,ADMK,DMK,DMK
Viralimalai,DMK,DMK,,,,,,,,,ADMK,ADMK,ADMK,ADMK
Virudhunagar,DMK,DMK,ADMK,ADMK,JNP,INC,Others,DMK,TMC,MDMK,DMDK,DMK,DMK,TVK
Virugampakkam,,,,,,,,,,,DMDK,ADMK,DMK,TVK
Vridhachalam,INC,DMK,ADMK,INC,INC,JNP,ADMK,DMK,PMK,DMDK,DMDK,ADMK,INC,DMDK
Washermanpet,DMK,DMK,,,,,,,,,,,,
Yercaud,DMK,DMK,ADMK,ADMK,INC,Others,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK
