constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016,2021,2026
Gangavalli,,,,,,,,,,,DMDK,ADMK,ADMK,ADMK
Gingee,DMK,DMK,DMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,PMK,DMK,DMK,PMK
Gobichettipalayam,Others,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,TVK
Gudalur,INC,Others,DMK,DMK,ADMK,INC,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK,DMK
Gudiyattam,CPM,DMK,CPM,CPM,INC,CPM,INC,DMK,ADMK,CPM,CPI,ADMK,DMK,TVK
Gummidipoondi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK,ADMK,DMK,TVK
Harbour,IND,IND,DMK,DMK,DMK,DMK,DMK,DMK,DMK,DMK,ADMK,DMK,DMK,DMK
Harur,INC,DMK,CPM,ADMK,ADMK,CPM,INC,DMK,CPI,CPM,CPM,ADMK,ADMK,ADMK
Hosur,Others,Others,INC,INC,INC,INC,INC,JD,INC,INC,INC,ADMK,DMK,ADMK
Ilayangudi,DMK,DMK,CPI,CPI,ADMK,DMK,ADMK,DMK,ADMK,DMK,,,,
Jayankondam,DMK,DMK,ADMK,INC,INC,DMK,INC,DMK,ADMK,ADMK,PMK,ADMK,DMK,PMK
Jolarpet,,,,,,,,,,,ADMK,ADMK,DMK,ADMK
Kadaladi,DMK,DMK,ADMK,ADMK,DMK,DMK,ADMK,DMK,TMC,DMK,,,,
Kadambathur,DMK,DMK,,,,,,,,,,,,
Kadavur,INC,NCO,,,,,,,,,,,,
Kadayanallur,IND,DMK,ADMK,IND,ADMK,DMK,ADMK,DMK,ADMK,INC,ADMK,IUML,ADMK,DMK
Kalasapakkam,INC,DMK,DMK,DMK,ADMK,DMK,INC,DMK,ADMK,ADMK,ADMK,ADMK,DMK,ADMK
Kallakurichi,DMK,DMK,ADMK,INC,IND,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,TVK
Kancheepuram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,PMK,ADMK,DMK,DMK,TVK
Kandamangalam,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,,,,
Kangayam,INC,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,INC,ADMK,ADMK,DMK,ADMK
Kaniyambadi,INC,DMK,,,,,,,,,,,,
Kanniyakumari,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK
Kapilamalai,DMK,DMK,ADMK,ADMK,INC,Others,ADMK,DMK,PMK,PMK,,,,
Karaikudi,Others,DMK,ADMK,DMK,ADMK,DMK,ADMK,TMC,BJP,INC,ADMK,INC,INC,TVK
Kariapatti,Others,Others,,,,,,,,,,,,
Karur,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,INC,ADMK,ADMK,ADMK,DMK,ADMK
Katpadi,DMK,DMK,ADMK,CPI,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK,DMK,DMK,TVK
Kattumannarkoil,INC,DMK,DMK,DMK,INC,IND,ADMK,DMK,DMK,VCK,ADMK,ADMK,VCK,VCK
Kaveripattinam,INC,DMK,ADMK,ADMK,AKD,DMK,ADMK,DMK,ADMK,PMK,,,,
Kavundampalayam,,,,,,,,,,,ADMK,ADMK,ADMK,TVK
Killiyoor,INC,NCO,JNP,JNP,JNP,IND,JD,TMC,TMC,INC,INC,INC,INC,INC
Kilpennathur,,,,,,,,,,,ADMK,DMK,DMK,ADMK
Kilvaithinankuppam,,,,,,,,,,,ADMK,ADMK,ADMK,TVK
Kilvelur,,,,,,,,,,,CPM,DMK,CPM,CPI(M)
Kinathukkadavu,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,TVK
Kodavasal,DMK,DMK,,,,,,,,,,,,
Kolathur,,,INC,ADMK,ADMK,Others,ADMK,DMK,ADMK,ADMK,DMK,DMK,DMK,TVK
Kollachal,INC,NCO,JNP,DMK,ADMK,INC,INC,DMK,ADMK,INC,INC,INC,INC,INC
Kottur,CPI,CPI,,,,,,,,,,,,
Kovilpatti,CPI,CPI,CPI,CPI,INC,CPI,ADMK,CPI,CPI,ADMK,ADMK,ADMK,ADMK,DMK
Krishnagiri,INC,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,TVK
Krishnarajapuram,DMK,DMK,ADMK,INC,INC,Others,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK,TVK
Kulithalai,DMK,DMK,INC,CPI,ADMK,Others,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK
Kumarapalayam,,,,,,,,,,,ADMK,ADMK,ADMK,TVK
Kumbakonam,INC,NCO,ADMK,INC,INC,DMK,ADMK,DMK,DMK,DMK,DMK,DMK,DMK,TVK
Kunnam,,,,,,,,,,,DMK,ADMK,DMK,DMK
Kunnathur,DMK,DMK,,,,,,,,,,,,
Kurinjipadi,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,ADMK,DMK,DMK,DMK
Kuttalam,CPM,DMK,DMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,,,,
Lalgudi,DMK,DMK,ADMK,DMK,INC,DMK,INC,DMK,ADMK,DMK,DMK,DMK,DMK,ADMK
Madathukulam,,,,,,,,,,,ADMK,DMK,ADMK,DMK
Madavaram,,,,,,,,,,,ADMK,DMK,DMK,TVK
Madurai Central,DMK,DMK,ADMK,IND,INC,DMK,INC,TMC,TMC,DMK,DMDK,DMK,DMK,TVK
Madurai East,CPM,DMK,CPM,CPM,ADMK,ADMK,ADMK,DMK,CPM,CPM,ADMK,DMK,DMK,TVK
Madurai North,,,,,,,,,,,ADMK,ADMK,DMK,TVK
Madurai South,,,,,,,,,,,CPM,ADMK,DMK,TVK
Madurai West,CPM,CPI,ADMK,ADMK,DMK,DMK,INC,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,TVK
Maduranthakam,DMK,DMK,DMK,ADMK,DMK,Others,ADMK,DMK,ADMK,INC,ADMK,DMK,ADMK,ADMK
Maduravoyal,,,,,,,,,,,CPM,ADMK,DMK,TVK
Mailam,,,,,,,,,,,ADMK,DMK,PMK,ADMK
Manachanallur,,,,,,,,,,,ADMK,ADMK,DMK,DMK
Manamadurai,Others,DMK,ADMK,IND,INC,DMK,ADMK,CPI,TMC,ADMK,ADMK,ADMK,DMK,TVK
Manapparai,,,,,,,,,,,ADMK,ADMK,DMK,TVK
Mangalur,DMK,DMK,ADMK,ADMK,ADMK,DMK,INC,TMC,DMK,VCK,,,,
Mannargudi,INC,DMK,CPI,CPI,ADMK,DMK,ADMK,CPI,CPI,CPI,DMK,DMK,DMK,AMMK
Marungapuri,,,INC,ADMK,ADMK,ADMK,ADMK,DMK,ADMK,ADMK,,,,
Mayuram,DMK,DMK,DMK,DMK,ADMK,DMK,INC,TMC,BJP,INC,DMDK,ADMK,INC,INC
Melapalayam,IND,MUL,,,,,,,,,,,,
Melmalayanur,DMK,DMK,ADMK,ADMK,ADMK,DMK,INC,DMK,ADMK,PMK,,,,
Melur,,,ADMK,INC,INC,INC,INC,TMC,ADMK,ADMK,ADMK,ADMK,ADMK,INC
Melur North,DMK,DMK,,,,,,,,,,,,
Melur South,DMK,DMK,,,,,,,,,,,,
Mettuppalayam,INC,DMK,ADMK,ADMK,ADMK,INC,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,TVK
Mettur,PSP,PSP,ADMK,ADMK,ADMK,CPM,ADMK,DMK,ADMK,PMK,DMDK,ADMK,PMK,ADMK
Modakkurichi,SSP,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,INC,ADMK,ADMK,BJP,TVK
Morappur,,,ADMK,ADMK,INC,DMK,ADMK,DMK,ADMK,DMK,,,,
Mudhukulathur,Others,IND,INC,IND,IND,DMK,INC,TMC,ADMK,DMK,ADMK,INC,DMK,DMK
