PARTY,Total Seats Contested,Winning Seats,winning percent
INC,239,128,53.56
DMK,199,75,37.69
ADMK,157,55,35.03
IND,738,27,3.66
AINRC,17,15,88.24
JNP,69,12,17.39
CPI,46,12,26.09
PMC,18,7,38.89
TMC(M),12,7,58.33
JD,20,6,30.00
NCO,16,5,31.25
PF,17,4,23.53
PMK,56,3,5.36
