constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011
Kovilpatti,CPI,CPI,CPI,CPI,INC,CPI,ADMK,CPI,CPI,ADMK,ADMK
Mannargudi,INC,DMK,CPI,CPI,ADMK,DMK,ADMK,CPI,CPI,CPI,DMK
Thiruthuraipoondi,DMK,CPI,CPI,CPM,CPI,CPI,CPI,CPI,CPI,CPI,CPI
