party,constituency,name,margin,state,votes,color
Shivsena,Shahuwadi,SATYAJEET BABASAHEB PATIL (ABA) SARUDKAR,388,Maharashtra,74702,#F05A00
Bharatiya Janata Party,Shevgaon,MONIKA RAJIV RAJALE,53185,Maharashtra,134685,#FB7B0D
Bharatiya Janata Party,Shirala,NAIK SHIVAJIRAO YASHWANTRAO,3668,Maharashtra,85363,#FB7B0D
Indian National Congress,Shirdi,RADHAKRISHNA EKNATHRAO VIKHE PATIL,74662,Maharashtra,121459,#019733
Shivsena,Shirol,PATIL ULHAS SAMBHAJI,20033,Maharashtra,70809,#F05A00
Indian National Congress,Shirpur,KASHIRAM VECHAN PAWARA,25201,Maharashtra,98114,#019733
Bharatiya Janata Party,Shirur,PACHARNE BABURAO KASHINATH,10941,Maharashtra,92579,#FB7B0D
Shivsena,Shivadi,AJAY CHOUDHARI,41909,Maharashtra,72462,#F05A00
Bharatiya Janata Party,Shivajinagar,VIJAY KALE,22047,Maharashtra,56460,#FB7B0D
Nationalist Congress Party,Shrigonda,JAGTAP RAHUL KUNDLIKRAO,13637,Maharashtra,99281,#8064a2
Indian National Congress,Shrirampur,BHAUSAHEB MALHARI KAMBLE,11484,Maharashtra,57118,#019733
Nationalist Congress Party,Shrivardhan,AVDHOOT ANIL TATKARE,77,Maharashtra,61038,#8064a2
Indian National Congress,Sillod,ABDUL SATTAR ABDUL NABI,13921,Maharashtra,96038,#019733
Shivsena,Sindkhed Raja,DR. KHEDEKAR SHASHIKANT NARSINGRAO,18854,Maharashtra,64203,#F05A00
Bharatiya Janata Party,Sindkheda,JAYKUMAR JITENDRASINH RAWAL,42158,Maharashtra,92794,#FB7B0D
Shivsena,Sinnar,RAJABHAU (PARAG) PRAKASH WAJE,20554,Maharashtra,104031,#F05A00
Bharatiya Janata Party,Sion koliwada,CAPTAIN R. TAMIL SELVAN,3738,Maharashtra,40869,#FB7B0D
Indian National Congress,Solapur City central,SHINDE PRANITI SUSHILKUMAR,9769,Maharashtra,46907,#019733
Bharatiya Janata Party,Solapur City North,VIJAY SIDRAMAPPA DESHMUKH,68878,Maharashtra,86877,#FB7B0D
Bharatiya Janata Party,Solapur South,DESHMUKH SUBHASH SURESHCHANDRA,27123,Maharashtra,70077,#FB7B0D
Nationalist Congress Party,Tasgaon-Kavathe Mahankal,ADV.R.R. (AABA) ALIAS RAVSAHEB RAMRAO PATIL,22410,Maharashtra,108310,#8064a2
Indian National Congress,Teosa,ADV. YASHOMATI THAKUR (SONAWANE),20441,Maharashtra,58808,#019733
Bharatiya Janata Party,Thane,KELKAR SANJAY MUKUND,12588,Maharashtra,70884,#FB7B0D
Bharatiya Janata Party,Tirora,RAHANGDALE VIJAY BHARATLAL,13098,Maharashtra,54160,#FB7B0D
Indian National Congress,Tuljapur,CHAVAN MADHUKARRAO DEORAO,29610,Maharashtra,70701,#019733
Bharatiya Janata Party,Tumsar,WAGHAMARE CHARAN SOVINDA,28679,Maharashtra,73952,#FB7B0D
Bharatiya Janata Party,Udgir,SUDHAKAR SANGRAM BHALERAO,24894,Maharashtra,66686,#FB7B0D
Nationalist Congress Party,Ulhasnagar,JYOTI PAPPU KALANI,1863,Maharashtra,43760,#8064a2
Shivsena,Umarga,CHOUGULE DNYANRAJ DHONDIRAM,20442,Maharashtra,65178,#F05A00
Bharatiya Janata Party,Umarkhed,RAJENDRA WAMAN NAJARDHANE,48576,Maharashtra,90190,#FB7B0D
Bharatiya Janata Party,Umred,PARWE SUDHIR LAXMAN,58322,Maharashtra,92399,#FB7B0D
Shivsena,Uran,MANOHAR GAJANAN BHOIR,811,Maharashtra,56131,#F05A00
Bharatiya Janata Party,VADGAON SHERI,JAGDISH TUKARAM MULUK,5325,Maharashtra,66908,#FB7B0D
Nationalist Congress Party,Vaijapur,BHAUSAHEB PATIL CHIKATGAONKAR,4709,Maharashtra,53114,#8064a2
Shivsena,Vandre East,PRAKASH (BALA) SAWANT,15597,Maharashtra,41388,#F05A00
Bharatiya Janata Party,Vandre West,AV. ASHISH SHELAR,26911,Maharashtra,74779,#FB7B0D
Bahujan Vikas Aaghadi,Vasai,HITENDRA VISHNU THAKUR,31896,Maharashtra,97291,#4bacc6
Bharatiya Janata Party,Versova,DR. BHARATI HEMANT LAVEKAR,26398,Maharashtra,49182,#FB7B0D
Shivsena,Vikhroli,SUNIL RAJARAM RAUT,25339,Maharashtra,50302,#F05A00
Bharatiya Janata Party,Vikramgad,SAVARA VISHNU RAMA,3845,Maharashtra,40201,#FB7B0D
Bharatiya Janata Party,Vile parle,PARAG ALAVANI,32435,Maharashtra,74270,#FB7B0D
Indian National Congress,Wadala,KALIDAS NILKANTH KOLAMBKAR,800,Maharashtra,38540,#019733
Nationalist Congress Party,Wai,JADHAV (PATIL) MAKRAND LAXMANRAO,38702,Maharashtra,101218,#8064a2
Bharatiya Janata Party,Wani,BODKURWAR SANJIVREDDI BAPURAO,5606,Maharashtra,45178,#FB7B0D
Bharatiya Janata Party,Wardha,DR.PANKAJ RAJESH BHOYAR,8550,Maharashtra,45897,#FB7B0D
Shivsena,Warora,SURESH ALIAS BALUBHAU NARAYAN DHANORKAR,2004,Maharashtra,53877,#F05A00
Bharatiya Janata Party,Washim,MALIK LAKHAN SAHADEV,4393,Maharashtra,48196,#FB7B0D
Shivsena,Worli,SUNIL GOVIND SHINDE,23012,Maharashtra,60625,#F05A00
Bharatiya Janata Party,Yavatmal,MADAN MADHUKARRAO YERAWAR,1227,Maharashtra,53671,#FB7B0D
Nationalist Congress Party,Yevla,CHHAGAN BHUJBAL,46442,Maharashtra,112787,#8064a2
