state,pc,party,name,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
Gujarat,Rajkot,Bharatiya Janata Party,kundariyamohanbhaikalyanjibhai,62,GEN,#FB7B0D,,1057069,1,,621524,2014,30-04-2014,8th,Male,39512950,0
Gujarat,Jamnagar,Bharatiya Janata Party,poonambenhematbhaimaadam,39,GEN,#FB7B0D,,852643,1,,484412,2014,30-04-2014,Graduate,Female,174372249,0
Gujarat,Bhavnagar,Bharatiya Janata Party,drbharatibendhirubhaishiyal,50,GEN,#FB7B0D,,917402,1,,549529,2014,30-04-2014,Graduate Professional,Female,7748925,0
Gujarat,Anand,Bharatiya Janata Party,dilippatel,59,GEN,#FB7B0D,,970894,1,,490829,2014,30-04-2014,10th,Male,75998610,4
Gujarat,Kheda,Bharatiya Janata Party,chauhandevusinhjesingbhaichauhandevusinh,49,GEN,#FB7B0D,,955906,1,,568235,2014,30-04-2014,12th,Male,9426376,0
Gujarat,Dahod,Bharatiya Janata Party,jasvantsinhsumanbhaibhabhor,47,GEN,#FB7B0D,,900381,1,,511111,2014,30-04-2014,Graduate Professional,Male,19661231,0
Gujarat,Chhota Udaipur,Bharatiya Janata Party,ramsinhrathwa,62,GEN,#FB7B0D,,1100542,1,,607916,2014,30-04-2014,Post Graduate,Male,39769675,0
Gujarat,Bharuch,Bharatiya Janata Party,vasavamansukhbhaidhanjibhai,56,GEN,#FB7B0D,,1060211,1,,548902,2014,30-04-2014,Post Graduate,Male,6571062,0
Gujarat,Bardoli,Bharatiya Janata Party,vasavaparbhubhainagarbhai,44,GEN,#FB7B0D,,1206179,1,,622769,2014,30-04-2014,Others,Male,15909957,1
Gujarat,Surat,Bharatiya Janata Party,darshanavikramjardosh,0,GEN,#FB7B0D,,947922,1,,718412,2014,30-04-2014,Graduate,Female,18038444,0
Gujarat,Navsari,Bharatiya Janata Party,crpatil,59,GEN,#FB7B0D,,1160747,1,,820831,2014,30-04-2014,10th,Male,744761133,7
Haryana,Sirsa,Indian National Lok Dal,charanjeetsinghrori,43,GEN,#999,,1279105,1,,506370,2014,10-04-2014,10th,Male,8146887,0
Haryana,Sonipat,Bharatiya Janata Party,rameshchander,54,GEN,#FB7B0D,,985637,1,,347203,2014,10-04-2014,Graduate Professional,Male,142840716,0
Haryana,Rohtak,Indian National Congress,deependersinghhooda,36,GEN,#019733,,1044331,1,,490063,2014,10-04-2014,Post Graduate,Male,358749354,0
Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,dharambirs/obhaleram,59,GEN,#FB7B0D,,1030431,1,,404542,2014,10-04-2014,Graduate,Male,50057200,0
Haryana,Gurgaon,Bharatiya Janata Party,inderjitsinghrao,64,GEN,#FB7B0D,,1320619,1,,644780,2014,10-04-2014,Graduate Professional,Male,250698763,0
Uttar Pradesh,Hamirpur,Bharatiya Janata Party,kunwarpushpendrasinghchandel,40,GEN,#FB7B0D,,1810445,1,,453884,2014,30-04-2014,Post Graduate,Male,71265181,1
Jammu & Kashmir,Baramulla,Jammu & Kashmir Peoples Democratic Party,muzaffarhussainbaig,,,#999,,465992,1,,175277,2014,,,,,
Jammu & Kashmir,Srinagar,Jammu & Kashmir Peoples Democratic Party,tariqhameedkarra,,,#999,,312212,1,,157923,2014,,,,,
Jammu & Kashmir,Anantnag,Jammu & Kashmir Peoples Democratic Party,mehboobamufti,,,#999,,375279,1,,200429,2014,,,,,
Jammu & Kashmir,Ladakh,Bharatiya Janata Party,thupstanchhewang,,,#FB7B0D,,118029,1,,31111,2014,,,,,
Jammu & Kashmir,Udhampur,Bharatiya Janata Party,drjitendrasingh,,,#FB7B0D,,1041758,1,,487369,2014,,,,,
Jammu & Kashmir,Jammu,Bharatiya Janata Party,jugalkishore,,,#FB7B0D,,1253593,1,,619995,2014,,,,,
Karnataka,Chikkodi,Indian National Congress,prakashbabannahukkeri,67,GEN,#019733,,1071103,1,,474373,2014,17-04-2014,12th,Male,75717628,0
Karnataka,Belgaum,Bharatiya Janata Party,angadisureshchannabasappa,58,GEN,#FB7B0D,,1078547,1,,554417,2014,17-04-2014,Graduate Professional,Male,417003065,1
Karnataka,Bagalkot,Bharatiya Janata Party,gaddigoudarparvtagoudachandanagouda,61,GEN,#FB7B0D,,1079310,1,,571548,2014,17-04-2014,Graduate Professional,Male,36362500,0
Karnataka,Bidar,Bharatiya Janata Party,bhagwanthkhuba,46,GEN,#FB7B0D,,959384,1,,459290,2014,17-04-2014,Graduate Professional,Male,56559290,0
Karnataka,Koppal,Bharatiya Janata Party,karadisangannaamarappa,59,GEN,#FB7B0D,,1006508,1,,486383,2014,17-04-2014,10th,Male,12127000,1
Karnataka,Dakshina Kannada,Bharatiya Janata Party,nalinkumarkateel,48,GEN,#FB7B0D,,1207474,1,,642739,2014,17-04-2014,10th,Male,8789001,1
Karnataka,Tumkur,Indian National Congress,muddahanumegowdasp,59,GEN,#019733,,1101484,1,,429868,2014,17-04-2014,Graduate Professional,Male,30273812,0
Kerala,Kannur,Communist Party of India  (Marxist),pksreemathiteacher,64,GEN,#DE0000,,947117,1,,427622,2014,10-04-2014,Others,Female,16939970,8
