state,pc,party,name,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
Chhattisgarh,Durg,Indian National Congress,tamradhwajsahu,65,GEN,#019733,,1258342,1,,570687,2014,24-04-2014,12th,Male,21002226,0
Chhattisgarh,Mahasamund,Bharatiya Janata Party,chandulalsahuchandubhaiya,54,GEN,#FB7B0D,,1131209,1,,503514,2014,17-04-2014,Graduate Professional,Male,20879652,0
Chhattisgarh,Kanker,Bharatiya Janata Party,vikramdevusendi,48,GEN,#FB7B0D,,1016943,1,,465215,2014,17-04-2014,10th,Male,23376000,0
Jharkhand,Kodarma,Bharatiya Janata Party,ravindrakrray,50,GEN,#FB7B0D,,1024906,1,,365410,2014,10-04-2014,Doctorate,Male,10564046,0
Uttarakhand,Hardwar,Bharatiya Janata Party,rameshpokhriyalnishank,54,GEN,#FB7B0D,,1175692,1,,592320,2014,07-05-2014,Doctorate,Male,17917274,1
Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bharatiya Janata Party,bishnupadaray,,,#FB7B0D,,190328,1,,90969,2014,,,,,
Chandigarh,Chandigarh,Bharatiya Janata Party,kherkirronanupam,61,GEN,#FB7B0D,,453455,1,,191362,2014,10-04-2014,Post Graduate,Female,335343871,0
Dadra & Nagar Haveli,Dadar & Nagar Haveli,Bharatiya Janata Party,patelnatubhaigomanbhai,,,#FB7B0D,,165286,1,,80790,2014,,,,,
Daman & Diu,Daman & Diu,Bharatiya Janata Party,patellalubhaibabubhai,,,#FB7B0D,,87233,1,,46960,2014,,,,,
Nct Of Delhi,Chandni Chowk,Bharatiya Janata Party,drharshvardhan,,,#FB7B0D,,981863,1,,437938,2014,,,,,
Nct Of Delhi,North East Delhi,Bharatiya Janata Party,manojtiwari,,,#FB7B0D,,1317338,1,,596125,2014,,,,,
Nct Of Delhi,East Delhi,Bharatiya Janata Party,maheishgirri,,,#FB7B0D,,1196336,1,,572202,2014,,,,,
Nct Of Delhi,New Delhi,Bharatiya Janata Party,meenakashilekhi,,,#FB7B0D,,969812,1,,453350,2014,,,,,
Nct Of Delhi,North West Delhi,Bharatiya Janata Party,uditraj,,,#FB7B0D,,1356036,1,,629860,2014,,,,,
Nct Of Delhi,West Delhi,Bharatiya Janata Party,parveshsahibsinghverma,,,#FB7B0D,,1347971,1,,651395,2014,,,,,
Nct Of Delhi,South Delhi,Bharatiya Janata Party,rameshbidhuri,,,#FB7B0D,,1102410,1,,497980,2014,,,,,
Puducherry,Puducherry,All India N.R. Congress,rradhakrishnan,,,#999,,740017,1,,255826,2014,,,,,
