age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#999,,BADRUDDIN AJMAL,All India United Democratic Front,DHUBRI,1369624,1,,Assam,592569,2014
,,#95b3d7,,NABA KUMAR SARANIA (HIRA),Independent,KOKRAJHAR,1223869,1,,Assam,634428,2014
,,#999,,SIRAJ UDDIN AJMAL,All India United Democratic Front,BARPETA,1205863,1,,Assam,394702,2014
,,#FB7B0D,,BIJOYA CHAKRAVARTY,Bharatiya Janata Party,GAUHATI,1511729,1,,Assam,764985,2014
,,#FB7B0D,,RAMEN DEKA,Bharatiya Janata Party,MANGALDOI,1233237,1,,Assam,486357,2014
,,#FB7B0D,,RAM PRASAD SARMAH,Bharatiya Janata Party,TEZPUR,980688,1,,Assam,446511,2014
,,#FB7B0D,,RAJEN GOHAIN,Bharatiya Janata Party,NOWGONG,1230074,1,,Assam,494146,2014
,,#019733,,GOURAV GOGOI,Indian National Congress,KALIABOR,1166490,1,,Assam,443315,2014
,,#FB7B0D,,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,JORHAT,931336,1,,Assam,456420,2014
,,#FB7B0D,,RAMESWAR TELI,Bharatiya Janata Party,DIBRUGARH,890968,1,,Assam,494364,2014
,,#FB7B0D,,SARBANANDA SONOWAL,Bharatiya Janata Party,LAKHIMPUR,1111975,1,,Assam,612543,2014
,,#FB7B0D,,SATISH CHANDRA DUBEY,Bharatiya Janata Party,VALMIKI NAGAR,900114,1,,Bihar,364011,2014
,,#FB7B0D,,DR. SANJAY JAISWAL,Bharatiya Janata Party,PASCHIM CHAMPARAN,854800,1,,Bihar,371232,2014
,,#FB7B0D,,RADHA MOHAN SINGH,Bharatiya Janata Party,PURVI CHAMPARAN,822671,1,,Bihar,400452,2014
,,#FB7B0D,,RAMA DEVI,Bharatiya Janata Party,SHEOHAR,842894,1,,Bihar,372506,2014
,,#999,,RAM KUMAR SHARMA,Rashtriya Lok Samta Party,SITAMARHI,900588,1,,Bihar,411265,2014
,,#FB7B0D,,HUKM DEO NARAYAN YADAV,Bharatiya Janata Party,MADHUBANI,860453,1,,Bihar,358040,2014
,,#FB7B0D,,BIRENDRA KUMAR CHAUDHARY,Bharatiya Janata Party,JHANJHARPUR,941249,1,,Bihar,335481,2014
,,#019733,,RANJEET RANJAN,Indian National Congress,SUPAUL,970528,1,,Bihar,332927,2014
,,#999,,TASLEEM UDDIN,Rashtriya Janata Dal,ARARIA,975811,1,,Bihar,407978,2014
,,#019733,,MOHAMMAD ASRARUL HAQUE,Indian National Congress,KISHANGANJ,928490,1,,Bihar,493461,2014
,,#999,,TARIQ ANWAR,Nationalist Congress Party,KATIHAR,977830,1,,Bihar,431292,2014
,,#8064a2,,SANTOSH KUMAR,Janata Dal  (United),PURNIA,1017732,1,,Bihar,418826,2014
,,#999,,RAJESH RANJAN @ PAPPU YADAV,Rashtriya Janata Dal,MADHEPURA,1034799,1,,Bihar,368937,2014
,,#FB7B0D,,KIRTI AZAD,Bharatiya Janata Party,DARBHANGA,828342,1,,Bihar,314949,2014
,,#FB7B0D,,AJAY NISHAD,Bharatiya Janata Party,MUZAFFARPUR,948887,1,,Bihar,469295,2014
,,#999,,RAMA KISHORE SINGH,Lok Jan Shakti Party,VAISHALI,925937,1,,Bihar,305450,2014
,,#FB7B0D,,JANAK RAM,Bharatiya Janata Party,GOPALGANJ (SC),903583,1,,Bihar,478773,2014
,,#FB7B0D,,OM PRAKASH YADAV,Bharatiya Janata Party,SIWAN,884021,1,,Bihar,372670,2014
,,#FB7B0D,,PANKAJ,Bharatiya Janata Party,MAHARAJGANJ,1902732,1,,Uttar Pradesh,471542,2014
,,#FB7B0D,,RAJIV PRATAP RUDY,Bharatiya Janata Party,SARAN,863254,1,,Bihar,355120,2014
,,#999,,RAMVILAS PASWAN,Lok Jan Shakti Party,HAJIPUR (SC),904753,1,,Bihar,455652,2014
,,#FB7B0D,,NITYANAND RAI,Bharatiya Janata Party,UJIARPUR,858920,1,,Bihar,317352,2014
,,#999,,RAM CHANDRA PASWAN,Lok Jan Shakti Party,SAMASTIPUR (SC),863199,1,,Bihar,270401,2014
,,#FB7B0D,,BHOLA SINGH,Bharatiya Janata Party,BEGUSARAI,1077855,1,,Bihar,428227,2014
,,#999,,CHOUDHARY MAHBOOB ALI KAISER,Lok Jan Shakti Party,KHAGARIA,896231,1,,Bihar,313806,2014
,,#999,,SHAILESH KUMAR URPH BULO MANDAL,Rashtriya Janata Dal,BHAGALPUR,974016,1,,Bihar,367623,2014
,,#999,,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,BANKA,899353,1,,Bihar,285150,2014
,,#999,,VEENA DEVI,Lok Jan Shakti Party,MUNGER,914350,1,,Bihar,352911,2014
,,#8064a2,,KAUSHLENDRA KUMAR,Janata Dal  (United),NALANDA,921761,1,,Bihar,321982,2014
,,#FB7B0D,,SHATRUGHANA SINHA,Bharatiya Janata Party,PATNA SAHIB,882262,1,,Bihar,485905,2014
,,#FB7B0D,,RAM KRIPAL YADAV,Bharatiya Janata Party,PATALIPUTRA,978649,1,,Bihar,383262,2014
,,#FB7B0D,,RAJ KUMAR SINGH,Bharatiya Janata Party,ARRAH,893213,1,,Bihar,391074,2014
,,#FB7B0D,,ASHWINI KUMAR CHOUBEY,Bharatiya Janata Party,BUXAR,888204,1,,Bihar,319012,2014
,,#FB7B0D,,CHHEDI PASWAN,Bharatiya Janata Party,SASARAM (SC),846788,1,,Bihar,366087,2014
