constituency,pc,condition
Firozabad,Firozabad,TRUE
Firozpur,Firozpur,TRUE
Gadchiroli-Chimur,Gadchiroli-Chimur,TRUE
Gandhinagar,Gandhinagar,TRUE
Ganganagar,Ganganagar,TRUE
Garhwal,Garhwal,TRUE
Gauhati,Gauhati,TRUE
Gautam Budhha Nagar,Gautam Buddha Nagar,FALSE
Gaya,Gaya (Sc),FALSE
Ghatal,Ghatal,TRUE
Ghaziabad,Ghaziabad,TRUE
Ghazipur,Ghazipur,TRUE
Ghosi,Ghosi,TRUE
Giridih,Giridih,TRUE
Godda,Godda,TRUE
Gonda,Gonda,TRUE
Gopalganj,Gopalganj (Sc),FALSE
Gorakhpur,Gorakhpur,TRUE
Gulbarga,Gulbarga,TRUE
Guna,Guna,TRUE
Guntur,Guntur,TRUE
Gurdaspur,Gurdaspur,TRUE
Gurgaon,Gurgaon,TRUE
Gwalior,Gwalior,TRUE
Hajipur,Hajipur (Sc),FALSE
Hamirpur,Hamirpur,TRUE
Hardoi,Hardoi,TRUE
Hardwar,Hardwar,TRUE
Hassan,Hassan,TRUE
Hathras,Hathras,TRUE
Hatkanangle,Hatkanangle,TRUE
Haveri,Haveri,TRUE
Hazaribagh,Hazaribagh,TRUE
Hindupur,Hindupur,TRUE
Hingoli,Hingoli,TRUE
Hisar,Hisar,TRUE
Hooghly,Hooghly,TRUE
Hoshangabad,Hoshangabad,TRUE
Hoshiarpur,Hoshiarpur,TRUE
Howrah,Howrah,TRUE
Hyderabad,Hyderabad,TRUE
Idukki,Idukki,TRUE
Indore,Indore,TRUE
Inner Manipur,Inner Manipur,TRUE
Jabalpur,Jabalpur,TRUE
Jadavpur,Jadavpur,TRUE
Jagatsinghpur,Jagatsinghpur,TRUE
Jahanabad,Jahanabad,TRUE
Jaipur,Jaipur,TRUE
Jaipur Rural,Jaipur Rural,TRUE
Jajpur,Jajpur,TRUE
Jalandhar,Jalandhar,TRUE
Jalaun,Jalaun,TRUE
Jalgaon,Jalgaon,TRUE
Jalna,Jalna,TRUE
Jalore,Jalore,TRUE
Jalpaiguri,Jalpaiguri,TRUE
Jammu,Jammu,TRUE
Jamnagar,Jamnagar,TRUE
Jamshedpur,Jamshedpur,TRUE
Jamui,Jamui (Sc),FALSE
Jangipur,Jangipur,TRUE
Janjgir-Champa,Janjgir-Champa,TRUE
Jaunpur,Jaunpur,TRUE
Jaynagar,Joynagar,FALSE
Jhalawar-Baran,Jhalawar-Baran,TRUE
Jhanjharpur,Jhanjharpur,TRUE
Jhansi,Jhansi,TRUE
Jhargram,Jhargram,TRUE
Jhunjhunu,Jhunjhunu,TRUE
Jodhpur,Jodhpur,TRUE
Jorhat,Jorhat,TRUE
Junagadh,Junagadh,TRUE
Kachchh,Kachchh,TRUE
Kadapa,Kadapa,TRUE
Kairana,Kairana,TRUE
Kaiserganj,Kaiserganj,TRUE
Kakinada,Kakinada,TRUE
Kalahandi,Kalahandi,TRUE
Kaliabor,Kaliabor,TRUE
Kallakurichi,Kallakurichi,TRUE
Kalyan,Kalyan,TRUE
Kancheepuram,Kancheepuram,TRUE
Kandhamal,Kandhamal,TRUE
Kangra,Kangra,TRUE
Kanker,Kanker,TRUE
Kannauj,Kannauj,TRUE
Kanniyakumari,Kanniyakumari,TRUE
Kannur,Kannur,TRUE
Kanpur,Kanpur,TRUE
Kanthi,Kanthi,TRUE
Karakat,Karakat,TRUE
Karauli-Dholpur,Karauli-Dholpur,TRUE
Karimganj,Karimganj,TRUE
Karimnagar,Karimnagar,TRUE
Karnal,Karnal,TRUE
Karur,Karur,TRUE
Kasaragod,Kasaragod,TRUE
Katihar,Katihar,TRUE
Kaushambi,Kaushambi,TRUE
Kendrapara,Kendrapara,TRUE
Keonjhar,Keonjhar,TRUE
Khadoor Sahib,Khadoor Sahib,TRUE
Khagaria,Khagaria,TRUE
Khajuraho,Khajuraho,TRUE
Khammam,Khammam,TRUE
Khandwa,Khandwa,TRUE
Khargone,Khargone,TRUE
Kheda,Kheda,TRUE
Kheri,Kheri,TRUE
Khunti,Khunti,TRUE
Kishanganj,Kishanganj,TRUE
Kodarma,Kodarma,TRUE
Kokrajhar,Kokrajhar,TRUE
Kolar,Kolar,TRUE
Kolhapur,Kolhapur,TRUE
Kolkata Dakshin,Kolkata Dakshin,TRUE
Kolkata Uttar,Kolkata Uttar,TRUE
Kollam,Kollam,TRUE
Koppal,Koppal,TRUE
Koraput,Koraput,TRUE
Korba,Korba,TRUE
Kota,Kota,TRUE
