name,state,pc,party,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
eahamed,Kerala,Malappuram,Indian Union Muslim League,76,GEN,#999,,853467,1,,437723,2014,10-04-2014,Graduate Professional,Male,11818952,1
etmohammedbasheer,Kerala,Ponnani,Indian Union Muslim League,67,GEN,#999,,871592,1,,378503,2014,10-04-2014,12th,Male,13216259,0
mbrajesh,Kerala,Palakkad,Communist Party of India  (Marxist),43,GEN,#DE0000,,910322,1,,412897,2014,10-04-2014,Graduate Professional,Male,4676316,11
pkbiju,Kerala,Alathur,Communist Party of India  (Marxist),39,GEN,#DE0000,,927228,1,,411808,2014,10-04-2014,Post Graduate,Male,3231047,0
cnjayadevan,Kerala,Thrissur,Communist Party of India,63,GEN,#DE0000,,920505,1,,389209,2014,10-04-2014,Post Graduate,Male,20041642,3
innocent,Kerala,Chalakudy,Independent,66,GEN,#95b3d7,,884033,1,,358440,2014,10-04-2014,8th,Male,54474761,0
profkvthomas,Kerala,Ernakulam,Indian National Congress,,,#019733,,850834,1,,353841,2014,,,,,
advjoicegeorge,Kerala,Idukki,Independent,44,GEN,#95b3d7,,819766,1,,382019,2014,10-04-2014,Graduate Professional,Male,17396207,4
josekmani,Kerala,Kottayam,Kerala Congress  (M),49,GEN,#999,,831636,1,,424194,2014,10-04-2014,Post Graduate,Male,26236371,0
kcvenugopal,Kerala,Alappuzha,Indian National Congress,51,GEN,#019733,,997464,1,,462525,2014,10-04-2014,Post Graduate,Male,12856075,0
kodikunnilsuresh,Kerala,Mavelikkara,Indian National Congress,52,GEN,#019733,,889060,1,,402432,2014,10-04-2014,Graduate Professional,Male,13251330,1
antoantony,Kerala,Pathanamthitta,Indian National Congress,57,GEN,#019733,,869452,1,,358842,2014,10-04-2014,Graduate,Male,5410884,0
nkpremachandran,Kerala,Kollam,Revolutionary Socialist Party,53,GEN,#999,,879056,1,,408528,2014,10-04-2014,Graduate Professional,Male,16228989,1
drasampath,Kerala,Attingal,Communist Party of India  (Marxist),,,#DE0000,,859350,1,,392478,2014,,,,,
drshashitharoor,Kerala,Thiruvananthapuram,Indian National Congress,58,GEN,#019733,,873439,1,,297806,2014,10-04-2014,Doctorate,Male,230275186,0
anoopmishra,Madhya Pradesh,Morena,Bharatiya Janata Party,57,GEN,#FB7B0D,,854279,1,,375567,2014,17-04-2014,12th,Male,110523112,0
drbhagirathprasad,Madhya Pradesh,Bhind,Bharatiya Janata Party,,,#FB7B0D,,729084,1,,404474,2014,,,,,
narendrasinghtomar,Madhya Pradesh,Gwalior,Bharatiya Janata Party,56,GEN,#FB7B0D,,990912,1,,442796,2014,17-04-2014,Graduate,Male,11412622,1
jyotiradityamscindia,Madhya Pradesh,Guna,Indian National Congress,43,GEN,#019733,,976629,1,,517036,2014,17-04-2014,Post Graduate,Male,330888751,0
laxminarayanyadav,Madhya Pradesh,Sagar,Bharatiya Janata Party,73,GEN,#FB7B0D,,891929,1,,482580,2014,17-04-2014,Post Graduate,Male,23962099,1
drvirendrakumar,Madhya Pradesh,Tikamgarh,Bharatiya Janata Party,60,GEN,#FB7B0D,,766321,1,,422979,2014,17-04-2014,Doctorate,Male,8764635,0
prahaladsinghpatel,Madhya Pradesh,Damoh,Bharatiya Janata Party,,,#FB7B0D,,912080,1,,513079,2014,,,,,
nagendrasingh,Madhya Pradesh,Khajuraho,Bharatiya Janata Party,72,GEN,#FB7B0D,,874477,1,,474966,2014,17-04-2014,Graduate,Male,44538002,0
ganeshsingh,Madhya Pradesh,Satna,Bharatiya Janata Party,51,GEN,#FB7B0D,,913444,1,,375288,2014,10-04-2014,Post Graduate,Male,37800000,2
janardanmishra,Madhya Pradesh,Rewa,Bharatiya Janata Party,58,GEN,#FB7B0D,,830002,1,,383320,2014,10-04-2014,Graduate Professional,Male,10156568,0
ritipathak,Madhya Pradesh,Sidhi,Bharatiya Janata Party,36,GEN,#FB7B0D,,989396,1,,475678,2014,10-04-2014,Post Graduate,Female,33416561,0
dalpatsinghparaste,Madhya Pradesh,Shahdol,Bharatiya Janata Party,61,GEN,#FB7B0D,,968518,1,,525419,2014,10-04-2014,Graduate Professional,Male,5524870,0
rakeshsingh,Madhya Pradesh,Jabalpur,Bharatiya Janata Party,,,#FB7B0D,,1002184,1,,564609,2014,,,,,
faggansinghkulaste,Madhya Pradesh,Mandla,Bharatiya Janata Party,54,GEN,#FB7B0D,,1218518,1,,585720,2014,10-04-2014,Post Graduate,Male,25738420,2
bodhsinghbhagat,Madhya Pradesh,Balaghat,Bharatiya Janata Party,57,GEN,#FB7B0D,,1113364,1,,480594,2014,10-04-2014,Graduate,Male,24959436,0
kamalnath,Madhya Pradesh,Chhindwara,Indian National Congress,67,GEN,#019733,,1107498,1,,559755,2014,10-04-2014,Graduate,Male,2069080434,0
udaypratapsingh,Madhya Pradesh,Hoshangabad,Bharatiya Janata Party,49,GEN,#FB7B0D,,1031175,1,,669128,2014,10-04-2014,Graduate,Male,133375092,1
sushmaswaraj,Madhya Pradesh,Vidisha,Bharatiya Janata Party,62,GEN,#FB7B0D,,1073473,1,,714348,2014,24-04-2014,Graduate Professional,Female,175516422,0
aloksanjar,Madhya Pradesh,Bhopal,Bharatiya Janata Party,50,GEN,#FB7B0D,,1130182,1,,714178,2014,17-04-2014,Graduate Professional,Male,14594066,0
rodmalnagar,Madhya Pradesh,Rajgarh,Bharatiya Janata Party,53,GEN,#FB7B0D,,1010724,1,,596727,2014,17-04-2014,Graduate,Male,28569974,0
manoharuntwal,Madhya Pradesh,Dewas,Bharatiya Janata Party,47,GEN,#FB7B0D,,1143968,1,,665646,2014,24-04-2014,12th,Male,6336490,0
profchintamanimalviya,Madhya Pradesh,Ujjain,Bharatiya Janata Party,,,#FB7B0D,,1016405,1,,641101,2014,,,,,
sudhirgupta,Madhya Pradesh,Mandsour,Bharatiya Janata Party,54,GEN,#FB7B0D,,1161349,1,,698335,2014,24-04-2014,Post Graduate,Male,57429237,0
dileepsinghbhuria,Madhya Pradesh,Ratlam,Bharatiya Janata Party,,,#FB7B0D,,1082681,1,,545970,2014,,,,,
savitrithakur,Madhya Pradesh,Dhar,Bharatiya Janata Party,35,GEN,#FB7B0D,,1076816,1,,558387,2014,24-04-2014,10th,Female,9606464,0
sumitramahajantai,Madhya Pradesh,Indore,Bharatiya Janata Party,,,#FB7B0D,,1316817,1,,854972,2014,,,,,
subhashpatel,Madhya Pradesh,Khargone,Bharatiya Janata Party,36,GEN,#FB7B0D,,1152525,1,,649354,2014,24-04-2014,Post Graduate,Male,36138699,0
nandkumarsinghchouhannandubhaiya,Madhya Pradesh,Khandwa,Bharatiya Janata Party,,,#FB7B0D,,1257327,1,,717357,2014,,,,,
jyotidhurve,Madhya Pradesh,Betul,Bharatiya Janata Party,47,GEN,#FB7B0D,,1047719,1,,643651,2014,24-04-2014,Post Graduate,Female,26232000,2
drgavitheenavaijaykumar,Maharashtra,Nandurbar,Bharatiya Janata Party,26,GEN,#FB7B0D,,1116676,1,,579486,2014,24-04-2014,Graduate Professional,Female,131103963,0
drbhamresubhashramrao,Maharashtra,Dhule,Bharatiya Janata Party,,,#FB7B0D,,983083,1,,529450,2014,,,,,
atnanapatil,Maharashtra,Jalgaon,Bharatiya Janata Party,,,#FB7B0D,,990332,1,,647773,2014,,,,,
khadaserakshanikhil,Maharashtra,Raver,Bharatiya Janata Party,26,GEN,#FB7B0D,,1009213,1,,605452,2014,24-04-2014,Graduate,Female,144222841,0
jadhavpratapraoganpatrao,Maharashtra,Buldhana,Shivsena,53,GEN,#F05A00,,978626,1,,509145,2014,10-04-2014,12th,Male,36033147,2
dhotresanjayshamrao,Maharashtra,Akola,Bharatiya Janata Party,,,#FB7B0D,,978491,1,,456472,2014,,,,,
adsulanandraovithoba,Maharashtra,Amravati,Shivsena,66,GEN,#F05A00,,1004061,1,,467212,2014,10-04-2014,Graduate,Male,32596257,1
ramdaschandrabhanjitadas,Maharashtra,Wardha,Bharatiya Janata Party,60,GEN,#FB7B0D,,1013445,1,,537518,2014,10-04-2014,10th,Male,33628998,5
krupalbalajitumane,Maharashtra,Ramtek,Shivsena,48,GEN,#F05A00,,1050316,1,,519892,2014,10-04-2014,Graduate,Male,46564362,1
gadkarinitinjairam,Maharashtra,Nagpur,Bharatiya Janata Party,56,GEN,#FB7B0D,,1085058,1,,587767,2014,10-04-2014,Graduate Professional,Male,153704475,4
nanabhaufalgunraopatole,Maharashtra,Bhandara - Gondiya,Bharatiya Janata Party,,,#FB7B0D,,1197196,1,,606129,2014,,,,,
ashokmahadeoraonete,Maharashtra,Gadchiroli-Chimur,Bharatiya Janata Party,50,GEN,#FB7B0D,,1027129,1,,535982,2014,10-04-2014,12th,Male,12125676,0
ahirhansrajgangaram,Maharashtra,Chandrapur,Bharatiya Janata Party,59,GEN,#FB7B0D,,1109743,1,,508049,2014,10-04-2014,10th,Male,15548000,11
gawalibhavanapundlikrao,Maharashtra,Yavatmal-Washim,Shivsena,41,GEN,#F05A00,,1032949,1,,477905,2014,10-04-2014,Graduate,Female,60886040,4
rajeevshankarraosatav,Maharashtra,Hingoli,Indian National Congress,39,GEN,#019733,,1051164,1,,467397,2014,17-04-2014,Graduate Professional,Male,49681499,0
ashokshankarraochavan,Maharashtra,Nanded,Indian National Congress,,,#019733,,1013350,1,,493075,2014,,,,,
jadhavsanjaybanduharibhau,Maharashtra,Parbhani,Shivsena,47,GEN,#F05A00,,1162233,1,,578455,2014,17-04-2014,10th,Male,31016711,7
danveraosahebdadarao,Maharashtra,Jalna,Bharatiya Janata Party,60,GEN,#FB7B0D,,1066259,1,,591428,2014,24-04-2014,Graduate,Male,184411862,4
chavanharishchandradeoram,Maharashtra,Dindori,Bharatiya Janata Party,62,GEN,#FB7B0D,,970182,1,,542784,2014,24-04-2014,Graduate,Male,37240147,1
godsehemanttukaram,Maharashtra,Nashik,Shivsena,,,#F05A00,,937405,1,,494735,2014,,,,,
advchintamannavashawanga,Maharashtra,Palghar,Bharatiya Janata Party,,,#FB7B0D,,992618,1,,533201,2014,,,,,
kapilmoreshwarpatil,Maharashtra,Bhiwandi,Bharatiya Janata Party,53,GEN,#FB7B0D,,875605,1,,411070,2014,24-04-2014,Graduate,Male,363758831,0
drshrikanteknathshinde,Maharashtra,Kalyan,Shivsena,27,GEN,#F05A00,,824196,1,,440892,2014,24-04-2014,Graduate Professional,Male,998000,0
vicharerajanbaburao,Maharashtra,Thane,Shivsena,52,GEN,#F05A00,,1054189,1,,595364,2014,24-04-2014,10th,Male,102091612,13
gopalchinayyashetty,Maharashtra,Mumbai North,Bharatiya Janata Party,60,GEN,#FB7B0D,,946562,1,,664004,2014,24-04-2014,5th,Male,95617889,10
gajananchandrakantkirtikar,Maharashtra,Mumbai North West,Shivsena,70,GEN,#F05A00,,895517,1,,464820,2014,24-04-2014,Graduate,Male,58352000,0
kiritsomaiya,Maharashtra,Mumbai North East,Bharatiya Janata Party,60,GEN,#FB7B0D,,861761,1,,525285,2014,24-04-2014,Doctorate,Male,72156258,10
poonammahajanaliaspoonamvajendlarao,Maharashtra,Mumbai North Central,Bharatiya Janata Party,33,GEN,#FB7B0D,,845292,1,,478535,2014,24-04-2014,Others,Female,1080867626,0
rahulrameshshewale,Maharashtra,Mumbai South Central,Shivsena,,,#F05A00,,769060,1,,381275,2014,,,,,
arvindsawant,Maharashtra,Mumbai   South,Shivsena,,,#F05A00,,780715,1,,374780,2014,,,,,
anantgeete,Maharashtra,Raigad,Shivsena,,,#F05A00,,987766,1,,396178,2014,,,,,
appaaliasshrirangchandubarne,Maharashtra,Maval,Shivsena,,,#F05A00,,1174335,1,,512226,2014,,,,,
anilshirole,Maharashtra,Pune,Bharatiya Janata Party,63,GEN,#FB7B0D,,993274,1,,569825,2014,17-04-2014,Graduate,Male,227615279,2
supriyasule,Maharashtra,Baramati,Nationalist Congress Party,44,GEN,#999,,1066556,1,,521562,2014,17-04-2014,Graduate,Female,1139090851,0
adhalraoshivajidattatrey,Maharashtra,Shirur,Shivsena,59,GEN,#F05A00,,1089506,1,,643415,2014,17-04-2014,Post Graduate,Male,253598315,10
gandhidilipkumarmansukhlal,Maharashtra,Ahmadnagar,Bharatiya Janata Party,,,#FB7B0D,,1062318,1,,605185,2014,,,,,
lokhandesadashivkisan,Maharashtra,Shirdi,Shivsena,51,GEN,#F05A00,,932645,1,,532936,2014,17-04-2014,10th,Male,38294539,1
mundegopinathraopandurang,Maharashtra,Beed,Bharatiya Janata Party,66,GEN,#FB7B0D,,1232202,1,,635995,2014,17-04-2014,Graduate Professional,Male,380072890,3
gaikwadravindravishwanath,Maharashtra,Osmanabad,Shivsena,54,GEN,#F05A00,,1118151,1,,607699,2014,17-04-2014,Post Graduate,Male,32852793,8
drsunilbaliramgaikwad,Maharashtra,Latur,Bharatiya Janata Party,,,#FB7B0D,,1057156,1,,616509,2014,,,,,
sharadbansode,Maharashtra,Solapur,Bharatiya Janata Party,46,GEN,#FB7B0D,,951201,1,,517879,2014,17-04-2014,Graduate Professional,Male,60152887,1
mohitepatilvijaysinhshankarrao,Maharashtra,Madha,Nationalist Congress Party,69,GEN,#999,,1079619,1,,489989,2014,17-04-2014,10th,Male,170253390,1
sanjaykakapatil,Maharashtra,Sangli,Bharatiya Janata Party,49,GEN,#FB7B0D,,1046659,1,,611563,2014,17-04-2014,10th,Male,108791027,0
shrimantchhudayanrajepratapsinhabhonsale,Maharashtra,Satara,Nationalist Congress Party,-,-,#999,,976681,1,,522531,2014,17-04-2014,-, -,-,-
vinayakbhauraoraut,Maharashtra,Ratnagiri - Sindhudurg,Shivsena,,,#F05A00,,896256,1,,493088,2014,,,,,
dhananjaybhimraomahadik,Maharashtra,Kolhapur,Nationalist Congress Party,42,GEN,#999,,1260289,1,,607665,2014,17-04-2014,Graduate,Male,448882000,1
rajushetty,Maharashtra,Hatkanangle,Swabhimani Paksha,46,GEN,#999,,1188871,1,,640428,2014,17-04-2014,10th,Male,16152914,12
drthokchommeinya,Manipur,Inner Manipur,Indian National Congress,69,GEN,#019733,,640871,1,,292102,2014,17-04-2014,Doctorate,Male,3825200,0
thangsobaite,Manipur,Outer Manipur,Indian National Congress,61,GEN,#019733,,771766,1,,296770,2014,09-04-2014,Post Graduate,Male,5947000,0
vincenthpala,Meghalaya,Shillong,Indian National Congress,46,GEN,#019733,,619987,1,,209340,2014,09-04-2014,Graduate Professional,Male,497108058,0
purnoagitoksangma,Meghalaya,Tura,National Peoples Party,66,GEN,#999,,458071,1,,239301,2014,09-04-2014,Post Graduate,Male,215134618,0
clruala,Mizoram,Mizoram,Indian National Congress,78,GEN,#019733,,433201,1,,210485,2014,11-04-2014,Graduate,Male,25733421,0
neiphiurio,Nagaland,Nagaland,Naga Peoples Front,63,GEN,#999,,1038910,1,,713372,2014,09-04-2014,Graduate,Male,315834264,0
prabhaskumarsingh,Odisha,Bargarh,Biju Janata Dal,,,#000000,,1123301,1,,383230,2014,,,,,
jual@jueloram,Odisha,Sundargarh,Bharatiya Janata Party,,,#FB7B0D,,1010711,1,,340508,2014,,,,,
nagendrakumarpradhan,Odisha,Sambalpur,Biju Janata Dal,,,#000000,,984309,1,,358618,2014,,,,,
sakuntalalaguri,Odisha,Keonjhar,Biju Janata Dal,,,#000000,,1083869,1,,434471,2014,,,,,
ramachandrahansdah,Odisha,Mayurbhanj,Biju Janata Dal,,,#000000,,1053399,1,,393779,2014,,,,,
rabindrakumarjena,Odisha,Balasore,Biju Janata Dal,,,#000000,,1049450,1,,433768,2014,,,,,
arjuncharansethi,Odisha,Bhadrak,Biju Janata Dal,,,#000000,,1081339,1,,502338,2014,,,,,
ritatarai,Odisha,Jajpur,Biju Janata Dal,,,#000000,,980435,1,,541349,2014,,,,,
tathagatasatpathy,Odisha,Dhenkanal,Biju Janata Dal,,,#000000,,1042101,1,,453277,2014,,,,,
kalikeshnarayansinghdeo,Odisha,Bolangir,Biju Janata Dal,,,#000000,,1170405,1,,453519,2014,,,,,
arkakesharideo,Odisha,Kalahandi,Biju Janata Dal,,,#000000,,1117536,1,,370871,2014,,,,,
balabhadramajhi,Odisha,Nabarangpur,Biju Janata Dal,,,#000000,,1022172,1,,373887,2014,,,,,
hemendrachandrasingh,Odisha,Kandhamal,Biju Janata Dal,,,#000000,,839415,1,,421458,2014,,,,,
bhartruharimahatab,Odisha,Cuttack,Biju Janata Dal,,,#000000,,978604,1,,526085,2014,,,,,
baijayantpanda,Odisha,Kendrapara,Biju Janata Dal,,,#000000,,1140999,1,,601574,2014,,,,,
kulamanisamal,Odisha,Jagatsinghpur,Biju Janata Dal,,,#000000,,1131932,1,,624492,2014,,,,,
pinakimisra,Odisha,Puri,Biju Janata Dal,,,#000000,,1039389,1,,523161,2014,,,,,
prasannakumarpatasani,Odisha,Bhubaneswar,Biju Janata Dal,,,#000000,,891822,1,,439252,2014,,,,,
ladukishoreswain,Odisha,Aska,Biju Janata Dal,,,#000000,,896281,1,,541473,2014,,,,,
sidhantmohapatra,Odisha,Berhampur,Biju Janata Dal,,,#000000,,905362,1,,398107,2014,,,,,
jhinahikaka,Odisha,Koraput,Biju Janata Dal,,,#000000,,989444,1,,395109,2014,,,,,
vinodkhanna,Punjab,Gurdaspur,Bharatiya Janata Party,68,GEN,#FB7B0D,,1042699,1,,482255,2014,30-04-2014,Graduate,Male,669343376,0
captainamarindersingh,Punjab,Amritsar,Indian National Congress,72,GEN,#019733,,1007196,1,,482876,2014,30-04-2014,Graduate,Male,863564071,3
ranjitsinghbrahmpura,Punjab,Khadoor Sahib,Shiromani Akali Dal,76,GEN,#999,,1040518,1,,467332,2014,30-04-2014,8th,Male,177814755,0
santokhsinghchaudhary,Punjab,Jalandhar,Indian National Congress,67,GEN,#019733,,1040762,1,,380479,2014,30-04-2014,Graduate Professional,Male,104040531,0
vijaysampla,Punjab,Hoshiarpur,Bharatiya Janata Party,52,GEN,#FB7B0D,,961297,1,,346643,2014,30-04-2014,10th,Male,15164322,0
premsinghchandumajra,Punjab,Anandpur Sahib,Shiromani Akali Dal,64,GEN,#999,,1086563,1,,347394,2014,30-04-2014,Post Graduate,Male,141599902,0
ravneetsinghbittu,Punjab,Ludhiana,Indian National Congress,38,GEN,#019733,,1100457,1,,300459,2014,30-04-2014,12th,Male,31509170,0
harindersinghkhalsa,Punjab,Fatehgarh Sahib,Aam Aadmi Party,67,GEN,#999,,1030954,1,,367293,2014,30-04-2014,Post Graduate,Male,35588128,0
profsadhusingh,Punjab,Faridkot,Aam Aadmi Party,73,GEN,#999,,1032107,1,,450751,2014,30-04-2014,Post Graduate,Male,5879516,0
shersinghghubaya,Punjab,Firozpur,Shiromani Akali Dal,51,GEN,#999,,1105412,1,,487932,2014,30-04-2014,10th,Male,96121057,0
harsimratkaurbadal,Punjab,Bathinda,Shiromani Akali Dal,47,GEN,#999,,1176767,1,,514727,2014,30-04-2014,10th,Female,1081664910,0
bhagwantmann,Punjab,Sangrur,Aam Aadmi Party,41,GEN,#999,,1099467,1,,533237,2014,30-04-2014,12th,Male,43057512,0
drdharamviragandhi,Punjab,Patiala,Aam Aadmi Party,63,GEN,#999,,1120933,1,,365671,2014,30-04-2014,Graduate Professional,Male,45115421,0
nihalchand,Rajasthan,Ganganagar,Bharatiya Janata Party,43,GEN,#FB7B0D,,1256806,1,,658130,2014,17-04-2014,Graduate,Male,10861172,0
arjunrammeghwal,Rajasthan,Bikaner,Bharatiya Janata Party,60,GEN,#FB7B0D,,929751,1,,584932,2014,17-04-2014,Post Graduate,Male,18142863,0
rahulkaswan,Rajasthan,Churu,Bharatiya Janata Party,37,GEN,#FB7B0D,,1131104,1,,595756,2014,17-04-2014,Graduate,Male,25721266,0
santoshahlawat,Rajasthan,Jhunjhunu,Bharatiya Janata Party,57,GEN,#FB7B0D,,1006465,1,,488182,2014,17-04-2014,Post Graduate,Female,35897048,0
sumedhanandsaraswati,Rajasthan,Sikar,Bharatiya Janata Party,62,GEN,#FB7B0D,,1065750,1,,499428,2014,17-04-2014,Others,Male,34311,0
rajyavardhansinghrathore,Rajasthan,Jaipur Rural,Bharatiya Janata Party,44,GEN,#FB7B0D,,1013691,1,,632930,2014,17-04-2014,Graduate,Male,83734044,0
ramcharanbohara,Rajasthan,Jaipur,Bharatiya Janata Party,56,GEN,#FB7B0D,,1296806,1,,863358,2014,17-04-2014,12th,Male,135809546,0
chandnath,Rajasthan,Alwar,Bharatiya Janata Party,,,#FB7B0D,,1062305,1,,642278,2014,,,,,
bahadursingh,Rajasthan,Bharatpur,Bharatiya Janata Party,56,GEN,#FB7B0D,,962432,1,,579825,2014,24-04-2014,Literate,Male,19142363,0
manojrajoria,Rajasthan,Karauli-Dholpur,Bharatiya Janata Party,43,GEN,#FB7B0D,,845941,1,,402407,2014,24-04-2014,12th,Male,28636113,0
harishchandrameena,Rajasthan,Dausa,Bharatiya Janata Party,,,#FB7B0D,,930492,1,,315059,2014,,,,,
sukhbirsinghjaunapuria,Rajasthan,Tonk-Sawai Madhopur,Bharatiya Janata Party,56,GEN,#FB7B0D,,1043040,1,,548179,2014,24-04-2014,12th,Male,714124612,0
sanwarlaljat,Rajasthan,Ajmer,Bharatiya Janata Party,59,GEN,#FB7B0D,,1156314,1,,637874,2014,17-04-2014,Doctorate,Male,18064656,0
crchoudhary,Rajasthan,Nagaur,Bharatiya Janata Party,66,GEN,#FB7B0D,,1004019,1,,414791,2014,17-04-2014,Post Graduate,Male,17921949,0
ppchoudhary,Rajasthan,Pali,Bharatiya Janata Party,60,GEN,#FB7B0D,,1095587,1,,711772,2014,17-04-2014,Graduate Professional,Male,353503467,0
gajendrasinghshekhawat,Rajasthan,Jodhpur,Bharatiya Janata Party,46,GEN,#FB7B0D,,1078598,1,,713515,2014,17-04-2014,Post Graduate,Male,143491494,0
colsonaram,Rajasthan,Barmer,Bharatiya Janata Party,73,GEN,#FB7B0D,,1219119,1,,488747,2014,17-04-2014,Graduate Professional,Male,174678454,1
devjipatel,Rajasthan,Jalore,Bharatiya Janata Party,37,GEN,#FB7B0D,,1087272,1,,580508,2014,17-04-2014,10th,Male,51846777,0
arjunlalmeena,Rajasthan,Udaipur,Bharatiya Janata Party,49,GEN,#FB7B0D,,1193202,1,,660373,2014,17-04-2014,Post Graduate,Male,17049951,0
manshankarninama,Rajasthan,Banswara,Bharatiya Janata Party,58,GEN,#FB7B0D,,1171188,1,,577433,2014,17-04-2014,8th,Male,4040285,0
chandraprakashjoshi,Rajasthan,Chittorgarh,Bharatiya Janata Party,,,#FB7B0D,,1172629,1,,703236,2014,,,,,
hariomsinghrathore,Rajasthan,Rajsamand,Bharatiya Janata Party,56,GEN,#FB7B0D,,982119,1,,644794,2014,17-04-2014,Graduate,Male,188310824,0
subhashbaheria,Rajasthan,Bhilwara,Bharatiya Janata Party,,,#FB7B0D,,1104090,1,,630317,2014,,,,,
ombirla,Rajasthan,Kota,Bharatiya Janata Party,51,GEN,#FB7B0D,,1154960,1,,644822,2014,17-04-2014,Post Graduate,Male,25870497,2
dushyantsingh,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,,,#FB7B0D,,1146364,1,,676102,2014,,,,,
premdasrai,Sikkim,Sikkim,Sikkim Democratic Front,59,GEN,#999,,308967,1,,163698,2014,12-04-2014,Post Graduate,Male,32389223,0
venugopalpdr,Tamil Nadu,Thiruvallur,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1254440,1,,628499,2014,,,,,
venkateshbabutg,Tamil Nadu,Chennai North,All India Anna Dravida Munnetra Kazhagam,53,GEN,#9DBC2A,,910114,1,,406704,2014,24-04-2014,Post Graduate,Male,37038275,0
drjjayavardhan,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,26,GEN,#9DBC2A,,1081163,1,,438404,2014,24-04-2014,Graduate Professional,Male,33959072,0
srvijayakumar,Tamil Nadu,Chennai Central,All India Anna Dravida Munnetra Kazhagam,40,GEN,#9DBC2A,,814894,1,,333296,2014,24-04-2014,Graduate Professional,Male,13401510,0
ramachandranknthiru,Tamil Nadu,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1286647,1,,545820,2014,,,,,
maragathamk,Tamil Nadu,Kancheepuram,All India Anna Dravida Munnetra Kazhagam,32,GEN,#9DBC2A,,1128399,1,,499395,2014,24-04-2014,12th,Female,18949050,0
harig,Tamil Nadu,Arakkonam,All India Anna Dravida Munnetra Kazhagam,53,GEN,#9DBC2A,,1089052,1,,493534,2014,24-04-2014,Post Graduate,Male,32966706,4
senguttuvanb,Tamil Nadu,Vellore,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,974770,1,,383719,2014,,,,,
ashokkumark,Tamil Nadu,Krishnagiri,All India Anna Dravida Munnetra Kazhagam,60,GEN,#9DBC2A,,1068391,1,,480491,2014,24-04-2014,10th,Male,1176436,3
anbumaniramadoss,Tamil Nadu,Dharmapuri,Pattali Makkal Katchi,45,GEN,#999,,1101345,1,,468194,2014,24-04-2014,Graduate Professional,Male,314378451,8
vanarojar,Tamil Nadu,Tiruvannamalai,All India Anna Dravida Munnetra Kazhagam,55,GEN,#9DBC2A,,1067447,1,,500751,2014,24-04-2014,Post Graduate,Female,3700000,0
velumalai,Tamil Nadu,Arani,All India Anna Dravida Munnetra Kazhagam,58,GEN,#9DBC2A,,1096046,1,,502721,2014,24-04-2014,Graduate Professional,Male,70492462,0
rajendrans,Tamil Nadu,Viluppuram,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1067641,1,,482704,2014,,,,,
kamarajk,Tamil Nadu,Kallakurichi,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1107241,1,,533383,2014,,,,,
pannerselvamv,Tamil Nadu,Salem,All India Anna Dravida Munnetra Kazhagam,55,GEN,#9DBC2A,,1150296,1,,556546,2014,24-04-2014,Graduate Professional,Male,32268097,0
sundarampr,Tamil Nadu,Namakkal,All India Anna Dravida Munnetra Kazhagam,62,GEN,#9DBC2A,,1058755,1,,563272,2014,24-04-2014,Graduate,Male,126539914,0
selvakumarachinnayans,Tamil Nadu,Erode,All India Anna Dravida Munnetra Kazhagam,55,GEN,#9DBC2A,,1008582,1,,466995,2014,24-04-2014,Post Graduate,Male,47459708,0
vsathyabama,Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,43,GEN,#9DBC2A,,1050190,1,,442778,2014,24-04-2014,Post Graduate,Female,28108573,2
gopalakrishnanc,Tamil Nadu,Nilgiris,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,933076,1,,463700,2014,,,,,
nagarajanp,Tamil Nadu,Coimbatore,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1176620,1,,431717,2014,,,,,
mahendranc,Tamil Nadu,Pollachi,All India Anna Dravida Munnetra Kazhagam,42,GEN,#9DBC2A,,1012667,1,,417092,2014,24-04-2014,Post Graduate,Male,231430367,0
udhayakumarm,Tamil Nadu,Dindigul,All India Anna Dravida Munnetra Kazhagam,45,GEN,#9DBC2A,,1083364,1,,510462,2014,24-04-2014,Post Graduate,Male,27810000,0
thambiduraim,Tamil Nadu,Karur,All India Anna Dravida Munnetra Kazhagam,67,GEN,#9DBC2A,,1046534,1,,540722,2014,24-04-2014,Doctorate,Male,132457262,2
kumarp,Tamil Nadu,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,988250,1,,458478,2014,,,,,
marutharajaarp,Tamil Nadu,Perambalur,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1030826,1,,462693,2014,,,,,
arunmozhithevana,Tamil Nadu,Cuddalore,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,984538,1,,481429,2014,,,,,
