sub_name,pc,party,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
vasavaparbhubhainagarbhai,Bardoli,Bharatiya Janata Party,,,#FB7B0D,,VASAVA PARBHUBHAI NAGARBHAI,1206179,1,,Gujarat,622769,2014,,,,,
darshanavikramjardosh,Surat,Bharatiya Janata Party,,,#FB7B0D,,DARSHANA VIKRAM JARDOSH,947922,1,,Gujarat,718412,2014,,,,,
crpatil,Navsari,Bharatiya Janata Party,,,#FB7B0D,,C. R. PATIL,1160747,1,,Gujarat,820831,2014,,,,,
charanjeetsinghrori,Sirsa,Indian National Lok Dal,,,#999,,CHARANJEET SINGH RORI,1279105,1,,Haryana,506370,2014,,,,,
rameshchander,Sonipat,Bharatiya Janata Party,,,#FB7B0D,,RAMESH CHANDER,985637,1,,Haryana,347203,2014,,,,,
deependersinghhooda,Rohtak,Indian National Congress,,,#019733,,DEEPENDER SINGH HOODA,1044331,1,,Haryana,490063,2014,,,,,
dharambirs/obhaleram,Bhiwani-Mahendragarh,Bharatiya Janata Party,,,#FB7B0D,,DHARAMBIR S/O BHALE RAM,1030431,1,,Haryana,404542,2014,,,,,
inderjitsinghrao,Gurgaon,Bharatiya Janata Party,,,#FB7B0D,,INDERJIT SINGH RAO,1320619,1,,Haryana,644780,2014,,,,,
kunwarpushpendrasinghchandel,Hamirpur,Bharatiya Janata Party,,,#FB7B0D,,KUNWAR PUSHPENDRA SINGH CHANDEL,1810445,1,,Uttar Pradesh,453884,2014,,,,,
prakashbabannahukkeri,Chikkodi,Indian National Congress,,,#019733,,PRAKASH BABANNA HUKKERI,1071103,1,,Karnataka,474373,2014,,,,,
angadisureshchannabasappa,Belgaum,Bharatiya Janata Party,,,#FB7B0D,,ANGADI SURESH CHANNABASAPPA,1078547,1,,Karnataka,554417,2014,,,,,
gaddigoudarparvtagoudachandanagouda,Bagalkot,Bharatiya Janata Party,,,#FB7B0D,,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,1079310,1,,Karnataka,571548,2014,,,,,
bhagwanthkhuba,Bidar,Bharatiya Janata Party,,,#FB7B0D,,BHAGWANTH KHUBA,959384,1,,Karnataka,459290,2014,,,,,
karadisangannaamarappa,Koppal,Bharatiya Janata Party,,,#FB7B0D,,KARADI SANGANNA AMARAPPA,1006508,1,,Karnataka,486383,2014,,,,,
nalinkumarkateel,Dakshina Kannada,Bharatiya Janata Party,,,#FB7B0D,,NALIN KUMAR KATEEL,1207474,1,,Karnataka,642739,2014,,,,,
