pc,party,sub_name,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
Jamnagar,Bharatiya Janata Party,poonambenhematbhaimaadam,39,GEN,#FB7B0D,,POONAMBEN HEMATBHAI MAADAM,852643,1,,Gujarat,484412,2014,30-04-2014,Graduate,Female,174372249,0
Bhavnagar,Bharatiya Janata Party,drbharatibendhirubhaishiyal,50,GEN,#FB7B0D,,DR. BHARATIBEN DHIRUBHAI SHIYAL,917402,1,,Gujarat,549529,2014,30-04-2014,Graduate Professional,Female,7748925,0
Anand,Bharatiya Janata Party,dilippatel,59,GEN,#FB7B0D,,DILIP PATEL,970894,1,,Gujarat,490829,2014,30-04-2014,10th,Male,75998610,4
Kheda,Bharatiya Janata Party,chauhandevusinhjesingbhaichauhandevusinh,49,GEN,#FB7B0D,,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),955906,1,,Gujarat,568235,2014,30-04-2014,12th,Male,9426376,0
Dahod,Bharatiya Janata Party,jasvantsinhsumanbhaibhabhor,47,GEN,#FB7B0D,,JASVANTSINH SUMANBHAI BHABHOR,900381,1,,Gujarat,511111,2014,30-04-2014,Graduate Professional,Male,19661231,0
Chhota Udaipur,Bharatiya Janata Party,ramsinhrathwa,62,GEN,#FB7B0D,,RAMSINH RATHWA,1100542,1,,Gujarat,607916,2014,30-04-2014,Post Graduate,Male,39769675,0
Bharuch,Bharatiya Janata Party,vasavamansukhbhaidhanjibhai,56,GEN,#FB7B0D,,VASAVA MANSUKHBHAI DHANJIBHAI,1060211,1,,Gujarat,548902,2014,30-04-2014,Post Graduate,Male,6571062,0
Bardoli,Bharatiya Janata Party,vasavaparbhubhainagarbhai,44,GEN,#FB7B0D,,VASAVA PARBHUBHAI NAGARBHAI,1206179,1,,Gujarat,622769,2014,30-04-2014,Others,Male,15909957,1
Surat,Bharatiya Janata Party,darshanavikramjardosh,0,GEN,#FB7B0D,,DARSHANA VIKRAM JARDOSH,947922,1,,Gujarat,718412,2014,30-04-2014,Graduate,Female,18038444,0
Navsari,Bharatiya Janata Party,crpatil,59,GEN,#FB7B0D,,C. R. PATIL,1160747,1,,Gujarat,820831,2014,30-04-2014,10th,Male,744761133,7
Sirsa,Indian National Lok Dal,charanjeetsinghrori,43,GEN,#999,,CHARANJEET SINGH RORI,1279105,1,,Haryana,506370,2014,10-04-2014,10th,Male,8146887,0
Sonipat,Bharatiya Janata Party,rameshchander,54,GEN,#FB7B0D,,RAMESH CHANDER,985637,1,,Haryana,347203,2014,10-04-2014,Graduate Professional,Male,142840716,0
Rohtak,Indian National Congress,deependersinghhooda,36,GEN,#019733,,DEEPENDER SINGH HOODA,1044331,1,,Haryana,490063,2014,10-04-2014,Post Graduate,Male,358749354,0
Bhiwani-Mahendragarh,Bharatiya Janata Party,dharambirs/obhaleram,59,GEN,#FB7B0D,,DHARAMBIR S/O BHALE RAM,1030431,1,,Haryana,404542,2014,10-04-2014,Graduate,Male,50057200,0
Gurgaon,Bharatiya Janata Party,inderjitsinghrao,64,GEN,#FB7B0D,,INDERJIT SINGH RAO,1320619,1,,Haryana,644780,2014,10-04-2014,Graduate Professional,Male,250698763,0
Hamirpur,Bharatiya Janata Party,kunwarpushpendrasinghchandel,40,GEN,#FB7B0D,,KUNWAR PUSHPENDRA SINGH CHANDEL,1810445,1,,Uttar Pradesh,453884,2014,30-04-2014,Post Graduate,Male,71265181,1
Chikkodi,Indian National Congress,prakashbabannahukkeri,67,GEN,#019733,,PRAKASH BABANNA HUKKERI,1071103,1,,Karnataka,474373,2014,17-04-2014,12th,Male,75717628,0
Belgaum,Bharatiya Janata Party,angadisureshchannabasappa,58,GEN,#FB7B0D,,ANGADI SURESH CHANNABASAPPA,1078547,1,,Karnataka,554417,2014,17-04-2014,Graduate Professional,Male,417003065,1
Bagalkot,Bharatiya Janata Party,gaddigoudarparvtagoudachandanagouda,61,GEN,#FB7B0D,,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,1079310,1,,Karnataka,571548,2014,17-04-2014,Graduate Professional,Male,36362500,0
Bidar,Bharatiya Janata Party,bhagwanthkhuba,46,GEN,#FB7B0D,,BHAGWANTH KHUBA,959384,1,,Karnataka,459290,2014,17-04-2014,Graduate Professional,Male,56559290,0
Koppal,Bharatiya Janata Party,karadisangannaamarappa,59,GEN,#FB7B0D,,KARADI SANGANNA AMARAPPA,1006508,1,,Karnataka,486383,2014,17-04-2014,10th,Male,12127000,1
Dakshina Kannada,Bharatiya Janata Party,nalinkumarkateel,48,GEN,#FB7B0D,,NALIN KUMAR KATEEL,1207474,1,,Karnataka,642739,2014,17-04-2014,10th,Male,8789001,1
Tumkur,Indian National Congress,muddahanumegowdasp,59,GEN,#019733,,MUDDAHANUMEGOWDA.S.P.,1101484,1,,Karnataka,429868,2014,17-04-2014,Graduate Professional,Male,30273812,0
Kannur,Communist Party Of India  (Marxist),pksreemathiteacher,,,#DE0000,,P K SREEMATHI TEACHER,947117,1,,Kerala,427622,2014,,,,,
Ernakulam,Indian National Congress,profkvthomas,67,GEN,#019733,,PROF. K.V. THOMAS,850834,1,,Kerala,353841,2014,10-04-2014,Post Graduate,Male,11848550,0
Attingal,Communist Party Of India  (Marxist),drasampath,,,#DE0000,,DR.A .SAMPATH,859350,1,,Kerala,392478,2014,,,,,
Bhind,Bharatiya Janata Party,drbhagirathprasad,66,GEN,#FB7B0D,,DR. BHAGIRATH PRASAD,729084,1,,Madhya Pradesh,404474,2014,17-04-2014,Doctorate,Male,21240286,0
Damoh,Bharatiya Janata Party,prahaladsinghpatel,54,GEN,#FB7B0D,,PRAHALAD SINGH PATEL,912080,1,,Madhya Pradesh,513079,2014,17-04-2014,Graduate Professional,Male,39586235,0
Jabalpur,Bharatiya Janata Party,rakeshsingh,53,GEN,#FB7B0D,,RAKESH SINGH,1002184,1,,Madhya Pradesh,564609,2014,10-04-2014,Graduate,Male,27823610,1
Ujjain,Bharatiya Janata Party,profchintamanimalviya,44,GEN,#FB7B0D,,PROF. CHINTAMANI MALVIYA,1016405,1,,Madhya Pradesh,641101,2014,24-04-2014,Doctorate,Male,18888754,0
