pc,party,sub_name,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
Sarguja,Bharatiya Janata Party,kamalbhansinghmarabi,51,GEN,#FB7B0D,,KAMALBHAN SINGH MARABI,1187321,1,,Chhattisgarh,585336,2014,24-04-2014,Post Graduate,Male,24773173,0
Raigarh,Bharatiya Janata Party,vishnudeosai,50,GEN,#FB7B0D,,VISHNU DEO SAI,1246186,1,,Chhattisgarh,662478,2014,24-04-2014,10th,Male,21576220,0
Janjgir-Champa,Bharatiya Janata Party,kamlapatle,48,GEN,#FB7B0D,,KAMLA PATLE,1073347,1,,Chhattisgarh,518909,2014,24-04-2014,12th,Male,18224350,0
Korba,Bharatiya Janata Party,drbanshilalmahto,73,GEN,#FB7B0D,,DR. BANSHILAL MAHTO,1052720,1,,Chhattisgarh,439002,2014,24-04-2014,Graduate Professional,Male,72303762,0
Bilaspur,Bharatiya Janata Party,lakhanlalsahu,43,GEN,#FB7B0D,,LAKHAN LAL SAHU,1090457,1,,Chhattisgarh,561387,2014,24-04-2014,Post Graduate,Male,8661133,0
Durg,Indian National Congress,tamradhwajsahu,65,GEN,#019733,,TAMRADHWAJ SAHU,1258342,1,,Chhattisgarh,570687,2014,24-04-2014,12th,Male,21002226,0
Mahasamund,Bharatiya Janata Party,chandulalsahuchandubhaiya,54,GEN,#FB7B0D,,CHANDU LAL SAHU (CHANDU BHAIYA),1131209,1,,Chhattisgarh,503514,2014,17-04-2014,Graduate Professional,Male,20879652,0
Kanker,Bharatiya Janata Party,vikramdevusendi,48,GEN,#FB7B0D,,VIKRAM DEV USENDI,1016943,1,,Chhattisgarh,465215,2014,17-04-2014,10th,Male,23376000,0
Kodarma,Bharatiya Janata Party,ravindrakrray,50,GEN,#FB7B0D,,RAVINDRA KR. RAY,1024906,1,,Jharkhand,365410,2014,10-04-2014,Doctorate,Male,10564046,0
Hardwar,Bharatiya Janata Party,rameshpokhriyalnishank,54,GEN,#FB7B0D,,RAMESH POKHRIYAL NISHANK,1175692,1,,Uttarakhand,592320,2014,07-05-2014,Doctorate,Male,17917274,1
Chandigarh,Bharatiya Janata Party,kherkirronanupam,61,GEN,#FB7B0D,,KHER KIRRON ANUPAM,453455,1,,Chandigarh,191362,2014,10-04-2014,Post Graduate,Female,335343871,0
Dadar & Nagar Haveli,Bharatiya Janata Party,patelnatubhaigomanbhai,41,GEN,#FB7B0D,,PATEL NATUBHAI GOMANBHAI,165286,1,,Dadra & Nagar Haveli,80790,2014,30-04-2014,5th,Male,154760217,5
East Delhi,Bharatiya Janata Party,maheishgirri,39,GEN,#FB7B0D,,MAHEISH GIRRI,1196336,1,,Nct Of Delhi,572202,2014,10-04-2014,10th,Male,5216375,1
New Delhi,Bharatiya Janata Party,meenakashilekhi,46,GEN,#FB7B0D,,MEENAKASHI LEKHI,969812,1,,Nct Of Delhi,453350,2014,10-04-2014,Graduate Professional,Female,349916470,0
West Delhi,Bharatiya Janata Party,parveshsahibsinghverma,36,GEN,#FB7B0D,,PARVESH SAHIB SINGH VERMA,1347971,1,,Nct Of Delhi,651395,2014,10-04-2014,Post Graduate,Male,107235461,1
