party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
BJP,Jammu Kashmir,Udhampur,17-04-2014,drjitendrasingh,57,Male,Graduate Professional,GEN,38464932,0,#FB7B0D,Bharatiya Janata Party
AAP,Uttar Pradesh,Unnao,30-04-2014,arvindkumar,54,Male,Graduate Professional,GEN,38453489,0,,Aam Aadmi Party
INC,Karnataka,Koppal,17-04-2014,basavaraj,66,Male,10th,GEN,38334476,0,#019733,Indian National Congress
SHS,Maharashtra,Shirdi,17-04-2014,lokhandesadashivkisan,51,Male,10th,GEN,38294539,1,#F05A00,Shivsena
JDU,Karnataka,Chitradurga,17-04-2014,mkumbhaiah,56,Male,Graduate Professional,GEN,38291000,0,#8064a2,Janata Dal  (United)
AAP,Uttar Pradesh,Amethi,07-05-2014,drkumarvishvas,44,Male,Doctorate,GEN,38200805,1,,Aam Aadmi Party
IND,Uttarakhand,Tehri Garhwal,07-05-2014,rajumaurya,29,Male,Graduate,GEN,38136091,0,,Independent
IND,Orissa,Bhubaneswar,17-04-2014,manasranjanmishra,41,Male,Post Graduate,GEN,38090100,0,,Independent
BJP,Madhya Pradesh,Satna,10-04-2014,ganeshsingh,51,Male,Post Graduate,GEN,37800000,2,#FB7B0D,Bharatiya Janata Party
IUML,West Bengal,Kolkata Dakshin,12-05-2014,kpmdsharif,41,Male,Graduate,GEN,37749118,0,,Indian Union Muslim League
SAD,Punjab,Faridkot,30-04-2014,paramjitkaurgulshan,65,Female,Post Graduate,GEN,37637845,0,,Shiromani Akali Dal
BJP,Uttar Pradesh,Misrikh,30-04-2014,anjubala,34,Female,Graduate,GEN,37618214,0,#FB7B0D,Bharatiya Janata Party
BJP,West Bengal,Barrackpur,12-05-2014,rumeshkumarhanda,71,Male,Doctorate,GEN,37250112,0,#FB7B0D,Bharatiya Janata Party
BJP,Maharashtra,Dindori,24-04-2014,chavanharishchandradeoram,62,Male,Graduate,GEN,37240147,1,#FB7B0D,Bharatiya Janata Party
AAP,Kerala,Thiruvananthapuram,10-04-2014,ajitjoy,45,Male,Post Graduate,GEN,37145768,0,,Aam Aadmi Party
INC,Andhra Pradesh,Chevella,30-04-2014,patollakartikreddy,34,Male,Graduate Professional,GEN,37137244,0,#019733,Indian National Congress
CPI,Haryana,Karnal,10-04-2014,mamchand,70,Male,Illiterate,GEN,37120000,0,#DE0000,Communist Party of India
AIADMK,Tamil Nadu,Chennai North,24-04-2014,venkateshbabutg,53,Male,Post Graduate,GEN,37038275,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
BJP,Goa,North Goa,12-04-2014,shripadyessonaik,61,Male,Graduate,GEN,37019154,0,#FB7B0D,Bharatiya Janata Party
IND,Karnataka,Davanagere,17-04-2014,alurmgswamy,67,Male,Graduate,GEN,36920000,0,,Independent
SHS,Uttar Pradesh,Moradabad,17-04-2014,jaipalsinghsaini,56,Male,12th,GEN,36898000,0,#F05A00,Shivsena
IND,Uttar Pradesh,Amroha,17-04-2014,surendrasingh,47,Male,Post Graduate,GEN,36813206,0,,Independent
INC,Rajasthan,Dausa,24-04-2014,namonarayan,70,Male,Graduate,GEN,36642035,1,#019733,Indian National Congress
SP,Uttar Pradesh,Pilibhit,17-04-2014,budhsenverma,54,Male,8th,GEN,36598361,0,#B15928,Samajwadi Party
IND,Bihar,Patna Sahib,17-04-2014,shyamnandanprasad,59,Male,Doctorate,GEN,36572000,1,,Independent
AAP,Maharashtra,Dhule,24-04-2014,ansarinihalahmdharun,57,Male,10th,GEN,36566800,0,,Aam Aadmi Party
INC,Orissa,Puri,17-04-2014,sucharitamohanty,51,Female,Post Graduate,GEN,36546329,0,#019733,Indian National Congress
SP,Uttar Pradesh,Rampur,17-04-2014,naseerahmadkhan,76,Male,Post Graduate,GEN,36512409,0,#B15928,Samajwadi Party
TRS,Andhra Pradesh,Secunderabad,30-04-2014,tbheemsen,65,Male,Graduate Professional,GEN,36454841,0,,Telangana Rashtra Samithi
BJP,Karnataka,Bagalkot,17-04-2014,pcgaddigoudar,61,Male,Graduate Professional,GEN,36362500,0,#FB7B0D,Bharatiya Janata Party
INC,Haryana,Ambala,10-04-2014,rajkumar,57,Male,10th,GEN,36214599,0,#019733,Indian National Congress
JDU,Gujarat,Amreli,30-04-2014,chavdamanubhaiparsottambhaix,52,Male,12th,GEN,36141803,2,#8064a2,Janata Dal  (United)
BJP,Madhya Pradesh,Khargone,24-04-2014,subhashpatel,36,Male,Post Graduate,GEN,36138699,0,#FB7B0D,Bharatiya Janata Party
SP,Madhya Pradesh,Balaghat,10-04-2014,anubhamunjare,47,Female,Post Graduate,GEN,36108915,5,#B15928,Samajwadi Party
INC,West Bengal,Bardhaman-Durgapur,30-04-2014,agastypradip,65,Male,Graduate Professional,GEN,36099151,2,#019733,Indian National Congress
SHS,Maharashtra,Buldhana,10-04-2014,jadhavpratapraoganpatrao,53,Male,12th,GEN,36033147,2,#F05A00,Shivsena
BJP,Bihar,Paschim Champaran,12-05-2014,drsanjayjayaswal,49,Male,Post Graduate,GEN,35941299,2,#FB7B0D,Bharatiya Janata Party
NCP,Maharashtra,Kalyan,24-04-2014,anandprakashpranjape,40,Male,Post Graduate,GEN,35920212,4,,Nationalist Congress Party
BJP,Rajasthan,Jhunjhunu,17-04-2014,santoshahlawat,57,Female,Post Graduate,GEN,35897048,0,#FB7B0D,Bharatiya Janata Party
TDP,Andhra Pradesh,Hindupur,07-05-2014,kristappanimmala,57,Male,Graduate,GEN,35793637,2,#4bacc6,Telugu Desam
BJP,Bihar,Sasaram,10-04-2014,chhedipaswan,58,Male,Post Graduate,GEN,35776803,0,#FB7B0D,Bharatiya Janata Party
INC,Gujarat,Gandhinagar,30-04-2014,patelkiritbhaiishvarbhai,56,Male,Graduate,GEN,35674384,1,#019733,Indian National Congress
AAP,Punjab,Fatehgarh Sahib,30-04-2014,harindersinghkhalsa,67,Male,Post Graduate,GEN,35588128,0,,Aam Aadmi Party
BJP,Andhra Pradesh,Nizamabad,30-04-2014,endalalakshminarayana,51,Male,Graduate,GEN,35586859,0,#FB7B0D,Bharatiya Janata Party
AAP,Maharashtra,Shirur,17-04-2014,nikamsopanraopandharinath,66,Male,Post Graduate,GEN,35506712,0,,Aam Aadmi Party
AIADMK,Tamil Nadu,Kallakurichi,24-04-2014,kkamaraj,48,Male,Post Graduate,GEN,35459256,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
BJD,Orissa,Dhenkanal,17-04-2014,tathagatasatpathy,57,Male,Others,GEN,35434099,7,#000000,Biju Janata Dal
INC,Haryana,Karnal,10-04-2014,arvindkumarsharma,51,Male,Post Graduate,GEN,35428444,0,#019733,Indian National Congress
BJP,Uttar Pradesh,Saharanpur,10-04-2014,raghavlakhanpal,39,Male,Post Graduate,GEN,35406431,0,#FB7B0D,Bharatiya Janata Party
INC,Rajasthan,Bharatpur,24-04-2014,drsureshjatav,57,Male,Post Graduate,GEN,35400729,0,#019733,Indian National Congress
INC,Assam,Autonomous District,12-04-2014,birensinghengti,74,Male,Post Graduate,GEN,35367390,0,#019733,Indian National Congress
INC,Andhra Pradesh,Warangal,30-04-2014,rajaiahsiricilla,61,Male,Graduate,GEN,35362961,4,#019733,Indian National Congress
JDU,Bihar,Maharajganj,07-05-2014,manoranjansingh,54,Male,8th,GEN,35183301,10,#8064a2,Janata Dal  (United)
AAP,Karnataka,Bangalore South,17-04-2014,ninapnayak,60,Female,Post Graduate,GEN,35129117,0,,Aam Aadmi Party
SP,Uttar Pradesh,Misrikh,30-04-2014,jaiprakash,56,Male,Graduate,GEN,35092803,0,#B15928,Samajwadi Party
SP,Uttar Pradesh,Maharajganj,12-05-2014,akhilesh,50,Male,Graduate,GEN,35083577,7,#B15928,Samajwadi Party
INC,Orissa,Kendrapara,17-04-2014,dharanidharnayak,60,Male,Post Graduate,GEN,35040745,0,#019733,Indian National Congress
TDP,Andhra Pradesh,Machilipatnam,07-05-2014,konakallanarayanarao,64,Male,12th,GEN,34850000,0,#4bacc6,Telugu Desam
SP,Uttar Pradesh,Meerut,10-04-2014,shahidmanzoor,59,Male,Post Graduate,GEN,34814614,0,#B15928,Samajwadi Party
BJP,Uttar Pradesh,Nagina,17-04-2014,yashwantsingh,52,Male,Post Graduate,GEN,34806740,0,#FB7B0D,Bharatiya Janata Party
AAP,Gujarat,Banaskantha,30-04-2014,sanjaykumarsomnathbhairaval,48,Male,Graduate Professional,GEN,34785000,0,,Aam Aadmi Party
AAP,Maharashtra,Mumbai North Central,24-04-2014,phirozepalkhivala,47,Male,Graduate Professional,GEN,34762841,0,,Aam Aadmi Party
INC,Tamil Nadu,Ramanathapuram,24-04-2014,thirunnavukkarasarsu,64,Male,Post Graduate,GEN,34748520,1,#019733,Indian National Congress
INC,Andhra Pradesh,Srikakulam,07-05-2014,killikruparani,52,Female,Graduate Professional,GEN,34705308,0,#019733,Indian National Congress
IND,West Bengal,Darjeeling,17-04-2014,mahendraprasadlama,53,Male,Doctorate,GEN,34438296,0,,Independent
AIADMK,Tamil Nadu,Coimbatore,24-04-2014,nagarajan-p,52,Male,Graduate Professional,GEN,34306545,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
AAP,Bihar,Patna Sahib,17-04-2014,parveenamanullah,56,Female,Graduate,GEN,34292500,0,,Aam Aadmi Party
BJP,Gujarat,Amreli,30-04-2014,kachhadiyanaranbhaibhikhabhai,58,Male,12th,GEN,34164801,2,#FB7B0D,Bharatiya Janata Party
CPI,Kerala,Thiruvananthapuram,10-04-2014,bennetabraham,55,Male,Post Graduate,GEN,34112353,1,#DE0000,Communist Party of India
BJP,Gujarat,Ahmedabad West,30-04-2014,drsolankikiritbhaipremjibhai,64,Male,Post Graduate,GEN,34085266,0,#FB7B0D,Bharatiya Janata Party
AIADMK,Tamil Nadu,Chennai South,24-04-2014,drjjayavardhan,26,Male,Graduate Professional,GEN,33959072,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
IND,Kerala,Pathanamthitta,10-04-2014,shilvinkottackakathu,43,Male,Others,GEN,33956316,0,,Independent
INC,Tripura,Tripura West,07-04-2014,arunodaysaha,65,Male,Doctorate,GEN,33892463,0,#019733,Indian National Congress
BJP,Uttar Pradesh,Lalganj,12-05-2014,neelam,38,Female,Post Graduate,GEN,33863562,1,#FB7B0D,Bharatiya Janata Party
BJP,Maharashtra,Wardha,10-04-2014,ramdaschandrabhanjitadas,60,Male,10th,GEN,33628998,5,#FB7B0D,Bharatiya Janata Party
AIADMK,Tamil Nadu,Ramanathapuram,24-04-2014,anwharraajhaaa,65,Male,Graduate,GEN,33582876,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
IND,Uttar Pradesh,Varanasi,12-05-2014,prabhatkumar,47,Male,Post Graduate,GEN,33536805,0,,Independent
SP,Uttar Pradesh,Mathura,24-04-2014,chandansingh,69,Male,Graduate Professional,GEN,33511293,0,#B15928,Samajwadi Party
INC,Punjab,Faridkot,30-04-2014,jogindersingh,55,Male,8th,GEN,33499042,0,#019733,Indian National Congress
SP,Uttar Pradesh,Barabanki,30-04-2014,rajranirawat,49,Female,12th,GEN,33493596,0,#B15928,Samajwadi Party
AAP,Uttar Pradesh,Kanpur,30-04-2014,drmahmoodhusainrahmani,59,Male,Post Graduate,GEN,33447841,0,,Aam Aadmi Party
JDU,Bihar,Karakat,10-04-2014,mahabalisingh,59,Male,8th,GEN,33437255,5,#8064a2,Janata Dal  (United)
INC,Gujarat,Bharuch,30-04-2014,jayeshbhaiambalalbhaipatel,57,Male,Graduate Professional,GEN,33426809,0,#019733,Indian National Congress
BJP,Madhya Pradesh,Sidhi,10-04-2014,ritipathak,36,Female,Post Graduate,GEN,33416561,0,#FB7B0D,Bharatiya Janata Party
SP,Uttar Pradesh,Hardoi,24-04-2014,ushaverma,48,Male,Post Graduate,GEN,33409414,0,#B15928,Samajwadi Party
IND,Uttar Pradesh,Kaushambi,07-05-2014,binarani,52,Female,Graduate,GEN,33409408,0,,Independent
AITC,National Capital Territory Of Delhi,New Delhi,10-04-2014,biswajitranjitchatterjee,77,Male,12th,GEN,33350000,0,#0C6965,All India Trinamool Congress
BJP,Karnataka,Gulbarga,17-04-2014,revasingloku,73,Male,5th,GEN,33293923,0,#FB7B0D,Bharatiya Janata Party
AAP,Karnataka,Tumkur,17-04-2014,asdsilva,61,Male,Graduate,GEN,33229897,0,,Aam Aadmi Party
BJP,Uttar Pradesh,Firozabad,24-04-2014,satyapalsingh,53,Male,Doctorate,GEN,33097756,1,#FB7B0D,Bharatiya Janata Party
IND,Andhra Pradesh,Hindupur,07-05-2014,kpeddareddi,48,Male,10th,GEN,33018797,3,,Independent
AIADMK,Tamil Nadu,Arakkonam,24-04-2014,harig,53,Male,Post Graduate,GEN,32966706,4,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
BJP,Bihar,Kishanganj,24-04-2014,drdilipkumarjaiswal,50,Male,Doctorate,GEN,32949581,0,#FB7B0D,Bharatiya Janata Party
SHS,Maharashtra,Osmanabad,17-04-2014,gaikwadravindravishwanath,54,Male,Post Graduate,GEN,32852793,8,#F05A00,Shivsena
IND,Goa,South Goa,12-04-2014,shalommathewfranciscosardinha,33,Male,Graduate Professional,GEN,32828000,0,,Independent
JDU,Bihar,Aurangabad,10-04-2014,bagikumarverma,61,Male,Graduate,GEN,32766379,0,#8064a2,Janata Dal  (United)
SHS,Maharashtra,Amravati,10-04-2014,adsulanandraovithoba,66,Male,Graduate,GEN,32596257,1,#F05A00,Shivsena
IND,Uttar Pradesh,Barabanki,30-04-2014,khanjanlal,70,Male,Post Graduate,GEN,32560591,0,,Independent
AAP,Uttar Pradesh,Aonla,17-04-2014,nareshsinghsolanki,48,Male,Graduate,GEN,32537903,0,,Aam Aadmi Party
IND,Andhra Pradesh,Khammam,30-04-2014,busireddyshankarreddy,53,Male,12th,GEN,32525000,0,,Independent
SDF,Sikkim,Sikkim,12-04-2014,premdasrai,59,Male,Post Graduate,GEN,32389223,0,,Sikkim Democratic Front
BJP,Karnataka,Uttara Kannada,17-04-2014,anantkumarhegde,46,Male,12th,GEN,32367360,0,#FB7B0D,Bharatiya Janata Party
IND,Orissa,Kalahandi,10-04-2014,rajendrakumarmund,0,Male,Post Graduate,GEN,32280000,0,,Independent
INC,Andhra Pradesh,Malkajgiri,30-04-2014,sarveysathyanarayana,60,Male,Graduate Professional,GEN,32275736,2,#019733,Indian National Congress
AIADMK,Tamil Nadu,Salem,24-04-2014,pannerselvamv,55,Male,Graduate Professional,GEN,32268097,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
IND,Madhya Pradesh,Jabalpur,10-04-2014,vinaykumarjain,48,Male,10th,GEN,32198461,0,,Independent
INC,Orissa,Mayurbhanj,17-04-2014,shyamsundarhansdah,60,Male,Graduate,GEN,32158487,0,#019733,Indian National Congress
BJP,Uttar Pradesh,Unnao,30-04-2014,swamisachchidanandharisakshi,58,Male,Doctorate,GEN,32137597,8,#FB7B0D,Bharatiya Janata Party
AAP,Maharashtra,Baramati,17-04-2014,sureshkhopade,63,Male,Graduate Professional,GEN,31870466,0,,Aam Aadmi Party
INC,Gujarat,Vadodara,30-04-2014,mistrymadhusadandevram,69,Male,Post Graduate,GEN,31759626,1,#019733,Indian National Congress
IND,West Bengal,Barrackpur,12-05-2014,girishchandrasingh,48,Male,Post Graduate,GEN,31708655,0,,Independent
TDP,Andhra Pradesh,Nandyal,07-05-2014,nashyammohammadfarook,62,Male,10th,GEN,31599109,4,#4bacc6,Telugu Desam
INC,Andaman Nicobar Islands,Andaman Nicobar Islands,10-04-2014,kuldeepraisharma,46,Male,Graduate Professional,GEN,31594826,0,#019733,Indian National Congress
INC,Karnataka,Chamarajanagar,17-04-2014,rdhruvanarayana,53,Male,Graduate,GEN,31519950,0,#019733,Indian National Congress
INC,Punjab,Ludhiana,30-04-2014,ravneetsinghbittu,38,Male,12th,GEN,31509170,0,#019733,Indian National Congress
AITC,Assam,Kokrajhar,24-04-2014,ranjitshekharmooshahary,68,Male,Graduate,GEN,31461513,0,#0C6965,All India Trinamool Congress
INC,Goa,South Goa,12-04-2014,aleixoreginaldolourenco,45,Male,12th,GEN,31453008,0,#019733,Indian National Congress
AAP,Maharashtra,Mumbai North West,24-04-2014,mayankrameshgandhi,55,Male,Graduate,GEN,31416461,0,,Aam Aadmi Party
JDS,Karnataka,Chamarajanagar,17-04-2014,mshivanna,60,Male,Graduate Professional,GEN,31402152,3,#8064a2,Janata Dal  (Secular)
INC,Karnataka,Bangalore Central,17-04-2014,rizwanarshad,34,Male,Graduate,GEN,31400000,2,#019733,Indian National Congress
RJD,Bihar,Maharajganj,07-05-2014,prabhunathsingh,61,Male,12th,GEN,31380728,8,,Rashtriya Janata Dal
SP,Uttar Pradesh,Kanpur,30-04-2014,surendramohanagarwal,69,Male,12th,GEN,31375148,4,#B15928,Samajwadi Party
IND,Andhra Pradesh,Kadapa,07-05-2014,poreddyprabhakarreddy,48,Male,10th,GEN,31312193,3,,Independent
AAP,Punjab,Gurdaspur,30-04-2014,suchasinghchhotepur,66,Male,Graduate,GEN,31270000,0,,Aam Aadmi Party
AITC,West Bengal,Barasat,12-05-2014,drkakalighoshdostidar,55,Female,Graduate Professional,GEN,31254311,0,#0C6965,All India Trinamool Congress
SP,Uttar Pradesh,Moradabad,17-04-2014,drsthasan,55,Male,Post Graduate,GEN,31217401,0,#B15928,Samajwadi Party
IND,Gujarat,Bardoli,30-04-2014,surendrabhaisimabhaigamit,42,Male,10th,GEN,31216000,0,,Independent
LJP,Bihar,Munger,17-04-2014,veenadevi,41,Female,8th,GEN,31162836,0,,Lok Jan Shakti Party
AITC,West Bengal,Medinipur,07-05-2014,sandhyaroy,73,Female,Literate,GEN,31031095,0,#0C6965,All India Trinamool Congress
SHS,Maharashtra,Parbhani,17-04-2014,jadhavsanjaybanduharibhau,47,Male,10th,GEN,31016711,7,#F05A00,Shivsena
IND,Uttar Pradesh,Farrukhabad,24-04-2014,sachinsingh,30,Male,Graduate,GEN,30876925,1,,Independent
INC,Madhya Pradesh,Sagar,17-04-2014,govindsinghrajput,48,Male,Post Graduate,GEN,30758478,1,#019733,Indian National Congress
AAP,Andhra Pradesh,Chevella,30-04-2014,regattevenkatreddy,54,Male,Others,GEN,30648743,0,,Aam Aadmi Party
AAP,Rajasthan,Kota,17-04-2014,ashokkumarjain,61,Male,Graduate Professional,GEN,30617000,0,,Aam Aadmi Party
AAP,Maharashtra,Mumbai South Central,24-04-2014,sundarbalkrishnan,53,Male,Post Graduate,GEN,30571000,0,,Aam Aadmi Party
AAP,Tamil Nadu,Chennai North,24-04-2014,srinivasons,49,Male,Graduate,GEN,30560936,0,,Aam Aadmi Party
IND,Jammu Kashmir,Srinagar,30-04-2014,mohammadshafiguroo,51,Male,8th,GEN,30550000,0,,Independent
IND,Jammu Kashmir,Jammu,10-04-2014,nirmalsingh,48,Male,Graduate,GEN,30496000,0,,Independent
SP,Uttar Pradesh,Kairana,10-04-2014,nahidhasan,26,Male,Graduate,GEN,30399449,2,#B15928,Samajwadi Party
BJP,Uttar Pradesh,Hardoi,24-04-2014,anshulverma,39,Male,Post Graduate,GEN,30385000,0,#FB7B0D,Bharatiya Janata Party
INC,Karnataka,Tumkur,17-04-2014,spmuddahanumegowda,59,Male,Graduate Professional,GEN,30273812,0,#019733,Indian National Congress
INC,Chhattisgarh,Bilaspur,24-04-2014,karunashukla,64,Female,Post Graduate,GEN,30261209,0,#019733,Indian National Congress
INC,Karnataka,Mysore,17-04-2014,adagooruhvishwanath,64,Male,Graduate Professional,GEN,30187177,0,#019733,Indian National Congress
AAP,Karnataka,Chikkballapur,17-04-2014,karkesh,60,Male,Post Graduate,GEN,30067157,0,,Aam Aadmi Party
AAP,Maharashtra,Ahmednagar,17-04-2014,deepalisayyad,37,Female,Graduate,GEN,30052370,1,,Aam Aadmi Party
INLD,Haryana,Sonipat,10-04-2014,padamsingh,51,Male,Graduate Professional,GEN,30051128,0,,Indian National Lok Dal
INC,Tamil Nadu,Thoothukkudi,24-04-2014,shanmugam-apcv,61,Male,Graduate,GEN,29971850,0,#019733,Indian National Congress
AAP,Uttar Pradesh,Allahabad,07-05-2014,adarshshastri,40,Male,Graduate,GEN,29967925,0,,Aam Aadmi Party
SP,Uttar Pradesh,Hathras,24-04-2014,ramjilalsuman,63,Male,Graduate Professional,GEN,29953498,2,#B15928,Samajwadi Party
AAP,Uttar Pradesh,Jhansi,30-04-2014,archana,45,Female,Post Graduate,GEN,29734417,0,,Aam Aadmi Party
AAP,Haryana,Gurgaon,10-04-2014,yogendrasinghyadav,50,Male,Post Graduate,GEN,29709151,0,,Aam Aadmi Party
JDS,Karnataka,Davanagere,17-04-2014,mahimajpatel,54,Male,Graduate Professional,GEN,29683292,0,#8064a2,Janata Dal  (Secular)
INC,Uttar Pradesh,Mohanlalganj,30-04-2014,narendrakumar,45,Male,Graduate,GEN,29531000,0,#019733,Indian National Congress
AAP,Andhra Pradesh,Visakhapatnam,07-05-2014,kunaramam,51,Male,Post Graduate,GEN,29512350,0,,Aam Aadmi Party
NCP,Maharashtra,Amravati,10-04-2014,navneetravirana,28,Female,10th,GEN,29496562,3,,Nationalist Congress Party
INC,Andhra Pradesh,Zahirabad,30-04-2014,sureshkumarshetkar,51,Male,Graduate,GEN,29458057,0,#019733,Indian National Congress
AAP,Andhra Pradesh,Ongole,07-05-2014,sadamsatyanarayanarajayadav,35,Male,Post Graduate,GEN,29380600,0,,Aam Aadmi Party
AAP,Maharashtra,Chandrapur,10-04-2014,chatapwamanraosadashiv,63,Male,Graduate Professional,GEN,29375000,3,,Aam Aadmi Party
AAP,National Capital Territory Of Delhi,North East Delhi,10-04-2014,anandkumar,64,Male,Doctorate,GEN,29255377,0,,Aam Aadmi Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Chittoor,07-05-2014,gandavarapusamanya,35,Female,Doctorate,GEN,29254634,0,,Yuvajana Sramika Rythu Congress Party
INC,Rajasthan,Jaipur,17-04-2014,maheshjoshi,59,Male,Doctorate,GEN,29252918,0,#019733,Indian National Congress
BJP,West Bengal,Kolkata Dakshin,12-05-2014,tathagataroy,68,Male,Graduate Professional,GEN,29245368,1,#FB7B0D,Bharatiya Janata Party
BJP,Uttar Pradesh,Lucknow,30-04-2014,rajnathsingh,62,Male,Post Graduate,GEN,29240729,0,#FB7B0D,Bharatiya Janata Party
INC,West Bengal,Barasat,12-05-2014,rijughosal,39,Male,Post Graduate,GEN,29223157,0,#019733,Indian National Congress
CPI,Tamil Nadu,Tiruvallur,24-04-2014,kannan-as,72,Male,10th,GEN,29177341,0,#DE0000,Communist Party of India
SP,Uttar Pradesh,Sultanpur,07-05-2014,shakeelahmed,48,Male,Graduate,GEN,29173029,0,#B15928,Samajwadi Party
INC,Punjab,Khadoor Sahib,30-04-2014,harmindersinghgill,50,Male,Post Graduate,GEN,29131071,0,#019733,Indian National Congress
AAP,Andhra Pradesh,Malkajgiri,30-04-2014,drnvsudhakiran,48,Male,Graduate Professional,GEN,29100000,0,,Aam Aadmi Party
BJP,Uttar Pradesh,Kairana,10-04-2014,hukumsingh,75,Male,Graduate Professional,GEN,29078847,2,#FB7B0D,Bharatiya Janata Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Amalapuram,07-05-2014,viswarupupinipe,51,Male,Graduate Professional,GEN,28990944,1,,Yuvajana Sramika Rythu Congress Party
BJP,West Bengal,Tamluk,12-05-2014,badshaalam,61,Male,12th,GEN,28793996,5,#FB7B0D,Bharatiya Janata Party
INC,West Bengal,Ghatal,12-05-2014,manasranjanbhunia,63,Male,Graduate Professional,GEN,28658832,0,#019733,Indian National Congress
AIADMK,Tamil Nadu,Tiruvallur,24-04-2014,venugopalpdr,61,Male,Graduate Professional,GEN,28643502,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
BJP,Rajasthan,Karauli-Dholpur,24-04-2014,manojrajoria,43,Male,12th,GEN,28636113,0,#FB7B0D,Bharatiya Janata Party
SP,Maharashtra,Dhule,24-04-2014,nihalahareheman,55,Male,10th,GEN,28605000,0,#B15928,Samajwadi Party
JDU,Gujarat,Bharuch,30-04-2014,anilkumarchhitubhaibhagat,49,Male,Graduate,GEN,28598975,2,#8064a2,Janata Dal  (United)
JDS,Karnataka,Mysore,17-04-2014,chandrashekaraiah,71,Male,Post Graduate,GEN,28573891,0,#8064a2,Janata Dal  (Secular)
BJP,Madhya Pradesh,Rajgarh,17-04-2014,rodmalnagar,53,Male,Graduate,GEN,28569974,0,#FB7B0D,Bharatiya Janata Party
INC,Tripura,Tripura East,12-04-2014,sachintradebbarma,64,Male,Graduate Professional,GEN,28560336,0,#019733,Indian National Congress
BJP,Uttar Pradesh,Akbarpur,24-04-2014,devendrasinghurfbholesingh,60,Male,10th,GEN,28546617,0,#FB7B0D,Bharatiya Janata Party
BJP,Bihar,Darbhanga,30-04-2014,kirtiazad,55,Male,Graduate,GEN,28531267,4,#FB7B0D,Bharatiya Janata Party
AAP,Uttar Pradesh,Pratapgarh,07-05-2014,ashokshuklasenani,0,Male,Graduate,GEN,28386558,0,,Aam Aadmi Party
SAD,Punjab,Jalandhar,30-04-2014,pawankumartinu,47,Male,Graduate,GEN,28285754,0,,Shiromani Akali Dal
IND,Madhya Pradesh,Khandwa,24-04-2014,babaabdulhamid,75,Male,Not Given,GEN,28285000,0,,Independent
AAP,Uttar Pradesh,Bijnor,10-04-2014,gaurav,40,Male,Graduate Professional,GEN,28246000,0,,Aam Aadmi Party
BJP,National Capital Territory Of Delhi,Chandni Chowk,10-04-2014,drharshvardhan,59,Male,Post Graduate,GEN,28229308,2,#FB7B0D,Bharatiya Janata Party
SP,Uttar Pradesh,Shahjahanpur,17-04-2014,mithileshkumar,53,Male,Graduate,GEN,28206768,0,#B15928,Samajwadi Party
INC,Madhya Pradesh,Damoh,17-04-2014,mahendrapratapsingh,52,Male,Post Graduate,GEN,28167705,0,#019733,Indian National Congress
BJP,Uttar Pradesh,Azamgarh,12-05-2014,ramakantyadav,54,Male,10th,GEN,28145423,5,#FB7B0D,Bharatiya Janata Party
AIADMK,Tamil Nadu,Tiruppur,24-04-2014,vsathyabama,43,Female,Post Graduate,GEN,28108573,2,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
INC,Karnataka,Mandya,17-04-2014,divyaspandanauruframya,31,Female,12th,GEN,28043931,0,#019733,Indian National Congress
CPIM,Punjab,Anandpur Sahib,30-04-2014,balbirsinghjadla,62,Male,10th,GEN,28030000,0,#DE0000,Communist Party of India  (Marxist)
SP,Bihar,Gopalganj,12-05-2014,sunitakumar,46,Female,Graduate,GEN,28013750,0,#B15928,Samajwadi Party
INC,Kerala,Chalakudy,10-04-2014,pcchacko,67,Male,Post Graduate,GEN,28000209,0,#019733,Indian National Congress
SHS,Uttar Pradesh,Dhaurahra,30-04-2014,kirtisingh,57,Female,Post Graduate,GEN,27853253,0,#F05A00,Shivsena
RJD,Bihar,Banka,24-04-2014,jaiprakashnarayanyadav,60,Male,Post Graduate,GEN,27846274,2,,Rashtriya Janata Dal
AITC,West Bengal,Krishnanagar,12-05-2014,tapaspaul,57,Male,Graduate,GEN,27829669,4,#0C6965,All India Trinamool Congress
BJP,Madhya Pradesh,Jabalpur,10-04-2014,rakeshsinghurfghanshyamsingh,53,Male,Graduate,GEN,27823610,1,#FB7B0D,Bharatiya Janata Party
INC,Madhya Pradesh,Bhopal,17-04-2014,prakashmangilalsharma,65,Male,Graduate Professional,GEN,27818657,5,#019733,Indian National Congress
AIADMK,Tamil Nadu,Dindigul,24-04-2014,udhayakumarm,45,Male,Post Graduate,GEN,27810000,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
