party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Narsapuram,07-05-2014,vankaravindranathsosatyanarayana,53,Male,12th,GEN,1267907245,0,,Yuvajana Sramika Rythu Congress Party
SP,Uttar Pradesh,Etah,24-04-2014,kunwardevendrasinghyadav,65,Male,Doctorate,GEN,1249971797,1,#B15928,Samajwadi Party
INC,Punjab,Anandpur Sahib,30-04-2014,ambikasoni,71,Female,Post Graduate,GEN,1180035973,0,#019733,Indian National Congress
SP,Bihar,Bhagalpur,24-04-2014,purushottamchoubey,47,Male,10th,GEN,1156393030,2,#B15928,Samajwadi Party
INC,National Capital Territory Of Delhi,Chandni Chowk,10-04-2014,kapilsibal,65,Male,Graduate Professional,GEN,1144747216,0,#019733,Indian National Congress
NCP,Maharashtra,Baramati,17-04-2014,supriyasule,44,Female,Graduate,GEN,1139090851,0,,Nationalist Congress Party
BJP,Punjab,Amritsar,30-04-2014,arunjaitley,61,Male,Graduate Professional,GEN,1130216000,0,#FB7B0D,Bharatiya Janata Party
INC,Haryana,Bhiwani-Mahendragarh,10-04-2014,shrutichoudhry,38,Female,Graduate Professional,GEN,1083115000,0,#019733,Indian National Congress
SAD,Punjab,Bathinda,30-04-2014,harsimratkaurbadal,47,Female,10th,GEN,1081664910,0,,Shiromani Akali Dal
BJP,Maharashtra,Mumbai North Central,24-04-2014,poonammahajanaliaspoonamvajendlarao,33,Female,Others,GEN,1080867626,0,#FB7B0D,Bharatiya Janata Party
BJP,Tamil Nadu,Vellore,24-04-2014,shanmugam-ac,63,Male,Graduate Professional,GEN,1061039972,0,#FB7B0D,Bharatiya Janata Party
TRS,Andhra Pradesh,Zahirabad,30-04-2014,bbpatil,58,Male,Graduate,GEN,1023173039,0,,Telangana Rashtra Samithi
INC,Karnataka,Uttara Kannada,17-04-2014,deshpandeprashanth,37,Male,Post Graduate,GEN,999522016,0,#019733,Indian National Congress
JKPDP,Jammu Kashmir,Srinagar,30-04-2014,tariqhameedkarra,58,Male,Graduate Professional,GEN,984556436,0,,Jammu & Kashmir Peoples Democratic Party
JDS,Karnataka,Belgaum,17-04-2014,nasirpapulsabbagwan,56,Male,12th,GEN,962297866,0,#8064a2,Janata Dal  (Secular)
AIADMK,Tamil Nadu,Sriperumbudur,24-04-2014,ramachandran-knthiru,59,Male,Post Graduate,GEN,936721057,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
JDU,Bihar,Paschim Champaran,12-05-2014,sriprakshjha,61,Male,12th,GEN,925480118,1,#8064a2,Janata Dal  (United)
INC,Uttar Pradesh,Allahabad,07-05-2014,nandgopalguptanandi,40,Male,10th,GEN,881714000,7,#019733,Indian National Congress
INC,Maharashtra,Pune,17-04-2014,drvishwajeetpatangraokadam,33,Male,Doctorate,GEN,874957697,0,#019733,Indian National Congress
INC,Punjab,Amritsar,30-04-2014,captainamarindersingh,72,Male,Graduate,GEN,863564071,3,#019733,Indian National Congress
INC,Punjab,Patiala,30-04-2014,preneetkaur,69,Female,Graduate,GEN,863564071,0,#019733,Indian National Congress
INC,Karnataka,Bangalore Rural,17-04-2014,dksuresh,47,Male,12th,GEN,858713138,7,#019733,Indian National Congress
IND,Karnataka,Bangalore Central,17-04-2014,dhananjayahh,42,Male,12th,GEN,809580000,1,,Independent
JDS,Karnataka,Bangalore Central,17-04-2014,nandinialva,52,Female,Graduate,GEN,807875641,3,#8064a2,Janata Dal  (Secular)
BJP,Gujarat,Ahmedabad East,30-04-2014,pareshdahyalalrawal,59,Male,12th,GEN,795211576,0,#FB7B0D,Bharatiya Janata Party
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Guntur,07-05-2014,balashowryvallabhaneni,45,Male,Graduate,GEN,794017805,0,,Yuvajana Sramika Rythu Congress Party
BJP,Tamil Nadu,Perambalur,24-04-2014,parivendarpachamuthu-tr,72,Male,Post Graduate,GEN,776948435,1,#FB7B0D,Bharatiya Janata Party
BJP,Gujarat,Navsari,30-04-2014,patilchandrakantraghunath,59,Male,10th,GEN,744761133,7,#FB7B0D,Bharatiya Janata Party
INC,Andhra Pradesh,Mahabubabad,30-04-2014,pbalram,49,Male,Post Graduate,GEN,737144941,1,#019733,Indian National Congress
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Ongole,07-05-2014,yarramvenkatasubbareddy,53,Male,Post Graduate,GEN,735451548,0,,Yuvajana Sramika Rythu Congress Party
BJP,Rajasthan,Tonk-Sawai Madhopur,24-04-2014,sukhbirsinghjaunapuria,56,Male,12th,GEN,714124612,0,#FB7B0D,Bharatiya Janata Party
JDS,Karnataka,Tumkur,17-04-2014,akrishnappa,68,Male,Graduate,GEN,701833242,0,#8064a2,Janata Dal  (Secular)
INC,Madhya Pradesh,Indore,24-04-2014,satyanarayanpatel,46,Male,12th,GEN,699196061,0,#019733,Indian National Congress
BJP,Haryana,Karnal,10-04-2014,ashwinikumar,57,Male,Graduate,GEN,698638135,6,#FB7B0D,Bharatiya Janata Party
AIUDF,Assam,Barpeta,24-04-2014,sirajuddinajmal,57,Male,Graduate,GEN,670806607,0,,All India United Democratic Front
BJP,Punjab,Gurdaspur,30-04-2014,vinodkhanna,68,Male,Graduate,GEN,669343376,0,#FB7B0D,Bharatiya Janata Party
INC,Andhra Pradesh,Bhongir,30-04-2014,komatireddyrajgopalreddy,46,Male,Graduate,GEN,667095133,0,#019733,Indian National Congress
SHS,Maharashtra,Maval,17-04-2014,barneshrirangchandu,50,Male,8th,GEN,665047926,2,#F05A00,Shivsena
BJP,Tamil Nadu,Coimbatore,24-04-2014,radhakrishnan-cp,56,Male,Graduate,GEN,663198857,0,#FB7B0D,Bharatiya Janata Party
INC,Rajasthan,Jalore,17-04-2014,anjanaudailal,64,Male,12th,GEN,658610000,0,#019733,Indian National Congress
IND,Andhra Pradesh,Visakhapatnam,07-05-2014,gedelakrishnarao,60,Male,Post Graduate,GEN,658118000,0,,Independent
INC,Maharashtra,Mumbai North Central,24-04-2014,duttpriyasunil,48,Female,Graduate,GEN,655093802,0,#019733,Indian National Congress
INC,Tamil Nadu,Theni,24-04-2014,aaronrashid-jm,65,Male,12th,GEN,649632943,0,#019733,Indian National Congress
SP,West Bengal,Raiganj,24-04-2014,sudiipranjansen,51,Male,Others,GEN,649554210,0,#B15928,Samajwadi Party
INC,Karnataka,Davanagere,17-04-2014,ssmallikarjun,46,Male,Graduate,GEN,645637999,6,#019733,Indian National Congress
SP,Maharashtra,Mumbai North Central,24-04-2014,abufarhanazmi,33,Male,12th,GEN,637688791,0,#B15928,Samajwadi Party
INC,Uttar Pradesh,Unnao,30-04-2014,annutandon,56,Female,Graduate,GEN,636029024,1,#019733,Indian National Congress
TDP,Andhra Pradesh,Chevella,30-04-2014,tullaveerender,31,Male,Post Graduate,GEN,623975606,0,#4bacc6,Telugu Desam
INC,Tamil Nadu,Coimbatore,24-04-2014,prabhu-r,66,Male,Post Graduate,GEN,609497080,0,#019733,Indian National Congress
INC,Tamil Nadu,Sivaganga,24-04-2014,kartipchidambaram,42,Male,Graduate Professional,GEN,596685048,0,#019733,Indian National Congress
TDP,Andhra Pradesh,Narasaraopet,07-05-2014,rayapatisambasivarao,70,Male,Graduate,GEN,595838093,2,#4bacc6,Telugu Desam
INC,Rajasthan,Nagaur,17-04-2014,drjyotimirdha,41,Female,Graduate Professional,GEN,582676804,0,#019733,Indian National Congress
BJP,Karnataka,Haveri,17-04-2014,udasishivakumarchannabasappa,47,Male,Graduate Professional,GEN,576693538,0,#FB7B0D,Bharatiya Janata Party
INC,Uttar Pradesh,Rampur,17-04-2014,nawabkazimalikhan,53,Male,Post Graduate,GEN,571146438,0,#019733,Indian National Congress
INC,Tamil Nadu,Tiruchirappalli,24-04-2014,sarubalarthondaiman,55,Female,Post Graduate,GEN,570772432,0,#019733,Indian National Congress
BJD,Orissa,Balasore,17-04-2014,rabindrakumarjena,46,Male,Post Graduate,GEN,570139716,0,#000000,Biju Janata Dal
BJP,Jharkhand,Hazaribagh,17-04-2014,jayantsinha,50,Male,Post Graduate,GEN,556754579,0,#FB7B0D,Bharatiya Janata Party
INC,Madhya Pradesh,Ujjain,24-04-2014,premchandguddu,46,Male,10th,GEN,535213275,3,#019733,Indian National Congress
IND,Maharashtra,Mumbai South Central,24-04-2014,shindesarjeraomahadev,58,Male,Post Graduate,GEN,535181794,0,,Independent
IND,Himachal Pradesh,Hamirpur,07-05-2014,devrajbhardwaj,61,Male,Others,GEN,512130100,0,,Independent
AAP,Maharashtra,Mumbai South,24-04-2014,meeraashishsanyal,52,Female,Post Graduate,GEN,509461553,0,,Aam Aadmi Party
BJP,Karnataka,Bangalore Rural,17-04-2014,pmuniraju,35,Male,12th,GEN,505854419,0,#FB7B0D,Bharatiya Janata Party
INC,Maharashtra,Dhule,24-04-2014,amrishbhairasiklalpatel,62,Male,8th,GEN,504197656,21,#019733,Indian National Congress
BJD,Orissa,Kandhamal,10-04-2014,hemendrachandrasingh,46,Male,Graduate,GEN,503907437,2,#000000,Biju Janata Dal
INC,Karnataka,Bagalkot,17-04-2014,ajaykumarsarnaik,57,Male,Graduate,GEN,501321313,0,#019733,Indian National Congress
IND,Maharashtra,Bhiwandi,24-04-2014,navidhasanmomin,36,Male,Graduate,GEN,500157500,1,,Independent
TDP,Andhra Pradesh,Kadapa,07-05-2014,srinivasareddyreddeppagari,46,Male,12th,GEN,497543411,0,#4bacc6,Telugu Desam
INC,Meghalaya,Shillong,09-04-2014,vincenthpala,46,Male,Graduate Professional,GEN,497108058,0,#019733,Indian National Congress
INC,Maharashtra,Mumbai North West,24-04-2014,kamatgurudasvasant,59,Male,Graduate Professional,GEN,488871453,0,#019733,Indian National Congress
TDP,Andhra Pradesh,Malkajgiri,30-04-2014,chmallareddy,56,Male,12th,GEN,488525332,0,#4bacc6,Telugu Desam
BJP,Karnataka,Bangalore Central,17-04-2014,pcmohan,50,Male,12th,GEN,475796999,2,#FB7B0D,Bharatiya Janata Party
BJP,Karnataka,Chikkballapur,17-04-2014,bnbachhegouda,72,Male,Graduate Professional,GEN,475228512,0,#FB7B0D,Bharatiya Janata Party
BJP,Uttar Pradesh,Gautam Budhha Nagar,10-04-2014,maheshsharma,54,Male,Graduate Professional,GEN,473797545,0,#FB7B0D,Bharatiya Janata Party
BJP,Uttar Pradesh,Allahabad,07-05-2014,shyamacharangupta,69,Male,Graduate Professional,GEN,472851707,0,#FB7B0D,Bharatiya Janata Party
INC,Andhra Pradesh,Ongole,07-05-2014,darisiveeravenkatapavankumardarisipavanakumar,52,Male,Graduate Professional,GEN,464329120,0,#019733,Indian National Congress
NCP,Maharashtra,Kolhapur,17-04-2014,dhananjaybhimraomahadik,42,Male,Graduate,GEN,448882000,1,,Nationalist Congress Party
AIUDF,Assam,Dhubri,24-04-2014,badruddinajmal,50,Male,Others,GEN,432748134,1,,All India United Democratic Front
