party,constituency,state,poll_date,name,age,gender,education,category,assets,criminal_cases,color,sub_name,constituency_name,party_name
INC,Fatehpur,Uttar Pradesh,30-04-2014,Usha Maurya,44,Female,12th,GEN,12445310,0,#019733,ushamaurya,Fatehpur,Indian National Congress
INC,Thrissur,Kerala,10-04-2014,Dhanapalan,64,Male,Graduate,GEN,12435866,1,#019733,dhanapalan,Thrissur,Indian National Congress
SP,Bastar,Chhattisgarh,10-04-2014,Shankar Ram Thakur,50,Male,Graduate,GEN,12430000,0,#B15928,shankarramthakur,Bastar,Samajwadi Party
IND,Belgaum,Karnataka,17-04-2014,Hanmant Krishna Majukar,42,Male,10th,GEN,12403000,0,,hanmantkrishnamajukar,Belgaum,Independent
IND,Rajnandgaon,Chhattisgarh,17-04-2014,Murad Bhai,66,Male,10th,GEN,12400000,0,,muradbhai,Rajnandgaon,Independent
IND,Jamnagar,Gujarat,30-04-2014,Chandravijaysinh Takhubha Rana,61,Male,12th,GEN,12388172,0,,chandravijaysinhtakhubharana,Jamnagar,Independent
INC,Tenkasi,Tamil Nadu,24-04-2014,Drjayakumark,64,Male,Doctorate,GEN,12385277,0,#019733,drjayakumark,Tenkasi,Indian National Congress
AAP,Rajsamand,Rajasthan,17-04-2014,Pradip Singh Bhatnagar,58,Male,Post Graduate,GEN,12368765,0,,pradipsinghbhatnagar,Rajsamand,Aam Aadmi Party
AAP,Arrah,Bihar,17-04-2014,Dr Surendra Kumar Prasad,59,Male,Post Graduate,GEN,12314344,0,,drsurendrakumarprasad,Arrah,Aam Aadmi Party
IND,Sant Kabir Nagar,Uttar Pradesh,07-05-2014,Subodh Chandra,29,Male,Graduate,GEN,12312000,0,,subodhchandra,Sant Kabir Nagar,Independent
INC,Aligarh,Uttar Pradesh,10-04-2014,Bijendra Singh,57,Male,Graduate,GEN,12292000,2,#019733,bijendrasingh,Aligarh,Indian National Congress
BJP,Jalpaiguri,West Bengal,17-04-2014,Satyalal Sarkar,61,Male,Graduate,GEN,12290350,0,#FB7B0D,satyalalsarkar,Jalpaiguri,Bharatiya Janata Party
AITC,Jhunjhunu,Rajasthan,17-04-2014,Bhudar Mal,53,Male,Post Graduate,GEN,12290000,0,#0C6965,bhudarmal,Jhunjhunu,All India Trinamool Congress
AAP,Amravati,Maharashtra,10-04-2014,Bhavna Bhavesh Wasnik,40,Female,Post Graduate,GEN,12289332,0,,bhavnabhaveshwasnik,Amravati,Aam Aadmi Party
INC,Churu,Rajasthan,17-04-2014,Pratap Singh,49,Male,Post Graduate,GEN,12282074,0,#019733,pratapsingh,Churu,Indian National Congress
BJP,Ratlam,Madhya Pradesh,24-04-2014,Dileep Singh Bhuriya,68,Male,10th,GEN,12259882,0,#FB7B0D,dileepsinghbhuriya,Ratlam,Bharatiya Janata Party
BJP,Etawah,Uttar Pradesh,24-04-2014,Ashok Kumar Doharey,43,Male,Graduate,GEN,12252688,0,#FB7B0D,ashokkumardoharey,Etawah,Bharatiya Janata Party
AAP,Siwan,Bihar,12-05-2014,Satya Prakash Pandey,43,Male,Graduate Professional,GEN,12231703,0,,satyaprakashpandey,Siwan,Aam Aadmi Party
IND,Rohtak,Haryana,10-04-2014,Karan Singh,60,Male,10th,GEN,12226000,0,,karansingh,Rohtak,Independent
IND,Bijapur,Karnataka,17-04-2014,Dr Rajesh Alias Ravi Vallyapur,42,Male,Graduate Professional,GEN,12208000,0,,drrajeshaliasravivallyapur,Bijapur,Independent
INC,Almora,Uttarakhand,07-05-2014,Pradeep Tamta,52,Male,Post Graduate,GEN,12193759,0,#019733,pradeeptamta,Almora,Indian National Congress
BJP,Kolkata Uttar,West Bengal,12-05-2014,Rahul Biswajit Sinha,50,Male,Graduate,GEN,12166531,5,#FB7B0D,rahulbiswajitsinha,Kolkata Uttar,Bharatiya Janata Party
INC,Ladakh,Jammu Kashmir,07-05-2014,Tsering Samphel,66,Male,12th,GEN,12146918,0,#019733,tseringsamphel,Ladakh,Indian National Congress
BJP,Koppal,Karnataka,17-04-2014,Sanganna A Karadi,59,Male,10th,GEN,12127000,1,#FB7B0D,sangannaakaradi,Koppal,Bharatiya Janata Party
BJP,Gadchiroli-Chimur,Maharashtra,10-04-2014,Ashok Mahadeorao Nete,50,Male,12th,GEN,12125676,0,#FB7B0D,ashokmahadeoraonete,Gadchiroli-Chimur,Bharatiya Janata Party
BJP,Barpeta,Assam,24-04-2014,Shri Chandra Mohan Patowari,56,Male,Post Graduate,GEN,12110465,0,#FB7B0D,shrichandramohanpatowari,Barpeta,Bharatiya Janata Party
AAP,Vadodara,Gujarat,30-04-2014,Sunil Digambar Kulkarni,47,Male,Others,GEN,12110000,0,,sunildigambarkulkarni,Vadodara,Aam Aadmi Party
IND,Tirunelveli,Tamil Nadu,24-04-2014,Lakshmanan Lakkana,44,Male,8th,GEN,12061000,0,,lakshmananlakkana,Tirunelveli,Independent
SP,Aurangabad,Maharashtra,24-04-2014,Gayake Sadashiv Ambadas,64,Male,Graduate Professional,GEN,12025302,4,#B15928,gayakesadashivambadas,Aurangabad,Samajwadi Party
IND,Vaishali,Bihar,12-05-2014,Ram Pukar Rai,42,Male,10th,GEN,12014000,0,,rampukarrai,Vaishali,Independent
IND,Purvi Champaran,Bihar,12-05-2014,Dilip Singh,0,Male,Literate,GEN,11976871,0,,dilipsingh,Purvi Champaran,Independent
IND,Bhongir,Andhra Pradesh,30-04-2014,Varikuppala Krishna,45,Male,8th,GEN,11976000,1,,varikuppalakrishna,Bhongir,Independent
JDU,Vaishali,Bihar,12-05-2014,Vijay Kumar Sahni,63,Male,12th,GEN,11929261,2,#8064a2,vijaykumarsahni,Vaishali,Janata Dal  (United)
IND,Banka,Bihar,24-04-2014,Inderaj Singh Saini,70,Male,10th,GEN,11918305,0,,inderajsinghsaini,Banka,Independent
IND,Kolar,Karnataka,17-04-2014,Dr C Mohan,73,Male,Graduate Professional,GEN,11910000,0,,drcmohan,Kolar,Independent
IND,North West Delhi,National Capital Territory Of Delhi,10-04-2014,Ram Karan Sauran,60,Male,Graduate,GEN,11854000,0,,ramkaransauran,North West Delhi,Independent
INC,Ernakulam,Kerala,10-04-2014,Kv Thomas,67,Male,Post Graduate,GEN,11848550,0,#019733,kvthomas,Ernakulam,Indian National Congress
AAP,Mahesana,Gujarat,30-04-2014,Patel Vandanaben Dineshbhai,39,Female,12th,GEN,11846813,0,,patelvandanabendineshbhai,Mahesana,Aam Aadmi Party
AITC,Bardhaman Purba,West Bengal,30-04-2014,Sunil Kumar Mondal,55,Male,Graduate Professional,GEN,11841000,0,#0C6965,sunilkumarmondal,Bardhaman Purba,All India Trinamool Congress
JDU,Katihar,Bihar,24-04-2014,Dr Ram Prakash Mahto,62,Male,Doctorate,GEN,11829625,5,#8064a2,drramprakashmahto,Katihar,Janata Dal  (United)
AITC,South Delhi,National Capital Territory Of Delhi,10-04-2014,Sreerupa Mitra Chaudhury,49,Female,Post Graduate,GEN,11823944,0,#0C6965,sreerupamitrachaudhury,South Delhi,All India Trinamool Congress
IUML,Malappuram,Kerala,10-04-2014,E Ahamed,76,Male,Graduate Professional,GEN,11818952,1,,eahamed,Malappuram,Indian Union Muslim League
JDU,Nalanda,Bihar,17-04-2014,Kaushlendra Kumar,49,Male,12th,GEN,11815717,0,#8064a2,kaushlendrakumar,Nalanda,Janata Dal  (United)
AAP,Porbandar,Gujarat,30-04-2014,Mansukh Sundaraji Dhokai,59,Male,Graduate,GEN,11801815,0,,mansukhsundarajidhokai,Porbandar,Aam Aadmi Party
CPIM,Kolkata Dakshin,West Bengal,12-05-2014,Nandini Mukherjee,46,Female,Doctorate,GEN,11744054,0,#DE0000,nandinimukherjee,Kolkata Dakshin,Communist Party of India  (Marxist)
INC,Balasore,Orissa,17-04-2014,Shrikanta Kumar Jena,64,Male,Graduate,GEN,11729649,0,#019733,shrikantakumarjena,Balasore,Indian National Congress
IND,Jabalpur,Madhya Pradesh,10-04-2014,Naveen Jain,43,Male,Graduate,GEN,11687096,0,,naveenjain,Jabalpur,Independent
BJP,Surendranagar,Gujarat,30-04-2014,Fatepara Devajibhai Govindbhai,55,Male,Literate,GEN,11685000,1,#FB7B0D,fateparadevajibhaigovindbhai,Surendranagar,Bharatiya Janata Party
AAP,Aurangabad,Maharashtra,24-04-2014,Subhash Kalyanrao Lomte,62,Male,Post Graduate,GEN,11681447,0,,subhashkalyanraolomte,Aurangabad,Aam Aadmi Party
SP,Birbhum,West Bengal,30-04-2014,Prasanta Kumar Roy,45,Male,Graduate,GEN,11677050,0,#B15928,prasantakumarroy,Birbhum,Samajwadi Party
SHS,Kolhapur,Maharashtra,17-04-2014,Sanjay Sadashiv Mandalik,49,Male,Post Graduate,GEN,11672709,0,#F05A00,sanjaysadashivmandalik,Kolhapur,Shivsena
IND,Sonipat,Haryana,10-04-2014,Padam Singh,64,Male,12th,GEN,11672304,0,,padamsingh,Sonipat,Independent
AAP,Erode,Tamil Nadu,24-04-2014,Kumarasamy Kk,73,Male,Graduate Professional,GEN,11661670,0,,kumarasamykk,Erode,Aam Aadmi Party
AAP,Mysore,Karnataka,17-04-2014,Padmamma M V,59,Female,Graduate,GEN,11627675,0,,padmammamv,Mysore,Aam Aadmi Party
AIUDF,Basirhat,West Bengal,12-05-2014,Siddiqullah Chowdhury,65,Male,Others,GEN,11625351,1,,siddiqullahchowdhury,Basirhat,All India United Democratic Front
JDU,Gopalganj,Bihar,12-05-2014,Anil Kumar,46,Male,Graduate,GEN,11618500,0,#8064a2,anilkumar,Gopalganj (Sc),Janata Dal  (United)
IND,Nawada,Bihar,10-04-2014,Satish Kumar,50,Male,10th,GEN,11610000,0,,satishkumar,Nawada,Independent
INC,Maldaha Dakshin,West Bengal,24-04-2014,Abu Hasem Kahn Chowdhury,70,Male,Doctorate,GEN,11560825,0,#019733,abuhasemkahnchowdhury,Maldaha Dakshin,Indian National Congress
IND,Darbhanga,Bihar,30-04-2014,Praveen Kumar Jha,41,Male,Post Graduate,GEN,11558930,0,,praveenkumarjha,Darbhanga,Independent
AITC,Raiganj,West Bengal,24-04-2014,Pabitra Ranjan Dasmunshi Satya,66,Male,Graduate,GEN,11557345,0,#0C6965,pabitraranjandasmunshisatya,Raiganj,All India Trinamool Congress
AAP,West Delhi,National Capital Territory Of Delhi,10-04-2014,Jarnail Singh,41,Male,Post Graduate,GEN,11542391,0,,jarnailsingh,West Delhi,Aam Aadmi Party
BJP,Bhadohi,Uttar Pradesh,07-05-2014,Virendra Singh,57,Male,Graduate,GEN,11531458,0,#FB7B0D,virendrasingh,Bhadohi,Bharatiya Janata Party
INC,Etawah,Uttar Pradesh,24-04-2014,Hansh Mukhi,45,Male,Post Graduate,GEN,11522942,0,#019733,hanshmukhi,Etawah,Indian National Congress
IND,Thane,Maharashtra,24-04-2014,Sanjay Dilip Kumar Das,44,Male,Graduate,GEN,11518516,0,,sanjaydilipkumardas,Thane,Independent
INC,Kalahandi,Orissa,10-04-2014,Bhakta Charan Das,55,Male,Graduate Professional,GEN,11516583,1,#019733,bhaktacharandas,Kalahandi,Indian National Congress
AAP,Supaul,Bihar,24-04-2014,Parmeshwar Jha,62,Male,Graduate,GEN,11516000,0,,parmeshwarjha,Supaul,Aam Aadmi Party
IND,Patiala,Punjab,30-04-2014,Rajinder Singh Pawar,45,Male,8th,GEN,11511278,0,,rajindersinghpawar,Patiala,Independent
IND,Anandpur Sahib,Punjab,30-04-2014,Daljit Singh,70,Male,Post Graduate,GEN,11507000,0,,daljitsingh,Anandpur Sahib,Independent
IND,Mumbai North East,Maharashtra,24-04-2014,Sabir Mehandi Hasan,40,Male,5th,GEN,11506000,0,,sabirmehandihasan,Mumbai North East,Independent
IND,Srinagar,Jammu Kashmir,30-04-2014,Rabia Altaf,46,Female,Post Graduate,GEN,11498600,0,,rabiaaltaf,Srinagar,Independent
IND,Pali,Rajasthan,17-04-2014,Ramlal,61,Male,Doctorate,GEN,11493000,0,,ramlal,Pali,Independent
INC,Tirupati,Andhra Pradesh,07-05-2014,Chinta Mohan,59,Male,Graduate Professional,GEN,11433300,0,#019733,chintamohan,Tirupati,Indian National Congress
IND,Pratapgarh,Uttar Pradesh,07-05-2014,Smt Kiran Mishra,43,Female,Post Graduate,GEN,11430698,0,,smtkiranmishra,Pratapgarh,Independent
AAP,Salem,Tamil Nadu,24-04-2014,Satheesh Kumar E,39,Male,Post Graduate,GEN,11428000,0,,satheeshkumare,Salem,Aam Aadmi Party
IND,Outer Manipur,Manipur,09-04-2014,Mani Charenamei,55,Male,Graduate,GEN,11422552,0,,manicharenamei,Outer Manipur,Independent
AAP,Bhind,Madhya Pradesh,17-04-2014,Krishna Devi,35,Female,Graduate,GEN,11415750,0,,krishnadevi,Bhind,Aam Aadmi Party
AAP,Barmer,Rajasthan,17-04-2014,Mangilal,64,Male,Post Graduate,GEN,11414442,0,,mangilal,Barmer,Aam Aadmi Party
BJP,Gwalior,Madhya Pradesh,17-04-2014,Narendra Singh Tomar,56,Male,Graduate,GEN,11412622,1,#FB7B0D,narendrasinghtomar,Gwalior,Bharatiya Janata Party
CPIM,Bardhaman-Durgapur,West Bengal,30-04-2014,Sk Saidul Haque,59,Male,Post Graduate,GEN,11395974,0,#DE0000,sksaidulhaque,Burdwan - Durgapur,Communist Party of India  (Marxist)
IND,Nalanda,Bihar,17-04-2014,Naresh Prasad Singh,43,Male,Graduate,GEN,11387000,0,,nareshprasadsingh,Nalanda,Independent
AIUDF,Gauhati,Assam,24-04-2014,Gopi Nath Das,53,Male,Graduate,GEN,11382580,0,,gopinathdas,Gauhati,All India United Democratic Front
JDS,Osmanabad,Maharashtra,17-04-2014,Bhosale Revan Vishwanath,49,Male,Post Graduate,GEN,11357709,0,#8064a2,bhosalerevanvishwanath,Osmanabad,Janata Dal  (Secular)
AAP,Fatehpur,Uttar Pradesh,30-04-2014,Zainul Abdin,52,Male,12th,GEN,11350000,0,,zainulabdin,Fatehpur,Aam Aadmi Party
IND,Pollachi,Tamil Nadu,24-04-2014,Karthikeyan Pon,43,Male,12th,GEN,11346000,0,,karthikeyanpon,Pollachi,Independent
SHS,Hingoli,Maharashtra,17-04-2014,Wankhede Subhash Bapurao,51,Male,10th,GEN,11343000,1,#F05A00,wankhedesubhashbapurao,Hingoli,Shivsena
IND,Firozpur,Punjab,30-04-2014,Chanan Singh Wattu,62,Male,Graduate,GEN,11339000,0,,chanansinghwattu,Firozpur,Independent
INC,Karimganj,Assam,12-04-2014,Lalit Mohon Suklabaidya,72,Male,Post Graduate,GEN,11328972,2,#019733,lalitmohonsuklabaidya,Karimganj,Indian National Congress
CPIM,Tripura East,Tripura,12-04-2014,Jitendra Choudhury,57,Male,12th,GEN,11322979,0,#DE0000,jitendrachoudhury,Tripura East,Communist Party of India  (Marxist)
AAP,Anand,Gujarat,30-04-2014,Parmar Ravjibhai Shibhaibhai,66,Male,Post Graduate,GEN,11314555,0,,parmarravjibhaishibhaibhai,Anand,Aam Aadmi Party
SP,Faizabad,Uttar Pradesh,07-05-2014,Mitrasen Yadav,80,Male,12th,GEN,11284428,16,#B15928,mitrasenyadav,Faizabad,Samajwadi Party
TDP,Peddapalle,Andhra Pradesh,30-04-2014,Drjanapati Sarat Babu,42,Male,Graduate Professional,GEN,11265199,0,#4bacc6,drjanapatisaratbabu,Peddapalle,Telugu Desam
AAP,Rajgarh,Madhya Pradesh,17-04-2014,Drprashant Tripathi,33,Male,Graduate Professional,GEN,11252908,1,,drprashanttripathi,Rajgarh,Aam Aadmi Party
IND,Malkajgiri,Andhra Pradesh,30-04-2014,Mtvarughese,67,Male,8th,GEN,11230422,0,,mtvarughese,Malkajgiri,Independent
IND,Raiganj,West Bengal,24-04-2014,Subrata Adhikary,55,Male,10th,GEN,11228268,0,,subrataadhikary,Raiganj,Independent
SP,Saharanpur,Uttar Pradesh,10-04-2014,Shahjan Masood Urf Shahdan,41,Male,Graduate,GEN,11192498,2,#B15928,shahjanmasoodurfshahdan,Saharanpur,Samajwadi Party
IND,Akbarpur,Uttar Pradesh,24-04-2014,Ashok Yadav,47,Male,Others,GEN,11178000,0,,ashokyadav,Akbarpur,Independent
IND,Bathinda,Punjab,30-04-2014,Swaran Singh,45,Male,Graduate,GEN,11175000,0,,swaransingh,Bathinda,Independent
IND,Firozpur,Punjab,30-04-2014,Swaran Singh,45,Male,Graduate,GEN,11175000,0,,swaransingh,Firozpur,Independent
IND,Machilipatnam,Andhra Pradesh,07-05-2014,Mohammad Ishaq,41,Male,10th,GEN,11149954,0,,mohammadishaq,Machilipatnam,Independent
RJD,Gaya,Bihar,10-04-2014,Ramji Manjhi,54,Male,Graduate,GEN,11115000,0,,ramjimanjhi,Gaya (Sc),Rashtriya Janata Dal
AAP,Ballia,Uttar Pradesh,12-05-2014,Colretd Bharat Singh Shaurya Chakra,71,Male,Not Given,GEN,11110000,0,,colretdbharatsinghshauryachakra,Ballia,Aam Aadmi Party
INC,Ghosi,Uttar Pradesh,12-05-2014,Rashtra Kunwar Singh,47,Male,Graduate,GEN,11109907,2,#019733,rashtrakunwarsingh,Ghosi,Indian National Congress
IND,Salem,Tamil Nadu,24-04-2014,Arumugam M,73,Male,10th,GEN,11075983,0,,arumugamm,Salem,Independent
IND,Amroha,Uttar Pradesh,17-04-2014,Naresh Chand,50,Male,10th,GEN,11068000,0,,nareshchand,Amroha,Independent
SP,Chamarajanagar,Karnataka,17-04-2014,Guruswamy B,69,Male,Graduate Professional,GEN,11061200,0,#B15928,guruswamyb,Chamarajanagar,Samajwadi Party
JDU,Dahod,Gujarat,30-04-2014,Kalara Ramsingbhai Nanjibhai,42,Male,12th,GEN,11051107,0,#8064a2,kalararamsingbhainanjibhai,Dahod,Janata Dal  (United)
INC,Rajampet,Andhra Pradesh,07-05-2014,Annayyagari Sai Prathap,69,Male,12th,GEN,11011974,0,#019733,annayyagarisaiprathap,Rajampet,Indian National Congress
INC,Machilipatnam,Andhra Pradesh,07-05-2014,Sistla Ramesh,51,Male,Graduate Professional,GEN,11000000,0,#019733,sistlaramesh,Machilipatnam,Indian National Congress
IND,Bidar,Karnataka,17-04-2014,Machendar,50,Male,Post Graduate,GEN,11000000,0,,machendar,Bidar,Independent
BJP,Baharampur,West Bengal,12-05-2014,Debes Adhikari,70,Male,Post Graduate,GEN,10987886,0,#FB7B0D,debesadhikari,Baharampur,Bharatiya Janata Party
AAP,Dumka,Jharkhand,24-04-2014,Sahadeo Soren,64,Male,Post Graduate,GEN,10977580,0,,sahadeosoren,Dumka,Aam Aadmi Party
RJD,Begusarai,Bihar,30-04-2014,Md Tanveer Hasan,54,Male,Doctorate,GEN,10956399,1,,mdtanveerhasan,Begusarai,Rashtriya Janata Dal
IND,Tirunelveli,Tamil Nadu,24-04-2014,Drganesanm,61,Male,Graduate Professional,GEN,10943691,0,,drganesanm,Tirunelveli,Independent
AIADMK,Nilgiris,Tamil Nadu,24-04-2014,Gopalakrishnan -c,52,Male,Post Graduate,GEN,10941189,0,#9DBC2A,gopalakrishnan-c,Nilgiris,All India Anna Dravida Munnetra Kazhagam
IND,Ramtek,Maharashtra,10-04-2014,Rahul Sheshraoji Meshram,39,Male,12th,GEN,10938968,0,,rahulsheshraojimeshram,Ramtek,Independent
AAP,Daman Diu,Daman Diu,30-04-2014,Kessur Goan,45,Male,10th,GEN,10910623,0,,kessurgoan,Daman & Diu,Aam Aadmi Party
AIUDF,Balurghat,West Bengal,24-04-2014,Abdus Sadek Sarkar,36,Male,Graduate Professional,GEN,10907085,2,,abdussadeksarkar,Balurghat,All India United Democratic Front
IND,Chennai South,Tamil Nadu,24-04-2014,S Pragasam,40,Male,Graduate Professional,GEN,10902944,0,,spragasam,Chennai South,Independent
INC,Bahraich,Uttar Pradesh,07-05-2014,Comando Kamal Kishor,62,Male,Graduate,GEN,10862277,1,#019733,comandokamalkishor,Bahraich,Indian National Congress
BJP,Ganganagar,Rajasthan,17-04-2014,Nihalchand,43,Male,Graduate,GEN,10861172,0,#FB7B0D,nihalchand,Ganganagar,Bharatiya Janata Party
IND,Katihar,Bihar,24-04-2014,Sanjay Singh,44,Male,Post Graduate,GEN,10830016,0,,sanjaysingh,Katihar,Independent
IND,Kairana,Uttar Pradesh,10-04-2014,Krishanpal,48,Male,Literate,GEN,10804500,0,,krishanpal,Kairana,Independent
IND,South Delhi,National Capital Territory Of Delhi,10-04-2014,Ruby Yadav,33,Female,Post Graduate,GEN,10797222,0,,rubyyadav,South Delhi,Independent
BJP,Muzaffarnagar,Uttar Pradesh,10-04-2014,Dr Sanjeev Kumar Balyan,41,Male,Doctorate,GEN,10794222,1,#FB7B0D,drsanjeevkumarbalyan,Muzaffarnagar,Bharatiya Janata Party
AAP,Berhampur,Orissa,10-04-2014,Dhanada Kanta Mishra,67,Male,Doctorate,GEN,10787163,0,,dhanadakantamishra,Berhampur,Aam Aadmi Party
CPIM,Maldaha Dakshin,West Bengal,24-04-2014,Abul Hasnat Khan,67,Male,Post Graduate,GEN,10785663,0,#DE0000,abulhasnatkhan,Maldaha Dakshin,Communist Party of India  (Marxist)
BJP,Ranchi,Jharkhand,17-04-2014,Ramtahal Choudhary,72,Male,10th,GEN,10743950,0,#FB7B0D,ramtahalchoudhary,Ranchi,Bharatiya Janata Party
AAP,Dindigul,Tamil Nadu,24-04-2014,Elanchezhians,36,Male,Graduate Professional,GEN,10729709,0,,elanchezhians,Dindigul,Aam Aadmi Party
AAP,Chittorgarh,Rajasthan,17-04-2014,Dr Narendra Kumar Gupta,60,Male,Graduate Professional,GEN,10723839,0,,drnarendrakumargupta,Chittorgarh,Aam Aadmi Party
SP,Rajnandgaon,Chhattisgarh,17-04-2014,Lodhi Seema Kaushik,43,Female,8th,GEN,10720000,0,#B15928,lodhiseemakaushik,Rajnandgaon,Samajwadi Party
CPIM,Jalpaiguri,West Bengal,17-04-2014,Mahendra Kumar Roy,58,Male,Graduate,GEN,10695976,0,#DE0000,mahendrakumarroy,Jalpaiguri,Communist Party of India  (Marxist)
BJP,Jajpur,Orissa,17-04-2014,Amiya Kanta Mallick,58,Male,10th,GEN,10680000,0,#FB7B0D,amiyakantamallick,Jajpur,Bharatiya Janata Party
IND,Baramulla,Jammu Kashmir,07-05-2014,Ab Hamid Malik,35,Male,Graduate Professional,GEN,10675000,0,,abhamidmalik,Baramulla,Independent
IND,Machilipatnam,Andhra Pradesh,07-05-2014,Yarlagadda Rama Mohana Rao,51,Male,12th,GEN,10672000,0,,yarlagaddaramamohanarao,Machilipatnam,Independent
BJP,Outer Manipur,Manipur,09-04-2014,Gangmumei Kamei,73,Male,Post Graduate,GEN,10656364,0,#FB7B0D,gangmumeikamei,Outer Manipur,Bharatiya Janata Party
CPI,Chittorgarh,Rajasthan,17-04-2014,Radha Devi,54,Female,Post Graduate,GEN,10625129,0,#DE0000,radhadevi,Chittorgarh,Communist Party of India
AITC,Jaynagar,West Bengal,12-05-2014,Pratima Mondal,48,Female,Post Graduate,GEN,10614252,0,#0C6965,pratimamondal,Joynagar,All India Trinamool Congress
REVOLUTIONARY SOCIALIST PARTY,Alipurduars,West Bengal,17-04-2014,Manohar Tirkey,61,Male,10th,GEN,10594756,0,,manohartirkey,Alipurduars,Revolutionary Socialist Party
JDS,Raichur,Karnataka,17-04-2014,Dbnayak,62,Male,Graduate,GEN,10591888,1,#8064a2,dbnayak,Raichur,Janata Dal  (Secular)
BJP,Rohtak,Haryana,10-04-2014,Om Prakash Dhankhad,52,Male,Post Graduate,GEN,10587916,1,#FB7B0D,omprakashdhankhad,Rohtak,Bharatiya Janata Party
AAP,Amreli,Gujarat,30-04-2014,Sukhadiay Nathabhai Vallabhabhai,39,Male,5th,GEN,10587475,2,,sukhadiaynathabhaivallabhabhai,Amreli,Aam Aadmi Party
BJP,Gopalganj,Bihar,12-05-2014,Janak Ram,42,Male,Post Graduate,GEN,10582664,2,#FB7B0D,janakram,Gopalganj (Sc),Bharatiya Janata Party
IND,Sant Kabir Nagar,Uttar Pradesh,07-05-2014,Shyam Lal,65,Male,Post Graduate,GEN,10577000,0,,shyamlal,Sant Kabir Nagar,Independent
IND,Hingoli,Maharashtra,17-04-2014,Ghunnar Prakash Vitthalrao,55,Male,12th,GEN,10572325,0,,ghunnarprakashvitthalrao,Hingoli,Independent
BJP,Kodarma,Jharkhand,10-04-2014,Ravindra Kumar Ray,50,Male,Doctorate,GEN,10564046,0,#FB7B0D,ravindrakumarray,Kodarma,Bharatiya Janata Party
IND,Maval,Maharashtra,17-04-2014,Ravindra Kashinath Patil,45,Male,Graduate Professional,GEN,10563000,1,,ravindrakashinathpatil,Maval,Independent
IND,Jhunjhunu,Rajasthan,17-04-2014,Praveen Kumar,32,Male,Post Graduate,GEN,10556850,0,,praveenkumar,Jhunjhunu,Independent
AAP,Shillong,Meghalaya,09-04-2014,Armerington Kharshiing,62,Male,Not Given,GEN,10547837,0,,armeringtonkharshiing,Shillong,Aam Aadmi Party
SP,Mayiladuthurai,Tamil Nadu,24-04-2014,Irulappanv,63,Male,Post Graduate,GEN,10526000,0,#B15928,irulappanv,Mayiladuthurai,Samajwadi Party
IND,Dhanbad,Jharkhand,24-04-2014,Pawan Mahato,38,Male,12th,GEN,10512603,1,,pawanmahato,Dhanbad,Independent
IND,Jalna,Maharashtra,24-04-2014,M Javed A Wahab,29,Male,12th,GEN,10510000,0,,mjavedawahab,Jalna,Independent
IND,Kottayam,Kerala,10-04-2014,James Joseph P,47,Male,12th,GEN,10508400,0,,jamesjosephp,Kottayam,Independent
AAP,Raiganj,West Bengal,24-04-2014,Pasarul Alam,50,Male,Post Graduate,GEN,10495835,0,,pasarulalam,Raiganj,Aam Aadmi Party
CPI,Hazaribagh,Jharkhand,17-04-2014,Bhuneshwar Prasad Mehta,68,Male,12th,GEN,10483915,1,#DE0000,bhuneshwarprasadmehta,Hazaribagh,Communist Party of India
IND,New Delhi,National Capital Territory Of Delhi,10-04-2014,Ved Prakash,56,Male,10th,GEN,10478697,0,,vedprakash,New Delhi,Independent
BJP,Panchmahal,Gujarat,30-04-2014,Chauhan Prabhatsinh Pratapsinh,72,Male,10th,GEN,10464000,3,#FB7B0D,chauhanprabhatsinhpratapsinh,Panchmahal,Bharatiya Janata Party
SHS,Muzaffarpur,Bihar,07-05-2014,Ashok Kumar Jha,48,Male,10th,GEN,10460864,0,#F05A00,ashokkumarjha,Muzaffarpur,Shivsena
IND,Arakkonam,Tamil Nadu,24-04-2014,Arun -n,56,Male,Doctorate,GEN,10435836,0,,arun-n,Arakkonam,Independent
BJP,Dhaurahra,Uttar Pradesh,30-04-2014,Rekha,32,Female,10th,GEN,10435468,0,#FB7B0D,rekha,Dhaurahra,Bharatiya Janata Party
SP,Etawah,Uttar Pradesh,24-04-2014,Prem Das,54,Male,Graduate,GEN,10427522,1,#B15928,premdas,Etawah,Samajwadi Party
LJP,Jamui,Bihar,10-04-2014,Chirag Kumar Paswan,32,Male,12th,GEN,10414470,0,,chiragkumarpaswan,Jamui (Sc),Lok Jan Shakti Party
JDS,Kottayam,Kerala,10-04-2014,Mathew T Thomas,52,Male,Graduate Professional,GEN,10379737,4,#8064a2,mathewtthomas,Kottayam,Janata Dal  (Secular)
TRS,Adilabad,Andhra Pradesh,30-04-2014,Godam Nagesh,49,Male,Post Graduate,GEN,10378857,0,,godamnagesh,Adilabad,Telangana Rashtra Samithi
INC,Tiruvannamalai,Tamil Nadu,24-04-2014,Subramaniyan A,55,Male,Graduate Professional,GEN,10376045,0,#019733,subramaniyana,Tiruvannamalai,Indian National Congress
BJP,Ponnani,Kerala,10-04-2014,Knarayanan Master,49,Male,12th,GEN,10368303,1,#FB7B0D,knarayananmaster,Ponnani,Bharatiya Janata Party
