party,constituency,state,poll_date,name,age,gender,education,category,assets,criminal_cases,color,sub_name,constituency_name,party_name
SAD,Fatehgarh Sahib,Punjab,30-04-2014,Kulwant Singh,52,Male,10th,GEN,1396118874,0,,kulwantsingh,Fatehgarh Sahib,Shiromani Akali Dal
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Vijayawada,Andhra Pradesh,07-05-2014,Rajendra Prasad Koneru,63,Male,Graduate,GEN,1377963388,1,,rajendraprasadkoneru,Vijayawada,Yuvajana Sramika Rythu Congress Party
BJD,Puri,Orissa,17-04-2014,Pinaki Mishra,54,Male,Graduate Professional,GEN,1370991203,0,#000000,pinakimishra,Puri,Biju Janata Dal
BJP,Patna Sahib,Bihar,17-04-2014,Shatrughan Sinha,67,Male,Graduate,GEN,1317405961,1,#FB7B0D,shatrughansinha,Patna Sahib,Bharatiya Janata Party
IND,Shillong,Meghalaya,09-04-2014,Denis Siangshai,49,Male,Graduate,GEN,1287025457,0,,denissiangshai,Shillong,Independent
TDP,Vijayawada,Andhra Pradesh,07-05-2014,Srinivas Kesineni,48,Male,10th,GEN,1284122669,3,#4bacc6,srinivaskesineni,Vijayawada,Telugu Desam
TDP,Nellore,Andhra Pradesh,07-05-2014,Adala Prabhakara Reddy,64,Male,12th,GEN,1282585640,0,#4bacc6,adalaprabhakarareddy,Nellore,Telugu Desam
TDP,Nalgonda,Andhra Pradesh,30-04-2014,Tera Chinnapa Reddy,50,Male,Doctorate,GEN,1269815389,5,#4bacc6,terachinnapareddy,Nalgonda,Telugu Desam
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Narsapuram,Andhra Pradesh,07-05-2014,Vanka Ravindranath So Satyanarayana,53,Male,12th,GEN,1267907245,0,,vankaravindranathsosatyanarayana,Narsapuram,Yuvajana Sramika Rythu Congress Party
SP,Etah,Uttar Pradesh,24-04-2014,Kunwar Devendra Singh Yadav,65,Male,Doctorate,GEN,1249971797,1,#B15928,kunwardevendrasinghyadav,Etah,Samajwadi Party
INC,Anandpur Sahib,Punjab,30-04-2014,Ambika Soni,71,Female,Post Graduate,GEN,1180035973,0,#019733,ambikasoni,Anandpur Sahib,Indian National Congress
SP,Bhagalpur,Bihar,24-04-2014,Purushottam Choubey,47,Male,10th,GEN,1156393030,2,#B15928,purushottamchoubey,Bhagalpur,Samajwadi Party
INC,Chandni Chowk,National Capital Territory Of Delhi,10-04-2014,Kapil Sibal,65,Male,Graduate Professional,GEN,1144747216,0,#019733,kapilsibal,Chandni Chowk,Indian National Congress
NCP,Baramati,Maharashtra,17-04-2014,Supriya Sule,44,Female,Graduate,GEN,1139090851,0,,supriyasule,Baramati,Nationalist Congress Party
